"","V1","V2","V3","V4","V5"
"Parent and Child",-1.60517554709312,-0.908299174866151,1.44985884197913,-1.15086256690897,-0.000485800921161739
"Parent and Teenager",-1.34263204173331,-0.683600596869186,1.12426751928002,-1.76325184565269,-0.0617007987920065
"Wife and Husband",-0.998350723522308,-0.679689902225511,2.44977599392144,-0.505599778770413,-0.811374604180137
"Fiance and Fiancee",-0.374080813914188,-1.68819842738153,1.78853475701936,0.179140318316102,-1.11625265380601
"Between Siblings",-1.21191512453891,-1.32440474189682,0.756799380300122,-0.618710439753426,0.157923354218062
"Between divorced spouses",1.70946307088661,-0.26691278377648,-0.510155288387121,-0.281593202720226,0.109732803663304
"Between a person and their in-laws",0.420260843345891,-0.300142676632876,0.023506419585169,-0.337947267959356,0.287651371475909
"Between cousins",-0.820566678630318,-1.051202639597,-0.212535360351098,-0.438192198332949,0.692626607415217
"Employer and Employee",-1.45127138738167,1.27219031357586,-0.634360757086569,-0.811096040364496,-1.50011891345568
"Interviewer and Job applicant",-0.129922229119091,1.02083350570564,-0.457663506975241,-0.172039155944869,-0.174721485185515
"Guard and Prisoner",0.563881302240859,-0.597823085021339,-1.37111666953687,-1.09964822613936,0.899015678872015
"Nurse and Patient",-0.20242266899614,1.03597069857279,0.522622574203813,0.582597436576505,-0.133505684528743
"Therapist and Patient",-0.66792597830081,0.754437429304996,0.5513556444027,0.533578800203273,-0.788475268895905
"Salesperson and Customer",0.265200294166725,1.05913915557838,0.177538613256936,0.609425910993128,-1.83218674159237
"Between Business Partners",-0.465896712228124,0.652917041786325,-0.0662513167101679,0.0196647310818399,-1.7702050504519
"Between opposing negotiators",0.419809912598905,1.09269324833771,0.330983833487075,0.197398942755278,-0.345935221767918
"Between political opponents",0.106350444657747,1.34506119658731,-0.394799646299793,-0.636257260305231,1.91124045926212
"Between business rivals",0.501432181902334,1.18493677153775,-0.368500334107462,-1.28458124328027,0.156966924782582
"Between enemies",1.45403128356161,0.378511301035076,0.124214960629433,-1.73035224996981,1.42740425309985
"Teacher and Student",-1.90922452550559,0.873936486283559,-0.495380191250254,0.571639878704787,0.510037660612717
"Professor and Graduate student",-1.75900289947088,1.20488758384983,-0.839486471794962,0.822514001538517,0.804206192018074
"Master and Servant",0.661570404445381,-1.06882610808461,-1.05084337412162,-0.331394877010419,-0.809748645349558
"Between Close Friends",-1.99738695473356,-0.526446054761591,1.24674744471925,0.464745248836601,-0.430740341297845
"Between casual acquaintances",2.17992971220026,0.165871560194669,-0.167198149396897,1.92333092282551,1.33049886517835
"Between teammates in sports",-1.05096942806626,0.572024426468446,-0.472246002935986,0.0903366617096175,0.2364385731391
"Between second cousins",0.175674458079564,-0.357520832523424,0.756161899606017,0.182402333072937,0.59269870630582
"Parent and Infant",-1.13787900275131,-0.871267546497103,1.21326871620762,-0.26105592241319,0.640232246791636
"Grandparent and Grandchild",-1.10112999836373,-0.894398913882631,1.05725743311884,-0.384195250155863,0.507027705562958
"Step-parent and Step-child",-0.647377370992351,-0.941390644512128,-0.400282417649914,-0.393117858636472,0.978784171474731
"Foster-parent and Foster-child",-0.884914963791922,-0.99267670628246,-0.51212705511167,-0.278296545987232,0.93867471270918
"Godparent and Godchild",-0.0915671263288362,-0.983769195053537,0.229834217585264,-0.0458866341055564,0.258759926922618
"Step-grandparent and Step-grandchild",-0.456091937507973,-1.03150132008696,-0.403241128219837,-0.286117696333074,0.889209946352859
"Ancestor and Descendant",-1.76912591787912,0.481770371572065,1.09364595767389,-1.03611441586255,0.667840700906363
"Bride and Groom",-1.27380752433694,0.156288599288897,2.02134780036248,-0.180031573770759,-0.00482821066710926
"Man and His Mistress",1.37753916789151,-1.92692030378728,0.790425456474139,-0.167409315186787,-2.04458213155119
