,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
Ancestor and Descendant,"[90, 6, 100, 64, 50, 52]","[0, 12, 19, 48, 50, 72]","[80, 6, 4, 20, 0, 40]","[100, 3, 1, 15, 50, 62]","[20, 15, 100, 25, 100, 69]","[55, 3, 2, 25, 0, 64]","[100, 14, 47, 31, 99, 69]","[80, 10, 1, 47, 0, 46]","[10, 4, 8, 44, 0, 65]","[15, 18, 2, 28, 78, 44]","[5, 17, 100, 25, 10, 54]","[93, 61, 78, 80, 0, 100, 17, 96, 99, 100]","[57, 74, 72, 60, 1, 90, 83, 76, 100, 94]","[72, 23, 28, 60, 30, 59, 74, 100, 99, 90]","[5, 40, 3, 5, 2, 38, 82, 4, 54, 10]","[0, 30, 5, 5, 1, 5, 78, 10, 5, 1]","[0, 29, 3, 5, 1, 1, 80, 3, 17, 60]","[70, 24, 85, 30, 1, 75, 71, 100, 99, 91]","[0, 8, 100, 60, 1, 45, 81, 3, 99, 100]","[5, 7, 67, 10, 100, 1, 60, 3, 53, 15]","[27, 12, 6, 15, 1, 2, 47, 5, 52, 60]","[0, 3, 3, 5, 100, 1, 60, 4, 26, 80]","[11, 92, 50, 83, 100, 100, 85, 89, 9, 78, 58]","[7, 100, 90, 83, 100, 36, 40, 97, 16, 79, 51]","[11, 100, 71, 81, 98, 90, 20, 90, 22, 100, 39]","[13, 8, 1, 86, 100, 1, 65, 4, 8, 3, 79]","[16, 62, 50, 78, 100, 1, 72, 8, 32, 78, 44]","[8, 99, 100, 83, 100, 100, 100, 100, 100, 100, 43]","[19, 80, 30, 83, 99, 2, 12, 4, 47, 50, 42]","[8, 48, 5, 5, 97, 3, 18, 9, 14, 7, 38]","[7, 11, 1, 11, 99, 1, 68, 15, 2, 2, 41]","[9, 56, 40, 82, 99, 2, 40, 100, 7, 50, 38]","[16, 89, 100, 6, 98, 100, 100, 100, 100, 100, 34]"
Athlete and Referee,"[100, 6, 41, 19, 100, 98, 98]","[3, 32, 16, 3, 70, 100, 2]","[50, 3, 9, 21, 1, 97, 52]","[4, 51, 20, 20, 10, 87, 25]","[100, 47, 84, 5, 80, 48, 48]","[4, 4, 22, 9, 10, 97, 77]","[4, 89, 59, 62, 41, 60, 48]","[6, 59, 40, 38, 50, 98, 98]","[100, 6, 39, 15, 50, 99, 48]","[100, 78, 58, 60, 70, 97, 48]","[100, 9, 24, 87, 45, 97, 47]","[14, 69, 44, 30, 17, 58, 80, 15, 100, 71, 8, 85]","[8, 7, 100, 24, 8, 9, 68, 8, 1, 30, 5, 89]","[64, 74, 70, 74, 82, 100, 57, 10, 11, 71, 36, 84]","[47, 35, 14, 10, 13, 2, 42, 70, 2, 19, 12, 54]","[45, 0, 100, 16, 55, 1, 52, 40, 1, 23, 20, 91]","[90, 100, 87, 8, 94, 9, 70, 65, 2, 50, 24, 80]","[8, 0, 23, 8, 15, 20, 57, 15, 1, 27, 5, 1]","[6, 0, 98, 3, 27, 1, 39, 5, 1, 15, 2, 4]","[7, 30, 56, 19, 97, 6, 70, 85, 100, 79, 4, 100]","[5, 63, 100, 6, 26, 19, 47, 45, 28, 72, 15, 90]","[7, 15, 75, 8, 37, 20, 40, 40, 4, 64, 18, 86]","[92, 33, 100, 63, 10, 42, 88, 44]","[88, 17, 98, 55, 16, 55, 93, 29]","[78, 0, 98, 32, 24, 54, 94, 53]","[82, 100, 99, 82, 100, 43, 96, 88]","[83, 27, 97, 38, 70, 80, 95, 89]","[81, 0, 99, 12, 39, 51, 91, 36]","[86, 28, 98, 32, 82, 48, 88, 87]","[77, 44, 99, 16, 90, 69, 89, 92]","[70, 0, 98, 30, 13, 92, 89, 19]","[83, 87, 97, 6, 31, 56, 67, 87]","[72, 20, 96, 40, 50, 48, 87, 75]"
Athletic trainer and Trainee,"[88, 26, 79, 80, 90, 92]","[10, 33, 10, 50, 20, 14]","[78, 39, 40, 100, 63, 34]","[13, 40, 10, 85, 25, 6]","[87, 39, 87, 80, 50, 88]","[9, 57, 13, 60, 49, 6]","[78, 42, 99, 100, 54, 100]","[17, 38, 61, 27, 66, 96]","[85, 38, 48, 82, 35, 76]","[76, 55, 88, 99, 85, 96]","[74, 43, 95, 65, 100, 95]","[37, 71, 93, 88, 76, 63, 56, 43, 59, 38]","[46, 1, 89, 94, 26, 81, 46, 10, 54, 16]","[77, 100, 90, 87, 85, 26, 54, 54, 33, 60]","[64, 100, 91, 92, 31, 73, 74, 56, 60, 9]","[77, 24, 93, 91, 61, 51, 46, 0, 32, 31]","[65, 100, 94, 93, 45, 23, 31, 63, 32, 26]","[35, 22, 94, 97, 71, 42, 76, 54, 100, 12]","[4, 2, 90, 93, 7, 61, 64, 0, 100, 7]","[51, 4, 91, 94, 22, 82, 66, 19, 75, 14]","[68, 50, 87, 94, 46, 79, 54, 48, 90, 6]","[37, 5, 93, 93, 21, 36, 73, 24, 54, 10]","[94, 100, 95]","[76, 100, 43]","[94, 69, 92]","[98, 100, 91]","[98, 100, 97]","[97, 22, 28]","[97, 100, 77]","[98, 14, 89]","[100, 0, 5]","[100, 100, 83]","[74, 100, 85]"
Aunt and Niece/Nephew,"[43, 100, 83, 98, 100, 90, 100, 50, 56, 53, 90, 89, 89]","[55, 50, 48, 31, 20, 72, 42, 63, 4, 59, 3, 10, 90]","[75, 70, 83, 100, 100, 79, 100, 3, 84, 50, 100, 86, 69]","[71, 100, 61, 100, 18, 85, 100, 70, 82, 50, 99, 100, 91]","[55, 2, 69, 8, 13, 70, 12, 89, 49, 54, 2, 9, 4]","[67, 100, 46, 100, 100, 100, 90, 49, 86, 99, 88, 88, 94]","[4, 100, 45, 7, 100, 94, 3, 8, 44, 63, 100, 18, 5]","[48, 100, 79, 99, 10, 52, 68, 82, 79, 100, 92, 97, 92]","[64, 100, 57, 83, 72, 60, 92, 100, 44, 70, 100, 100, 100]","[29, 1, 38, 7, 18, 64, 3, 48, 48, 54, 92, 23, 2]","[46, 51, 81, 92, 19, 56, 100, 56, 67, 70, 47, 91, 4]","[98, 100, 74, 7, 96, 89, 83, 97, 86, 83, 76, 100, 4, 79, 100]","[94, 97, 69, 82, 95, 95, 82, 95, 84, 92, 78, 100, 26, 75, 100]","[92, 49, 63, 9, 99, 89, 23, 91, 85, 87, 77, 100, 20, 88, 36]","[96, 5, 71, 86, 53, 94, 16, 62, 13, 0, 74, 100, 11, 100, 59]","[95, 5, 66, 79, 58, 88, 15, 100, 15, 0, 79, 3, 19, 51, 8]","[97, 6, 18, 3, 39, 79, 32, 52, 0, 0, 78, 1, 16, 68, 3]","[90, 98, 32, 59, 89, 87, 94, 100, 78, 100, 76, 100, 20, 99, 53]","[98, 97, 34, 100, 50, 91, 2, 1, 0, 0, 75, 1, 15, 1, 3]","[94, 5, 5, 33, 81, 95, 12, 74, 2, 18, 74, 2, 16, 2, 1]","[92, 10, 22, 39, 58, 92, 36, 78, 9, 24, 78, 3, 13, 5, 100]","[97, 12, 4, 55, 66, 92, 17, 38, 12, 16, 85, 3, 16, 66, 32]","[6, 35, 54, 79, 98, 77, 87, 79, 100, 75, 83]","[63, 75, 100, 53, 99, 81, 85, 92, 100, 68, 95]","[59, 82, 100, 95, 98, 86, 69, 94, 100, 83, 80]","[15, 40, 0, 2, 98, 85, 16, 2, 45, 56, 4]","[66, 44, 100, 43, 97, 90, 10, 89, 100, 85, 89]","[100, 47, 100, 83, 98, 89, 15, 99, 100, 37, 96]","[68, 50, 100, 92, 97, 93, 8, 69, 49, 70, 64]","[100, 51, 100, 93, 97, 94, 17, 34, 84, 31, 63]","[10, 51, 0, 2, 98, 95, 20, 4, 93, 62, 66]","[99, 37, 100, 97, 98, 94, 47, 89, 71, 71, 84]","[46, 41, 100, 82, 99, 94, 66, 68, 100, 100, 45]"
Babysitter and Infant,"[100, 63, 77, 100, 80, 98, 99]","[3, 52, 69, 16, 29, 47, 3]","[100, 56, 65, 89, 1, 47, 51]","[100, 59, 77, 52, 1, 46, 49]","[1, 3, 12, 10, 5, 98, 50]","[98, 64, 82, 100, 50, 48, 98]","[3, 20, 8, 73, 2, 49, 2]","[100, 39, 26, 100, 20, 87, 98]","[96, 25, 100, 17, 28, 97, 49]","[2, 13, 17, 8, 20, 99, 49]","[100, 46, 88, 90, 100, 97, 49]","[86, 55, 100, 11, 65, 39, 70, 45, 55, 20, 68, 84]","[77, 78, 70, 91, 78, 27, 29, 65, 100, 50, 94, 85]","[85, 77, 56, 10, 100, 97, 33, 70, 16, 40, 93, 82]","[6, 55, 58, 81, 39, 2, 65, 70, 7, 26, 88, 80]","[7, 14, 76, 37, 11, 2, 40, 55, 1, 3, 88, 84]","[6, 100, 90, 100, 82, 92, 46, 75, 2, 73, 97, 4]","[94, 86, 53, 40, 97, 63, 49, 70, 100, 79, 75, 98]","[5, 0, 100, 3, 15, 1, 78, 5, 2, 14, 2, 100]","[6, 2, 63, 3, 5, 1, 55, 15, 60, 16, 5, 1]","[7, 85, 100, 3, 10, 25, 50, 80, 12, 22, 3, 88]","[5, 0, 100, 27, 10, 21, 36, 25, 1, 33, 4, 84]","[100, 88, 99, 90, 87, 49, 82, 76]","[100, 50, 98, 85, 79, 49, 81, 51]","[100, 60, 99, 91, 81, 54, 82, 78]","[100, 100, 100, 96, 88, 49, 90, 55]","[97, 33, 98, 73, 49, 61, 76, 30]","[100, 8, 97, 52, 91, 53, 74, 30]","[100, 89, 100, 87, 47, 54, 78, 81]","[100, 73, 97, 41, 91, 47, 76, 91]","[98, 0, 95, 9, 8, 77, 77, 7]","[100, 56, 97, 94, 94, 52, 81, 98]","[100, 83, 96, 59, 40, 53, 67, 76]"
Between Business Partners,"[36, 95, 36, 15, 86, 87, 58, 45, 90, 36]","[46, 75, 94, 15, 54, 30, 55, 85, 100, 34]","[48, 78, 70, 33, 100, 21, 50, 8, 75, 47]","[32, 39, 56, 100, 10, 26, 14, 63, 49, 30]","[38, 73, 41, 24, 91, 50, 59, 85, 30, 44]","[47, 62, 94, 34, 94, 17, 44, 74, 51, 27]","[51, 5, 26, 33, 9, 30, 13, 89, 65, 34]","[52, 93, 85, 5, 38, 32, 46, 88, 47, 25]","[53, 82, 50, 40, 100, 32, 43, 85, 80, 43]","[53, 96, 100, 84, 48, 37, 100, 94, 52, 22]","[57, 95, 72, 30, 100, 47, 3, 17, 36, 37]","[75, 99, 100, 51, 24, 100, 77, 46, 58]","[45, 6, 1, 43, 76, 85, 65, 10, 2]","[25, 99, 100, 82, 54, 100, 54, 82, 100]","[82, 96, 100, 99, 100, 100, 71, 100, 100]","[15, 98, 100, 69, 41, 100, 81, 78, 84]","[37, 96, 1, 94, 97, 82, 78, 68, 8]","[64, 74, 50, 62, 90, 45, 69, 13, 100]","[15, 10, 1, 24, 48, 7, 66, 25, 22]","[50, 8, 1, 5, 27, 2, 63, 63, 6]","[66, 97, 100, 74, 44, 100, 74, 72, 58]","[49, 8, 1, 4, 46, 100, 73, 35, 1]","[54, 62, 78, 71, 56, 53, 100, 42, 19, 62, 100, 29, 61, 81, 80, 85, 64]","[95, 9, 75, 21, 90, 43, 100, 4, 100, 42, 83, 33, 66, 90, 60, 84, 82]","[97, 98, 78, 49, 100, 59, 100, 18, 100, 53, 100, 55, 39, 72, 100, 81, 44]","[88, 97, 86, 48, 99, 53, 100, 84, 100, 67, 93, 25, 49, 99, 85, 82, 34]","[100, 98, 87, 59, 100, 60, 100, 24, 100, 53, 62, 69, 68, 87, 87, 8, 39]","[54, 13, 81, 59, 95, 47, 100, 43, 85, 63, 39, 64, 61, 72, 57, 79, 48]","[85, 98, 83, 32, 100, 49, 100, 17, 89, 47, 56, 74, 84, 92, 49, 95, 77]","[94, 97, 82, 60, 100, 56, 100, 18, 49, 78, 5, 76, 56, 75, 52, 77, 79]","[42, 1, 87, 20, 83, 39, 100, 11, 11, 12, 1, 57, 66, 53, 18, 84, 82]","[66, 89, 87, 37, 99, 45, 100, 10, 100, 74, 100, 46, 80, 82, 95, 91, 58]","[4, 21, 81, 21, 51, 47, 100, 51, 5, 52, 10, 43, 6, 56, 33, 84, 64]"
Between Close Friends,"[100, 63, 93, 79, 55, 95, 83, 49, 98]","[100, 62, 99, 100, 43, 100, 68, 64, 100]","[100, 50, 93, 79, 31, 96, 85, 65, 97]","[87, 43, 94, 75, 51, 93, 86, 55, 96]","[4, 31, 3, 92, 1, 8, 8, 66, 2]","[95, 45, 100, 94, 80, 100, 99, 66, 99]","[40, 64, 2, 95, 5, 55, 22, 78, 66]","[74, 19, 100, 85, 46, 85, 79, 73, 98]","[100, 22, 98, 90, 38, 100, 92, 71, 98]","[17, 11, 4, 63, 6, 11, 9, 77, 11]","[25, 47, 91, 62, 37, 53, 79, 74, 96]","[32, 6, 47, 11, 100, 62, 96, 99]","[86, 98, 59, 91, 100, 50, 99, 100]","[4, 97, 2, 13, 2, 71, 98, 53]","[2, 8, 16, 15, 5, 67, 50, 2]","[3, 8, 48, 8, 6, 45, 60, 7]","[7, 7, 12, 12, 0, 66, 40, 23]","[5, 100, 47, 100, 100, 49, 96, 98]","[33, 54, 8, 3, 100, 67, 66, 99]","[8, 8, 84, 4, 0, 60, 5, 6]","[3, 46, 6, 2, 0, 56, 28, 7]","[7, 8, 2, 2, 0, 68, 3, 5]","[44, 84, 89, 0, 95, 62, 99, 100, 86, 65, 82, 23, 79]","[42, 90, 100, 99, 92, 47, 99, 88, 82, 87, 73, 11, 86]","[56, 94, 100, 100, 81, 39, 99, 84, 66, 73, 77, 68, 79]","[77, 0, 0, 0, 49, 38, 1, 83, 53, 71, 64, 40, 44]","[52, 91, 100, 100, 75, 51, 72, 90, 52, 60, 40, 0, 47]","[57, 96, 100, 100, 91, 58, 100, 88, 91, 74, 63, 70, 41]","[41, 92, 100, 81, 78, 54, 98, 89, 90, 82, 77, 28, 60]","[50, 89, 95, 100, 44, 47, 99, 82, 70, 14, 22, 34, 30]","[74, 0, 9, 0, 30, 41, 97, 84, 1, 93, 42, 79, 14]","[41, 98, 100, 100, 91, 46, 99, 85, 95, 87, 55, 76, 70]","[58, 0, 23, 0, 45, 45, 3, 82, 50, 78, 82, 29, 59]"
Between Co-workers,"[58, 74, 1, 87, 100, 100, 83, 69, 62, 79, 34, 87]","[60, 87, 1, 88, 58, 75, 6, 100, 91, 89, 54, 66]","[33, 81, 3, 13, 54, 100, 44, 40, 70, 93, 92, 80]","[50, 83, 3, 29, 83, 14, 83, 15, 59, 69, 72, 66]","[37, 81, 1, 91, 49, 63, 81, 50, 89, 73, 3, 77]","[33, 69, 4, 6, 65, 76, 65, 30, 54, 94, 83, 59]","[35, 65, 8, 87, 100, 92, 88, 85, 67, 76, 19, 39]","[28, 39, 3, 82, 100, 81, 87, 80, 78, 91, 90, 71]","[19, 83, 2, 90, 100, 78, 7, 90, 43, 95, 93, 79]","[37, 32, 2, 5, 100, 69, 93, 49, 74, 81, 49, 38]","[34, 70, 7, 88, 100, 91, 93, 86, 66, 86, 82, 42]","[16, 100, 25, 72, 16, 17, 1, 65]","[91, 9, 8, 63, 16, 0, 1, 40]","[28, 100, 94, 80, 99, 71, 92, 86]","[78, 8, 90, 70, 81, 95, 92, 62]","[12, 14, 69, 95, 0, 80, 1, 69]","[11, 100, 91, 84, 25, 100, 50, 91]","[9, 73, 29, 72, 51, 5, 10, 81]","[93, 53, 5, 44, 2, 2, 14, 42]","[16, 49, 34, 81, 48, 52, 57, 63]","[11, 49, 100, 83, 35, 77, 32, 80]","[5, 74, 27, 50, 95, 10, 1, 62]","[100, 95, 9, 50, 55, 66, 100, 38, 82]","[98, 87, 29, 42, 58, 50, 22, 30, 78]","[98, 98, 75, 50, 49, 85, 26, 44, 76]","[98, 100, 4, 46, 97, 92, 100, 36, 77]","[31, 87, 42, 46, 68, 100, 78, 18, 70]","[99, 98, 25, 47, 79, 59, 0, 42, 78]","[99, 96, 32, 43, 98, 79, 100, 67, 77]","[98, 98, 3, 48, 99, 88, 100, 32, 77]","[17, 97, 43, 49, 83, 10, 0, 39, 82]","[15, 91, 17, 42, 77, 84, 52, 34, 76]","[61, 88, 15, 47, 52, 70, 48, 34, 74]"
Between Facebook Friends,"[71, 10, 39, 50, 80, 72, 72, 88, 91]","[61, 33, 17, 29, 90, 53, 45, 89, 91]","[64, 22, 21, 66, 60, 82, 31, 40, 89]","[45, 48, 35, 71, 90, 60, 77, 82, 90]","[19, 22, 30, 54, 20, 79, 28, 5, 90]","[86, 28, 38, 56, 51, 72, 43, 45, 90]","[47, 29, 46, 59, 5, 63, 36, 71, 90]","[68, 44, 40, 86, 71, 45, 23, 85, 91]","[40, 47, 39, 73, 71, 86, 45, 80, 92]","[30, 45, 30, 82, 5, 80, 48, 6, 90]","[77, 36, 17, 85, 65, 72, 50, 29, 91]","[86, 8, 51, 64, 30, 40, 69, 83]","[84, 5, 9, 74, 20, 52, 47, 56]","[82, 100, 50, 79, 10, 49, 75, 83]","[95, 7, 2, 2, 5, 22, 31, 83]","[81, 100, 2, 28, 10, 26, 59, 45]","[90, 7, 3, 16, 10, 17, 72, 58]","[93, 100, 30, 62, 10, 67, 100, 61]","[83, 9, 1, 2, 10, 0, 69, 65]","[92, 6, 1, 81, 15, 16, 48, 68]","[97, 4, 6, 69, 60, 75, 60, 73]","[76, 10, 5, 34, 5, 0, 49, 79]","[64, 12, 57, 54, 41, 1, 46, 100, 0, 71, 81, 100]","[68, 11, 74, 67, 59, 4, 59, 100, 0, 51, 67, 100]","[100, 39, 75, 50, 67, 100, 70, 55, 0, 96, 76, 100]","[0, 25, 7, 1, 19, 1, 58, 17, 0, 98, 76, 100]","[85, 14, 64, 51, 19, 76, 55, 56, 0, 98, 67, 100]","[72, 64, 73, 82, 36, 30, 67, 94, 0, 77, 65, 70]","[62, 12, 14, 45, 26, 52, 67, 100, 0, 82, 70, 100]","[25, 29, 62, 50, 70, 3, 56, 25, 0, 52, 66, 20]","[100, 1, 0, 1, 35, 1, 64, 41, 0, 62, 64, 2]","[70, 48, 82, 80, 55, 45, 55, 40, 100, 70, 59, 70]","[63, 46, 50, 74, 41, 26, 52, 58, 50, 43, 68, 3]"
Between Siblings,"[31, 32, 100, 70, 50, 84]","[100, 49, 88, 78, 48, 100]","[100, 25, 84, 92, 65, 100]","[40, 66, 93, 94, 75, 100]","[0, 45, 1, 93, 22, 100]","[0, 69, 71, 89, 53, 67]","[100, 63, 100, 85, 39, 57]","[54, 52, 95, 79, 89, 100]","[100, 46, 71, 89, 79, 3]","[100, 48, 10, 92, 65, 9]","[47, 36, 2, 65, 96, 32]","[56, 50, 100, 97, 99, 74, 55, 89, 93]","[73, 72, 74, 77, 95, 80, 51, 81, 74]","[57, 30, 100, 74, 97, 77, 54, 75, 86]","[0, 22, 0, 8, 90, 3, 52, 76, 15]","[0, 38, 0, 8, 84, 2, 16, 80, 4]","[46, 9, 0, 24, 95, 1, 14, 78, 8]","[47, 93, 100, 86, 69, 100, 24, 83, 76]","[0, 2, 0, 1, 6, 1, 23, 4, 6]","[22, 6, 31, 30, 90, 1, 63, 2, 34]","[73, 4, 100, 11, 72, 41, 51, 28, 20]","[6, 7, 0, 3, 64, 2, 42, 66, 6]","[88, 72, 88, 46, 28, 70, 99, 100]","[90, 17, 90, 49, 100, 47, 98, 100]","[67, 19, 69, 5, 100, 57, 98, 100]","[7, 39, 20, 73, 1, 49, 1, 50]","[100, 48, 90, 6, 28, 64, 98, 100]","[100, 83, 95, 2, 100, 62, 99, 100]","[81, 38, 89, 2, 3, 51, 99, 100]","[49, 52, 95, 3, 80, 75, 98, 84]","[2, 27, 14, 36, 2, 18, 4, 6]","[100, 51, 86, 39, 100, 82, 97, 100]","[7, 39, 18, 31, 19, 7, 7, 20]"
