,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
Ancestor and Descendant,"[94, 53, 27, 49, 67, 7, 68, 51, 80, 86]","[85, 40, 34, 49, 77, 20, 67, 41, 71, 13]","[81, 55, 24, 58, 75, 34, 65, 75, 77, 53]","[79, 50, 26, 39, 78, 16, 77, 92, 85, 87]","[45, 51, 32, 25, 62, 41, 62, 54, 74, 76]","[2, 42, 26, 34, 79, 16, 8, 56, 77, 35]","[42, 48, 49, 40, 73, 21, 74, 26, 93, 0]","[67, 57, 31, 52, 73, 12, 56, 51, 76, 9]","[80, 67, 43, 60, 72, 33, 46, 79, 46, 94]","[61, 48, 19, 58, 62, 20, 66, 41, 1, 0]","[44, 60, 38, 44, 80, 38, 33, 80, 99, 94]","[71, 79, 87, 100, 82, 72, 77, 22, 100]","[61, 83, 91, 37, 92, 41, 100, 26, 100]","[81, 80, 90, 5, 78, 81, 89, 29, 76]","[55, 80, 89, 42, 91, 50, 92, 21, 100]","[44, 78, 94, 70, 67, 71, 89, 39, 100]","[60, 88, 90, 26, 88, 10, 90, 25, 100]","[68, 77, 95, 52, 87, 43, 96, 27, 100]","[11, 90, 92, 8, 62, 100, 18, 39, 0]","[45, 83, 92, 5, 58, 27, 74, 19, 19]","[35, 87, 94, 20, 58, 71, 99, 51, 62]","[52, 82, 90, 78, 73, 26, 87, 35, 68]","[73, 92, 75, 59, 99, 42, 100, 23, 100, 78]","[71, 86, 79, 62, 52, 47, 100, 1, 52, 89]","[70, 88, 75, 83, 79, 47, 50, 81, 100, 83]","[69, 91, 83, 86, 70, 42, 6, 92, 61, 53]","[75, 85, 52, 64, 71, 31, 79, 86, 16, 100]","[50, 74, 85, 68, 69, 30, 100, 100, 100, 100]","[80, 64, 81, 92, 61, 30, 26, 70, 4, 100]","[69, 38, 58, 87, 80, 37, 70, 88, 3, 100]","[44, 89, 78, 61, 68, 25, 100, 97, 100, 100]","[78, 100, 80, 86, 99, 31, 63, 100, 53, 100]","[76, 85, 77, 85, 72, 34, 97, 100, 100, 100]"
Athlete and Referee,"[66, 80, 61, 85, 60, 68, 29, 66, 100, 65, 22, 14, 69, 43, 41]","[53, 95, 73, 70, 34, 100, 22, 46, 69, 71, 33, 11, 84, 58, 25]","[64, 89, 23, 63, 46, 91, 59, 39, 100, 45, 33, 31, 73, 67, 45]","[63, 85, 67, 50, 27, 81, 37, 41, 43, 66, 29, 42, 92, 67, 39]","[49, 83, 74, 68, 36, 80, 38, 67, 100, 38, 32, 17, 71, 49, 47]","[0, 85, 35, 68, 26, 100, 35, 40, 46, 39, 25, 15, 79, 51, 72]","[73, 82, 54, 72, 56, 17, 63, 82, 57, 43, 30, 34, 67, 65, 56]","[50, 82, 67, 75, 21, 93, 22, 75, 100, 37, 29, 25, 79, 53, 56]","[47, 86, 61, 78, 20, 60, 24, 57, 100, 60, 25, 44, 95, 59, 89]","[59, 87, 88, 78, 22, 51, 27, 29, 100, 59, 26, 54, 91, 88, 53]","[53, 92, 72, 65, 27, 65, 43, 40, 62, 65, 27, 17, 78, 61, 41]","[72, 55, 22, 3, 81, 24, 0]","[70, 100, 32, 6, 4, 54, 0]","[70, 76, 72, 100, 41, 64, 1]","[72, 79, 7, 74, 0, 46, 0]","[45, 72, 0, 63, 0, 44, 0]","[73, 73, 30, 8, 0, 15, 0]","[61, 70, 45, 52, 3, 64, 0]","[47, 55, 0, 2, 0, 18, 0]","[87, 64, 6, 2, 5, 50, 70]","[63, 72, 14, 1, 0, 4, 0]","[69, 72, 0, 32, 0, 6, 2]","[8, 41, 63, 60, 69, 90, 100, 55, 81]","[53, 55, 30, 54, 78, 100, 43, 60, 60]","[52, 43, 25, 60, 87, 50, 83, 54, 61]","[63, 50, 42, 55, 90, 0, 97, 79, 53]","[67, 44, 27, 42, 79, 100, 82, 93, 72]","[36, 45, 30, 91, 82, 100, 36, 66, 65]","[55, 50, 41, 75, 79, 100, 83, 76, 76]","[35, 43, 13, 49, 61, 100, 100, 73, 73]","[52, 46, 27, 68, 86, 100, 100, 95, 65]","[25, 48, 15, 50, 71, 100, 100, 84, 75]","[58, 50, 10, 43, 88, 100, 93, 75, 74]"
Athletic trainer and Trainee,"[53, 82, 52, 64, 42, 45, 68, 16, 65, 78, 72]","[39, 38, 66, 78, 53, 69, 61, 80, 56, 56, 30]","[50, 99, 29, 66, 35, 82, 47, 40, 84, 85, 38]","[44, 40, 12, 86, 62, 70, 85, 0, 70, 78, 65]","[84, 40, 24, 78, 53, 89, 85, 71, 47, 72, 50]","[42, 48, 45, 55, 51, 77, 73, 0, 47, 38, 29]","[36, 66, 65, 83, 48, 13, 71, 0, 66, 18, 53]","[30, 46, 44, 50, 47, 30, 74, 0, 70, 4, 38]","[45, 39, 18, 75, 68, 38, 72, 50, 50, 62, 52]","[64, 79, 35, 49, 42, 21, 49, 66, 23, 88, 65]","[79, 61, 25, 95, 43, 24, 63, 4, 55, 42, 52]","[70, 70, 82, 70, 78, 45, 100, 93, 38]","[35, 18, 81, 34, 91, 35, 21, 99, 36]","[85, 82, 79, 26, 77, 65, 100, 94, 39]","[87, 54, 82, 71, 72, 45, 86, 99, 55]","[34, 46, 88, 58, 63, 30, 20, 92, 42]","[80, 85, 91, 56, 73, 35, 100, 97, 49]","[53, 77, 89, 29, 56, 70, 55, 97, 46]","[3, 6, 69, 64, 83, 30, 0, 98, 40]","[23, 42, 25, 63, 88, 20, 21, 55, 39]","[58, 68, 80, 29, 92, 57, 0, 88, 37]","[77, 48, 86, 72, 72, 74, 0, 45, 38]","[100, 43, 42, 97, 24, 73, 100]","[91, 50, 45, 94, 8, 87, 100]","[92, 74, 35, 96, 15, 49, 100]","[77, 87, 42, 9, 90, 58, 86]","[34, 35, 43, 90, 96, 91, 100]","[54, 76, 15, 39, 47, 75, 69]","[69, 88, 33, 22, 84, 97, 100]","[82, 79, 75, 87, 100, 96, 79]","[67, 85, 58, 94, 100, 97, 100]","[81, 83, 52, 20, 90, 83, 92]","[76, 55, 29, 32, 87, 45, 68]"
Aunt and Niece/Nephew,"[84, 83, 63, 14, 83, 85, 92, 74]","[82, 83, 62, 63, 66, 90, 23, 48]","[79, 86, 57, 61, 46, 93, 70, 39]","[85, 74, 34, 90, 70, 93, 85, 47]","[84, 80, 49, 78, 52, 94, 24, 52]","[89, 71, 38, 57, 63, 100, 41, 71]","[88, 6, 38, 79, 72, 99, 95, 66]","[90, 82, 77, 50, 64, 97, 88, 55]","[81, 3, 72, 36, 72, 83, 15, 47]","[79, 3, 71, 76, 66, 91, 11, 56]","[82, 4, 75, 89, 58, 94, 7, 66]","[81, 63, 24, 89, 89, 42, 49, 89, 54]","[74, 68, 84, 88, 86, 35, 6, 82, 100]","[82, 67, 82, 91, 54, 38, 17, 58, 77]","[78, 87, 73, 83, 82, 66, 11, 59, 83]","[75, 78, 78, 82, 67, 82, 24, 85, 86]","[84, 73, 54, 81, 44, 60, 29, 88, 89]","[67, 63, 88, 82, 90, 34, 33, 83, 86]","[73, 82, 19, 89, 3, 60, 9, 77, 14]","[72, 64, 25, 88, 2, 29, 85, 72, 1]","[76, 75, 33, 87, 3, 44, 13, 82, 68]","[78, 78, 5, 87, 2, 37, 36, 82, 21]","[91, 45, 100]","[90, 68, 100]","[20, 49, 98]","[12, 41, 100]","[68, 78, 94]","[99, 74, 87]","[13, 60, 76]","[89, 61, 74]","[2, 57, 83]","[81, 37, 100]","[100, 59, 13]"
Babysitter and Infant,"[63, 85, 90, 89, 29, 51, 6, 88, 95, 66, 41, 42, 95, 58, 44]","[0, 90, 92, 74, 6, 98, 17, 74, 83, 58, 27, 61, 82, 92, 67]","[66, 92, 83, 64, 81, 72, 26, 49, 84, 61, 57, 29, 70, 74, 14]","[49, 89, 87, 65, 71, 100, 33, 46, 100, 54, 50, 38, 92, 71, 89]","[6, 92, 74, 83, 53, 100, 34, 94, 100, 70, 42, 46, 88, 88, 51]","[94, 90, 78, 66, 38, 58, 46, 77, 100, 79, 26, 41, 91, 74, 46]","[8, 85, 83, 51, 15, 80, 38, 63, 68, 68, 33, 41, 90, 80, 38]","[76, 88, 75, 55, 98, 100, 28, 50, 100, 62, 29, 51, 94, 81, 30]","[67, 91, 80, 79, 60, 100, 30, 70, 100, 54, 42, 37, 75, 73, 39]","[6, 89, 87, 73, 51, 100, 30, 67, 100, 54, 54, 45, 91, 75, 28]","[57, 85, 79, 62, 61, 100, 32, 58, 100, 38, 33, 24, 93, 62, 50]","[68, 67, 95, 3, 94, 64, 0]","[59, 65, 93, 97, 98, 90, 91]","[66, 37, 14, 5, 87, 24, 24]","[75, 68, 100, 2, 0, 52, 0]","[58, 65, 0, 2, 0, 93, 0]","[39, 74, 88, 5, 91, 80, 100]","[45, 70, 99, 91, 87, 52, 100]","[74, 74, 0, 2, 0, 75, 0]","[75, 57, 0, 2, 0, 59, 0]","[70, 77, 0, 1, 0, 4, 0]","[68, 71, 0, 1, 0, 9, 0]","[66, 39, 30, 97, 82, 90, 100, 53, 48]","[49, 46, 46, 73, 66, 100, 100, 51, 50]","[61, 50, 57, 79, 69, 100, 95, 63, 43]","[27, 51, 58, 72, 76, 100, 13, 80, 52]","[50, 40, 80, 59, 70, 100, 98, 79, 58]","[34, 47, 54, 74, 70, 50, 65, 14, 28]","[33, 60, 54, 75, 82, 100, 92, 53, 65]","[55, 49, 64, 68, 82, 100, 100, 94, 65]","[50, 51, 86, 100, 70, 100, 100, 94, 43]","[47, 48, 87, 82, 91, 100, 85, 85, 40]","[40, 51, 71, 79, 78, 100, 79, 97, 80]"
Between Business Partners,"[7, 73, 83, 33, 90, 55, 20]","[11, 67, 82, 55, 50, 93, 72]","[25, 78, 0, 49, 80, 52, 29]","[22, 71, 73, 33, 75, 21, 8]","[33, 74, 71, 32, 80, 97, 98]","[54, 70, 84, 29, 50, 46, 1]","[17, 76, 68, 34, 65, 92, 96]","[37, 60, 49, 49, 65, 57, 3]","[100, 71, 100, 29, 80, 67, 51]","[100, 62, 68, 56, 75, 62, 93]","[50, 56, 80, 43, 75, 72, 53]","[88, 59, 17, 70, 43, 45, 63, 57, 43, 80, 67, 100]","[83, 16, 16, 76, 34, 56, 87, 39, 30, 90, 78, 73]","[92, 18, 25, 64, 13, 74, 51, 75, 35, 85, 79, 100]","[78, 22, 25, 53, 39, 78, 74, 45, 35, 72, 84, 100]","[70, 15, 14, 68, 22, 47, 60, 65, 39, 55, 76, 1]","[66, 45, 41, 50, 55, 90, 33, 29, 19, 77, 76, 95]","[91, 24, 44, 41, 29, 34, 51, 45, 32, 61, 72, 100]","[78, 35, 14, 59, 32, 82, 70, 55, 53, 68, 55, 0]","[79, 27, 22, 64, 14, 31, 33, 45, 98, 64, 76, 0]","[75, 23, 52, 69, 29, 57, 32, 47, 92, 66, 82, 87]","[88, 28, 34, 52, 22, 40, 29, 38, 44, 59, 80, 0]","[62, 82, 84, 61, 76, 81, 58, 68, 58, 72, 100, 91]","[63, 75, 58, 53, 57, 65, 70, 63, 100, 79, 98, 91]","[25, 84, 76, 72, 56, 60, 68, 97, 100, 69, 83, 88]","[17, 82, 79, 65, 67, 62, 72, 69, 100, 74, 91, 92]","[54, 75, 81, 80, 63, 84, 66, 70, 100, 76, 100, 86]","[23, 84, 86, 69, 78, 80, 6, 85, 95, 81, 95, 83]","[59, 84, 51, 63, 45, 46, 72, 48, 100, 81, 99, 74]","[100, 84, 86, 73, 74, 78, 56, 57, 70, 68, 55, 84]","[48, 88, 48, 59, 53, 82, 72, 59, 100, 60, 66, 88]","[100, 80, 85, 55, 66, 61, 46, 77, 90, 79, 98, 72]","[81, 79, 83, 43, 71, 70, 43, 84, 30, 82, 56, 78]"
Between Close Friends,"[80, 79, 94, 40, 74, 39, 100, 100, 100]","[88, 87, 92, 66, 65, 38, 100, 100, 100]","[90, 86, 89, 41, 73, 31, 100, 10, 49]","[87, 82, 87, 61, 50, 62, 100, 60, 100]","[82, 88, 87, 41, 45, 67, 0, 0, 0]","[82, 80, 85, 42, 58, 37, 100, 100, 84]","[84, 78, 78, 44, 37, 43, 100, 50, 87]","[78, 93, 86, 39, 59, 58, 100, 100, 92]","[90, 87, 88, 70, 59, 43, 1, 90, 59]","[89, 88, 83, 25, 50, 74, 1, 0, 1]","[87, 85, 69, 67, 58, 41, 100, 89, 4]","[91, 87, 6, 26, 100, 95, 48, 63, 30, 18, 100, 70, 100]","[62, 88, 91, 85, 100, 96, 88, 92, 40, 95, 100, 30, 100]","[75, 77, 97, 74, 99, 93, 56, 74, 23, 98, 100, 43, 77]","[78, 53, 97, 95, 72, 95, 63, 79, 50, 5, 91, 33, 95]","[73, 48, 88, 95, 75, 95, 68, 67, 22, 9, 94, 78, 84]","[77, 81, 72, 50, 50, 96, 67, 81, 21, 10, 100, 72, 87]","[54, 78, 96, 91, 100, 97, 71, 70, 17, 95, 100, 52, 97]","[45, 70, 100, 89, 51, 95, 40, 79, 24, 7, 85, 54, 93]","[57, 60, 3, 2, 9, 95, 60, 85, 58, 3, 0, 45, 88]","[66, 64, 28, 69, 72, 97, 76, 64, 41, 7, 83, 62, 88]","[64, 74, 1, 5, 4, 94, 76, 78, 60, 7, 0, 28, 82]","[60, 84, 58, 99, 93, 41, 78, 69, 100, 43, 93]","[81, 72, 57, 52, 100, 20, 80, 70, 100, 100, 90]","[86, 72, 44, 100, 100, 10, 96, 60, 100, 96, 90]","[79, 84, 27, 11, 88, 9, 14, 74, 100, 12, 38]","[80, 75, 50, 99, 100, 19, 100, 89, 100, 67, 61]","[79, 86, 73, 97, 99, 30, 100, 83, 100, 43, 72]","[82, 75, 48, 99, 94, 21, 100, 86, 100, 85, 70]","[49, 72, 49, 99, 92, 34, 100, 98, 100, 50, 52]","[70, 88, 48, 100, 76, 9, 100, 70, 100, 100, 60]","[71, 71, 92, 100, 100, 4, 100, 97, 100, 99, 97]","[65, 87, 95, 5, 31, 28, 0, 4, 100, 12, 6]"
Between Co-workers,"[60, 90, 53, 51, 58, 70]","[75, 89, 49, 70, 86, 49]","[70, 91, 50, 57, 57, 62]","[10, 94, 46, 66, 15, 91]","[70, 90, 49, 54, 80, 6]","[15, 91, 48, 83, 36, 92]","[80, 91, 40, 58, 79, 44]","[30, 91, 48, 68, 48, 6]","[70, 89, 52, 57, 94, 85]","[81, 90, 52, 70, 84, 62]","[60, 86, 48, 78, 56, 76]","[60, 90, 16, 29, 45, 79, 96, 49, 60]","[45, 88, 55, 24, 58, 58, 2, 35, 10]","[84, 91, 85, 27, 39, 73, 93, 61, 100]","[60, 79, 0, 33, 51, 59, 95, 51, 74]","[49, 89, 0, 29, 45, 40, 4, 37, 30]","[41, 45, 36, 36, 37, 10, 11, 23, 60]","[60, 86, 50, 52, 43, 44, 9, 55, 24]","[31, 46, 0, 32, 55, 53, 66, 37, 0]","[30, 6, 50, 30, 53, 71, 2, 28, 50]","[31, 69, 30, 49, 52, 45, 99, 36, 54]","[5, 5, 0, 49, 64, 36, 2, 21, 10]","[100, 90, 82, 61, 48, 28, 46, 86, 71, 65, 100, 81, 100, 84, 86]","[48, 95, 75, 54, 28, 23, 70, 85, 75, 63, 52, 82, 100, 97, 67]","[90, 94, 79, 54, 47, 23, 68, 87, 44, 55, 58, 83, 100, 74, 9]","[100, 92, 83, 35, 78, 19, 76, 80, 11, 54, 88, 89, 100, 96, 100]","[96, 92, 82, 71, 49, 19, 37, 84, 24, 57, 80, 84, 100, 98, 0]","[67, 94, 82, 54, 40, 29, 33, 78, 15, 56, 82, 73, 0, 89, 0]","[58, 95, 78, 69, 54, 24, 63, 82, 92, 49, 83, 91, 100, 98, 100]","[66, 92, 84, 54, 44, 14, 49, 90, 100, 58, 46, 88, 100, 90, 100]","[71, 94, 86, 54, 42, 20, 23, 80, 77, 52, 61, 86, 100, 96, 0]","[68, 93, 82, 65, 22, 59, 86, 84, 39, 54, 72, 80, 100, 98, 58]","[62, 90, 86, 53, 25, 37, 67, 78, 79, 49, 9, 78, 0, 98, 0]"
Between Facebook Friends,"[51, 20, 50, 40, 81, 53]","[62, 33, 60, 31, 70, 29]","[48, 26, 49, 21, 66, 64]","[52, 37, 67, 47, 91, 100]","[56, 31, 51, 43, 73, 52]","[49, 45, 70, 42, 65, 26]","[48, 53, 56, 49, 52, 94]","[56, 52, 33, 51, 37, 38]","[49, 20, 45, 56, 37, 52]","[54, 45, 52, 66, 35, 68]","[51, 70, 56, 62, 66, 58]","[58, 94, 97, 96, 20, 82, 5, 76, 58, 59, 58, 54, 20, 100, 80, 90]","[81, 94, 96, 96, 37, 74, 16, 100, 71, 52, 48, 32, 6, 100, 65, 90]","[79, 93, 96, 96, 45, 72, 26, 57, 56, 52, 43, 53, 7, 0, 61, 100]","[72, 95, 96, 96, 29, 70, 20, 69, 53, 31, 38, 43, 18, 1, 51, 70]","[72, 83, 95, 94, 69, 80, 30, 78, 80, 35, 37, 51, 7, 2, 51, 40]","[59, 87, 96, 95, 21, 74, 42, 68, 52, 32, 36, 12, 15, 1, 62, 60]","[70, 93, 95, 95, 30, 78, 12, 38, 64, 41, 28, 30, 12, 65, 50, 90]","[3, 92, 97, 85, 29, 85, 16, 77, 70, 44, 21, 54, 13, 100, 40, 50]","[42, 94, 96, 95, 38, 68, 20, 79, 49, 73, 21, 13, 9, 0, 10, 20]","[49, 90, 94, 95, 27, 85, 16, 74, 82, 74, 48, 33, 37, 0, 12, 70]","[16, 93, 97, 95, 15, 83, 43, 83, 69, 61, 11, 30, 67, 0, 7, 70]","[66, 65, 23, 10, 25, 13, 81, 59, 100, 70]","[44, 66, 20, 49, 13, 23, 83, 69, 100, 77]","[87, 92, 14, 37, 14, 40, 76, 65, 79, 47]","[73, 83, 32, 32, 25, 31, 8, 64, 44, 70]","[47, 89, 33, 37, 15, 24, 72, 80, 80, 57]","[67, 46, 33, 35, 9, 38, 45, 72, 68, 73]","[72, 85, 79, 53, 13, 37, 70, 68, 82, 80]","[78, 52, 11, 61, 12, 37, 93, 74, 81, 44]","[57, 69, 17, 34, 26, 40, 44, 53, 81, 55]","[42, 51, 20, 33, 34, 40, 80, 66, 83, 70]","[76, 84, 25, 34, 19, 29, 6, 69, 18, 39]"
Between Siblings,"[39, 26, 25, 86, 38, 63, 41, 100, 65]","[10, 44, 50, 85, 57, 99, 50, 89, 45]","[17, 33, 71, 86, 86, 100, 52, 100, 84]","[8, 23, 60, 89, 58, 28, 56, 100, 65]","[40, 29, 50, 5, 11, 1, 55, 0, 0]","[22, 31, 0, 75, 83, 100, 52, 63, 72]","[41, 42, 90, 11, 17, 7, 53, 100, 50]","[18, 17, 65, 93, 86, 10, 56, 100, 50]","[47, 16, 50, 8, 79, 5, 52, 0, 48]","[24, 25, 50, 6, 10, 8, 57, 0, 26]","[69, 26, 50, 88, 13, 21, 47, 0, 52]","[78, 63, 68, 12, 89, 99, 71, 40]","[51, 88, 66, 60, 79, 97, 65, 90]","[34, 74, 74, 81, 74, 98, 65, 90]","[15, 61, 64, 100, 53, 97, 74, 100]","[47, 61, 46, 100, 66, 88, 63, 80]","[49, 93, 48, 95, 99, 88, 48, 75]","[61, 66, 58, 100, 37, 100, 73, 100]","[0, 62, 45, 3, 61, 97, 0, 0]","[73, 71, 65, 3, 36, 71, 23, 100]","[58, 74, 48, 7, 42, 64, 2, 85]","[1, 49, 100, 10, 52, 71, 1, 7]","[60, 68, 78, 58, 74, 25, 18, 31, 81, 33, 67, 86, 80]","[71, 85, 66, 42, 87, 24, 33, 25, 80, 33, 73, 76, 90]","[65, 80, 69, 33, 63, 50, 100, 53, 76, 44, 72, 69, 84]","[69, 87, 69, 25, 73, 32, 24, 27, 71, 30, 88, 52, 85]","[68, 61, 72, 25, 49, 37, 32, 4, 73, 30, 86, 66, 78]","[73, 68, 60, 39, 47, 16, 19, 15, 73, 27, 66, 66, 78]","[63, 84, 61, 29, 35, 31, 46, 21, 80, 43, 99, 52, 78]","[54, 72, 84, 24, 67, 30, 19, 28, 72, 23, 85, 34, 76]","[61, 70, 70, 34, 62, 60, 27, 18, 87, 22, 86, 63, 93]","[62, 76, 79, 26, 53, 28, 23, 9, 78, 60, 75, 85, 71]","[75, 79, 83, 13, 47, 28, 20, 22, 82, 32, 25, 12, 96]"
