,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
Ancestor and Descendant,"[50, 25, 9, 33, 19, 50, 35, 1, 39]","[50, 38, 7, 20, 36, 50, 21, 47, 44]","[60, 8, 17, 20, 11, 55, 25, 10, 48]","[50, 3, 10, 25, 3, 50, 24, 20, 74]","[50, 82, 7, 21, 82, 50, 27, 35, 73]","[50, 20, 2, 37, 20, 50, 36, 1, 36]","[50, 2, 9, 24, 2, 50, 27, 1, 34]","[50, 15, 6, 29, 18, 50, 24, 1, 32]","[50, 6, 8, 22, 11, 50, 16, 5, 22]","[50, 6, 5, 35, 10, 50, 30, 1, 24]","[51, 11, 13, 15, 5, 51, 21, 29, 19]","[100, 100, 30, 100, 83, 100, 21, 0, 11, 94]","[100, 100, 23, 100, 84, 10, 20, 100, 39, 32]","[84, 92, 45, 100, 83, 7, 6, 100, 85, 1]","[1, 5, 46, 100, 90, 7, 8, 38, 69, 1]","[1, 1, 26, 100, 100, 41, 10, 54, 79, 1]","[32, 87, 59, 100, 80, 82, 11, 65, 9, 70]","[47, 92, 46, 100, 100, 3, 10, 99, 32, 100]","[42, 74, 46, 100, 82, 6, 5, 59, 18, 3]","[1, 2, 35, 43, 84, 6, 13, 45, 7, 1]","[81, 80, 36, 40, 100, 12, 14, 85, 12, 93]","[1, 1, 45, 50, 87, 5, 12, 40, 27, 1]","[4, 6, 38, 1, 1, 100, 76]","[11, 49, 36, 100, 85, 51, 61]","[2, 93, 35, 47, 21, 49, 41]","[22, 7, 40, 3, 2, 4, 58]","[12, 43, 27, 95, 71, 71, 23]","[48, 61, 26, 94, 86, 90, 57]","[24, 48, 26, 6, 13, 83, 48]","[97, 5, 54, 100, 100, 20, 39]","[33, 6, 37, 100, 77, 86, 58]","[6, 51, 33, 100, 84, 38, 53]","[30, 50, 39, 100, 81, 28, 56]"
Athlete and Referee,"[49, 49, 47, 51, 53, 2, 47, 82, 94, 53, 78, 61, 84]","[1, 1, 63, 1, 60, 1, 59, 54, 14, 55, 55, 52, 62]","[5, 5, 44, 52, 87, 4, 45, 59, 20, 81, 59, 51, 68]","[3, 3, 46, 49, 55, 1, 46, 94, 20, 56, 93, 52, 100]","[91, 98, 55, 94, 52, 98, 54, 84, 92, 52, 83, 51, 93]","[1, 1, 49, 1, 12, 1, 49, 53, 1, 26, 53, 58, 61]","[95, 90, 21, 90, 52, 96, 21, 51, 94, 52, 51, 51, 51]","[3, 7, 48, 4, 30, 55, 48, 46, 96, 36, 46, 52, 46]","[91, 90, 33, 92, 57, 98, 39, 40, 15, 58, 37, 50, 37]","[92, 97, 45, 91, 48, 95, 45, 51, 70, 48, 51, 50, 51]","[53, 53, 46, 54, 73, 45, 46, 65, 52, 52, 67, 60, 71]","[38, 2, 38, 12, 59, 76, 15, 41, 8, 26, 7, 5]","[90, 5, 84, 5, 58, 5, 15, 6, 6, 43, 7, 4]","[43, 38, 39, 41, 44, 96, 13, 6, 8, 27, 30, 8]","[44, 4, 46, 4, 37, 4, 23, 6, 8, 23, 7, 43]","[31, 8, 29, 8, 62, 5, 2, 7, 2, 42, 4, 10]","[43, 100, 46, 99, 45, 9, 57, 19, 15, 27, 32, 43]","[63, 10, 63, 7, 23, 2, 59, 5, 1, 19, 5, 7]","[54, 1, 54, 1, 9, 4, 1, 1, 1, 18, 5, 4]","[50, 23, 50, 20, 81, 77, 1, 11, 75, 21, 53, 7]","[43, 11, 44, 14, 54, 29, 87, 72, 7, 23, 73, 21]","[100, 20, 100, 24, 23, 39, 4, 1, 9, 19, 1, 34]","[30, 67, 1, 95, 63, 68, 77, 1, 68, 25, 89, 38, 3]","[47, 65, 24, 89, 56, 13, 51, 35, 25, 49, 71, 38, 38]","[50, 52, 0, 67, 37, 49, 85, 21, 17, 60, 100, 50, 61]","[100, 82, 32, 94, 35, 100, 60, 11, 89, 95, 76, 84, 100]","[7, 62, 97, 76, 55, 82, 79, 100, 59, 6, 93, 1, 32]","[8, 66, 58, 84, 32, 81, 22, 53, 75, 28, 12, 36, 29]","[9, 70, 52, 60, 31, 13, 90, 84, 19, 1, 83, 34, 1]","[7, 61, 1, 83, 27, 18, 73, 43, 18, 2, 100, 44, 2]","[59, 93, 13, 74, 55, 100, 56, 37, 56, 28, 100, 84, 25]","[68, 99, 37, 69, 48, 100, 66, 46, 75, 22, 90, 52, 14]","[41, 70, 9, 72, 34, 87, 75, 26, 95, 17, 86, 16, 10]"
Athletic trainer and Trainee,"[94, 95, 54, 82, 92, 93, 37, 80, 83, 52, 3, 39, 96, 93, 3, 100, 56]","[3, 93, 4, 2, 3, 47, 48, 2, 3, 5, 95, 48, 94, 44, 94, 100, 6]","[46, 99, 76, 2, 38, 91, 71, 2, 35, 72, 95, 70, 96, 96, 95, 100, 79]","[1, 42, 55, 3, 2, 96, 47, 3, 2, 55, 12, 47, 35, 95, 7, 40, 55]","[95, 36, 50, 96, 100, 89, 33, 98, 92, 50, 17, 22, 34, 95, 7, 36, 50]","[2, 25, 55, 1, 1, 5, 2, 1, 1, 54, 6, 2, 23, 5, 7, 27, 57]","[92, 93, 63, 93, 100, 49, 84, 95, 93, 62, 97, 83, 99, 49, 98, 100, 65]","[37, 94, 15, 1, 92, 94, 49, 1, 87, 16, 5, 49, 94, 95, 5, 100, 16]","[47, 53, 40, 96, 59, 94, 42, 92, 57, 40, 5, 42, 56, 97, 6, 62, 42]","[91, 99, 89, 5, 41, 5, 41, 5, 40, 85, 97, 41, 92, 5, 94, 100, 90]","[49, 35, 52, 7, 38, 53, 11, 10, 38, 52, 95, 22, 39, 53, 97, 33, 52]","[68, 67, 71, 69, 36, 67, 4, 14, 72, 34]","[33, 32, 4, 22, 27, 10, 3, 46, 55, 26]","[46, 46, 32, 29, 100, 98, 76, 73, 100, 99]","[73, 73, 12, 10, 100, 99, 57, 43, 56, 97]","[89, 85, 35, 32, 100, 100, 3, 60, 18, 95]","[44, 44, 24, 25, 100, 100, 20, 79, 51, 98]","[71, 68, 32, 34, 8, 77, 2, 41, 75, 12]","[25, 22, 17, 15, 7, 2, 2, 44, 5, 5]","[78, 73, 12, 10, 5, 6, 2, 39, 15, 5]","[49, 49, 26, 24, 78, 98, 61, 44, 34, 78]","[26, 26, 48, 48, 4, 8, 1, 78, 15, 4]","[100, 33, 1, 88]","[100, 33, 46, 65]","[81, 44, 5, 69]","[84, 72, 59, 87]","[99, 48, 11, 87]","[30, 59, 63, 27]","[88, 86, 51, 76]","[73, 74, 98, 62]","[91, 70, 86, 98]","[82, 28, 44, 72]","[100, 4, 30, 84]"
Aunt and Niece/Nephew,"[48, 96, 82, 34, 80, 32, 48, 30, 90, 95, 88, 28, 32]","[46, 79, 67, 41, 67, 41, 39, 41, 76, 52, 52, 42, 41]","[55, 69, 62, 17, 69, 69, 55, 17, 71, 94, 97, 21, 69]","[85, 97, 92, 33, 95, 32, 88, 37, 87, 94, 97, 31, 32]","[56, 16, 12, 30, 10, 31, 55, 28, 13, 4, 4, 26, 31]","[48, 1, 93, 33, 95, 84, 48, 32, 1, 1, 1, 30, 84]","[48, 88, 92, 37, 99, 36, 48, 42, 90, 90, 92, 43, 36]","[59, 54, 92, 23, 90, 20, 55, 30, 54, 89, 90, 28, 20]","[53, 52, 88, 45, 92, 19, 56, 45, 52, 19, 20, 45, 19]","[79, 21, 93, 41, 90, 28, 73, 40, 21, 3, 3, 36, 28]","[53, 1, 22, 45, 21, 22, 56, 42, 1, 3, 3, 44, 22]","[100, 97, 66, 78, 100]","[100, 81, 90, 69, 100]","[100, 59, 35, 72, 13]","[1, 1, 40, 75, 4]","[1, 1, 67, 67, 7]","[100, 15, 57, 61, 1]","[100, 47, 31, 80, 100]","[1, 2, 1, 72, 2]","[1, 2, 1, 88, 3]","[90, 23, 100, 79, 8]","[1, 1, 8, 72, 2]","[100, 3, 79, 12, 5, 44, 43, 24, 16, 80, 58]","[100, 100, 72, 100, 72, 72, 100, 72, 12, 83, 65]","[100, 99, 78, 100, 100, 92, 100, 64, 18, 88, 92]","[18, 100, 84, 8, 4, 66, 3, 26, 9, 85, 100]","[100, 80, 69, 11, 92, 51, 100, 86, 16, 82, 98]","[100, 100, 100, 85, 100, 59, 100, 83, 16, 66, 64]","[100, 100, 100, 28, 100, 96, 100, 66, 12, 61, 97]","[82, 100, 80, 100, 100, 77, 100, 66, 17, 76, 55]","[100, 100, 92, 100, 81, 80, 100, 76, 12, 66, 92]","[100, 100, 100, 100, 85, 62, 58, 52, 18, 75, 72]","[34, 100, 12, 100, 100, 65, 100, 72, 6, 29, 35]"
Babysitter and Infant,"[96, 94, 38, 94, 96, 99, 47, 66, 90, 92, 60, 56, 70]","[1, 1, 50, 1, 96, 1, 50, 69, 9, 95, 71, 62, 79]","[86, 97, 46, 88, 88, 82, 47, 48, 92, 96, 48, 44, 48]","[92, 95, 46, 97, 90, 45, 46, 51, 12, 89, 58, 52, 64]","[1, 1, 28, 1, 96, 1, 40, 76, 5, 94, 78, 44, 83]","[92, 89, 53, 4, 93, 1, 55, 45, 1, 88, 43, 52, 41]","[94, 93, 48, 91, 91, 95, 48, 14, 96, 96, 9, 50, 10]","[93, 93, 53, 93, 96, 65, 54, 34, 96, 93, 33, 50, 33]","[1, 1, 50, 1, 94, 2, 50, 40, 3, 89, 43, 58, 41]","[1, 1, 51, 1, 60, 2, 51, 26, 1, 65, 20, 60, 28]","[92, 94, 41, 91, 54, 47, 40, 86, 1, 54, 88, 52, 98]","[33, 32, 37, 34, 39, 32, 8, 48, 99, 45, 14, 35]","[35, 70, 37, 67, 49, 31, 72, 100, 99, 100, 100, 94]","[42, 100, 41, 96, 48, 100, 2, 11, 45, 100, 4, 8]","[31, 2, 31, 2, 28, 94, 2, 8, 8, 79, 3, 28]","[36, 7, 32, 6, 16, 61, 2, 5, 2, 41, 4, 13]","[26, 100, 23, 95, 42, 41, 67, 71, 6, 44, 82, 88]","[75, 95, 75, 92, 95, 90, 100, 100, 98, 39, 100, 100]","[52, 2, 52, 2, 13, 4, 2, 1, 3, 27, 1, 7]","[51, 2, 51, 2, 5, 3, 1, 1, 1, 26, 1, 3]","[30, 60, 26, 58, 36, 4, 100, 100, 1, 18, 2, 7]","[38, 25, 38, 23, 6, 9, 1, 1, 1, 5, 1, 4]","[100, 50, 42, 50, 100, 2, 67, 3, 2, 1, 100, 76, 1]","[100, 83, 29, 98, 100, 100, 56, 7, 71, 58, 91, 59, 82]","[100, 51, 41, 83, 100, 93, 83, 8, 70, 2, 100, 86, 43]","[4, 54, 16, 94, 49, 67, 59, 39, 61, 8, 100, 45, 9]","[53, 44, 56, 8, 23, 100, 51, 100, 74, 1, 92, 81, 1]","[56, 62, 100, 93, 99, 100, 23, 100, 96, 13, 11, 63, 4]","[87, 71, 92, 52, 35, 2, 24, 100, 2, 2, 5, 99, 2]","[100, 55, 6, 51, 33, 100, 86, 30, 72, 78, 100, 97, 92]","[100, 100, 78, 70, 23, 100, 82, 100, 79, 56, 100, 99, 100]","[100, 63, 45, 59, 98, 100, 73, 37, 77, 78, 100, 83, 100]","[100, 55, 12, 90, 87, 100, 77, 42, 65, 42, 100, 66, 32]"
Between Business Partners,"[71, 35, 68, 39, 97, 54, 100, 53, 69, 71, 46, 27]","[7, 50, 85, 50, 95, 48, 97, 48, 86, 8, 57, 51]","[8, 61, 82, 63, 98, 16, 98, 18, 80, 12, 51, 27]","[10, 97, 77, 95, 1, 25, 1, 19, 81, 10, 54, 47]","[95, 52, 88, 52, 97, 74, 96, 70, 87, 97, 51, 6]","[9, 55, 39, 51, 1, 15, 1, 16, 43, 12, 57, 38]","[99, 99, 56, 100, 99, 88, 99, 89, 54, 96, 53, 21]","[4, 49, 96, 49, 18, 31, 16, 26, 98, 9, 45, 20]","[32, 81, 59, 79, 96, 46, 97, 46, 60, 30, 50, 26]","[93, 71, 58, 69, 9, 29, 9, 27, 56, 93, 49, 26]","[48, 8, 59, 12, 1, 98, 1, 96, 64, 48, 43, 26]","[54, 28, 29, 57, 45, 97, 36, 62, 55, 45, 94, 7]","[65, 4, 4, 35, 37, 6, 1, 19, 37, 34, 5, 40]","[100, 96, 100, 100, 100, 45, 53, 19, 97, 97, 45, 19]","[100, 14, 15, 96, 100, 100, 100, 17, 95, 98, 97, 13]","[40, 3, 6, 77, 3, 5, 7, 20, 75, 3, 5, 17]","[86, 62, 66, 100, 100, 3, 69, 18, 100, 97, 3, 12]","[53, 2, 2, 18, 41, 3, 61, 37, 16, 37, 3, 7]","[5, 2, 2, 1, 1, 4, 1, 62, 1, 1, 4, 8]","[39, 1, 1, 100, 100, 4, 2, 14, 100, 98, 4, 4]","[97, 79, 84, 93, 17, 76, 100, 24, 92, 21, 75, 100]","[6, 1, 1, 49, 2, 47, 1, 17, 49, 2, 47, 5]","[68, 57, 5, 87, 10, 91, 75, 41, 66]","[32, 69, 75, 78, 13, 16, 81, 61, 81]","[100, 73, 87, 82, 25, 78, 91, 57, 53]","[35, 93, 56, 80, 31, 22, 100, 100, 46]","[73, 67, 71, 38, 20, 52, 90, 100, 76]","[64, 95, 87, 77, 7, 97, 100, 100, 70]","[41, 88, 84, 79, 11, 47, 83, 100, 54]","[49, 76, 91, 52, 14, 9, 100, 100, 98]","[56, 82, 88, 61, 71, 54, 100, 100, 83]","[100, 54, 77, 80, 8, 60, 100, 100, 11]","[19, 31, 27, 86, 41, 19, 3, 10, 70]"
Between Close Friends,"[95, 65, 98, 10, 100, 98, 94, 67, 92, 9, 85, 69, 97, 82, 94, 69]","[98, 29, 45, 5, 98, 45, 86, 37, 83, 5, 83, 74, 100, 85, 86, 74]","[98, 67, 95, 7, 96, 97, 93, 66, 92, 14, 86, 72, 52, 88, 93, 72]","[88, 18, 100, 19, 88, 99, 87, 13, 82, 12, 83, 79, 65, 84, 87, 79]","[5, 65, 79, 7, 6, 79, 9, 64, 12, 5, 4, 71, 59, 9, 9, 71]","[56, 48, 76, 6, 56, 77, 86, 48, 84, 11, 78, 72, 2, 75, 86, 72]","[75, 69, 100, 8, 76, 98, 93, 65, 89, 8, 83, 76, 98, 83, 93, 76]","[93, 47, 76, 10, 94, 77, 93, 47, 91, 9, 87, 80, 35, 88, 93, 80]","[99, 46, 93, 6, 99, 93, 80, 46, 79, 7, 8, 78, 24, 8, 80, 78]","[8, 54, 80, 13, 9, 77, 94, 54, 94, 13, 22, 74, 18, 22, 94, 74]","[10, 53, 72, 14, 10, 73, 49, 54, 49, 12, 7, 73, 4, 13, 49, 73]","[97, 100, 43, 100, 90, 91, 47, 93, 95, 67, 90, 44, 91, 66, 100]","[100, 52, 23, 100, 63, 83, 27, 81, 100, 45, 58, 59, 80, 84, 94]","[100, 28, 36, 68, 87, 100, 40, 100, 67, 45, 87, 74, 96, 83, 100]","[3, 2, 36, 83, 68, 9, 40, 55, 83, 48, 65, 5, 10, 44, 11]","[11, 1, 50, 49, 66, 9, 50, 38, 49, 58, 63, 4, 12, 24, 6]","[6, 4, 48, 100, 67, 41, 48, 86, 100, 56, 67, 2, 43, 31, 63]","[99, 63, 54, 88, 45, 100, 54, 84, 83, 11, 45, 1, 99, 60, 80]","[100, 1, 40, 24, 68, 16, 39, 84, 27, 1, 67, 2, 1, 6, 6]","[4, 1, 43, 8, 60, 5, 39, 52, 6, 1, 59, 58, 5, 15, 7]","[5, 92, 27, 70, 58, 42, 27, 62, 69, 66, 53, 73, 38, 22, 11]","[29, 1, 34, 8, 65, 1, 37, 81, 12, 1, 64, 3, 1, 45, 9]","[100, 5, 16, 100, 72, 60, 99, 63, 4]","[100, 100, 99, 89, 60, 53, 1, 39, 100]","[100, 49, 83, 92, 53, 47, 35, 43, 100]","[100, 11, 1, 72, 50, 16, 0, 33, 1]","[5, 76, 58, 97, 100, 49, 17, 39, 81]","[94, 11, 97, 92, 92, 78, 12, 47, 100]","[72, 8, 55, 100, 81, 63, 23, 45, 67]","[29, 100, 74, 71, 91, 40, 49, 26, 83]","[100, 16, 55, 72, 63, 100, 11, 42, 100]","[100, 7, 83, 90, 60, 37, 47, 35, 100]","[100, 8, 97, 24, 55, 24, 22, 40, 76]"
Between Co-workers,"[88, 50, 72, 49, 85, 49, 96, 100, 49, 100, 72]","[66, 95, 53, 50, 63, 50, 100, 100, 56, 100, 53]","[71, 99, 58, 55, 61, 61, 5, 100, 67, 100, 58]","[72, 1, 59, 79, 62, 80, 11, 100, 54, 100, 59]","[74, 99, 53, 69, 71, 65, 96, 100, 61, 100, 53]","[52, 31, 50, 33, 52, 43, 3, 100, 50, 100, 50]","[73, 96, 51, 35, 66, 33, 94, 100, 62, 100, 51]","[100, 50, 53, 54, 90, 55, 1, 100, 51, 100, 53]","[88, 50, 52, 30, 87, 27, 97, 100, 59, 100, 52]","[86, 50, 59, 54, 85, 54, 38, 100, 66, 100, 59]","[99, 50, 53, 53, 96, 53, 49, 100, 68, 100, 53]","[33, 71, 52, 62, 30, 66, 52, 56, 4, 68]","[45, 35, 16, 87, 45, 36, 20, 82, 3, 3]","[48, 78, 89, 88, 48, 76, 85, 85, 10, 96]","[68, 93, 91, 29, 64, 88, 89, 27, 4, 1]","[70, 76, 81, 70, 66, 76, 76, 69, 35, 5]","[61, 65, 93, 82, 58, 62, 93, 82, 6, 32]","[51, 75, 13, 58, 51, 72, 16, 58, 3, 55]","[37, 22, 3, 8, 41, 25, 3, 9, 5, 1]","[63, 28, 76, 52, 60, 32, 72, 52, 4, 1]","[42, 39, 60, 45, 44, 36, 56, 45, 97, 100]","[41, 45, 68, 3, 43, 45, 64, 3, 4, 2]","[55, 85, 95, 48, 92, 43, 68, 36, 100, 100]","[79, 63, 51, 45, 78, 8, 100, 43, 100, 100]","[74, 70, 69, 52, 81, 15, 100, 78, 100, 94]","[88, 98, 54, 68, 84, 56, 100, 63, 100, 100]","[88, 89, 61, 46, 26, 16, 100, 18, 100, 100]","[50, 94, 52, 68, 77, 50, 100, 91, 50, 100]","[90, 82, 65, 21, 67, 40, 100, 17, 100, 100]","[91, 54, 99, 99, 87, 42, 100, 59, 100, 96]","[60, 87, 78, 54, 79, 41, 100, 66, 100, 100]","[71, 89, 73, 56, 79, 33, 100, 67, 100, 61]","[50, 98, 63, 50, 19, 20, 100, 50, 50, 61]"
Between Facebook Friends,"[45, 65, 95, 53, 63, 42, 91, 53, 43, 47, 53]","[43, 55, 66, 63, 52, 40, 63, 63, 39, 15, 66]","[38, 43, 80, 91, 42, 40, 76, 91, 36, 46, 92]","[44, 1, 73, 60, 1, 41, 79, 61, 43, 26, 68]","[35, 19, 58, 76, 20, 38, 57, 79, 38, 71, 85]","[36, 1, 63, 65, 1, 37, 69, 64, 37, 41, 69]","[33, 86, 59, 71, 90, 31, 60, 78, 32, 62, 81]","[37, 60, 85, 66, 59, 37, 79, 67, 34, 73, 71]","[35, 55, 70, 46, 55, 34, 72, 46, 29, 78, 46]","[40, 62, 72, 20, 61, 35, 78, 28, 34, 46, 21]","[34, 100, 40, 23, 97, 38, 44, 18, 30, 44, 19]","[57, 48, 50, 52, 75, 54, 53, 48]","[43, 40, 20, 51, 80, 54, 61, 37]","[72, 53, 70, 61, 56, 66, 51, 53]","[24, 52, 29, 22, 65, 64, 50, 52]","[96, 53, 30, 23, 47, 54, 54, 53]","[67, 35, 50, 40, 48, 61, 55, 38]","[73, 32, 50, 30, 66, 53, 50, 35]","[3, 44, 0, 51, 71, 52, 61, 43]","[3, 13, 4, 45, 62, 54, 55, 13]","[95, 37, 2, 21, 61, 63, 51, 33]","[5, 10, 3, 48, 59, 69, 39, 14]","[8, 40, 100, 20, 72, 5, 99, 1, 78, 71]","[75, 100, 27, 68, 91, 3, 26, 88, 21, 94]","[57, 100, 14, 52, 53, 90, 80, 100, 80, 90]","[35, 35, 47, 1, 23, 5, 45, 1, 25, 20]","[51, 100, 81, 68, 73, 100, 35, 100, 34, 87]","[63, 65, 46, 77, 54, 32, 50, 65, 50, 85]","[54, 100, 49, 1, 96, 9, 29, 1, 6, 83]","[88, 100, 25, 26, 41, 10, 22, 5, 20, 13]","[75, 82, 33, 54, 57, 90, 53, 100, 63, 57]","[88, 100, 27, 91, 73, 9, 4, 92, 28, 57]","[26, 36, 63, 1, 79, 28, 36, 1, 42, 52]"
Between Siblings,"[97, 99, 85, 96, 89]","[97, 95, 83, 95, 88]","[59, 97, 86, 100, 87]","[2, 100, 90, 98, 92]","[1, 1, 89, 1, 90]","[1, 2, 54, 2, 57]","[96, 98, 12, 99, 15]","[12, 98, 76, 100, 79]","[34, 15, 69, 15, 66]","[54, 52, 75, 52, 79]","[34, 36, 51, 30, 51]","[96, 100, 24, 92, 22, 80, 100, 100, 100, 26]","[74, 77, 15, 67, 12, 100, 100, 100, 100, 95]","[49, 41, 14, 80, 10, 39, 100, 100, 5, 14]","[5, 5, 36, 1, 32, 1, 100, 7, 1, 7]","[13, 17, 18, 1, 14, 1, 41, 9, 1, 3]","[11, 11, 18, 3, 15, 27, 27, 28, 4, 30]","[55, 55, 28, 76, 31, 33, 59, 100, 92, 85]","[3, 3, 15, 4, 11, 1, 65, 49, 1, 5]","[61, 63, 27, 1, 26, 1, 26, 48, 3, 2]","[9, 8, 55, 82, 55, 18, 49, 17, 99, 45]","[16, 34, 54, 1, 54, 1, 1, 18, 1, 1]","[72, 100, 98, 72, 54, 77, 67, 26, 84, 57, 54, 64, 66, 7, 100, 62, 72]","[83, 86, 99, 84, 64, 54, 59, 74, 88, 35, 46, 76, 100, 100, 100, 2, 100]","[54, 97, 58, 76, 85, 53, 64, 82, 98, 54, 52, 58, 70, 100, 80, 71, 55]","[17, 17, 3, 9, 17, 35, 1, 2, 50, 43, 45, 42, 9, 2, 50, 21, 22]","[97, 85, 52, 53, 56, 97, 56, 85, 50, 63, 64, 87, 77, 100, 50, 63, 65]","[60, 100, 80, 91, 70, 83, 87, 57, 50, 51, 64, 100, 100, 100, 50, 62, 84]","[20, 8, 10, 53, 63, 53, 27, 66, 50, 68, 53, 100, 100, 100, 50, 58, 51]","[94, 83, 52, 74, 58, 83, 60, 71, 41, 98, 64, 81, 100, 100, 30, 95, 70]","[95, 89, 51, 81, 61, 79, 52, 60, 50, 45, 56, 93, 100, 83, 50, 100, 85]","[66, 88, 80, 68, 81, 58, 80, 61, 51, 40, 54, 72, 100, 100, 80, 90, 71]","[1, 20, 3, 22, 13, 28, 32, 71, 50, 64, 56, 52, 13, 83, 50, 88, 9]"
