,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
Ancestor and Descendant,"[100, 2, 100, 14, 100, 100, 100, 95, 100, 100, 48, 76, 49, 100]","[100, 100, 100, 5, 75, 10, 21, 100, 99, 95, 23, 61, 27, 1]","[100, 100, 100, 5, 100, 90, 5, 19, 53, 100, 72, 58, 100, 100]","[100, 100, 100, 5, 100, 100, 9, 22, 100, 100, 63, 43, 48, 2]","[65, 98, 9, 3, 8, 10, 100, 12, 100, 10, 6, 26, 100, 1]","[75, 3, 8, 6, 28, 10, 5, 5, 4, 12, 32, 15, 10, 2]","[100, 66, 100, 7, 47, 100, 100, 100, 8, 96, 99, 75, 8, 100]","[89, 99, 100, 8, 100, 100, 90, 100, 100, 100, 49, 79, 100, 100]","[100, 98, 4, 4, 90, 10, 100, 28, 100, 3, 11, 63, 100, 1]","[84, 99, 100, 5, 97, 9, 95, 19, 6, 25, 12, 16, 11, 100]","[100, 98, 6, 6, 95, 5, 6, 41, 100, 3, 99, 31, 100, 100]","[100, 34, 36, 93, 61, 53, 72, 89, 100]","[100, 28, 62, 69, 100, 51, 59, 76, 100]","[83, 40, 51, 34, 50, 67, 72, 73, 100]","[0, 27, 44, 66, 100, 61, 72, 80, 59]","[0, 19, 77, 29, 100, 25, 20, 54, 65]","[0, 31, 62, 75, 77, 41, 18, 70, 100]","[54, 32, 48, 74, 83, 75, 100, 75, 56]","[100, 27, 56, 97, 100, 86, 31, 62, 3]","[0, 30, 49, 75, 100, 79, 44, 67, 56]","[0, 23, 35, 80, 100, 59, 57, 67, 87]","[0, 27, 44, 6, 100, 21, 38, 69, 6]","[100, 84, 100, 100, 100, 100, 90, 100]","[100, 87, 100, 100, 100, 100, 87, 98]","[100, 87, 99, 100, 79, 100, 72, 85]","[100, 85, 100, 50, 83, 100, 85, 8]","[60, 79, 52, 100, 88, 100, 69, 100]","[76, 87, 98, 100, 83, 100, 87, 77]","[59, 77, 36, 49, 85, 100, 83, 77]","[72, 80, 46, 53, 87, 43, 19, 98]","[100, 13, 99, 3, 90, 100, 0, 6]","[84, 82, 98, 48, 98, 100, 60, 98]","[91, 79, 97, 100, 92, 100, 90, 98]"
Athlete and Referee,"[0, 53, 1, 100, 78, 21, 100, 0, 100, 79, 57, 51]","[10, 38, 5, 48, 49, 9, 9, 0, 96, 71, 25, 54]","[0, 53, 2, 11, 38, 52, 9, 0, 95, 0, 75, 88]","[18, 82, 1, 53, 17, 54, 10, 0, 57, 100, 7, 42]","[100, 89, 2, 100, 44, 85, 100, 100, 80, 100, 23, 26]","[0, 1, 1, 15, 39, 11, 14, 0, 6, 100, 7, 52]","[29, 96, 34, 100, 49, 100, 100, 100, 88, 100, 100, 23]","[39, 7, 1, 0, 22, 53, 6, 0, 55, 93, 100, 28]","[37, 84, 1, 0, 57, 51, 7, 0, 50, 96, 9, 24]","[0, 91, 1, 0, 51, 96, 10, 100, 53, 94, 12, 35]","[39, 8, 1, 43, 57, 48, 100, 0, 51, 100, 51, 35]","[37, 100, 19, 14, 75, 78, 59, 82, 5]","[18, 100, 1, 42, 69, 67, 26, 32, 5]","[71, 100, 23, 100, 71, 65, 5, 30, 1]","[53, 12, 12, 5, 68, 65, 4, 21, 1]","[55, 16, 3, 3, 77, 58, 8, 35, 1]","[52, 72, 6, 6, 72, 59, 4, 20, 1]","[10, 63, 7, 6, 77, 58, 5, 8, 1]","[1, 31, 2, 7, 63, 58, 3, 7, 1]","[60, 60, 57, 6, 90, 60, 56, 35, 1]","[80, 68, 46, 5, 54, 60, 99, 55, 1]","[12, 77, 51, 8, 72, 55, 2, 63, 1]","[32, 79, 36, 64, 49, 98]","[20, 85, 45, 100, 42, 70]","[15, 83, 25, 100, 48, 70]","[84, 100, 56, 75, 29, 32]","[100, 100, 92, 100, 70, 28]","[6, 7, 59, 95, 55, 77]","[6, 57, 46, 68, 30, 50]","[100, 55, 34, 100, 50, 49]","[74, 16, 39, 46, 65, 62]","[59, 69, 95, 100, 28, 70]","[55, 31, 85, 100, 35, 62]"
Athletic trainer and Trainee,"[100, 88, 100, 47, 32, 100, 57, 100, 100, 55, 79, 56, 95, 46, 54, 85, 95]","[51, 64, 88, 44, 32, 100, 31, 2, 98, 1, 10, 52, 11, 37, 30, 25, 7]","[100, 80, 77, 46, 37, 100, 84, 51, 87, 20, 84, 60, 87, 36, 34, 75, 40]","[47, 78, 100, 45, 5, 100, 46, 87, 87, 10, 16, 19, 7, 55, 34, 21, 24]","[100, 88, 100, 49, 80, 100, 36, 30, 86, 30, 100, 40, 48, 100, 36, 70, 63]","[2, 11, 28, 49, 17, 0, 27, 1, 2, 1, 6, 82, 3, 40, 4, 6, 23]","[100, 82, 95, 46, 54, 100, 6, 54, 90, 40, 100, 66, 100, 100, 63, 95, 67]","[4, 86, 95, 48, 0, 100, 50, 53, 79, 2, 25, 57, 47, 46, 46, 48, 50]","[100, 83, 82, 42, 43, 100, 83, 55, 80, 85, 51, 67, 100, 46, 48, 81, 88]","[50, 77, 68, 40, 83, 100, 23, 54, 48, 20, 51, 52, 100, 50, 26, 49, 85]","[50, 83, 69, 43, 70, 100, 36, 55, 83, 75, 45, 32, 63, 51, 51, 88, 6]","[100, 2, 10, 8, 54, 52, 85, 17, 95, 83, 40]","[56, 9, 10, 7, 45, 29, 66, 10, 43, 0, 22]","[100, 83, 90, 6, 64, 26, 86, 12, 55, 100, 32]","[5, 36, 20, 19, 48, 3, 78, 3, 19, 100, 8]","[3, 1, 10, 14, 24, 2, 73, 4, 17, 100, 5]","[86, 1, 10, 100, 22, 15, 62, 8, 24, 100, 36]","[74, 1, 50, 24, 22, 80, 57, 13, 78, 48, 7]","[4, 0, 1, 49, 19, 4, 14, 10, 5, 0, 4]","[2, 20, 80, 28, 23, 4, 33, 4, 96, 0, 14]","[45, 1, 50, 31, 29, 9, 45, 5, 98, 100, 33]","[13, 42, 20, 35, 16, 92, 29, 2, 52, 0, 7]","[25, 100, 50, 100, 15, 28, 99, 21]","[100, 100, 50, 83, 18, 52, 95, 23]","[100, 80, 50, 84, 20, 31, 96, 17]","[100, 100, 50, 85, 27, 80, 84, 35]","[100, 75, 37, 85, 18, 96, 98, 26]","[100, 30, 46, 66, 14, 12, 32, 28]","[14, 20, 57, 78, 12, 76, 43, 39]","[17, 75, 39, 54, 56, 87, 20, 35]","[5, 1, 32, 50, 27, 11, 98, 30]","[100, 90, 41, 56, 18, 87, 84, 39]","[40, 100, 45, 49, 32, 32, 57, 23]"
Aunt and Niece/Nephew,"[2, 75, 72, 20, 0, 74, 90, 100, 83]","[67, 74, 43, 26, 0, 84, 35, 100, 55]","[67, 75, 100, 14, 0, 77, 71, 100, 90]","[100, 54, 100, 19, 0, 100, 93, 100, 26]","[51, 18, 6, 7, 0, 20, 5, 100, 20]","[46, 80, 2, 7, 0, 76, 5, 0, 37]","[12, 55, 22, 13, 0, 32, 2, 45, 100]","[72, 90, 63, 9, 0, 78, 67, 100, 82]","[18, 51, 21, 10, 0, 100, 56, 100, 100]","[17, 48, 12, 14, 0, 100, 25, 100, 6]","[26, 54, 8, 13, 0, 42, 92, 100, 18]","[99, 65, 100, 96, 67, 100, 54, 83, 42, 100]","[52, 68, 100, 97, 84, 100, 17, 87, 58, 100]","[51, 76, 100, 96, 93, 100, 38, 90, 75, 100]","[10, 50, 1, 79, 8, 100, 12, 95, 64, 59]","[0, 20, 1, 82, 4, 100, 18, 92, 50, 57]","[0, 50, 1, 49, 3, 100, 22, 97, 68, 4]","[51, 70, 100, 96, 93, 100, 14, 100, 58, 100]","[0, 1, 1, 5, 3, 100, 5, 100, 51, 0]","[11, 17, 1, 31, 53, 100, 49, 98, 64, 3]","[11, 47, 1, 86, 49, 100, 36, 100, 49, 2]","[1, 73, 1, 16, 61, 100, 23, 22, 28, 2]","[63, 97, 97, 65, 98, 56, 41, 49, 100]","[71, 99, 63, 76, 89, 98, 83, 48, 100]","[55, 97, 65, 81, 95, 56, 54, 48, 100]","[30, 98, 30, 68, 45, 0, 17, 45, 100]","[33, 99, 71, 48, 25, 0, 58, 47, 100]","[44, 99, 31, 60, 97, 100, 86, 44, 44]","[27, 98, 68, 56, 25, 100, 56, 50, 39]","[22, 98, 78, 69, 18, 52, 59, 39, 53]","[23, 100, 53, 6, 49, 100, 4, 37, 51]","[65, 99, 79, 54, 96, 54, 65, 50, 27]","[10, 30, 75, 59, 62, 50, 5, 51, 32]"
Babysitter and Infant,"[100, 93, 20, 100, 86, 44, 100, 100, 63, 75, 100, 79]","[32, 62, 24, 6, 73, 12, 9, 0, 52, 68, 37, 56]","[49, 87, 16, 19, 84, 15, 100, 100, 92, 99, 9, 75]","[100, 91, 17, 72, 54, 8, 6, 50, 50, 100, 100, 37]","[51, 6, 10, 97, 46, 82, 6, 0, 63, 100, 100, 45]","[1, 81, 1, 0, 53, 7, 8, 50, 7, 100, 5, 34]","[61, 60, 6, 100, 15, 100, 100, 100, 17, 97, 100, 33]","[100, 94, 47, 100, 84, 8, 100, 50, 54, 91, 100, 29]","[0, 6, 4, 0, 78, 97, 100, 20, 48, 96, 9, 14]","[0, 6, 1, 0, 54, 100, 100, 50, 54, 96, 100, 28]","[97, 6, 33, 100, 48, 91, 6, 0, 65, 100, 100, 30]","[79, 100, 61, 29, 100, 62, 97, 46, 5]","[86, 100, 20, 100, 80, 54, 98, 85, 3]","[91, 100, 100, 100, 83, 53, 98, 21, 15]","[9, 100, 71, 5, 89, 53, 5, 4, 50]","[51, 100, 1, 2, 52, 53, 5, 3, 8]","[77, 100, 100, 5, 87, 66, 97, 6, 15]","[85, 61, 53, 100, 71, 75, 98, 60, 17]","[1, 55, 8, 8, 59, 53, 5, 2, 1]","[22, 43, 15, 100, 86, 63, 3, 15, 51]","[80, 39, 42, 100, 80, 61, 98, 3, 19]","[50, 62, 18, 4, 71, 64, 5, 17, 29]","[67, 53, 53, 100, 37, 61]","[54, 74, 32, 100, 44, 43]","[15, 82, 87, 100, 22, 43]","[6, 91, 71, 32, 13, 33]","[8, 100, 52, 29, 8, 22]","[8, 60, 43, 69, 49, 28]","[84, 54, 47, 38, 15, 19]","[100, 100, 68, 89, 68, 32]","[100, 10, 39, 79, 14, 34]","[78, 85, 61, 100, 84, 26]","[64, 91, 72, 36, 28, 34]"
Between Business Partners,"[100, 10, 51, 100, 83, 34, 100, 54, 73, 58, 72, 100]","[100, 100, 20, 100, 73, 99, 100, 60, 66, 55, 74, 100]","[10, 100, 10, 100, 76, 43, 40, 39, 63, 50, 88, 87]","[40, 100, 24, 87, 81, 15, 62, 82, 80, 67, 85, 3]","[49, 100, 95, 100, 80, 99, 47, 36, 84, 62, 82, 23]","[50, 50, 7, 7, 12, 1, 48, 3, 23, 60, 79, 0]","[5, 50, 99, 58, 75, 23, 84, 54, 67, 57, 71, 100]","[3, 100, 4, 38, 5, 3, 44, 57, 56, 49, 69, 0]","[100, 100, 99, 58, 86, 91, 73, 100, 59, 64, 92, 100]","[100, 98, 100, 52, 88, 97, 64, 59, 45, 47, 91, 100]","[50, 100, 5, 100, 81, 97, 56, 100, 58, 47, 86, 100]","[47, 45, 90, 41, 10, 48, 93, 19, 54]","[52, 23, 49, 48, 20, 14, 100, 25, 52]","[49, 63, 100, 51, 87, 98, 98, 22, 49]","[96, 100, 68, 49, 18, 97, 98, 23, 37]","[47, 45, 100, 71, 97, 98, 99, 28, 45]","[43, 80, 70, 98, 79, 99, 99, 22, 39]","[48, 41, 7, 53, 16, 98, 100, 16, 44]","[96, 3, 2, 6, 6, 48, 99, 16, 64]","[51, 93, 20, 36, 66, 97, 97, 43, 42]","[51, 100, 92, 44, 78, 97, 99, 20, 51]","[49, 86, 20, 4, 66, 64, 99, 14, 36]","[80, 100, 50, 53, 50, 80, 57, 55]","[51, 100, 50, 19, 50, 75, 22, 56]","[100, 100, 100, 100, 50, 75, 43, 100]","[100, 100, 80, 100, 50, 63, 23, 10]","[100, 100, 75, 100, 49, 81, 15, 61]","[100, 100, 75, 67, 50, 76, 14, 50]","[100, 100, 100, 100, 50, 75, 24, 100]","[48, 95, 80, 100, 50, 74, 21, 85]","[50, 100, 10, 100, 50, 13, 12, 89]","[100, 100, 90, 100, 100, 47, 22, 99]","[51, 100, 50, 64, 48, 48, 15, 41]"
Between Close Friends,"[100, 100, 89, 95, 88, 71, 93, 67, 99, 50, 100, 92]","[100, 14, 87, 92, 100, 63, 58, 64, 54, 50, 100, 98]","[100, 100, 89, 91, 74, 53, 87, 20, 75, 50, 100, 91]","[55, 100, 62, 86, 67, 48, 87, 68, 83, 50, 100, 83]","[2, 6, 19, 88, 0, 40, 84, 7, 8, 50, 0, 10]","[53, 7, 56, 46, 53, 44, 1, 1, 80, 50, 0, 12]","[100, 17, 77, 81, 94, 33, 58, 40, 18, 50, 86, 11]","[48, 21, 71, 83, 72, 68, 95, 30, 35, 50, 100, 12]","[100, 31, 95, 83, 84, 35, 97, 69, 100, 50, 0, 92]","[3, 44, 90, 87, 84, 39, 61, 18, 14, 50, 100, 13]","[43, 99, 94, 72, 69, 64, 74, 8, 31, 50, 0, 39]","[100, 100, 90, 100, 46, 87, 100, 100, 50, 100, 100, 66, 92]","[100, 100, 90, 100, 42, 92, 66, 100, 51, 52, 98, 97, 97]","[100, 100, 89, 100, 54, 93, 81, 100, 100, 100, 100, 99, 98]","[20, 100, 15, 100, 48, 44, 3, 54, 98, 62, 56, 98, 99]","[31, 100, 11, 100, 55, 15, 10, 53, 53, 37, 44, 6, 98]","[34, 7, 44, 7, 59, 14, 1, 52, 75, 42, 100, 23, 98]","[100, 100, 93, 100, 56, 94, 80, 97, 100, 92, 100, 72, 99]","[15, 100, 6, 2, 50, 73, 2, 100, 46, 35, 78, 7, 98]","[4, 9, 5, 3, 66, 23, 4, 1, 7, 3, 8, 27, 98]","[66, 13, 90, 100, 55, 93, 4, 52, 89, 45, 100, 76, 98]","[5, 4, 9, 4, 61, 16, 2, 1, 5, 1, 6, 12, 100]","[89, 89, 94, 100, 96, 85, 85, 100, 90, 70]","[89, 93, 100, 100, 96, 85, 76, 100, 94, 54]","[92, 94, 90, 100, 97, 90, 91, 100, 80, 39]","[8, 93, 26, 50, 98, 90, 19, 100, 79, 75]","[91, 92, 100, 100, 97, 95, 76, 100, 87, 61]","[92, 95, 100, 100, 99, 100, 81, 100, 100, 53]","[91, 90, 100, 100, 96, 100, 30, 100, 70, 31]","[87, 93, 100, 100, 97, 80, 31, 100, 90, 33]","[15, 3, 13, 10, 97, 0, 100, 100, 14, 17]","[90, 100, 100, 100, 98, 90, 84, 100, 88, 30]","[15, 4, 9, 10, 98, 15, 8, 100, 9, 13]"
Between Co-workers,"[100, 50, 69, 56, 61, 100, 93, 18]","[100, 100, 71, 100, 87, 100, 90, 72]","[100, 51, 73, 51, 64, 54, 97, 11]","[100, 0, 72, 37, 39, 100, 10, 26]","[100, 52, 74, 5, 68, 47, 99, 43]","[0, 0, 73, 4, 14, 0, 0, 50]","[0, 50, 71, 100, 76, 100, 99, 28]","[1, 49, 66, 3, 58, 100, 9, 45]","[99, 100, 70, 100, 57, 100, 99, 68]","[99, 51, 71, 10, 82, 1, 100, 98]","[99, 50, 69, 100, 65, 100, 98, 17]","[43, 51, 64, 77, 25, 34, 45, 41, 77, 16, 62, 9, 70, 68, 59]","[60, 49, 46, 48, 18, 31, 31, 50, 80, 24, 3, 24, 50, 56, 44]","[41, 44, 28, 87, 100, 100, 39, 32, 73, 88, 100, 77, 90, 45, 99]","[53, 47, 57, 84, 100, 50, 53, 42, 57, 24, 76, 54, 50, 79, 77]","[32, 46, 61, 43, 100, 5, 55, 52, 77, 19, 21, 48, 50, 63, 5]","[15, 47, 34, 71, 31, 51, 44, 51, 72, 22, 89, 50, 100, 50, 59]","[38, 48, 72, 46, 23, 29, 35, 48, 54, 20, 4, 29, 39, 57, 19]","[67, 45, 36, 47, 7, 50, 30, 49, 65, 26, 1, 2, 50, 51, 5]","[31, 45, 31, 47, 100, 70, 89, 48, 88, 38, 2, 51, 20, 48, 6]","[92, 45, 38, 46, 100, 100, 49, 51, 67, 63, 87, 100, 100, 56, 68]","[54, 36, 32, 47, 87, 30, 52, 49, 72, 27, 1, 20, 10, 52, 10]","[100, 50, 77, 82, 99, 100]","[50, 47, 100, 84, 99, 100]","[100, 49, 100, 79, 99, 56]","[50, 49, 100, 11, 99, 79]","[50, 49, 100, 86, 99, 28]","[50, 40, 50, 43, 99, 42]","[100, 50, 100, 83, 98, 44]","[100, 49, 100, 83, 61, 36]","[5, 49, 0, 4, 99, 5]","[70, 48, 75, 88, 98, 10]","[20, 50, 50, 52, 13, 62]"
Between Facebook Friends,"[94, 100, 80, 62, 25, 91, 30, 99, 7, 0]","[100, 54, 77, 65, 22, 64, 73, 18, 10, 0]","[55, 100, 58, 65, 20, 90, 65, 56, 9, 0]","[100, 100, 73, 84, 17, 98, 77, 20, 7, 0]","[29, 100, 8, 54, 21, 5, 28, 40, 6, 0]","[47, 10, 11, 22, 14, 11, 71, 13, 2, 0]","[27, 12, 84, 96, 17, 60, 48, 89, 3, 0]","[70, 67, 57, 51, 20, 53, 76, 96, 5, 0]","[48, 100, 38, 0, 33, 91, 62, 97, 3, 0]","[56, 71, 32, 0, 13, 64, 44, 50, 5, 0]","[33, 10, 13, 0, 15, 32, 59, 43, 7, 0]","[100, 88, 33, 58, 19, 33, 45, 9, 54, 72, 53, 100, 7]","[80, 90, 33, 32, 17, 36, 17, 7, 55, 68, 57, 50, 21]","[95, 51, 75, 34, 8, 83, 51, 35, 52, 73, 51, 38, 5]","[90, 7, 5, 55, 8, 3, 4, 71, 27, 68, 70, 18, 6]","[100, 8, 8, 42, 27, 1, 9, 33, 35, 67, 59, 68, 17]","[100, 7, 16, 51, 26, 19, 6, 15, 25, 59, 50, 28, 10]","[100, 61, 3, 52, 32, 84, 26, 40, 40, 67, 61, 73, 22]","[2, 4, 1, 36, 32, 1, 2, 4, 33, 57, 61, 18, 12]","[3, 3, 2, 42, 29, 19, 43, 2, 22, 64, 56, 29, 26]","[100, 5, 83, 55, 39, 72, 10, 95, 32, 74, 69, 66, 26]","[50, 3, 1, 37, 41, 3, 5, 100, 35, 76, 69, 7, 5]","[25, 17, 45, 50, 54, 4, 53, 94, 10, 5]","[30, 6, 54, 50, 45, 41, 30, 94, 48, 32]","[45, 7, 60, 50, 70, 56, 41, 96, 25, 5]","[42, 5, 44, 50, 45, 1, 32, 95, 56, 4]","[46, 8, 41, 50, 76, 94, 34, 96, 48, 9]","[38, 9, 39, 50, 47, 76, 40, 54, 9, 25]","[43, 12, 43, 50, 65, 86, 53, 80, 27, 9]","[49, 14, 39, 50, 50, 33, 58, 79, 42, 34]","[32, 52, 49, 50, 54, 8, 36, 79, 28, 5]","[41, 16, 52, 50, 42, 52, 61, 85, 48, 10]","[41, 10, 47, 50, 52, 5, 53, 54, 24, 5]"
Between Siblings,"[97, 54, 100, 50, 80, 83, 30, 100, 2, 93, 55]","[85, 72, 100, 100, 25, 100, 56, 100, 2, 98, 56]","[85, 56, 82, 74, 60, 76, 32, 100, 1, 83, 48]","[100, 73, 100, 50, 65, 51, 48, 47, 2, 98, 59]","[10, 77, 4, 4, 10, 3, 30, 75, 1, 4, 8]","[84, 66, 37, 5, 70, 100, 40, 4, 1, 2, 53]","[25, 18, 86, 77, 25, 100, 21, 53, 1, 99, 28]","[90, 36, 60, 53, 75, 100, 16, 55, 1, 91, 95]","[7, 84, 58, 100, 35, 2, 43, 100, 1, 98, 6]","[6, 21, 20, 41, 39, 51, 22, 75, 1, 4, 6]","[6, 84, 6, 50, 24, 100, 21, 64, 1, 96, 42]","[80, 29, 54, 50, 97, 79, 16, 100, 100]","[89, 26, 77, 90, 94, 58, 33, 100, 100]","[92, 38, 100, 87, 94, 70, 61, 100, 100]","[8, 41, 66, 63, 0, 32, 60, 100, 100]","[17, 27, 99, 65, 1, 15, 15, 53, 68]","[11, 61, 98, 49, 0, 22, 14, 2, 58]","[55, 82, 73, 100, 95, 46, 9, 98, 61]","[6, 13, 1, 70, 0, 0, 24, 1, 60]","[59, 35, 100, 31, 0, 64, 65, 51, 67]","[21, 72, 93, 90, 0, 66, 81, 100, 31]","[50, 50, 26, 32, 93, 12, 63, 69, 58]","[100, 43, 100, 6, 57, 26, 79, 67, 98, 45, 35]","[100, 51, 100, 82, 58, 49, 79, 97, 82, 88, 100]","[100, 49, 100, 78, 100, 51, 91, 80, 78, 51, 70]","[100, 20, 50, 71, 13, 49, 60, 5, 61, 47, 30]","[100, 37, 50, 77, 100, 53, 13, 76, 98, 57, 100]","[100, 78, 100, 65, 100, 51, 88, 100, 77, 65, 100]","[100, 35, 100, 74, 100, 55, 61, 91, 59, 61, 50]","[100, 23, 100, 91, 100, 53, 74, 100, 53, 56, 100]","[100, 44, 100, 61, 100, 49, 25, 3, 6, 46, 5]","[100, 54, 100, 33, 82, 50, 65, 64, 62, 63, 100]","[100, 7, 100, 70, 0, 52, 12, 3, 12, 11, 10]"
