,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
Ancestor and Descendant,"[90, 94, 24, 35, 100, 56, 64, 30]","[100, 44, 49, 20, 5, 63, 18, 38]","[92, 53, 11, 22, 81, 50, 59, 27]","[91, 77, 79, 21, 54, 41, 72, 34]","[7, 28, 88, 100, 5, 48, 36, 5]","[9, 11, 28, 5, 4, 16, 46, 8]","[73, 66, 14, 9, 99, 21, 11, 5]","[82, 41, 44, 8, 100, 10, 94, 8]","[25, 5, 74, 53, 72, 18, 31, 13]","[15, 11, 47, 42, 9, 46, 45, 3]","[92, 8, 92, 10, 4, 48, 5, 3]","[86, 57, 93, 50, 83, 48, 95, 86, 100, 2, 7, 92, 66, 100, 59, 11, 100, 2, 3, 88, 25]","[87, 11, 93, 51, 97, 99, 50, 21, 100, 95, 22, 94, 67, 89, 26, 4, 66, 95, 78, 100, 6]","[89, 26, 98, 77, 93, 45, 48, 85, 3, 54, 100, 23, 38, 9, 0, 6, 67, 54, 63, 3, 5]","[4, 8, 25, 2, 57, 4, 2, 5, 4, 8, 0, 1, 0, 3, 0, 1, 27, 8, 37, 3, 5]","[7, 15, 36, 1, 46, 19, 6, 5, 6, 92, 0, 1, 1, 1, 15, 5, 60, 92, 33, 3, 9]","[5, 14, 15, 1, 90, 57, 3, 5, 7, 67, 100, 1, 7, 5, 0, 66, 63, 67, 66, 3, 13]","[5, 7, 97, 60, 92, 21, 51, 82, 2, 93, 100, 26, 5, 51, 0, 5, 52, 93, 61, 24, 8]","[4, 1, 5, 1, 4, 42, 7, 5, 8, 80, 2, 80, 10, 1, 0, 0, 62, 80, 100, 2, 6]","[2, 12, 25, 9, 15, 31, 30, 5, 3, 2, 36, 90, 5, 1, 0, 4, 74, 2, 16, 2, 22]","[6, 19, 8, 12, 5, 39, 41, 5, 4, 77, 100, 51, 1, 2, 0, 0, 65, 77, 2, 15, 5]","[5, 9, 9, 16, 20, 34, 76, 5, 3, 2, 100, 0, 2, 5, 0, 5, 42, 2, 67, 2, 7]","[70, 65, 59, 87, 68, 0, 99, 8, 3, 100, 96, 0, 92]","[60, 70, 82, 53, 61, 0, 95, 18, 7, 100, 94, 0, 98]","[50, 85, 49, 47, 100, 0, 86, 9, 9, 100, 52, 0, 96]","[20, 100, 65, 22, 100, 5, 95, 10, 11, 0, 23, 47, 65]","[30, 40, 100, 80, 96, 0, 89, 9, 3, 0, 96, 0, 50]","[100, 81, 70, 92, 50, 5, 25, 19, 5, 100, 72, 100, 100]","[10, 30, 16, 62, 97, 0, 75, 6, 4, 0, 26, 0, 52]","[0, 10, 36, 62, 97, 0, 41, 9, 8, 100, 18, 0, 55]","[100, 100, 60, 83, 96, 0, 80, 19, 0, 100, 40, 0, 75]","[100, 80, 56, 90, 62, 0, 86, 11, 4, 100, 92, 58, 95]","[100, 100, 99, 89, 95, 100, 61, 100, 2, 100, 45, 100, 94]"
Athlete and Referee,"[40, 100, 5, 5, 68, 100, 66, 40]","[20, 0, 0, 7, 64, 95, 69, 10]","[15, 100, 100, 7, 50, 96, 64, 4]","[20, 96, 0, 6, 53, 6, 20, 8]","[80, 0, 100, 100, 100, 95, 80, 80]","[5, 0, 2, 6, 52, 7, 5, 4]","[75, 99, 100, 100, 98, 100, 75, 100]","[30, 99, 10, 3, 24, 6, 70, 42]","[75, 100, 100, 100, 6, 65, 14, 2]","[20, 100, 100, 61, 90, 93, 14, 100]","[77, 100, 50, 18, 98, 3, 4, 100]","[35, 17, 10, 6, 61, 80, 100, 4, 28, 9]","[100, 9, 4, 9, 86, 87, 0, 49, 8, 10]","[100, 100, 8, 86, 72, 92, 92, 100, 25, 5]","[90, 100, 3, 81, 87, 72, 70, 18, 11, 19]","[70, 4, 7, 11, 79, 2, 0, 3, 13, 3]","[70, 100, 10, 88, 66, 13, 0, 100, 92, 58]","[80, 41, 4, 6, 79, 1, 58, 4, 36, 69]","[1, 1, 9, 1, 7, 0, 0, 3, 11, 0]","[1, 5, 17, 7, 78, 1, 29, 55, 9, 7]","[60, 7, 10, 7, 58, 97, 4, 78, 13, 4]","[1, 1, 4, 74, 14, 0, 0, 27, 8, 2]","[17, 98, 83, 72, 100, 52, 28]","[7, 99, 74, 78, 61, 31, 41]","[32, 98, 14, 50, 0, 5, 7]","[88, 100, 5, 100, 6, 54, 64]","[96, 99, 5, 100, 52, 21, 67]","[5, 13, 6, 16, 9, 10, 4]","[98, 97, 18, 5, 50, 18, 71]","[99, 99, 9, 5, 16, 16, 57]","[100, 99, 32, 100, 67, 7, 100]","[54, 48, 61, 100, 6, 65, 60]","[66, 86, 66, 62, 6, 55, 53]"
Athletic trainer and Trainee,"[100, 92, 99, 63, 63, 72, 100]","[0, 30, 95, 65, 91, 58, 26]","[63, 87, 90, 40, 21, 51, 100]","[0, 11, 72, 25, 73, 47, 3]","[100, 90, 98, 100, 96, 66, 100]","[0, 10, 17, 12, 37, 53, 6]","[100, 83, 98, 8, 76, 72, 49]","[0, 16, 98, 41, 73, 28, 63]","[100, 97, 95, 45, 69, 55, 22]","[64, 95, 100, 100, 63, 63, 88]","[100, 10, 97, 72, 87, 59, 100]","[69, 36, 85, 0, 100, 4, 12, 5, 50, 96, 100, 90, 16]","[85, 43, 60, 23, 100, 0, 70, 1, 40, 59, 50, 77, 8]","[78, 91, 100, 100, 100, 70, 68, 42, 100, 91, 100, 92, 100]","[81, 93, 49, 7, 100, 71, 92, 96, 50, 95, 45, 84, 5]","[52, 14, 5, 0, 100, 21, 13, 86, 0, 100, 46, 40, 8]","[88, 96, 64, 14, 100, 77, 91, 72, 100, 90, 98, 65, 100]","[77, 76, 70, 91, 100, 53, 69, 38, 20, 81, 74, 73, 5]","[23, 39, 0, 0, 100, 1, 0, 4, 0, 5, 5, 10, 1]","[61, 62, 15, 0, 41, 48, 20, 81, 0, 34, 9, 15, 2]","[78, 88, 80, 0, 100, 67, 76, 90, 30, 86, 5, 8, 5]","[84, 87, 0, 0, 100, 25, 69, 7, 0, 40, 0, 21, 1]","[70, 81, 61, 100, 58, 57, 61, 100, 0]","[100, 86, 62, 100, 100, 27, 80, 100, 50]","[100, 100, 100, 100, 82, 59, 53, 0, 100]","[100, 86, 78, 100, 88, 25, 75, 100, 100]","[100, 100, 100, 100, 97, 100, 85, 100, 5]","[20, 9, 82, 100, 17, 8, 83, 48, 0]","[78, 86, 100, 10, 100, 100, 58, 40, 50]","[100, 92, 76, 6, 93, 24, 88, 89, 50]","[16, 50, 86, 100, 100, 50, 85, 100, 0]","[27, 81, 100, 100, 84, 74, 90, 100, 100]","[91, 31, 75, 65, 67, 36, 87, 89, 100]"
Aunt and Niece/Nephew,"[90, 83, 85, 100, 100, 85, 92, 96, 100]","[2, 74, 77, 10, 99, 42, 68, 0, 11]","[100, 88, 72, 97, 63, 84, 91, 91, 100]","[100, 100, 65, 50, 47, 88, 99, 94, 100]","[1, 25, 53, 10, 6, 10, 29, 0, 4]","[1, 4, 62, 79, 5, 6, 87, 66, 100]","[100, 61, 78, 25, 70, 100, 84, 91, 8]","[100, 99, 64, 100, 84, 92, 74, 95, 96]","[100, 0, 63, 50, 100, 17, 51, 24, 91]","[1, 0, 67, 5, 7, 9, 81, 17, 4]","[50, 12, 72, 50, 12, 17, 82, 90, 7]","[25, 80, 16, 8, 100, 18, 77, 88, 92, 100, 31, 86, 89, 53, 90, 100, 77, 65, 18, 8, 38, 80]","[85, 84, 100, 91, 100, 77, 89, 94, 100, 100, 99, 91, 58, 43, 82, 100, 100, 85, 89, 100, 47, 97]","[40, 80, 67, 73, 31, 81, 78, 95, 77, 44, 97, 76, 78, 32, 93, 100, 79, 75, 85, 100, 5, 74]","[15, 100, 100, 1, 5, 40, 66, 18, 70, 1, 2, 18, 40, 73, 94, 7, 68, 40, 93, 3, 11, 20]","[40, 80, 100, 1, 12, 50, 71, 9, 51, 44, 8, 22, 37, 66, 56, 100, 93, 40, 89, 5, 100, 3]","[1, 83, 100, 1, 4, 71, 41, 0, 91, 1, 3, 57, 68, 42, 94, 13, 57, 19, 86, 4, 59, 5]","[75, 100, 100, 98, 71, 93, 64, 100, 95, 100, 100, 91, 98, 36, 92, 100, 96, 86, 75, 100, 98, 87]","[1, 11, 100, 1, 3, 5, 58, 0, 14, 1, 3, 5, 97, 57, 1, 15, 0, 1, 25, 3, 100, 4]","[15, 17, 68, 2, 6, 60, 29, 5, 16, 21, 1, 44, 5, 51, 82, 100, 52, 53, 59, 38, 10, 11]","[10, 84, 100, 1, 13, 43, 56, 5, 10, 1, 4, 14, 91, 68, 91, 23, 55, 61, 82, 2, 8, 49]","[10, 76, 97, 1, 6, 9, 45, 7, 4, 1, 2, 11, 26, 67, 36, 9, 35, 28, 51, 1, 41, 3]","[74, 100, 100, 100, 77, 99, 73, 70]","[81, 100, 100, 100, 78, 95, 66, 72]","[85, 85, 100, 100, 66, 61, 14, 55]","[23, 85, 100, 4, 75, 18, 1, 6]","[79, 79, 100, 59, 93, 61, 92, 33]","[92, 80, 100, 100, 91, 100, 90, 100]","[89, 85, 100, 100, 78, 96, 84, 18]","[74, 100, 100, 100, 62, 60, 70, 6]","[81, 87, 100, 100, 86, 58, 52, 55]","[87, 90, 100, 100, 89, 69, 99, 84]","[85, 23, 100, 100, 43, 64, 87, 53]"
Babysitter and Infant,"[90, 61, 100, 99, 66, 100, 45, 100]","[10, 0, 0, 7, 65, 49, 55, 10]","[85, 98, 100, 100, 50, 96, 71, 72]","[80, 78, 100, 88, 49, 98, 28, 64]","[10, 0, 50, 5, 99, 5, 52, 30]","[95, 100, 100, 4, 47, 46, 10, 2]","[75, 100, 100, 7, 31, 16, 34, 87]","[55, 100, 0, 7, 72, 50, 34, 37]","[80, 0, 50, 4, 6, 7, 15, 10]","[3, 0, 0, 84, 20, 5, 7, 8]","[90, 0, 100, 7, 95, 6, 11, 82]","[100, 86, 100, 18, 61, 99, 100, 100, 89, 17]","[100, 20, 81, 71, 88, 99, 80, 88, 77, 100]","[100, 100, 61, 55, 72, 50, 0, 61, 100, 13]","[1, 2, 5, 100, 25, 1, 0, 67, 4, 43]","[100, 90, 9, 66, 80, 1, 0, 3, 11, 59]","[100, 100, 7, 91, 66, 51, 0, 99, 89, 8]","[100, 100, 71, 74, 79, 100, 92, 82, 90, 81]","[1, 1, 4, 0, 99, 0, 0, 1, 11, 0]","[10, 16, 17, 6, 80, 4, 0, 2, 7, 3]","[1, 52, 40, 5, 57, 1, 0, 2, 64, 6]","[1, 54, 43, 29, 11, 0, 0, 2, 30, 4]","[100, 99, 99, 93, 77, 61, 60]","[60, 98, 99, 100, 100, 39, 100]","[100, 50, 93, 40, 100, 5, 68]","[87, 99, 94, 2, 98, 51, 100]","[100, 99, 97, 100, 100, 27, 100]","[83, 99, 97, 100, 100, 9, 32]","[100, 98, 89, 100, 6, 17, 71]","[100, 99, 97, 100, 100, 14, 100]","[100, 100, 95, 100, 87, 7, 100]","[100, 50, 98, 98, 99, 73, 100]","[100, 100, 98, 100, 8, 53, 100]"
Between Business Partners,"[100, 100, 100, 100, 100, 100, 97, 100, 6, 48, 76]","[100, 90, 100, 100, 100, 100, 95, 100, 81, 47, 100]","[100, 70, 86, 100, 22, 100, 94, 57, 20, 51, 39]","[48, 50, 0, 77, 0, 54, 15, 67, 7, 55, 0]","[100, 100, 100, 100, 100, 100, 98, 100, 86, 96, 98]","[7, 0, 0, 54, 0, 0, 1, 5, 8, 2, 0]","[100, 0, 76, 100, 100, 33, 47, 100, 100, 58, 69]","[0, 50, 63, 50, 82, 14, 3, 58, 100, 7, 63]","[100, 100, 100, 91, 0, 100, 91, 67, 100, 95, 100]","[62, 100, 32, 100, 0, 100, 83, 85, 100, 89, 100]","[100, 50, 76, 100, 100, 100, 94, 100, 9, 45, 55]","[2, 68, 83, 50, 100, 95, 100, 100, 100, 100, 100, 61, 76, 100, 94, 9, 100, 96]","[0, 45, 81, 5, 11, 95, 81, 4, 12, 10, 20, 33, 53, 38, 41, 37, 100, 7]","[16, 100, 93, 90, 100, 99, 99, 84, 100, 100, 100, 95, 88, 100, 73, 6, 100, 97]","[3, 100, 88, 98, 100, 50, 59, 100, 100, 100, 100, 100, 94, 100, 86, 5, 100, 100]","[2, 82, 33, 9, 48, 40, 55, 70, 72, 100, 0, 4, 90, 0, 82, 7, 3, 30]","[1, 67, 68, 92, 100, 35, 59, 70, 100, 100, 0, 15, 89, 100, 75, 8, 5, 2]","[2, 50, 87, 59, 19, 90, 100, 8, 79, 96, 97, 59, 52, 20, 20, 45, 100, 85]","[0, 76, 14, 5, 10, 10, 1, 4, 5, 0, 40, 2, 5, 0, 44, 6, 1, 2]","[0, 64, 6, 44, 31, 60, 6, 92, 100, 0, 10, 52, 21, 52, 49, 47, 2, 56]","[0, 55, 85, 88, 100, 95, 68, 38, 100, 100, 10, 42, 81, 33, 61, 80, 100, 89]","[0, 50, 11, 4, 14, 85, 2, 84, 8, 0, 0, 1, 8, 0, 36, 31, 2, 6]","[68, 81, 100, 98, 62, 57, 84, 88]","[65, 100, 100, 95, 12, 69, 60, 75]","[53, 100, 100, 96, 43, 87, 95, 47]","[87, 100, 100, 92, 47, 76, 96, 58]","[59, 100, 100, 95, 33, 80, 92, 62]","[51, 100, 50, 88, 17, 50, 87, 69]","[45, 100, 100, 85, 11, 54, 92, 75]","[24, 63, 50, 94, 5, 57, 88, 53]","[70, 100, 100, 98, 19, 49, 94, 73]","[98, 89, 100, 79, 9, 45, 100, 62]","[42, 14, 9, 11, 16, 50, 42, 0]"
Between Close Friends,"[81, 98, 100, 81, 90, 77, 62, 100, 92]","[100, 92, 70, 75, 90, 47, 95, 100, 87]","[92, 98, 82, 94, 95, 63, 98, 100, 14]","[93, 96, 70, 94, 95, 51, 91, 100, 55]","[10, 7, 20, 5, 5, 4, 3, 4, 16]","[54, 56, 48, 6, 75, 18, 52, 6, 38]","[4, 85, 62, 91, 5, 100, 82, 100, 81]","[100, 97, 69, 97, 80, 69, 98, 100, 55]","[100, 17, 94, 5, 90, 18, 100, 5, 30]","[8, 5, 75, 7, 5, 18, 5, 10, 19]","[96, 7, 64, 95, 13, 13, 96, 5, 75]","[28, 80, 5, 12, 97, 14, 60, 37, 67, 100, 80, 8, 55, 87, 100, 100, 100, 6, 50, 1, 13, 32, 66, 100, 100]","[77, 80, 100, 88, 99, 99, 91, 33, 96, 100, 100, 100, 97, 91, 100, 100, 100, 100, 100, 100, 95, 100, 100, 100, 100]","[87, 74, 50, 49, 96, 99, 50, 42, 100, 100, 100, 100, 79, 93, 100, 100, 100, 100, 40, 100, 35, 100, 100, 100, 100]","[7, 43, 45, 30, 6, 4, 22, 51, 86, 3, 78, 17, 49, 33, 57, 25, 15, 100, 21, 3, 0, 100, 47, 100, 25]","[7, 54, 38, 71, 5, 7, 5, 70, 98, 2, 100, 100, 52, 86, 76, 94, 70, 100, 84, 100, 0, 67, 40, 100, 94]","[30, 33, 9, 18, 4, 27, 16, 52, 93, 100, 91, 26, 48, 26, 5, 25, 0, 100, 66, 1, 0, 38, 24, 6, 25]","[91, 65, 65, 100, 99, 90, 77, 98, 93, 100, 100, 100, 97, 90, 100, 9, 65, 100, 72, 100, 89, 100, 46, 100, 9]","[12, 57, 3, 40, 52, 5, 1, 41, 36, 60, 87, 43, 99, 3, 21, 36, 50, 3, 63, 1, 0, 0, 2, 99, 36]","[9, 45, 2, 30, 5, 0, 9, 35, 36, 17, 93, 48, 55, 36, 21, 1, 1, 5, 20, 3, 0, 19, 74, 95, 1]","[46, 55, 4, 10, 4, 74, 59, 45, 71, 41, 28, 10, 73, 76, 84, 62, 60, 98, 60, 3, 0, 0, 51, 88, 62]","[4, 40, 3, 25, 6, 4, 3, 43, 8, 72, 42, 7, 30, 80, 3, 17, 1, 6, 75, 2, 0, 0, 14, 26, 17]","[100, 68, 92, 16, 92, 2, 12, 100, 100, 99]","[100, 98, 89, 100, 94, 72, 69, 100, 100, 95]","[100, 20, 74, 97, 81, 53, 87, 93, 99, 90]","[0, 100, 19, 100, 7, 50, 22, 77, 13, 0]","[100, 100, 69, 100, 88, 99, 82, 87, 77, 11]","[100, 100, 72, 100, 74, 41, 84, 63, 100, 89]","[100, 100, 66, 100, 79, 29, 84, 64, 100, 7]","[100, 100, 70, 100, 85, 35, 91, 93, 97, 93]","[100, 100, 59, 100, 88, 95, 84, 100, 100, 97]","[100, 100, 94, 100, 91, 50, 93, 99, 100, 96]","[0, 100, 4, 3, 9, 51, 5, 4, 49, 6]"
Between Co-workers,"[30, 49, 100, 100, 60, 70, 100, 62]","[70, 20, 100, 1, 63, 35, 81, 100]","[40, 21, 100, 49, 66, 80, 5, 5]","[30, 59, 0, 1, 48, 11, 6, 4]","[97, 92, 100, 100, 60, 66, 100, 94]","[5, 30, 0, 1, 44, 5, 2, 1]","[100, 100, 100, 100, 42, 68, 100, 95]","[50, 37, 100, 1, 51, 27, 50, 75]","[95, 48, 100, 100, 66, 70, 91, 54]","[80, 100, 100, 100, 77, 71, 80, 77]","[96, 75, 100, 100, 76, 80, 27, 83]","[0, 7, 0, 89, 13, 0, 42, 75, 58, 3, 8, 7, 99, 7, 68, 27, 69, 78, 4, 0, 100, 100]","[100, 29, 50, 52, 8, 0, 9, 8, 84, 4, 22, 37, 6, 13, 46, 53, 23, 30, 42, 29, 85, 100]","[100, 75, 92, 76, 98, 67, 68, 100, 15, 100, 99, 11, 100, 100, 82, 88, 90, 71, 93, 100, 88, 88]","[100, 53, 13, 8, 18, 0, 100, 39, 62, 100, 5, 1, 98, 68, 68, 33, 12, 13, 2, 0, 11, 31]","[100, 50, 10, 33, 7, 0, 20, 2, 54, 55, 98, 2, 4, 100, 22, 81, 1, 63, 100, 0, 74, 63]","[100, 50, 33, 37, 53, 0, 23, 4, 100, 100, 98, 7, 69, 100, 58, 79, 2, 96, 80, 100, 6, 65]","[100, 48, 49, 45, 6, 0, 25, 26, 8, 8, 14, 2, 10, 10, 23, 32, 7, 53, 2, 53, 100, 88]","[0, 16, 28, 38, 2, 0, 3, 2, 27, 100, 7, 0, 2, 7, 25, 6, 3, 22, 1, 0, 0, 13]","[100, 74, 59, 37, 50, 6, 47, 5, 100, 31, 99, 2, 73, 100, 51, 53, 35, 19, 98, 43, 32, 42]","[100, 52, 26, 47, 5, 18, 100, 40, 86, 47, 99, 45, 94, 75, 45, 16, 71, 11, 49, 47, 25, 99]","[0, 8, 4, 42, 8, 9, 12, 4, 10, 37, 54, 1, 17, 16, 44, 75, 40, 6, 40, 0, 30, 4]","[91, 100, 54, 100, 100, 54, 27, 50, 66]","[84, 88, 45, 99, 97, 96, 32, 43, 66]","[60, 65, 49, 100, 81, 95, 38, 28, 89]","[100, 100, 43, 100, 57, 100, 41, 53, 55]","[1, 100, 70, 50, 100, 97, 35, 28, 77]","[27, 75, 81, 57, 74, 100, 32, 42, 54]","[8, 100, 86, 100, 90, 94, 34, 42, 63]","[89, 90, 57, 88, 100, 90, 21, 34, 38]","[90, 100, 67, 99, 100, 91, 46, 59, 72]","[86, 70, 61, 86, 80, 91, 42, 63, 81]","[98, 52, 75, 53, 5, 7, 38, 63, 52]"
Between Facebook Friends,"[83, 30, 58, 10, 56, 83, 52, 70, 80, 100, 64, 65, 6, 100]","[74, 1, 48, 6, 68, 71, 28, 56, 100, 14, 50, 89, 100, 100]","[75, 10, 47, 5, 72, 75, 5, 71, 95, 35, 8, 19, 100, 11]","[7, 10, 25, 4, 70, 48, 21, 43, 83, 50, 67, 92, 100, 43]","[2, 5, 62, 28, 73, 15, 48, 4, 3, 22, 3, 12, 100, 46]","[3, 1, 0, 8, 5, 58, 2, 29, 40, 4, 9, 20, 7, 7]","[97, 25, 29, 5, 70, 96, 84, 100, 52, 99, 48, 86, 100, 100]","[100, 15, 83, 4, 79, 66, 34, 51, 18, 69, 50, 36, 50, 55]","[3, 20, 21, 4, 71, 83, 11, 80, 2, 3, 52, 33, 59, 11]","[2, 50, 0, 1, 4, 98, 23, 42, 21, 100, 1, 7, 57, 16]","[3, 80, 0, 4, 78, 84, 39, 11, 29, 59, 1, 13, 100, 97]","[57, 100, 93, 79, 52, 51, 51, 98, 53, 5, 32, 6, 21, 9, 9, 1]","[53, 56, 27, 79, 100, 67, 67, 37, 41, 2, 19, 24, 27, 51, 9, 56]","[90, 50, 35, 65, 100, 51, 51, 64, 21, 3, 31, 10, 28, 41, 100, 100]","[49, 17, 4, 32, 0, 34, 34, 20, 5, 3, 7, 29, 6, 3, 10, 28]","[99, 25, 26, 22, 0, 45, 45, 4, 6, 4, 9, 5, 13, 12, 9, 80]","[49, 6, 3, 59, 0, 34, 34, 7, 13, 3, 8, 2, 10, 5, 9, 100]","[63, 64, 19, 44, 100, 56, 56, 49, 17, 5, 57, 6, 48, 3, 9, 100]","[90, 25, 48, 58, 0, 10, 10, 37, 3, 85, 5, 1, 5, 1, 9, 62]","[34, 59, 57, 57, 0, 41, 41, 6, 49, 51, 31, 0, 4, 3, 30, 65]","[56, 9, 3, 54, 0, 25, 25, 16, 36, 48, 15, 4, 13, 4, 9, 87]","[7, 14, 3, 61, 0, 38, 38, 14, 9, 39, 22, 0, 12, 87, 9, 5]","[1, 84, 51, 54, 15, 0, 100, 17]","[1, 80, 58, 13, 9, 15, 100, 8]","[98, 81, 60, 57, 65, 0, 100, 19]","[1, 80, 49, 5, 10, 0, 9, 12]","[3, 84, 57, 13, 11, 0, 99, 9]","[11, 86, 50, 44, 80, 40, 99, 8]","[96, 83, 46, 39, 27, 21, 98, 29]","[1, 50, 23, 9, 12, 0, 13, 23]","[99, 100, 88, 45, 74, 55, 100, 18]","[12, 99, 64, 43, 57, 0, 52, 49]","[46, 52, 6, 6, 42, 39, 52, 17]"
Between Siblings,"[5, 76, 92, 96, 100, 20, 38, 56, 100, 50, 69, 80]","[6, 62, 95, 96, 100, 90, 76, 94, 50, 25, 51, 0]","[100, 4, 100, 96, 8, 51, 50, 91, 39, 20, 17, 94]","[100, 39, 100, 93, 85, 52, 100, 79, 100, 30, 56, 85]","[5, 10, 3, 44, 7, 13, 5, 79, 30, 49, 6, 0]","[67, 55, 96, 89, 8, 12, 0, 53, 50, 16, 100, 42]","[100, 23, 100, 90, 100, 100, 100, 65, 6, 13, 100, 84]","[100, 17, 100, 80, 91, 100, 100, 47, 100, 11, 100, 62]","[100, 55, 74, 90, 75, 20, 100, 28, 7, 62, 100, 62]","[5, 23, 7, 92, 23, 76, 1, 47, 55, 48, 17, 31]","[4, 31, 100, 97, 29, 37, 6, 41, 50, 46, 14, 95]","[100, 99, 100, 80, 100, 7, 99, 15, 72, 2, 100, 5, 1, 50, 65, 100, 87, 100, 20, 0, 90, 100, 100, 7, 99, 96]","[100, 99, 100, 100, 100, 93, 99, 77, 72, 66, 100, 75, 59, 70, 90, 100, 100, 89, 80, 100, 100, 50, 50, 93, 85, 99]","[100, 58, 100, 100, 80, 100, 91, 89, 87, 71, 100, 50, 51, 70, 90, 70, 97, 84, 82, 92, 100, 100, 50, 96, 64, 90]","[7, 84, 100, 0, 4, 30, 7, 71, 52, 1, 100, 5, 6, 60, 2, 55, 5, 23, 9, 18, 6, 50, 1, 11, 31, 25]","[55, 82, 0, 0, 4, 37, 6, 74, 5, 1, 100, 16, 62, 70, 52, 58, 5, 44, 5, 21, 4, 50, 1, 60, 23, 60]","[6, 3, 0, 0, 55, 13, 4, 63, 20, 2, 0, 10, 4, 50, 16, 59, 6, 11, 34, 3, 0, 0, 1, 78, 38, 71]","[81, 97, 100, 100, 86, 87, 98, 74, 64, 50, 100, 95, 100, 70, 100, 87, 93, 56, 60, 100, 70, 80, 50, 95, 88, 70]","[7, 0, 0, 0, 3, 27, 0, 1, 40, 1, 0, 0, 4, 1, 1, 7, 1, 1, 0, 0, 0, 0, 1, 1, 1, 2]","[37, 88, 80, 0, 80, 87, 6, 77, 86, 74, 100, 50, 60, 80, 19, 54, 42, 77, 54, 100, 32, 0, 50, 38, 94, 90]","[10, 51, 42, 0, 100, 48, 0, 79, 37, 19, 100, 50, 13, 60, 11, 63, 72, 95, 35, 58, 4, 50, 97, 37, 99, 82]","[8, 32, 0, 0, 38, 15, 0, 12, 73, 19, 100, 60, 11, 10, 24, 45, 64, 19, 17, 38, 0, 50, 1, 17, 80, 69]","[99, 90, 93, 75, 100, 76, 100, 99, 90, 100, 75, 100]","[100, 55, 98, 65, 97, 100, 100, 100, 83, 100, 71, 100]","[95, 87, 51, 58, 95, 76, 72, 100, 84, 100, 45, 75]","[90, 21, 97, 70, 13, 100, 72, 54, 96, 100, 4, 53]","[75, 81, 52, 41, 65, 81, 89, 85, 85, 100, 72, 57]","[97, 97, 97, 93, 100, 100, 60, 27, 91, 100, 100, 52]","[96, 96, 45, 67, 27, 100, 100, 74, 96, 100, 80, 100]","[94, 97, 78, 70, 89, 53, 4, 10, 85, 100, 52, 100]","[95, 96, 97, 57, 95, 94, 98, 40, 90, 100, 50, 100]","[95, 78, 98, 64, 72, 84, 51, 87, 77, 100, 54, 100]","[10, 29, 47, 19, 7, 7, 45, 83, 5, 100, 33, 54]"
