,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
Ancestor and Descendant,"[65, 70, 99, 100, 89, 20, 100, 71, 100, 78, 100]","[55, 27, 8, 43, 0, 5, 0, 54, 13, 8, 10]","[60, 28, 79, 100, 100, 90, 75, 29, 100, 53, 100]","[90, 37, 95, 100, 0, 100, 100, 65, 100, 14, 90]","[30, 48, 61, 0, 100, 10, 0, 53, 62, 95, 100]","[30, 19, 85, 17, 0, 75, 90, 47, 42, 4, 100]","[85, 44, 35, 100, 100, 11, 100, 91, 100, 83, 100]","[80, 33, 77, 100, 62, 100, 100, 73, 100, 73, 100]","[20, 33, 57, 100, 0, 1, 75, 17, 100, 11, 29]","[25, 43, 6, 0, 0, 4, 0, 63, 6, 84, 85]","[25, 38, 78, 73, 0, 100, 25, 1, 13, 91, 1]","[100, 0, 76, 80, 62, 100, 20, 10]","[78, 68, 43, 25, 90, 100, 1, 10]","[78, 98, 50, 98, 76, 100, 1, 41]","[1, 100, 22, 0, 8, 0, 1, 10]","[81, 68, 42, 0, 83, 100, 1, 1]","[61, 66, 2, 0, 1, 0, 1, 0]","[91, 100, 18, 0, 57, 75, 10, 0]","[2, 0, 52, 49, 1, 100, 1, 3]","[52, 45, 73, 45, 15, 0, 1, 100]","[5, 51, 1, 0, 3, 0, 1, 10]","[11, 31, 1, 0, 1, 0, 1, 100]","[39, 57, 75, 100, 74, 70, 86, 0, 20, 100, 50]","[15, 100, 54, 54, 94, 70, 99, 0, 86, 100, 17]","[29, 76, 19, 34, 95, 50, 99, 0, 90, 98, 70]","[10, 9, 5, 0, 8, 1, 0, 0, 1, 2, 17]","[11, 14, 22, 6, 94, 100, 50, 0, 60, 30, 55]","[100, 19, 87, 100, 94, 100, 100, 100, 100, 90, 30]","[19, 18, 8, 50, 49, 50, 90, 25, 15, 40, 28]","[10, 28, 4, 66, 83, 100, 92, 0, 90, 90, 24]","[100, 68, 51, 100, 93, 100, 100, 50, 100, 98, 38]","[5, 21, 49, 5, 95, 100, 80, 0, 85, 98, 63]","[100, 100, 84, 100, 72, 100, 93, 100, 70, 80, 77]"
Athlete and Referee,"[10, 24, 15, 5]","[19, 0, 18, 0]","[5, 0, 4, 100]","[8, 0, 11, 6]","[28, 100, 81, 0]","[15, 0, 5, 39]","[23, 100, 93, 34]","[50, 0, 5, 51]","[17, 0, 95, 0]","[22, 3, 89, 100]","[13, 51, 27, 54]","[5, 29, 62, 2, 14, 54, 77]","[5, 20, 10, 2, 5, 32, 16]","[41, 50, 59, 35, 20, 74, 80]","[26, 5, 78, 24, 9, 77, 8]","[84, 70, 92, 51, 10, 79, 12]","[47, 54, 91, 95, 12, 79, 70]","[11, 20, 10, 13, 9, 61, 6]","[2, 9, 1, 13, 7, 3, 7]","[56, 41, 60, 12, 10, 78, 36]","[74, 55, 66, 52, 23, 11, 47]","[32, 13, 73, 4, 14, 49, 12]","[75, 100, 60, 22, 29, 5, 48]","[30, 75, 15, 13, 51, 35, 43]","[20, 3, 40, 66, 50, 0, 73]","[98, 100, 90, 91, 71, 100, 78]","[8, 100, 20, 76, 33, 80, 16]","[6, 25, 5, 22, 3, 30, 17]","[62, 25, 50, 63, 32, 90, 49]","[65, 100, 60, 27, 19, 5, 22]","[81, 40, 80, 44, 42, 50, 35]","[37, 1, 60, 11, 31, 50, 70]","[44, 69, 70, 8, 28, 15, 47]"
Athletic trainer and Trainee,"[34, 73, 76, 100, 36, 50, 73, 7, 93, 56, 66, 90]","[35, 41, 23, 28, 31, 29, 26, 8, 36, 35, 18, 81]","[92, 45, 53, 100, 60, 30, 71, 9, 83, 48, 28, 83]","[18, 36, 23, 90, 29, 24, 35, 29, 10, 0, 44, 75]","[75, 58, 57, 51, 63, 85, 29, 11, 83, 45, 12, 75]","[35, 32, 15, 63, 50, 6, 15, 9, 12, 50, 1, 53]","[26, 9, 46, 80, 59, 78, 81, 32, 67, 88, 61, 64]","[24, 68, 9, 33, 45, 22, 26, 55, 27, 10, 8, 44]","[61, 89, 33, 91, 82, 80, 88, 43, 84, 84, 55, 65]","[24, 72, 70, 68, 85, 79, 90, 53, 69, 43, 84, 67]","[86, 92, 58, 69, 59, 93, 37, 54, 29, 43, 49, 49]","[67, 30, 5, 28, 4, 60, 55, 9, 84]","[1, 25, 5, 5, 1, 40, 44, 53, 32]","[88, 100, 21, 100, 94, 80, 100, 65, 90]","[55, 100, 9, 32, 2, 30, 39, 11, 74]","[85, 0, 3, 1, 28, 70, 71, 76, 8]","[94, 100, 66, 25, 83, 100, 82, 52, 78]","[5, 60, 2, 71, 24, 70, 63, 59, 80]","[51, 0, 3, 1, 1, 0, 81, 6, 1]","[50, 0, 17, 2, 12, 65, 59, 9, 13]","[56, 100, 39, 14, 71, 55, 34, 48, 83]","[2, 0, 1, 15, 2, 20, 80, 6, 15]","[87, 85, 84, 31, 46, 80, 90, 74, 50, 96, 75, 19, 72]","[100, 77, 93, 90, 79, 58, 0, 63, 71, 90, 75, 32, 68]","[100, 84, 86, 90, 87, 77, 68, 79, 96, 100, 74, 71, 62]","[98, 91, 41, 100, 26, 52, 100, 100, 100, 99, 97, 72, 85]","[100, 68, 100, 0, 78, 52, 100, 69, 85, 12, 85, 78, 74]","[74, 63, 71, 45, 40, 23, 57, 17, 33, 62, 28, 30, 53]","[45, 70, 83, 55, 75, 44, 100, 92, 35, 100, 99, 49, 75]","[81, 77, 93, 65, 82, 72, 71, 95, 80, 99, 94, 39, 57]","[90, 90, 72, 76, 87, 28, 100, 55, 61, 99, 98, 62, 41]","[93, 94, 71, 100, 90, 35, 66, 84, 70, 97, 93, 54, 49]","[88, 69, 58, 80, 56, 40, 52, 68, 62, 100, 61, 50, 25]"
Aunt and Niece/Nephew,"[100, 80, 100, 76, 55, 94, 100]","[71, 49, 85, 6, 57, 92, 32]","[98, 86, 100, 61, 61, 91, 89]","[98, 95, 100, 90, 55, 93, 89]","[5, 2, 0, 1, 64, 66, 58]","[96, 86, 100, 58, 61, 76, 80]","[26, 85, 100, 59, 48, 47, 16]","[98, 84, 100, 71, 44, 82, 73]","[5, 6, 0, 2, 52, 75, 80]","[4, 12, 0, 5, 66, 19, 5]","[5, 6, 0, 82, 43, 40, 9]","[29, 68, 67, 100, 90, 100, 90]","[76, 78, 65, 62, 81, 88, 90]","[40, 50, 49, 8, 71, 99, 60]","[11, 0, 15, 3, 92, 76, 5]","[90, 100, 18, 41, 84, 31, 5]","[8, 0, 2, 30, 81, 100, 10]","[78, 94, 77, 100, 94, 91, 90]","[7, 0, 0, 2, 100, 3, 1]","[10, 11, 10, 5, 98, 16, 15]","[19, 67, 29, 8, 100, 68, 5]","[9, 29, 5, 2, 100, 48, 1]","[90, 6, 0, 71, 43, 83, 50, 100]","[70, 89, 100, 89, 25, 100, 90, 100]","[85, 90, 0, 100, 39, 100, 95, 100]","[1, 2, 0, 2, 4, 1, 1, 5]","[75, 96, 100, 95, 72, 99, 71, 90]","[96, 87, 100, 100, 95, 94, 92, 100]","[15, 95, 0, 100, 32, 91, 72, 100]","[50, 70, 48, 98, 56, 93, 85, 100]","[70, 81, 52, 100, 55, 71, 75, 100]","[80, 91, 100, 100, 55, 78, 87, 90]","[90, 10, 64, 33, 70, 61, 76, 10]"
Babysitter and Infant,"[71, 50, 91, 98]","[21, 20, 18, 0]","[68, 80, 83, 100]","[16, 100, 85, 100]","[9, 13, 0, 0]","[75, 70, 100, 10]","[13, 51, 100, 24]","[12, 0, 18, 53]","[21, 100, 17, 8]","[55, 100, 7, 0]","[67, 100, 11, 0]","[80, 60, 86, 2, 60, 1, 84]","[80, 40, 70, 100, 85, 82, 98]","[90, 75, 9, 100, 88, 57, 80]","[71, 60, 90, 100, 71, 81, 14]","[85, 50, 70, 5, 8, 97, 6]","[72, 90, 93, 100, 73, 93, 78]","[80, 75, 51, 100, 77, 85, 92]","[5, 5, 1, 10, 10, 4, 87]","[62, 10, 10, 3, 4, 13, 5]","[48, 70, 90, 50, 12, 27, 56]","[32, 4, 1, 4, 19, 1, 88]","[15, 100, 44, 10, 8, 30, 22]","[99, 100, 65, 29, 42, 80, 63]","[87, 50, 75, 24, 1, 10, 64]","[79, 100, 85, 0, 31, 50, 66]","[54, 100, 80, 96, 17, 90, 73]","[97, 100, 40, 22, 17, 0, 22]","[97, 1, 60, 18, 5, 100, 55]","[99, 1, 85, 93, 100, 80, 62]","[98, 100, 85, 78, 62, 50, 56]","[100, 100, 70, 44, 80, 90, 72]","[93, 91, 80, 40, 100, 100, 59]"
Between Business Partners,"[62, 100, 72, 21, 88, 90, 72]","[78, 100, 74, 22, 85, 100, 77]","[28, 100, 33, 23, 83, 84, 78]","[20, 14, 53, 15, 95, 15, 83]","[82, 53, 84, 77, 89, 98, 86]","[11, 0, 32, 38, 87, 25, 18]","[67, 100, 8, 74, 61, 36, 75]","[2, 0, 5, 65, 54, 8, 52]","[85, 100, 77, 77, 85, 100, 76]","[84, 82, 74, 83, 75, 98, 66]","[79, 100, 63, 69, 77, 78, 52]","[48, 59, 51, 43, 41, 44, 56, 90, 46, 16, 40, 48, 44, 46]","[3, 12, 50, 5, 19, 16, 0, 50, 0, 5, 9, 4, 7, 12]","[92, 67, 85, 68, 77, 100, 46, 55, 92, 76, 55, 56, 54, 54]","[94, 80, 100, 93, 92, 100, 100, 90, 100, 76, 67, 85, 94, 77]","[15, 9, 44, 10, 12, 83, 49, 1, 13, 98, 52, 59, 60, 61]","[59, 48, 47, 51, 59, 90, 53, 100, 53, 82, 29, 48, 39, 43]","[12, 17, 57, 36, 3, 68, 51, 1, 10, 4, 18, 45, 51, 45]","[13, 19, 5, 14, 14, 0, 0, 1, 0, 3, 2, 5, 5, 8]","[14, 7, 40, 9, 11, 0, 30, 60, 10, 35, 3, 23, 20, 20]","[38, 46, 87, 36, 51, 100, 0, 100, 45, 100, 89, 6, 8, 13]","[17, 12, 56, 24, 6, 0, 0, 1, 3, 9, 2, 3, 7, 8]","[55, 89, 10, 38, 57, 62, 7, 57, 39, 59, 51]","[60, 29, 37, 76, 55, 54, 38, 45, 81, 53, 83]","[100, 86, 18, 77, 68, 76, 21, 88, 85, 58, 87]","[60, 73, 86, 34, 77, 76, 89, 67, 29, 73, 84]","[95, 61, 4, 56, 65, 67, 14, 81, 65, 56, 87]","[71, 44, 5, 60, 12, 3, 11, 11, 54, 11, 52]","[100, 68, 4, 25, 80, 86, 14, 87, 22, 79, 80]","[89, 63, 10, 46, 45, 53, 9, 44, 51, 39, 55]","[77, 77, 40, 57, 33, 42, 45, 49, 58, 36, 62]","[100, 79, 69, 56, 67, 65, 60, 53, 49, 69, 61]","[26, 53, 14, 72, 14, 20, 13, 20, 77, 12, 62]"
Between Close Friends,"[100, 90, 98, 99, 91, 78, 44, 72]","[100, 86, 84, 100, 83, 66, 38, 75]","[100, 82, 98, 87, 78, 92, 34, 62]","[100, 84, 100, 98, 100, 74, 13, 42]","[0, 18, 1, 5, 25, 12, 46, 20]","[100, 75, 81, 95, 89, 67, 34, 62]","[51, 20, 1, 14, 66, 67, 48, 52]","[100, 81, 100, 100, 47, 57, 31, 55]","[97, 27, 63, 8, 67, 60, 44, 45]","[7, 22, 19, 7, 32, 7, 54, 22]","[73, 24, 2, 12, 61, 7, 46, 79]","[100, 85, 85, 86, 78, 93, 96, 100]","[84, 80, 94, 76, 87, 75, 77, 69]","[87, 80, 94, 69, 62, 50, 29, 23]","[20, 50, 29, 34, 11, 21, 28, 85]","[53, 50, 73, 74, 8, 22, 8, 100]","[26, 20, 82, 73, 20, 28, 14, 21]","[100, 95, 94, 89, 84, 84, 83, 100]","[19, 0, 26, 7, 49, 19, 4, 17]","[29, 10, 3, 5, 24, 30, 7, 2]","[36, 30, 61, 11, 36, 48, 13, 21]","[6, 5, 7, 7, 4, 6, 3, 6]","[100, 55, 42, 100, 41, 94, 90, 84, 37, 7, 88, 100, 79]","[100, 100, 90, 100, 100, 94, 85, 95, 82, 100, 100, 100, 64]","[100, 100, 90, 100, 99, 95, 100, 96, 36, 100, 95, 95, 97]","[13, 0, 7, 1, 0, 0, 5, 49, 4, 3, 2, 3, 87]","[100, 100, 62, 100, 100, 95, 88, 95, 76, 86, 100, 96, 75]","[100, 100, 94, 100, 88, 89, 85, 92, 86, 94, 100, 98, 78]","[100, 85, 91, 86, 86, 90, 75, 78, 72, 50, 96, 99, 80]","[100, 89, 31, 69, 90, 98, 84, 76, 71, 62, 82, 87, 94]","[93, 100, 95, 90, 89, 89, 100, 91, 98, 91, 97, 99, 87]","[100, 100, 95, 100, 97, 98, 100, 87, 86, 100, 100, 100, 83]","[100, 7, 8, 4, 4, 14, 7, 68, 9, 21, 7, 13, 87]"
Between Co-workers,"[100, 80, 72, 43, 100, 50, 52, 71]","[1, 50, 90, 59, 6, 20, 57, 95]","[71, 42, 83, 69, 53, 33, 59, 33]","[6, 34, 14, 70, 11, 10, 63, 38]","[53, 66, 56, 85, 100, 92, 52, 58]","[4, 65, 21, 28, 58, 40, 52, 15]","[100, 53, 61, 35, 100, 70, 60, 88]","[72, 58, 53, 68, 31, 36, 53, 51]","[63, 76, 90, 64, 100, 80, 69, 89]","[56, 62, 47, 72, 49, 88, 43, 62]","[99, 72, 61, 75, 100, 91, 41, 63]","[87, 97, 60, 5, 48, 90, 10, 100, 76, 92]","[0, 2, 50, 5, 26, 0, 4, 0, 0, 0]","[85, 82, 100, 89, 92, 87, 88, 100, 80, 90]","[84, 86, 100, 37, 28, 82, 26, 100, 80, 89]","[0, 7, 90, 21, 7, 0, 6, 0, 0, 0]","[94, 92, 5, 30, 4, 92, 28, 100, 76, 81]","[90, 82, 85, 39, 88, 91, 79, 100, 80, 89]","[2, 15, 5, 5, 7, 0, 0, 0, 3, 0]","[45, 44, 40, 42, 19, 48, 64, 49, 39, 52]","[92, 84, 90, 74, 70, 89, 58, 100, 79, 89]","[0, 9, 5, 13, 29, 0, 0, 0, 5, 0]","[22, 70, 29, 80, 100, 70]","[72, 100, 39, 90, 100, 75]","[85, 88, 80, 100, 99, 70]","[92, 100, 100, 60, 100, 90]","[92, 100, 30, 40, 57, 80]","[35, 89, 32, 40, 100, 80]","[100, 94, 85, 100, 74, 90]","[80, 93, 66, 5, 100, 75]","[50, 75, 55, 100, 100, 75]","[50, 67, 30, 50, 98, 70]","[88, 54, 36, 1, 77, 40]"
Between Facebook Friends,"[13, 3, 81, 70, 71, 51, 80, 50]","[23, 8, 100, 4, 97, 90, 100, 38]","[13, 43, 50, 73, 90, 1, 50, 39]","[58, 42, 60, 82, 85, 33, 70, 50]","[18, 66, 2, 5, 32, 11, 10, 9]","[46, 25, 40, 86, 24, 36, 61, 53]","[13, 50, 100, 73, 73, 52, 100, 53]","[7, 60, 70, 84, 52, 65, 100, 83]","[15, 51, 70, 76, 67, 50, 70, 84]","[10, 46, 20, 18, 32, 2, 0, 49]","[10, 48, 1, 51, 23, 31, 10, 83]","[40, 78, 85, 5, 47, 46, 100, 4, 50, 40, 45, 87, 29, 2, 16, 33]","[46, 52, 75, 48, 34, 75, 70, 52, 40, 55, 36, 65, 17, 34, 52, 47]","[20, 76, 50, 64, 54, 71, 75, 46, 40, 58, 36, 35, 62, 31, 62, 14]","[29, 9, 30, 1, 12, 11, 10, 6, 0, 50, 32, 36, 5, 3, 29, 3]","[33, 35, 2, 1, 12, 37, 89, 7, 0, 40, 10, 29, 2, 3, 38, 4]","[14, 16, 4, 6, 13, 7, 5, 1, 50, 30, 22, 28, 3, 8, 44, 9]","[20, 33, 60, 94, 20, 59, 64, 47, 50, 65, 27, 75, 5, 20, 79, 44]","[1, 14, 5, 1, 5, 65, 27, 4, 30, 40, 4, 53, 1, 2, 6, 3]","[38, 36, 2, 13, 24, 10, 8, 32, 35, 35, 48, 13, 16, 2, 0, 1]","[36, 15, 35, 8, 43, 5, 18, 5, 5, 20, 70, 12, 13, 1, 33, 3]","[27, 6, 2, 1, 5, 13, 10, 57, 15, 20, 26, 8, 4, 2, 0, 2]","[6, 42, 44, 40, 37, 6, 22, 81, 0]","[53, 45, 48, 47, 50, 15, 75, 90, 0]","[70, 39, 43, 48, 55, 33, 35, 77, 17]","[16, 51, 60, 64, 64, 2, 8, 43, 0]","[66, 85, 90, 97, 88, 9, 84, 2, 56]","[63, 91, 89, 93, 91, 100, 59, 48, 50]","[34, 49, 51, 45, 41, 14, 55, 48, 86]","[48, 86, 95, 91, 85, 7, 62, 5, 34]","[59, 63, 62, 57, 56, 14, 64, 20, 76]","[51, 78, 83, 75, 72, 30, 84, 53, 59]","[45, 49, 51, 51, 59, 6, 58, 21, 50]"
Between Siblings,"[70, 66, 74, 43, 96, 54, 80, 56, 51]","[80, 69, 59, 60, 96, 34, 90, 90, 40]","[100, 83, 98, 78, 98, 45, 80, 42, 55]","[100, 83, 97, 95, 96, 85, 90, 47, 52]","[3, 1, 0, 16, 16, 4, 5, 3, 20]","[100, 92, 74, 68, 74, 53, 85, 57, 65]","[100, 27, 27, 100, 96, 36, 30, 53, 70]","[85, 51, 74, 100, 97, 66, 85, 70, 100]","[10, 95, 68, 0, 98, 63, 30, 100, 54]","[2, 8, 28, 0, 84, 24, 10, 55, 94]","[50, 86, 1, 0, 95, 19, 50, 67, 50]","[100, 100, 100, 100, 79, 100, 100, 59]","[100, 100, 100, 95, 90, 100, 100, 7]","[84, 100, 100, 80, 70, 100, 100, 12]","[7, 2, 4, 1, 0, 59, 21, 24]","[92, 1, 2, 1, 0, 17, 4, 7]","[89, 47, 14, 45, 0, 20, 5, 17]","[100, 100, 100, 95, 78, 27, 100, 42]","[42, 2, 100, 1, 0, 36, 3, 36]","[32, 71, 63, 15, 41, 71, 4, 18]","[42, 21, 5, 90, 39, 59, 24, 43]","[2, 3, 1, 10, 33, 83, 7, 32]","[63, 97, 87, 47, 13]","[100, 100, 100, 100, 100]","[87, 100, 100, 50, 100]","[10, 3, 0, 5, 0]","[52, 85, 100, 22, 94]","[100, 100, 100, 100, 100]","[50, 100, 79, 48, 91]","[100, 100, 71, 52, 100]","[100, 100, 100, 50, 100]","[100, 94, 92, 50, 100]","[49, 86, 85, 50, 23]"
