,0
0,Valence Evaluation
1,Equality
2,Activity Intensity
3,Socioemotional
4,Formality and Regulation
5,Intimacy
6,Visibility
7,Communal Sharing
8,Expected Reciprocity
9,Strategic
10,Concreteness
11,Uniqueness
12,Love Expression
13,Information Exchange
14,Money Exchange
15,Goods Exchange
16,Service Exchange
17,Attachment
18,Mating
19,Conflict
20,Negotiation
21,Coercion
22,Importance for society
23,Importance for individuals
24,Affiliation Coalition
25,Occupational
26,Activeness
27,Endurance
28,Synchronicity
29,Spatial Distance
30,Morality
31,Trust
32,Generation Gap
