,one,common,two
0,Wife and Husband,Wife-Husband,wife and husband
1,Volunteer and Organizer,Volunteer-Organizer,volunteer and organizer
2,Victim and Witness,Victim-Witness,victim and witness
3,Victim and Criminal,Victim-Criminal,victim and criminal
4,University student and Administrator,University student-Administrator,university student and administrator
5,Union leader and union member,Union leader-union member,union leader and union member
6,Uncle and Niece/Nephew,Uncle-Niece/Nephew,uncle and niece/nephew
7,Between twins,Twins,twins
8,Therapist and Patient,Therapist-Patient,therapist and patient
9,Television host and Guest,Television host-Guest,television host and guest
10,Between teammates in sports,Teammates in sports,teammates in sports
11,Team Captain and Team Members,Team captain-Team members,team captain and team members
12,Teacher and Student,Teacher-Student,teacher and student
13,Supervisor and Subordinate,Supervisor-Subordinate,supervisor and subordinate
14,Superior and Subordinate,Superior-Subordinate,superior and subordinate
15,Sugar-daddy and Sugar-baby,Sugar daddy-Sugar baby,sugar daddy and sugar baby
16,Student and Dorm Resident assistant,Student-Dorm Resident assistant,student and dorm resident assistant
17,Between strangers,Strangers,strangers
18,Step-parent and Step-child,Step-parent-Step-child,step parent and step child
19,Step-grandparent and Step-grandchild,Step-grandparent-Step-grandchild,step grandparent and step grandchild
20,Between step-siblings,Step siblings,step siblings
21,Between sports rivals,Sports rivals,sports rivals
22,Between soul-mates,Soul mates,soul mates
23,Between sorority sisters,Sorority sisters,sorority sisters
24,Slave and Master,Slave-Master,slave and master
25,Between Siblings,Siblings,siblings
26,Between second cousins,Second cousins,second cousins
27,Salesperson and Customer,Salesperson-Customer,salesperson and customer
28,Between roommates,Roommates,roommates
29,Between romantic rivals,Romantic rivals,romantic rivals
30,Between romantic lovers,Romantic lovers,romantic lovers
31,Reviewer and Writer,Reviewer-Writer,reviewer and writer
32,Researcher and Research Subject,Researcher-Research Subject,researcher and research subject
33,Representative and Citizen,Representative-Citizen,representative and citizen
34,Religious leader and Congregant,Religious leader-Congregant,religious leader and congregant
35,Between religious followers,Religious followers,religious followers
36,Reader and Writer,Reader-Writer,reader and writer
37,Psychologist and Client,Psychologist-Client,psychologist and client
38,Prostitute and Customer,Prostitute-Customer,prostitute and customer
39,Professor and Teaching Assistant,Professor-Teaching Assistant,professor and teaching assistant
40,Professor and Graduate student,Professor-Graduate student,professor and graduate student
41,Principal and Teacher,Principal-Teacher,principal and teacher
42,Predecessor and Successor,Predecessor-Successor,predecessor and successor
43,Politician and Supporter,Politician-Supporter,politician and supporter
44,Between political opponents,Political opponents,political opponents
45,Between political allies,Political allies,political allies
46,Police officer and Offender,Police officer-Offender,police officer and offender
47,Police officer and Civilian,Police officer-Civilian,police officer and civilian
48,Between playmates,Playmates,playmates
49,Performer and Audience,Performer-Audience,performer and audience
50,Between pen-friends,Pen-friends,pen friends
51,Between peers,Peers,peers
52,Patient and Caretaker,Patient-Caretaker,patient and caretaker
53,Parole officer and Parolee,Parole officer-Parolee,parole officer and parolee
54,Parent and Teenager,Parent-Teenager,parent and teenager
55,Parent and Infant,Parent-Infant,parent and infant
56,Parent and Child,Parent-Child,parent and child
57,Owner and Manager,Owner-Manager,owner and manager
58,Between opposing negotiators,Opposing negotiators,opposing negotiators
59,Officer and Soldier,Officer-Soldier,officer and soldier
60,Nurse and Patient,Nurse-Patient,nurse and patient
61,Between neighbors,Neighbors,neighbors
62,Native and Tourist,Native-Tourist,native and tourist
63,Mother and Infant,Mother-Infant,mother and infant
64,Mentor and Mentee,Mentor-Mentee,mentor and mentee
65,Master and Servant,Master-Servant,master and servant
66,Man and His Mistress,Man-His Mistress,man and his mistress
67,Man and God,Man-God,man and god
68,Manager and Staff,Manager-Staff,manager and staff
69,Manager and Assistant,Manager-Assistant,manager and assistant
70,Man Wife and Man Mistress,Man Wife-Man Mistress,man wife and man mistress
71,Between long-distance lovers,Long-distance lovers,long distance lovers
72,Between life-partners,Life partners,life partners
73,Leader and Follower,Leader-Follower,leader and follower
74,Lawyer and Client,Lawyer-Client,lawyer and client
75,Landlord and Tenant,Landlord-Tenant,landlord and tenant
76,Landlord and Housekeeper,Landlord-Housekeeper,landlord and housekeeper
77,Judge and Lawyer,Judge-Lawyer,judge and lawyer
78,Judge and Contestant,Judge-Contestant,judge and contestant
79,Interviewer and Job applicant,Interviewer-Job applicant,interviewer and job applicant
80,Intern and Employee,Intern-Employee,intern and employee
