,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap,cl_k3
Parent and Child,1.2209862486433214,-1.4119836065194713,1.9797700508015372,-1.4906042925383531,-1.482316118631618,2.048136172783258,-1.1192019179670738,1.88614496214928,-0.9338913850322962,-1.70290784911562,-1.0487763327600383,2.1341705747946085,2.029165058617817,1.222016773402252,-0.7817631462986598,-1.09943524886192,-0.8771844320618208,2.0355988663355373,2.3765678471836544,-1.0901589575219537,-1.2042212296152406,-0.0480167088191301,1.222346049787222,1.921045587736865,1.453115918632271,-0.9964415862887028,-0.2563234871038189,1.627266093217711,1.557047737984048,1.900334124360868,1.0703242255949137,1.32735604336428,2.0715689494582943,1
Parent and Teenager,0.005169239455811,-1.0636236137877964,0.9938603766464706,-0.8379121199275722,-1.4448044611375557,1.315303752894116,-1.1050914121549396,1.54112891256848,-0.8542649679235351,-1.5195479080127086,-0.9180495169881088,2.154850142191421,1.973192102816396,1.1095959399913806,-0.4854580037490071,-1.0630935540713589,-0.8295204885988373,2.0021340644969507,2.381797588152233,-0.3979073865292772,-0.6890463806449139,0.448622772287163,1.4908480309038834,1.7870476657671883,1.3993776104159834,-0.9808168597441468,-0.0320141135005333,1.4760923216489632,1.6953320547565265,1.7722843349313353,1.0573240408629103,1.0197516699189637,1.8632470997429504,1
Wife and Husband,1.0833465872258676,1.8092711410857687,1.7737590741124194,-1.1453395925340994,-1.4560579583857742,2.3496443683947903,-1.1380159257165865,1.9585557379872252,1.987402792645372,-1.2314108577081333,-0.4550587111291905,1.9790738193185156,1.965195966273336,0.7937469318370273,-0.1673657183648212,-0.7239044026927894,-0.6626966864783951,1.7917838815115488,3.4800431915537056,-0.302788850057001,0.5639097335174854,-0.8303939735756195,0.5427004100856722,1.708497159784964,1.3205614250320952,-0.6969676608513807,0.0881516223583692,1.446595000367256,1.070046448480972,1.8460099712695517,1.013990091756234,1.101072366347036,-1.5448983616000789,1
Fiance and Fiancee,1.161342395362425,1.7877674378307271,1.6658485625133568,-1.457496718565343,-1.4072928036434929,2.3915205066741696,-1.1144984160296958,1.847809845529191,1.882893120190123,-1.2925308380757703,-0.4986343163865007,1.612011498025095,1.8612461912135536,0.617085622191372,-0.5028877180166338,-0.7239044026927894,-0.7484917847117654,1.69617016197273,3.485272932522284,-0.498310286138902,0.3603838672576033,-0.9120333403328184,0.1147753776809926,1.3804332818592044,1.0088792373776287,-0.7360294772127705,-0.0159920153860131,0.9525148688986648,1.1421947876666123,1.3764940766945986,1.0096566968455665,1.2354282995760246,-1.4990675546627032,1
Between Siblings,0.0785770588784531,0.5534548709913363,1.013480469664482,-0.9088569212983092,-1.5048231131280556,1.3529922773455576,-1.3167489993369537,1.409085733099285,0.6636136082122207,-0.9432738074035578,-0.6783836880729041,1.7826179290487971,1.6053698218356285,0.1459887964696246,-0.6248957178900202,-0.7663030466151106,-1.1965328532638104,1.3471800856560407,-0.3010595287285074,-0.1125517771124487,-0.1865918983158299,-0.7351480456922208,0.3287378938833326,1.505189967830972,1.338474194437525,-0.9365468012012382,-0.3684781739054617,1.8779933241122204,0.8235396229300322,1.3066487370057622,1.0919912001482517,1.1081437312538245,-1.0032615523401842,1
Between divorced spouses,-1.6648586524092976,0.6480711653135196,-1.4880813901319565,0.5809839074871693,0.5283087230501423,-0.6612499738925981,-0.3666416079865791,-0.9037996363127444,0.2953414290842013,0.816108484607713,0.9774893117048736,0.6710911814701301,0.1060942200118467,-0.8283250930912619,1.0178548518337895,0.7418772871931711,-0.8295204885988373,-0.6033397929358661,0.6978209962699748,2.032899656651113,1.5942594314581386,0.1764915497631667,-0.3551030892731651,-0.477055153720449,-1.3484412163768436,-0.6865511764883434,0.0801405733011094,-0.3564287629770816,1.045997002085758,-1.7393841327573625,-0.5503654709947793,-1.3137987493213696,-1.50323399165701,2
Between a person and their in-laws,-0.3664578463713148,-0.3023925185593217,-0.6591324601209798,-0.0575193048494641,-0.1431499460935799,-0.1252354039165401,-0.5688921912938371,0.199399830865369,0.2405982673219281,-0.035205527655805,-0.1990520302424946,1.4414050670013925,0.8257465088872619,-0.5178294579564738,-0.219654861167701,-0.2938610143378175,-0.9629795302951912,-0.2830338324808226,-0.4161138300372331,-0.0491394194642647,-0.4346390478200612,-0.5174430676730237,-0.7117072829437314,0.2021756921258421,-0.4993759465595031,-0.5641574852226553,-0.0240030644432735,0.4326245813085794,0.384637226217383,-1.3047909080268272,0.0086424724813446,-0.1293451274342309,1.7007560569649818,0
Between cousins,0.0739890701645382,0.798597088098811,-0.3255908788147883,-0.620348062390645,-0.7808481234926457,0.3647154139522003,-0.7664392726637168,0.2718106067033146,0.4595709143710206,-0.4586796773458628,-0.378801401928898,1.332837338168127,0.9416904887616344,-0.1430933465869021,-0.982204860376366,-0.9237837240408748,-1.191766458917512,0.1806927072824493,-0.4945599445659097,-0.6885473590834543,-0.8353305970192042,-0.7895742901970201,-0.1579219468906167,0.3407942320944729,-0.1017124657589768,-0.7490500826665671,0.3925714865342571,1.1110629707878397,0.0359202534867852,-0.7305070039186204,0.8189873207761909,0.6485050123125469,-0.6657801558013269,1
Employer and Employee,-0.6361660400536115,-1.0556365240073524,0.6130203568147159,0.7401029619901083,1.0982179765492237,-0.4886604611268696,0.4981308196427931,-0.8904127701914434,0.0852556589445685,1.5760543629543045,1.5202390379008324,-0.8126677792511606,-0.6631341154305415,0.9104504636635508,1.9128706794764168,0.2100771534246283,0.9988683826412104,-0.2266217379529193,-0.5761439036757334,0.2763773497964137,0.0576391411960284,-0.1650331345044485,1.164450310108942,0.3312449548966339,0.2063871680144041,1.4941398249135125,0.1255365179589172,0.1767353191897717,-0.5717290920989461,0.7675461891852655,0.4419819635481074,0.23930869637303,0.1613964688017327,0
Interviewer and Job applicant,-0.8662209027084989,-1.0169298581482773,-1.2946833303829883,0.9924637554374446,1.3875936200748504,-0.9113103424751788,-0.4513046428593847,-1.1888790353049927,0.1076505887564076,1.7416396158890763,0.5397879196113586,-1.2552105215429463,-0.8262553009089688,0.1952398282496254,0.6195858808185212,-0.4828378272487347,-0.1641318378555874,-1.2401271650644003,-0.5845114892254589,-0.2393764924088169,0.942976659426516,-0.8235906930125195,0.3645381580322207,-0.6005796748924959,-1.18340490092149,1.1026536209360276,-1.4077782716006844,-1.499695773653907,0.7642176551551718,-0.0007525473919302,0.2449569416097523,-0.6681831333315441,-0.037203694593562,0
