,Parent and Child,Parent and Teenager,Wife and Husband,Fiance and Fiancee,Between Siblings,Between divorced spouses,Between a person and their in-laws,Between cousins,Employer and Employee,Interviewer and Job applicant,Guard and Prisoner,Nurse and Patient,Therapist and Patient,Salesperson and Customer,Between Business Partners,Between opposing negotiators,Between political opponents,Between business rivals,Between enemies,Teacher and Student,Professor and Graduate student,Master and Servant,Between Close Friends,Between casual acquaintances,Between teammates in sports,Between second cousins,Parent and Infant,Grandparent and Grandchild,Step-parent and Step-child,Foster-parent and Foster-child,Godparent and Godchild,Step-grandparent and Step-grandchild,Ancestor and Descendant,Bride and Groom,Man and His Mistress,Man Wife and Man Mistress,Brother and Sister,Between step-siblings,Between distant relatives,Between close relatives,Between twins,Between a person and their family friends,Between a person and their deceased spouse,Manager and Staff,Foreman and Laborer,Owner and Manager,Union leader and union member,Manager and Assistant,Chief and Deputy,Supervisor and Subordinate,Boss and Secretary,Entrepreneur and Investor,Intern and Employee,Lawyer and Client,Judge and Lawyer,Victim and Criminal,Drug dealer and Addict,Victim and Witness,Criminal and Police officer,Criminal and Prosecutor,Criminal and Hostage,Defendant and Plaintiff,Police officer and Offender,Police officer and Civilian,Parole officer and Parolee,Consultant and Client,Chef and Customer,Customer and Server,Customer and Businessman,Doctor and Patient,Doctor and Nurse,Patient and Caretaker,Driver and Passenger,Coach and athlete,Team Captain and Team Members,Club Member and Club President,Politician and Supporter,Leader and Follower,Representative and Citizen,Officer and Soldier,Babysitter and Infant,Religious leader and Congregant,Between religious followers,Prostitute and Customer,Guide and Tourist,Athlete and Referee,Slave and Master,Reader and Writer,Reviewer and Writer,Performer and Audience,Dealer and Buyer,Sugar-daddy and Sugar-baby,Director and Performer,Psychologist and Client,Judge and Contestant,Man and God,Between Co-workers,Between sports rivals,Between romantic rivals,Between criminal and their accomplice,Between diplomats,Principal and Teacher,Professor and Teaching Assistant,University student and Administrator,Student and Dorm Resident assistant,Mentor and Mentee,Athletic trainer and Trainee,Researcher and Research Subject,Between peers,Between classmates,Between roommates,Between sorority sisters,Between fraternity brothers,Bride and Bridesmaid,Groom and Groomsman,Predecessor and Successor,Landlord and Tenant,Landlord and Housekeeper,Guest and Host,Television host and Guest,Volunteer and Organizer,Celebrity and Fans,Celebrity and Haters,Native and Tourist,Bully and Victim,Between friends,Between Facebook Friends,Between a person and their social media follower,Between childhood friends,Between pen-friends,Between friends with benefits,Between political allies,Between romantic lovers,Between ex-lovers,Between life-partners,Between soul-mates,Between strangers,Between neighbors,Between church members,Between fans of the same sports team,Between fans of opposing sports teams,Superior and Subordinate,Aunt and Niece/Nephew,Uncle and Niece/Nephew,Between frenemies,Between half-siblings,Between adoptive parents and adopted kids,Mother and Infant,Between alumni,Between a monarch and their minister,Between confidants,Between a person and their significant other,Between companions,Between playmates,Between competitors in sports,Between a person and their crush,Between cohabitants,Between long-distance lovers,Between brothers-in-arms
Valence Evaluation,90.33333333333333,60.888888888888886,87.0,88.88888888888889,62.666666666666664,20.444444444444443,51.888888888888886,62.55555555555556,45.357142857142854,39.785714285714285,9.214285714285714,65.35714285714286,66.78571428571429,44.5,58.0,22.071428571428573,13.0,20.272727272727273,5.2727272727272725,65.27272727272727,61.45454545454545,35.72727272727273,74.36363636363636,57.90909090909091,65.45454545454545,73.0,86.45454545454545,89.0909090909091,78.9090909090909,76.18181818181819,67.36363636363636,64.27272727272727,62.5,81.08333333333333,55.25,8.833333333333334,74.58333333333333,63.25,56.833333333333336,83.91666666666667,65.11111111111111,83.33333333333333,75.88888888888889,51.111111111111114,49.111111111111114,66.22222222222223,64.88888888888889,79.77777777777777,77.33333333333333,49.25,69.58333333333333,80.5,74.25,90.08333333333333,49.5,9.5,74.92307692307692,41.84615384615385,1.6923076923076923,1.6923076923076923,12.153846153846153,4.0,7.384615384615385,62.30769230769231,44.61538461538461,64.61538461538461,68.46153846153847,68.0,60.84615384615385,78.76923076923077,62.30769230769231,87.84615384615384,73.7,86.6,82.3,74.9,71.2,66.8,64.7,51.6,78.81818181818181,78.27272727272727,83.81818181818181,26.0,72.36363636363636,36.54545454545455,11.454545454545455,77.9090909090909,42.0,86.22222222222223,59.05555555555556,62.72222222222222,72.0,88.72222222222223,40.94444444444444,68.88888888888889,64.71428571428571,16.0,19.642857142857142,60.357142857142854,52.5,76.78571428571429,77.21428571428571,55.857142857142854,56.76923076923077,83.38461538461539,88.53846153846153,60.92307692307692,55.61538461538461,67.07692307692308,70.53846153846153,66.61538461538461,78.41666666666667,73.58333333333333,75.5,49.5,56.416666666666664,57.083333333333336,81.5,56.416666666666664,88.11111111111111,85.66666666666667,0.7777777777777778,58.666666666666664,0.8888888888888888,92.44444444444444,44.666666666666664,75.77777777777777,89.63636363636364,74.36363636363636,76.72727272727273,55.0,88.45454545454545,33.18181818181818,88.9090909090909,95.0909090909091,35.22222222222222,58.333333333333336,58.333333333333336,61.55555555555556,6.777777777777778,67.33333333333333,84.0,83.66666666666667,11.466666666666667,74.73333333333333,84.53333333333333,94.06666666666666,47.06666666666667,45.46666666666667,74.8,87.86666666666666,90.15384615384616,66.07692307692308,22.46153846153846,74.53846153846153,77.46153846153847,86.92307692307692,88.84615384615384
Equality,8.222222222222221,17.22222222222222,91.44444444444444,90.88888888888889,59.0,61.44444444444444,36.888888888888886,65.33333333333333,17.428571428571427,18.428571428571427,6.928571428571429,31.0,28.214285714285715,48.07142857142857,83.35714285714286,57.0,72.9090909090909,69.36363636363636,53.54545454545455,16.0,19.90909090909091,5.909090909090909,79.63636363636364,73.72727272727273,83.72727272727273,80.18181818181819,18.545454545454547,35.18181818181818,19.454545454545453,19.454545454545453,29.454545454545453,32.72727272727273,27.083333333333332,82.91666666666667,51.5,35.0,84.41666666666667,79.75,65.58333333333333,78.91666666666667,91.77777777777777,59.666666666666664,72.0,16.666666666666668,9.777777777777779,23.77777777777778,14.88888888888889,23.444444444444443,31.916666666666668,15.166666666666666,16.0,50.75,28.416666666666668,43.166666666666664,31.25,20.75,27.076923076923077,51.0,3.923076923076923,6.923076923076923,2.0,16.615384615384617,3.8461538461538463,22.76923076923077,9.0,41.92307692307692,57.92307692307692,48.69230769230769,48.61538461538461,39.23076923076923,35.76923076923077,53.30769230769231,44.3,39.9,55.6,34.1,18.7,17.3,21.1,18.5,7.181818181818182,30.818181818181817,84.9090909090909,17.454545454545453,44.09090909090909,27.545454545454547,5.363636363636363,64.0909090909091,45.388888888888886,43.77777777777778,44.5,6.888888888888889,32.388888888888886,34.55555555555556,23.166666666666668,11.833333333333334,66.42857142857143,88.5,84.64285714285714,41.214285714285715,70.5,25.785714285714285,18.0,28.428571428571427,15.615384615384615,17.53846153846154,44.38461538461539,10.923076923076923,78.46153846153847,73.38461538461539,81.92307692307692,74.92307692307692,75.5,38.25,35.083333333333336,49.25,20.833333333333332,16.916666666666668,44.333333333333336,29.5,26.77777777777778,22.77777777777778,26.444444444444443,36.0,2.2222222222222223,86.66666666666667,67.33333333333333,42.111111111111114,85.27272727272727,76.0,69.27272727272727,53.81818181818182,88.63636363636364,66.63636363636364,87.81818181818181,96.0,53.333333333333336,70.11111111111111,59.111111111111114,80.33333333333333,65.0,5.888888888888889,42.0,42.44444444444444,60.86666666666667,59.6,34.266666666666666,26.066666666666666,73.06666666666666,25.4,73.8,79.93333333333334,74.38461538461539,74.46153846153847,67.07692307692308,41.53846153846154,74.53846153846153,71.0,61.92307692307692
Activity Intensity,98.88888888888889,76.55555555555556,94.22222222222223,91.77777777777777,77.0,20.333333333333332,39.111111111111114,46.666666666666664,67.92857142857143,24.714285714285715,69.21428571428571,55.0,57.57142857142857,27.928571428571427,79.71428571428571,58.92857142857143,50.18181818181818,52.18181818181818,53.54545454545455,48.72727272727273,45.81818181818182,46.81818181818182,74.0,26.545454545454547,80.27272727272727,40.90909090909091,94.63636363636364,68.18181818181819,88.72727272727273,81.0909090909091,44.0,65.9090909090909,69.33333333333333,87.16666666666667,66.41666666666667,11.0,73.75,55.416666666666664,31.25,64.16666666666667,92.66666666666667,78.44444444444444,58.55555555555556,61.888888888888886,48.111111111111114,65.0,18.0,76.11111111111111,55.166666666666664,53.416666666666664,71.08333333333333,58.583333333333336,43.5,76.75,34.083333333333336,14.0,51.38461538461539,25.46153846153846,32.61538461538461,36.92307692307692,42.61538461538461,51.61538461538461,33.38461538461539,12.692307692307692,65.84615384615384,47.0,22.307692307692307,31.0,41.61538461538461,55.38461538461539,79.38461538461539,74.92307692307692,8.7,81.7,84.1,34.4,25.1,21.5,20.9,73.2,64.36363636363636,56.18181818181818,59.72727272727273,9.363636363636363,18.181818181818183,36.18181818181818,66.18181818181819,27.454545454545453,27.22222222222222,43.44444444444444,27.72222222222222,67.94444444444444,78.83333333333333,82.61111111111111,26.666666666666668,72.83333333333333,60.785714285714285,40.0,57.714285714285715,47.285714285714285,54.92857142857143,63.642857142857146,65.14285714285714,28.5,21.615384615384617,68.61538461538461,72.46153846153847,34.38461538461539,34.23076923076923,66.61538461538461,84.3076923076923,72.23076923076923,70.33333333333333,74.5,70.91666666666667,22.75,22.166666666666668,20.833333333333332,68.5,27.583333333333332,66.11111111111111,51.666666666666664,15.666666666666666,21.444444444444443,72.66666666666667,84.88888888888889,34.888888888888886,51.333333333333336,57.09090909090909,48.54545454545455,45.09090909090909,50.36363636363637,91.0,37.81818181818182,91.81818181818181,74.18181818181819,15.88888888888889,42.22222222222222,51.111111111111114,39.888888888888886,5.555555555555555,47.333333333333336,75.33333333333333,75.66666666666667,44.86666666666667,72.33333333333333,88.66666666666667,94.6,38.13333333333333,37.46666666666667,53.93333333333333,84.6,72.84615384615384,65.3076923076923,33.38461538461539,67.0,92.46153846153847,46.92307692307692,72.92307692307692
Socioemotional,18.666666666666668,34.0,26.77777777777778,19.444444444444443,32.333333333333336,67.33333333333333,52.333333333333336,39.111111111111114,71.07142857142857,77.0,68.78571428571429,67.21428571428571,62.07142857142857,72.42857142857143,54.57142857142857,57.357142857142854,79.72727272727273,86.0,63.36363636363637,70.27272727272727,73.0909090909091,74.18181818181819,18.727272727272727,37.81818181818182,66.36363636363636,21.09090909090909,6.090909090909091,5.909090909090909,10.636363636363637,13.181818181818182,32.81818181818182,12.727272727272727,72.75,41.166666666666664,32.166666666666664,46.916666666666664,34.083333333333336,37.333333333333336,38.083333333333336,29.5,25.666666666666668,13.88888888888889,14.11111111111111,82.66666666666667,86.77777777777777,85.22222222222223,75.44444444444444,79.44444444444444,68.25,81.33333333333333,62.416666666666664,75.16666666666667,64.41666666666667,78.66666666666667,65.66666666666667,45.083333333333336,85.38461538461539,72.3076923076923,96.23076923076923,93.46153846153847,79.92307692307692,88.15384615384616,81.76923076923077,75.07692307692308,83.53846153846153,80.0,57.0,45.84615384615385,75.07692307692308,64.0,59.15384615384615,53.61538461538461,92.2,46.8,41.9,60.5,72.7,57.0,77.7,58.3,69.81818181818181,45.63636363636363,14.818181818181818,85.0,81.0909090909091,86.63636363636364,74.9090909090909,62.72727272727273,73.33333333333333,36.166666666666664,75.44444444444444,36.05555555555556,62.55555555555556,41.94444444444444,70.66666666666667,29.22222222222222,64.42857142857143,49.857142857142854,39.07142857142857,69.21428571428571,74.14285714285714,60.785714285714285,66.35714285714286,66.57142857142857,82.76923076923077,69.15384615384616,72.92307692307692,84.0,50.15384615384615,45.61538461538461,42.92307692307692,34.46153846153846,32.166666666666664,23.75,19.25,77.75,70.16666666666667,73.5,18.333333333333332,63.333333333333336,87.55555555555556,32.0,19.555555555555557,52.22222222222222,37.77777777777778,16.333333333333332,43.0,42.77777777777778,13.090909090909092,40.18181818181818,51.45454545454545,94.27272727272727,9.363636363636363,64.18181818181819,36.45454545454545,8.272727272727273,70.66666666666667,53.0,51.22222222222222,36.44444444444444,60.666666666666664,90.22222222222223,17.444444444444443,17.666666666666668,60.06666666666667,30.4,21.666666666666668,21.2,69.86666666666666,75.86666666666666,56.2,27.0,42.69230769230769,45.53846153846154,64.6923076923077,30.76923076923077,36.76923076923077,30.692307692307693,53.53846153846154
Formality and Regulation,4.777777777777778,5.888888888888889,5.555555555555555,7.0,4.111111111111111,64.33333333333333,44.44444444444444,25.555555555555557,81.21428571428571,89.78571428571429,83.71428571428571,63.42857142857143,70.07142857142857,67.71428571428571,27.285714285714285,73.64285714285714,78.9090909090909,75.36363636363636,46.27272727272727,54.72727272727273,58.72727272727273,53.45454545454545,8.636363636363637,24.818181818181817,49.54545454545455,15.545454545454545,5.909090909090909,6.636363636363637,14.0,16.90909090909091,38.36363636363637,16.727272727272727,29.75,16.0,19.583333333333332,23.083333333333332,14.083333333333334,12.25,24.833333333333332,14.75,2.4444444444444446,10.666666666666666,8.222222222222221,91.55555555555556,94.0,87.11111111111111,90.88888888888889,83.0,76.16666666666667,90.66666666666667,66.75,76.08333333333333,73.66666666666667,87.91666666666667,97.83333333333333,50.25,26.846153846153847,58.0,87.07692307692308,94.84615384615384,45.53846153846154,89.6923076923077,88.07692307692308,82.0,96.92307692307692,75.61538461538461,54.07692307692308,48.92307692307692,69.6923076923077,80.3076923076923,75.76923076923077,63.76923076923077,65.2,51.6,42.5,67.3,75.6,64.8,77.3,76.9,54.54545454545455,55.81818181818182,18.09090909090909,69.81818181818181,74.72727272727273,83.54545454545455,71.54545454545455,33.54545454545455,75.83333333333333,48.111111111111114,67.88888888888889,13.055555555555555,69.55555555555556,77.66666666666667,92.16666666666667,38.77777777777778,46.785714285714285,54.57142857142857,24.785714285714285,23.214285714285715,92.64285714285714,69.78571428571429,71.92857142857143,87.35714285714286,91.46153846153847,81.61538461538461,44.07692307692308,91.6923076923077,32.53846153846154,25.384615384615383,21.53846153846154,19.23076923076923,14.083333333333334,9.25,10.166666666666666,79.91666666666667,92.25,74.75,18.75,71.91666666666667,82.55555555555556,25.0,11.444444444444445,37.111111111111114,11.777777777777779,1.5555555555555556,14.777777777777779,28.333333333333332,20.90909090909091,35.81818181818182,16.454545454545453,91.81818181818181,19.272727272727273,49.36363636363637,25.636363636363637,17.636363636363637,60.666666666666664,39.888888888888886,75.11111111111111,23.444444444444443,26.77777777777778,93.0,18.11111111111111,19.11111111111111,37.6,18.133333333333333,18.666666666666668,10.733333333333333,64.73333333333333,93.8,34.266666666666666,19.133333333333333,20.153846153846153,37.76923076923077,74.46153846153847,9.846153846153847,16.46153846153846,5.230769230769231,56.92307692307692
Intimacy,89.66666666666667,70.22222222222223,97.66666666666667,98.77777777777777,71.22222222222223,17.77777777777778,32.0,45.0,22.357142857142858,11.142857142857142,15.214285714285714,33.357142857142854,23.5,10.571428571428571,42.785714285714285,12.428571428571429,6.818181818181818,5.818181818181818,7.181818181818182,17.454545454545453,11.909090909090908,18.545454545454547,59.72727272727273,28.545454545454547,28.181818181818183,57.0,94.9090909090909,85.18181818181819,87.45454545454545,81.72727272727273,49.36363636363637,75.81818181818181,52.583333333333336,85.58333333333333,67.58333333333333,19.25,60.083333333333336,49.666666666666664,38.083333333333336,56.5,84.44444444444444,79.33333333333333,75.33333333333333,9.222222222222221,6.444444444444445,8.666666666666666,2.111111111111111,11.88888888888889,10.666666666666666,6.0,27.083333333333332,33.833333333333336,21.25,47.416666666666664,7.75,9.916666666666666,23.46153846153846,22.307692307692307,14.0,18.23076923076923,17.23076923076923,12.0,15.307692307692308,22.53846153846154,12.692307692307692,12.076923076923077,10.923076923076923,11.461538461538462,14.538461538461538,33.69230769230769,17.153846153846153,43.07692307692308,8.0,25.1,26.6,5.8,9.7,13.5,5.4,17.2,60.27272727272727,27.636363636363637,34.90909090909091,25.363636363636363,10.272727272727273,9.636363636363637,9.818181818181818,35.54545454545455,13.666666666666666,44.5,9.444444444444445,78.38888888888889,41.388888888888886,71.38888888888889,20.333333333333332,69.44444444444444,18.142857142857142,14.071428571428571,46.714285714285715,22.642857142857142,10.928571428571429,18.357142857142858,16.642857142857142,8.428571428571429,4.153846153846154,10.23076923076923,35.69230769230769,19.53846153846154,27.846153846153847,42.61538461538461,54.69230769230769,64.3076923076923,74.08333333333333,69.83333333333333,69.25,12.75,10.666666666666666,11.583333333333334,54.083333333333336,20.333333333333332,13.777777777777779,40.333333333333336,20.88888888888889,10.333333333333334,54.44444444444444,79.11111111111111,29.77777777777778,27.77777777777778,63.54545454545455,31.454545454545453,86.63636363636364,10.818181818181818,94.72727272727273,26.181818181818183,59.72727272727273,64.27272727272727,14.777777777777779,25.444444444444443,21.666666666666668,28.444444444444443,5.111111111111111,8.444444444444445,59.22222222222222,59.0,14.8,41.46666666666667,72.46666666666667,82.73333333333333,16.2,4.333333333333333,39.733333333333334,84.0,27.307692307692307,23.76923076923077,16.76923076923077,74.84615384615384,70.23076923076923,75.53846153846153,44.61538461538461
Visibility,30.22222222222222,30.555555555555557,29.77777777777778,30.333333333333332,25.555555555555557,48.0,43.22222222222222,38.55555555555556,68.42857142857143,46.0,60.642857142857146,33.285714285714285,37.142857142857146,59.857142857142854,24.214285714285715,46.714285714285715,82.81818181818181,68.63636363636364,70.27272727272727,62.36363636363637,61.0,30.818181818181817,21.09090909090909,29.363636363636363,92.0909090909091,59.81818181818182,43.72727272727273,48.09090909090909,49.18181818181818,52.45454545454545,48.63636363636363,51.45454545454545,52.916666666666664,34.083333333333336,11.75,42.166666666666664,43.75,47.083333333333336,52.583333333333336,41.0,43.111111111111114,57.333333333333336,25.666666666666668,93.11111111111111,96.44444444444444,89.44444444444444,99.88888888888889,86.66666666666667,77.0,81.75,69.08333333333333,62.083333333333336,94.16666666666667,46.666666666666664,83.75,27.833333333333332,1.2307692307692308,72.46153846153847,82.0,89.38461538461539,23.23076923076923,90.6923076923077,74.92307692307692,90.53846153846153,52.92307692307692,52.38461538461539,64.23076923076923,74.92307692307692,48.0,36.23076923076923,66.3076923076923,32.69230769230769,78.9,62.2,72.2,82.1,90.2,89.4,86.1,54.1,49.63636363636363,74.54545454545455,47.81818181818182,3.090909090909091,78.0909090909091,82.0909090909091,27.727272727272727,23.90909090909091,93.94444444444444,87.55555555555556,76.55555555555556,26.444444444444443,68.05555555555556,5.555555555555555,87.66666666666667,17.5,66.35714285714286,72.5,32.357142857142854,21.5,63.214285714285715,61.57142857142857,51.357142857142854,51.0,92.61538461538461,80.84615384615384,62.76923076923077,67.76923076923077,66.0,75.61538461538461,40.0,29.53846153846154,40.75,37.333333333333336,37.583333333333336,79.33333333333333,49.0,33.666666666666664,28.583333333333332,97.33333333333333,91.77777777777777,80.77777777777777,73.11111111111111,66.11111111111111,35.666666666666664,50.666666666666664,84.11111111111111,68.0,32.72727272727273,39.18181818181818,13.636363636363637,87.0,22.727272727272727,44.54545454545455,41.27272727272727,29.636363636363637,76.22222222222223,68.11111111111111,83.66666666666667,95.0,95.22222222222223,82.44444444444444,68.44444444444444,65.77777777777777,49.93333333333333,31.6,35.266666666666666,34.93333333333333,72.13333333333334,88.4,21.533333333333335,44.46666666666667,62.53846153846154,63.53846153846154,81.53846153846153,30.384615384615383,42.30769230769231,44.0,70.92307692307692
Communal Sharing,95.0,86.0,96.88888888888889,94.0,82.55555555555556,22.22222222222222,51.0,52.888888888888886,22.571428571428573,14.785714285714286,9.928571428571429,25.857142857142858,21.857142857142858,20.357142857142858,60.42857142857143,15.571428571428571,23.454545454545453,25.181818181818183,11.909090909090908,44.72727272727273,46.63636363636363,23.727272727272727,93.45454545454545,52.45454545454545,73.0909090909091,73.18181818181819,85.36363636363636,82.0909090909091,78.72727272727273,77.72727272727273,55.90909090909091,73.36363636363636,66.41666666666667,88.5,43.416666666666664,22.0,81.33333333333333,69.91666666666667,57.083333333333336,73.41666666666667,90.22222222222223,84.44444444444444,94.55555555555556,18.666666666666668,16.333333333333332,21.88888888888889,27.11111111111111,33.77777777777778,46.583333333333336,21.25,43.666666666666664,60.25,38.416666666666664,42.833333333333336,13.166666666666666,9.666666666666666,14.307692307692308,59.92307692307692,18.0,12.76923076923077,26.923076923076923,11.846153846153847,9.23076923076923,43.15384615384615,31.23076923076923,34.15384615384615,19.76923076923077,25.23076923076923,20.692307692307693,24.923076923076923,33.76923076923077,24.615384615384617,5.8,46.9,66.0,41.1,12.8,29.1,18.8,56.6,34.45454545454545,37.18181818181818,72.45454545454545,12.818181818181818,18.09090909090909,20.545454545454547,11.0,43.45454545454545,26.11111111111111,28.22222222222222,5.722222222222222,33.888888888888886,61.833333333333336,31.833333333333332,22.27777777777778,51.27777777777778,66.92857142857143,29.428571428571427,37.214285714285715,33.0,35.5,46.57142857142857,46.642857142857146,31.571428571428573,17.076923076923077,27.76923076923077,38.46153846153846,14.0,40.15384615384615,63.92307692307692,71.15384615384616,65.92307692307692,83.66666666666667,72.16666666666667,72.08333333333333,16.5,11.833333333333334,23.5,65.91666666666667,28.666666666666668,61.666666666666664,32.333333333333336,43.888888888888886,62.77777777777778,32.44444444444444,88.88888888888889,44.44444444444444,24.666666666666668,88.9090909090909,61.18181818181818,55.90909090909091,19.636363636363637,85.81818181818181,31.09090909090909,73.36363636363636,92.36363636363636,7.555555555555555,61.0,38.333333333333336,32.77777777777778,18.22222222222222,16.666666666666668,77.0,82.11111111111111,21.666666666666668,72.73333333333333,93.66666666666667,94.66666666666667,47.13333333333333,19.2,53.13333333333333,89.73333333333333,71.53846153846153,61.61538461538461,30.615384615384617,62.84615384615385,76.76923076923077,78.07692307692308,79.23076923076923
Expected Reciprocity,24.88888888888889,26.666666666666668,90.11111111111111,87.77777777777777,60.55555555555556,52.333333333333336,51.111111111111114,56.0,47.642857142857146,48.142857142857146,12.071428571428571,23.0,22.071428571428573,53.214285714285715,84.21428571428571,54.642857142857146,39.81818181818182,37.63636363636363,36.63636363636363,46.72727272727273,45.45454545454545,37.09090909090909,72.72727272727273,55.63636363636363,80.9090909090909,70.18181818181819,17.0,23.272727272727273,13.272727272727273,14.181818181818182,23.727272727272727,27.0,35.833333333333336,90.58333333333333,60.333333333333336,30.0,70.91666666666667,64.75,50.833333333333336,61.833333333333336,78.55555555555556,85.22222222222223,55.0,41.333333333333336,40.111111111111114,57.111111111111114,38.333333333333336,51.77777777777778,39.5,14.75,39.333333333333336,82.66666666666667,58.416666666666664,55.083333333333336,33.916666666666664,14.666666666666666,41.92307692307692,29.46153846153846,9.846153846153847,6.538461538461538,4.3076923076923075,6.230769230769231,2.3846153846153846,34.23076923076923,25.53846153846154,47.46153846153846,44.38461538461539,35.84615384615385,64.6923076923077,39.23076923076923,63.38461538461539,45.30769230769231,47.1,57.2,71.5,42.3,15.5,13.0,14.1,54.9,10.909090909090908,18.636363636363637,68.63636363636364,14.454545454545455,15.181818181818182,11.181818181818182,5.909090909090909,17.09090909090909,21.5,43.77777777777778,31.555555555555557,42.77777777777778,46.388888888888886,28.0,20.77777777777778,34.0,68.64285714285714,45.92857142857143,40.57142857142857,48.214285714285715,63.142857142857146,55.142857142857146,48.57142857142857,47.714285714285715,21.46153846153846,39.30769230769231,33.69230769230769,19.615384615384617,52.15384615384615,61.69230769230769,79.0,72.6923076923077,85.91666666666667,58.166666666666664,58.333333333333336,26.083333333333332,44.666666666666664,44.0,49.75,31.666666666666668,59.666666666666664,17.666666666666668,0.7777777777777778,43.111111111111114,1.0,79.55555555555556,57.111111111111114,33.0,86.9090909090909,69.0909090909091,73.9090909090909,63.81818181818182,83.27272727272727,44.27272727272727,89.0,84.9090909090909,34.666666666666664,58.77777777777778,43.44444444444444,57.0,39.111111111111114,51.44444444444444,37.333333333333336,37.55555555555556,37.6,59.4,54.53333333333333,41.4,58.333333333333336,44.93333333333333,62.53333333333333,87.26666666666667,82.07692307692308,79.6923076923077,35.30769230769231,42.30769230769231,76.53846153846153,73.15384615384616,61.23076923076923
Strategic,6.333333333333333,11.0,18.333333333333332,16.77777777777778,25.666666666666668,70.44444444444444,48.77777777777778,38.0,89.78571428571429,94.0,44.857142857142854,30.0,34.285714285714285,83.35714285714286,72.57142857142857,86.64285714285714,97.54545454545455,97.27272727272727,81.63636363636364,35.27272727272727,41.0,53.09090909090909,13.363636363636363,25.09090909090909,68.36363636363636,16.545454545454547,3.272727272727273,4.636363636363637,9.363636363636363,14.181818181818182,32.27272727272727,16.727272727272727,39.5,30.5,52.75,40.0,31.416666666666668,32.416666666666664,43.416666666666664,33.916666666666664,4.0,14.333333333333334,3.111111111111111,87.11111111111111,87.88888888888889,88.22222222222223,71.44444444444444,75.66666666666667,72.0,74.91666666666667,59.666666666666664,85.25,44.583333333333336,71.91666666666667,60.25,41.166666666666664,87.0,33.76923076923077,77.3076923076923,77.3076923076923,87.84615384615384,79.46153846153847,57.76923076923077,44.07692307692308,88.15384615384616,76.15384615384616,49.76923076923077,35.84615384615385,81.3076923076923,42.69230769230769,48.46153846153846,40.84615384615385,32.3,53.9,63.3,57.8,60.7,46.9,63.0,70.6,34.63636363636363,52.72727272727273,8.818181818181818,61.72727272727273,64.72727272727273,68.81818181818181,55.27272727272727,26.272727272727273,62.333333333333336,51.611111111111114,70.22222222222223,79.77777777777777,62.5,34.0,35.72222222222222,27.0,51.142857142857146,88.14285714285714,71.21428571428571,68.35714285714286,87.5,57.857142857142854,54.57142857142857,55.214285714285715,72.6923076923077,62.84615384615385,64.92307692307692,82.61538461538461,42.69230769230769,38.84615384615385,46.38461538461539,41.76923076923077,18.25,9.166666666666666,8.75,60.416666666666664,84.0,71.33333333333333,15.666666666666666,67.5,71.77777777777777,49.55555555555556,52.111111111111114,44.666666666666664,64.77777777777777,22.555555555555557,36.22222222222222,46.888888888888886,11.454545454545455,33.18181818181818,36.63636363636363,94.18181818181819,18.454545454545453,44.36363636363637,22.181818181818183,10.0,54.333333333333336,66.55555555555556,38.0,28.333333333333332,31.22222222222222,84.44444444444444,22.11111111111111,22.555555555555557,95.8,19.933333333333334,11.6,5.466666666666667,57.733333333333334,92.66666666666667,64.8,13.133333333333333,44.76923076923077,57.46153846153846,87.46153846153847,27.53846153846154,33.23076923076923,21.692307692307693,58.07692307692308
