,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
Parent and Child,1.3986462685639287,-1.1985933903369896,1.8210777072738074,1.5026898613588404,-1.4954586191223342,1.3528715335604637,0.9520225447339992,1.9150415094369266,-0.7906324847683429,-1.460709555321919,0.047620879895432,1.8552684517173486,2.052375114163714,1.1607481368821273,-0.734557104906494,-0.9386756250212568,-0.6146097159369329,1.7172758967498005,0.5591725955412674,-1.1126944754957817,-1.0499295694833395,-0.6982878026732758,2.1108487010356147,1.9707627948011932,1.659290106430933,-0.8086975176042899,1.6503079070197655,2.154420159165846,1.7394726632849407,1.8000017243533464,1.6593309111915258,1.4632101347765132,2.4310462968056012
Parent and Teenager,0.4210188301242376,-1.0724563889141074,1.446455616525503,1.3676900427159353,-1.4954586191223342,1.2410400683622487,0.8497472111655165,1.817187575735939,-0.5045085505326441,-1.3268321876950928,0.03201398309762319,1.4658067607316867,1.7327039867114384,0.009428595569714251,-0.5349781466435253,-1.1812388140142416,-0.8622128970958289,0.9510855943613391,0.49863799514528795,0.5926752196124822,-0.16409283830189278,-0.1426880226895526,1.797345364474382,1.923015671204074,1.6095935171091789,-0.8050900710482134,1.78874372898256,2.1175982965423663,1.7833549217915683,1.6167172093725393,1.5000506457193392,1.0338137327542207,2.095801641872951
Wife and Husband,1.0793538055045013,1.7205772140211397,2.038358519907823,1.4850811893619396,-1.2149701364882788,2.2357515219674258,0.3156426914189973,1.8814042197272118,1.4029843443720151,-1.120867006730745,-0.0031015346974468156,1.9010874741862498,1.7551808628604266,0.9775050867633353,0.4322121895539383,-0.9580806801406955,-0.6175226945388023,1.4173437499073427,3.5354571150102583,-0.09896577005369253,0.39962144517721,-0.5736340058820558,2.041877966992143,1.9495418509802513,1.6773615934570254,-0.714903907146301,1.9161046851883305,1.625105883953328,1.7010756870916408,1.7752335466532372,1.4859965046482642,1.252640745323274,-1.8589488637732243
Fiance and Fiancee,1.2768542981185802,1.7596196192234606,1.9559416599431962,1.549646320017242,-1.0639378766084029,2.291667254566533,0.3345825680057534,1.8722304134427445,1.228821949619851,-1.2204168441968464,-0.1474653300771785,1.847631947972532,1.8375960754067167,1.012079247163107,0.0545473916101669,-1.0357009006184505,-0.742780774419185,1.4064371263857987,3.5690874485635806,-0.7363604075891869,-0.0030316144507204507,-0.7730800807480077,0.8819156217155822,1.9017947273831322,1.5915220300830866,-0.6752219950294596,1.805356027618095,0.7505866466456886,1.6901051224649843,1.5325054051921687,1.4297799403639635,1.3434745995972204,-1.3191481482037033
Between Siblings,0.5362274508157837,1.4172477582184946,1.2366672457064525,1.4263856160389377,-1.6557377520560803,1.1027222035118247,0.9861143225901601,1.5542051289145355,0.6482806337793025,-1.3336976937272376,-0.4205860240388338,1.2367116483871798,1.6353041900658232,0.24799030232814215,-1.2442510598549985,-1.1812388140142416,-1.1418588428752878,1.332817417615377,-0.4329222442817296,0.07394447736285097,-0.48218875540795775,-0.19967261550839596,1.697024296774787,1.976068030756429,1.5824862865700406,-0.8159124107164429,1.4509603233933421,2.1360092278541063,1.6626787108983418,1.5820417605923869,1.621853201668658,1.4343084538711668,-0.6486588383384032
Between divorced spouses,-1.139235061526987,0.46821698560823855,-1.4044184940690931,-0.36089459164647725,0.5203597066213171,-0.5188340418622956,-0.5972593600626426,-0.59552347707903,0.09676638373078116,0.4925269108233117,0.19978812367406845,-0.2485883299797083,-0.4125889701753167,-1.8990650584977091,0.31860570561963303,-1.5256785423842798,-1.351593302209882,-1.0993596276889208,0.047991525530774064,1.735239011364937,0.57276226081722,0.7370116289513428,0.035456613000254496,-0.5704452277565996,-1.0920937932916293,-0.7690156054874485,-1.4672668035823553,-1.030670957765134,-1.195153374345798,-1.746801322302268,-0.4675291042311951,-1.3237376668104797,-1.5634789984088548
Between a person and their in-laws,-0.14514924870278922,-0.4988333586338577,-0.20188158276703644,0.7132344001644616,0.7576961150039796,0.09623901672788787,-0.013911161190557356,0.6123610170425324,-0.02763532680647918,-0.4686439336769775,-0.443996369235547,0.2248749021989395,0.22425585404601336,-1.0277962164234506,-1.0630947746624577,-1.6421088731009124,-0.9321243835406937,-0.5403951722097942,-0.6548824457336544,-0.3600263396825918,-1.1385132426014841,-0.45254174614201365,-0.014703920849542949,-0.6181923513537189,-0.4866989779175351,-0.678829441585536,-1.4174299076757495,0.5434636693886162,-0.6630809899529352,-0.9938487202189534,0.22112380825149208,-0.9025988879040007,2.044662626713733
Between cousins,0.2827684852943824,0.9577486816065671,0.5136466105622248,0.9714949227856708,-1.2642867927755852,0.5877088769410967,0.5656490623641769,1.098572750119313,0.10505983109993183,-1.2341478562611363,-0.2957308496563629,0.6830651268879538,0.9035569998820989,-0.2464201913885995,-1.3824211078832074,-1.2928178809510145,-1.296246708774364,0.4957340623368798,-0.4665525778350516,-0.8109491417688722,-1.2311234463159082,-0.5558263206261673,-0.08367465489301408,-0.2256048906662937,-0.3195377229261806,-1.0323592040810328,-0.6975636334692207,1.289106387514077,0.02257929921312507,-0.6916769522776232,0.7036493183584088,-0.32869408135497524,-0.3986458753377831
Employer and Employee,1.1433063459700123,-1.5804366939640817,0.526490796530738,-1.490784378114268,1.4463679938731517,-1.047300777780177,-0.5626264428754317,-1.1555625083498593,1.1210071338208918,1.4041680332345554,1.7181162264323313,-0.6633459396200766,-1.0488094367258416,0.5353880106512485,1.5383401851575453,-1.6057243947519648,0.2621968432257456,-0.6682071666028871,-0.6796848167292293,-0.6583812764013338,0.32211073119883327,-0.8955079168822417,1.9635021328518352,0.039656907095480184,0.7037602299262994,1.4672405146243717,-0.21026954016018573,0.23876275617932313,0.29958605603621363,1.1263072909103804,0.4970534446136024,0.11308875534103681,0.4542392552620601
Interviewer and Job applicant,0.11630378437680115,-0.7940111034601942,-1.7346211083429555,-1.38177831337155,0.9254608118384774,-1.2385914419350188,-0.22495550030012432,-1.1839576230398778,-1.235516697213498,1.1619137489574416,-0.3542567126481461,-0.3841362714502085,-1.0447511118656077,-0.07138850436475304,-0.01837568929361024,-1.3140421599879006,-0.6466524805574959,-1.2043358790837813,-0.6687549583243997,-0.6749094618161505,0.5314903222053571,-0.8434204375087676,1.1283292442527115,-0.5189844389908156,-0.37781826858532863,1.4575004089229653,-0.46443770928387557,-1.1779584082590522,-0.5199151215750618,-0.3805886403642535,0.22299769372763514,-0.4888919698017537,-0.11340381300525737
