,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance
Parent and Child,1.128080927945148,-1.0396837566411103,2.026324942553988,1.6542507715786057,-2.0460064015947315,2.028098932948621,0.559101385851801,2.1075140268580954,-0.9915489330825439,-1.1087859760955936,-0.11021282785398989,1.6967341383532075,1.9310986906013052,1.494068117043256,-0.4925653788320394,-0.9341347924755409,0.01098895129712361,1.800810882108819,2.802908660302804,-0.057660714191520565,0.09057607491211027,-0.26558751366138506,1.6691659813916275,2.2549287530350255,1.6682006542027326,-1.2961050431615793,1.5091082606628765,2.048147263577579,-0.24974321768079805,1.9679355621890748
Parent and Teenager,0.10833597935012461,-1.1948840635650768,1.371786180688118,1.550133433505052,-1.8965835659238925,1.4351163616507125,0.07145279693100887,1.8895178679455036,-0.9350869665877158,-0.8094263008327675,0.1709210292770804,1.6418527054156136,1.9185212715844011,1.2636420223688272,-0.5952158595126787,-0.9206170477931347,-0.25863412392738727,1.363947440663661,2.7436898020669402,0.1483729828160023,0.17506166734872383,-0.07504534342694298,1.0944274412497648,2.2549287530350255,1.3176054355070481,-1.226317010262869,1.037533257276279,1.6805960647489813,-1.0858052605296178,1.2965420692913212
Wife and Husband,1.001246979114921,1.826671911860898,2.0150397914873355,1.9077538555837796,-1.6674685512286072,2.3463910484247044,0.11099187170837026,2.32066582668374,1.191647104717472,-0.613481786115281,-0.16771748044898158,1.6418527054156136,1.6753578372575868,1.3479442521277645,-0.68853447831326,-0.8462694520399011,-0.06338982807515525,1.5998536990440462,2.6104473710362472,-0.10475413065038293,0.3500675373959948,-0.5852066379256105,1.5197339609547436,2.2051852826422182,1.8720350836769677,-0.8012444462434537,1.6542082617049065,1.264038039409904,1.9240180937261329,1.9213110140711753
Fiance and Fiancee,1.3107218142606747,1.7781718159471582,2.1617467553538234,1.8624854477257133,-1.662487790039579,2.4379545336986457,0.012144184764966572,2.1414245404667205,1.2606561748778176,-0.9672704932440757,-0.32106322070229304,1.5375779828341847,1.7256675133252035,0.8196502789717571,-0.7818530971138412,-0.6975742605334337,-0.5096625043088284,1.5168496451694662,2.4327907963286566,-0.5168215246654286,0.08454138973806644,-0.7696022865395866,0.03690852738873765,1.687853190557022,0.9507034624534247,-0.972542345176651,1.3549395095557195,0.888319036162893,1.8404118894412516,1.3338417077856408
Between Siblings,0.37215059291699637,1.0312703388755695,1.2137940657549766,1.5410797519334383,-1.9065450883019486,1.4656375234086934,0.3877653951499008,1.5988563227287147,0.38235891829160423,-0.7604401721533959,-0.10382342201010215,1.7900325743471175,1.6753578372575868,0.9826345898390361,-0.8238464755741027,-1.5086389414778008,-0.6072846522349444,1.2722061179601776,0.2910420901315884,0.20723975338958026,0.07247201938997878,-0.1180709947702041,0.6691209215447865,2.2549287530350255,1.3583723214018952,-1.2897606765344236,0.5750270039548084,2.048147263577579,0.7177000033299787,1.2778922500441612
Between divorced spouses,-1.1955170146246068,1.0652204060151869,-0.6651835868427374,-0.23796867688858753,0.48920104362049555,-0.6228819740302634,-0.2843988760652449,-0.6343932163536119,0.96579923873816,1.2479911037008395,0.7012417143197814,0.4564137539635815,-0.4124937195485075,-1.647594978639809,-0.2732666246506735,-1.1301420903704296,-1.1279361078408965,-0.26992183034123074,0.26636756586664523,1.0784679578785341,1.4664842945941023,0.8961050726066649,0.14036146461427318,-0.5605516711978682,-1.7562177609644194,-0.6616683804460338,-1.9279480140202077,-1.1863032861140799,-1.1216364909374243,-2.1350246721860846
Between a person and their in-laws,-0.5765673443331,-0.30733230834364283,-0.38869738570974044,0.508960052769515,0.10568243206534332,0.17066823167723155,-0.2250902638992026,0.2085252647750754,-0.5398532011239199,-0.35222243315863244,-0.3146738148584049,0.988763653458244,0.19960733927416274,-0.3099995997980031,-0.9498266109548874,-1.3261493882653181,-0.4492297460688518,-0.12138826024987696,0.044296847482156586,-0.38731462940355715,-0.7844532753242445,-0.6589648973712009,-0.6642724915843345,0.14580560837999573,-0.42721728079240556,-1.23900574351718,-1.3566167599172148,0.055202985484738724,-1.6591049470545227,-1.5941799140184498
Between cousins,0.06267575777124297,2.044922343472726,-0.010644824976866791,0.9616441313501833,-1.3785844022649858,0.5805238324272564,0.2559684792253624,0.7607822006869739,0.17533170781056798,-1.3646024258656453,-0.9855614284666413,1.2412182449711768,0.8117083980968329,0.128371994948471,-0.7491915805336378,-1.0287590052523836,-0.5840412836811072,0.13636117020276636,-0.18270877575532068,-0.2636944111990434,-0.3318518872709575,-0.5913531595460763,-1.2849901149375464,0.434317736658278,-0.27230311439198696,-1.2326613768900245,0.25762075167536824,1.574414607309609,0.33550021231337596,-0.15814383198714432
Employer and Employee,0.47724157909061293,-0.837369070829511,0.5020234663367952,-0.19593372673466836,1.3985457292744559,-0.4547041439352684,1.38565633000712,-0.6323170624592063,-0.46367435744042185,1.3094181539495753,1.8668518946976285,-1.0214648329987732,-0.8497087615647004,-0.6985927350677715,0.8492230472077464,-0.22252209026601888,0.6312548435623777,-0.6063066802540026,-0.5352019795402233,-0.358722197982105,-0.11115482947735486,-0.5298879433414175,1.1372715869694312,-0.19154556355667923,0.026406976801165084,1.505797963631257,0.09026109138257218,0.05817309618234346,0.6872977472263858,-0.7549380478962582
Interviewer and Job applicant,-0.18809307820166266,-0.38839675437089316,-0.20894105086233983,-0.07370902551788791,1.9748909525762612,-0.2921322415101066,0.12323015675850613,-0.457920135329133,-0.49593833829460915,1.8342695326571286,0.922132602065623,-0.7925308556019521,-0.9670980057224728,0.16209288685204595,0.3612999831932789,-0.6589521328694162,0.9393955009618185,-1.260353661160468,-0.5323820339099441,-0.5538234947402491,1.1819919935320362,-0.7371135294028384,0.8812516918153288,-0.9015205500722018,-1.033532056464858,1.2231852684216047,0.12323836434666986,-1.4677212747121375,1.0293231283918116,-0.6955977139280224
