"","Region","Model","AdjR","BIC","Rank"
"1","Australia","FAVEE_model","0.500417051196312","363.977667310676",1
"2","Australia","Wish_1976_model","0.461432925617939","367.655322912596",2
"3","Australia","Bugental_2000_model","0.421008660876702","381.42276772025",3
"4","Australia","Burton_1975_model","0.402023613032549","381.839665442097",4
"5","Australia","Triandis_1968_model","0.400009234524276","381.885150002643",5
"6","Australia","Montgomery_1988_model","0.400009234524276","381.885150002643",6
"7","Australia","Osgood_1957_model","0.389657869535446","386.657347191253",7
"8","Australia","Fiske_1992_model","0.35292138889263","398.962604316685",8
"9","Australia","Weiss_1998_model","0.333331623689663","393.746653516445",9
"10","Australia","Marwell_1970_model","0.314763075095916","403.647570639783",10
"11","Australia","Clark_2011_model","0.310234412878906","405.361471139846",11
"12","Australia","Goffman_1959_model","0.274458910011484","424.629214623417",12
"13","Australia","Rands_1979_model","0.268144024221408","409.617981409773",13
"14","Australia","Hamilton_1981_model","0.266306737893086","414.360606357175",14
"15","Australia","Carpendale_2004_model","0.265261989960278","416.913908801431",15
"16","Australia","Foa_2012_model","0.19547272751102","432.034343784862",16
"17","Brazil","FAVEE_model","0.505176325254642","362.090921550319",1
"18","Brazil","Bugental_2000_model","0.476265040149394","366.755145816649",2
"19","Brazil","Goffman_1959_model","0.447163357435376","379.470217385019",3
"20","Brazil","Wish_1976_model","0.417081293706352","382.612653391234",4
"21","Brazil","Weiss_1998_model","0.405219118609151","374.691752030176",5
"22","Brazil","Burton_1975_model","0.403414707565782","386.054290493443",6
"23","Brazil","Triandis_1968_model","0.374740651667002","389.514506284207",7
"24","Brazil","Montgomery_1988_model","0.374740651667002","389.514506284207",8
"25","Brazil","Fiske_1992_model","0.370354216593888","396.659432513697",9
"26","Brazil","Clark_2011_model","0.350760186586689","397.19202944987",10
"27","Brazil","Marwell_1970_model","0.315735939776691","404.03970568857",11
"28","Brazil","Osgood_1957_model","0.315341185036233","404.811542424141",12
"29","Brazil","Rands_1979_model","0.28741992437376","407.82066536979",13
"30","Brazil","Carpendale_2004_model","0.28741046896192","408.531684541868",14
"31","Brazil","Hamilton_1981_model","0.270123380986206","413.702827387784",15
"32","Brazil","Foa_2012_model","0.266383354554304","416.598623246287",16
"33","Chile","Bugental_2000_model","0.526280851197638","344.559654807092",1
"34","Chile","FAVEE_model","0.524708847770294","352.625216663034",2
"35","Chile","Wish_1976_model","0.510698811263294","349.738545270327",3
"36","Chile","Triandis_1968_model","0.47463226071208","358.500927270921",4
"37","Chile","Montgomery_1988_model","0.47463226071208","358.500927270921",5
"38","Chile","Fiske_1992_model","0.469342811802853","365.419457198259",6
"39","Chile","Burton_1975_model","0.467239346948644","364.097976176582",7
"40","Chile","Osgood_1957_model","0.450258062058454","366.896354172025",8
"41","Chile","Weiss_1998_model","0.434266781844683","362.532132441226",9
"42","Chile","Clark_2011_model","0.415752739425415","376.722096684301",10
