,Age,Sex,Race,请问您的民族是？,Highest Level of Education,请问中文是您的母语吗？,请问您的母语是？,Gender_label
0,18 - 24,male,汉族,,college,是,,male
1,18 - 24,male,汉族,,bachelor,是,,male
2,18 - 24,male,汉族,,bachelor,是,,male
3,25 - 34,male,汉族,,master,是,,male
4,18 - 24,female,汉族,,bachelor,是,,female
5,25 - 34,female,汉族,,master,是,,female
6,35 - 44,male,汉族,,bachelor,是,,male
7,35 - 44,male,汉族,,bachelor,是,,male
8,18 - 24,male,汉族,,bachelor,是,,male
11,18 - 24,male,汉族,,bachelor,是,,male
12,25 - 34,female,汉族,,bachelor,是,,female
13,25 - 34,female,汉族,,bachelor,是,,female
14,25 - 34,male,汉族,,bachelor,是,,male
15,25 - 34,male,汉族,,bachelor,是,,male
17,25 - 34,male,汉族,,bachelor,是,,male
18,25 - 34,male,汉族,,bachelor,是,,male
19,18 - 24,male,汉族,,bachelor,是,,male
20,18 - 24,female,汉族,,bachelor,是,,female
21,35 - 44,female,汉族,,college,是,,female
22,25 - 34,male,汉族,,bachelor,是,,male
23,18 - 24,female,汉族,,bachelor,是,,female
24,18 - 24,male,汉族,,bachelor,是,,male
25,55 - 64,male,汉族,,bachelor,是,,male
26,35 - 44,male,汉族,,bachelor,是,,male
27,18 - 24,male,汉族,,bachelor,是,,male
29,25 - 34,female,汉族,,bachelor,是,,female
30,25 - 34,male,汉族,,phd or post doc,是,,male
31,25 - 34,male,汉族,,bachelor,是,,male
32,18 - 24,male,汉族,,master,是,,male
33,25 - 34,male,汉族,,master,是,,male
36,35 - 44,male,汉族,,bachelor,是,,male
37,25 - 34,male,汉族,,bachelor,是,,male
38,18 - 24,male,汉族,,bachelor,是,,male
39,25 - 34,female,汉族,,master,是,,female
43,18 - 24,male,汉族,,bachelor,是,,male
45,25 - 34,female,汉族,,master,是,,female
46,25 - 34,female,汉族,,college,是,,female
47,25 - 34,male,汉族,,bachelor,是,,male
48,25 - 34,male,汉族,,bachelor,是,,male
49,18 - 24,female,汉族,,bachelor,是,,female
50,35 - 44,male,汉族,,bachelor,是,,male
51,35 - 44,male,汉族,,master,是,,male
52,25 - 34,female,汉族,,bachelor,是,,female
53,25 - 34,female,汉族,,bachelor,是,,female
54,18 - 24,female,其他,苗族,bachelor,是,,female
56,25 - 34,male,汉族,,bachelor,是,,male
57,35 - 44,female,汉族,,bachelor,是,,female
58,18 - 24,male,汉族,,bachelor,是,,male
59,25 - 34,female,汉族,,college,是,,female
60,25 - 34,female,汉族,,bachelor,是,,female
62,25 - 34,female,汉族,,bachelor,是,,female
63,18 - 24,male,汉族,,bachelor,是,,male
64,25 - 34,male,汉族,,bachelor,是,,male
65,25 - 34,female,汉族,,bachelor,是,,female
66,18 - 24,male,汉族,,bachelor,是,,male
67,35 - 44,male,汉族,,bachelor,是,,male
69,25 - 34,female,汉族,,bachelor,是,,female
70,25 - 34,male,汉族,,bachelor,是,,male
71,35 - 44,male,汉族,,college,是,,male
72,25 - 34,male,汉族,,bachelor,是,,male
73,25 - 34,male,汉族,,bachelor,是,,male
74,25 - 34,female,汉族,,bachelor,是,,female
75,25 - 34,male,汉族,,bachelor,是,,male
76,25 - 34,male,汉族,,master,是,,male
77,35 - 44,male,汉族,,college,是,,male
78,25 - 34,male,汉族,,bachelor,是,,male
81,25 - 34,male,汉族,,phd or post doc,是,,male
82,25 - 34,male,汉族,,master,是,,male
83,35 - 44,male,汉族,,phd or post doc,是,,male
85,25 - 34,male,汉族,,bachelor,是,,male
87,25 - 34,male,汉族,,bachelor,是,,male
88,25 - 34,male,汉族,,college,是,,male
