,Age,Gender,Race,Race_alternative,Highest education,First language,Gender_label,Highest education_label
0,28,1,4,,8,espa?ol,female,Master or equivalent
1,23,2,6,,5,espa?ol,male,Post-secondary non-tertiary education
2,22,1,4,,7,Espa?ol,female,Bachelor or equivalent
4,23,1,4,,8,Espa?ol,female,Master or equivalent
5,31,2,6,,8,Espa?ol,male,Master or equivalent
6,31,1,2,,6,Francés y Creole ,female,Short-cycle tertiary education
7,22,1,4,,7,espa?ol,female,Bachelor or equivalent
8,32,1,6,,8,espa?ol,female,Master or equivalent
9,25,1,6,,7,Espa?ol,female,Bachelor or equivalent
10,25,2,6,,8,Espa?ol,male,Master or equivalent
11,27,2,4,,8,Espa?ol,male,Master or equivalent
12,25,1,6,,8,Espa?ol,female,Master or equivalent
13,26,1,4,,8,Espa?ol,female,Master or equivalent
14,23,2,6,,6,espa?ol,male,Short-cycle tertiary education
15,23,2,6,,7,English,male,Bachelor or equivalent
16,23,1,4,,7,espa?ol,female,Bachelor or equivalent
17,23,1,4,,5,Espa?ol,female,Post-secondary non-tertiary education
18,24,1,4,,8,espa?ol,female,Master or equivalent
19,26,1,6,,8,Espa?ol ,female,Master or equivalent
20,28,2,4,,8,Espa?ol,male,Master or equivalent
21,32,2,6,,5,Espa?ol,male,Post-secondary non-tertiary education
22,34,2,7,"Criollo, ascendencia espa?ola",8,espa?ol,male,Master or equivalent
23,41,2,4,,6,espa?ol,male,Short-cycle tertiary education
24,30,1,4,,8,Espa?ol,female,Master or equivalent
25,25,2,4,,7,Espa?ol,male,Bachelor or equivalent
26,27,1,6,,7,Espa?ol,female,Bachelor or equivalent
27,23,2,6,,5,Spanish,male,Post-secondary non-tertiary education
28,22,1,6,,8,Spanish ,female,Master or equivalent
29,28,2,6,,7,Espa?ol,male,Bachelor or equivalent
30,51,2,6,,8,Espa?ol,male,Master or equivalent
31,35,2,6,,6,Espa?ol,male,Short-cycle tertiary education
32,23,1,4,,4,Espa?ol,female,Upper secondary education
33,20,2,4,,7,Castellano,male,Bachelor or equivalent
34,50,2,4,,8,Espa?ol,male,Master or equivalent
35,34,1,7,Latina,8,Spanish,female,Master or equivalent
36,24,2,4,,8,Espa?ol,male,Master or equivalent
38,24,1,4,,8,Espa?ol,female,Master or equivalent
39,23,2,4,,7,Espa?ol,male,Bachelor or equivalent
40,27,1,4,,8,Espa?ol ,female,Master or equivalent
42,24,1,4,,8,espa?ol,female,Master or equivalent
43,63,2,4,,8,espa?ol,male,Master or equivalent
44,23,2,6,,4,Espa?ol,male,Upper secondary education
45,21,1,7,latino,7,Espa?ol,female,Bachelor or equivalent
46,23,1,4,,8,Espa?ol,female,Master or equivalent
48,25,2,5,,8,espa?ol,male,Master or equivalent
49,23,1,6,,7,Inglés,female,Bachelor or equivalent
50,27,1,4,,7,Espa?ol,female,Bachelor or equivalent
51,19,2,4,,4,espa?ol,male,Upper secondary education
52,28,2,4,,7,Espa?ol,male,Bachelor or equivalent
53,26,2,4,,7,Espa?ol,male,Bachelor or equivalent
54,22,1,4,,8,Espa?ol,female,Master or equivalent
55,25,2,4,,7,Espa?ol,male,Bachelor or equivalent
56,24,1,4,,5,espa?ol,female,Post-secondary non-tertiary education
57,23,2,4,,4,Espa?ol e Inglés,male,Upper secondary education
58,27,1,4,,8,espa?ol,female,Master or equivalent
59,24,2,3,,7,Espa?ol,male,Bachelor or equivalent
60,18,2,6,,4,Espa?ol,male,Upper secondary education
61,27,2,6,,8,espa?ol - ingles,male,Master or equivalent
62,21,2,6,,7,Espa?ol,male,Bachelor or equivalent
63,23,2,4,,7,Espa?ol,male,Bachelor or equivalent
65,21,2,4,,7,espa?ol,male,Bachelor or equivalent
66,25,2,4,,5,espa?ol,male,Post-secondary non-tertiary education
67,21,2,6,,7,Espa?ol/spanish,male,Bachelor or equivalent
68,22,2,6,,5,spanish,male,Post-secondary non-tertiary education
69,21,2,6,,7,Espa?ol,male,Bachelor or equivalent
70,25,1,4,,7,espa?ol,female,Bachelor or equivalent
71,26,2,4,,7,Espa?ol,male,Bachelor or equivalent
72,26,2,6,,7,Espa?ol,male,Bachelor or equivalent
73,28,2,4,,7,Espa?ol,male,Bachelor or equivalent
74,24,2,4,,7,Espa?ol,male,Bachelor or equivalent
75,27,2,6,,8,Espa?ol,male,Master or equivalent
76,20,1,4,,4,espa?ol,female,Upper secondary education
77,23,2,4,,7,Espa?ol,male,Bachelor or equivalent
78,23,2,6,,7,Espa?ol,male,Bachelor or equivalent
80,35,1,4,,5,espa?ol,female,Post-secondary non-tertiary education
81,28,2,4,,8,espa?ol,male,Master or equivalent
82,24,1,4,,6,Espa?ol,female,Short-cycle tertiary education
83,24,2,4,,7,Espa?ol,male,Bachelor or equivalent
84,34,2,6,,8,Espa?ol,male,Master or equivalent
85,21,1,4,,7,Inglés y espa?ol ,female,Bachelor or equivalent
86,22,2,6,,7,espa?ol,male,Bachelor or equivalent
87,28,2,7,latino,8,espa?ol,male,Master or equivalent
88,20,2,6,,5,Chilena,male,Post-secondary non-tertiary education
89,22,2,3,,7,Espa?ol,male,Bachelor or equivalent
90,28,1,5,,7,espa?ol,female,Bachelor or equivalent
91,20,2,6,,4,Espa?ol,male,Upper secondary education
