,Age,Gender,Race,Race_alternative,Highest education,First language,Gender_label,Highest education_label
0,43,2,1,,7,日本語,male,Bachelor or equivalent
1,27,1,1,,5,日本語,female,Post-secondary non-tertiary education
2,44,2,1,,4,日本語,male,Upper secondary education
3,26,2,1,,6,日本語,male,Short-cycle tertiary education
4,23,1,1,,7,日本語,female,Bachelor or equivalent
5,37,1,1,,8,日本語,female,Master or equivalent
6,32,1,1,,8,日本語,female,Master or equivalent
7,38,1,1,,5,日本語,female,Post-secondary non-tertiary education
8,43,2,1,,5,日本語,male,Post-secondary non-tertiary education
9,23,2,1,,4,日本語,male,Upper secondary education
10,33,1,1,,7,日本語,female,Bachelor or equivalent
11,26,1,1,,7,日本語,female,Bachelor or equivalent
12,38,1,1,,8,日本語,female,Master or equivalent
13,26,1,1,,6,日本語,female,Short-cycle tertiary education
14,38,2,4,White,7,English,male,Bachelor or equivalent
15,38,1,1,,7,日本語,female,Bachelor or equivalent
16,41,1,1,,6,日本語,female,Short-cycle tertiary education
17,27,2,1,,7,日本語,male,Bachelor or equivalent
18,42,1,1,,6,日本語,female,Short-cycle tertiary education
19,38,1,1,,7,日本語,female,Bachelor or equivalent
20,30,1,1,,8,日本語,female,Master or equivalent
21,24,1,1,,7,日本語,female,Bachelor or equivalent
22,23,1,1,,7,日本語,female,Bachelor or equivalent
23,43,2,1,,9,日本語,male,Doctoral or equivalent
25,38,2,1,,8,日本語,male,Master or equivalent
26,41,1,1,,7,日本語,female,Bachelor or equivalent
27,28,2,1,,7,日本語,male,Bachelor or equivalent
28,45,1,4,フォリピン,7,英語,female,Bachelor or equivalent
30,23,1,1,,8,日本語,female,Master or equivalent
32,31,2,1,,9,日本語,male,Doctoral or equivalent
33,27,2,1,,8,日本語,male,Master or equivalent
34,34,1,1,,8,日本語,female,Master or equivalent
35,39,1,1,,7,日本語,female,Bachelor or equivalent
36,31,2,4,イギリス人,8,英語,male,Master or equivalent
38,25,1,2,,8,Urdu,female,Master or equivalent
39,32,2,1,,4,日本語,male,Upper secondary education
40,25,1,4,白人,6,ロシア語,female,Short-cycle tertiary education
41,44,1,4,Caucasian,4,English ,female,Upper secondary education
42,25,1,1,,5,日本語,female,Post-secondary non-tertiary education
