,Age,Gender,Race,Race_alternative,Highest education,First language,Gender_label,Highest education_label
0,22,1,1,,5,português,female,Bachelor or equivalent
1,19,2,1,,3,portugues,male,Lower secondary education
2,19,2,1,,5,Portuguese,male,Bachelor or equivalent
3,23,1,1,,6,portugues,female,Master or equivalent
4,24,2,1,,6,Português,male,Master or equivalent
5,37,2,1,,5,português,male,Bachelor or equivalent
7,19,2,1,,5,Portugues,male,Bachelor or equivalent
8,20,2,1,,4,português,male,Lower secondary education
9,29,2,1,,4,Português,male,Lower secondary education
10,28,1,1,,6,português,female,Master or equivalent
11,50,2,1,,5,Português,male,Bachelor or equivalent
12,31,2,1,,6,Português,male,Master or equivalent
13,26,1,1,,5,português,female,Bachelor or equivalent
14,21,2,1,,5,Português,male,Bachelor or equivalent
15,18,2,1,,4,Portuguese,male,Lower secondary education
16,29,1,1,,5,Francês,female,Bachelor or equivalent
17,23,1,1,,4,Portuguese,female,Lower secondary education
18,31,2,1,,5,Portuguese,male,Bachelor or equivalent
19,25,2,1,,5,Português,male,Bachelor or equivalent
20,22,2,1,,6,Português/Inglês,male,Master or equivalent
21,25,1,1,,6,Português,female,Master or equivalent
22,22,2,1,,5,português,male,Bachelor or equivalent
23,23,2,1,,5,Português,male,Bachelor or equivalent
24,22,2,1,,4,Português,male,Lower secondary education
25,19,2,1,,3,Espanhol,male,Lower secondary education
26,26,1,1,,6,Português,female,Master or equivalent
27,22,1,1,,5,Portugues,female,Bachelor or equivalent
28,21,2,1,,3,Portugues,male,Lower secondary education
29,20,2,1,,3,Português,male,Lower secondary education
30,22,1,1,,5,portuguese,female,Bachelor or equivalent
31,41,2,1,,2,Português,male,Primary education
32,24,1,1,,5,Português,female,Bachelor or equivalent
33,20,2,1,,3,portugues,male,Lower secondary education
34,20,1,1,,5,Português,female,Bachelor or equivalent
35,52,1,1,,5,Português,female,Bachelor or equivalent
36,20,1,1,,5,português,female,Bachelor or equivalent
37,22,1,1,,5,Português ,female,Bachelor or equivalent
38,22,1,2,africana,5,português,female,Bachelor or equivalent
39,27,2,1,,5,Português ,male,Bachelor or equivalent
40,22,2,1,,5,Portuguese,male,Bachelor or equivalent
41,22,1,1,,6,Português,female,Master or equivalent
42,22,1,1,,3,Português ,female,Lower secondary education
43,23,1,1,,6,Português,female,Master or equivalent
44,22,1,1,,5,Portugues,female,Bachelor or equivalent
45,21,1,1,,4,português,female,Lower secondary education
46,21,2,1,,5,Portugues,male,Bachelor or equivalent
47,22,1,1,,3,Portugues,female,Lower secondary education
48,23,2,1,,5,Português,male,Bachelor or equivalent
49,27,2,1,,6,Português,male,Master or equivalent
50,28,1,1,,6,português,female,Master or equivalent
51,24,1,1,,3,Português,female,Lower secondary education
52,23,2,1,,5,Português,male,Bachelor or equivalent
53,19,2,1,,3,Portuguese,male,Lower secondary education
54,44,2,1,,5,Português,male,Bachelor or equivalent
55,25,2,1,,5,Português,male,Bachelor or equivalent
56,21,2,1,,5,Português,male,Bachelor or equivalent
57,46,2,1,,5,Portugues,male,Bachelor or equivalent
58,19,1,1,,3,Português,female,Lower secondary education
59,25,2,1,,6,Português,male,Master or equivalent
60,26,2,1,,6,Portuguese,male,Master or equivalent
61,26,2,1,,5,Portugues,male,Bachelor or equivalent
62,43,2,1,,4,Português,male,Lower secondary education
63,39,2,1,,3,portuges,male,Lower secondary education
64,23,1,1,,5,português,female,Bachelor or equivalent
65,26,1,1,,4,português,female,Lower secondary education
66,32,2,1,,6,Portuguesa ,male,Master or equivalent
67,21,1,1,,3,portugues,female,Lower secondary education
