,Australia,UK,USA,South_africa,France,Spain,Qatar,Egypt,India,Israel,CHN,HK,Japan,Russia,Germany,Brazil,Portugal,Mexico,Chile
White,376.0,513.0,434.0,44.0,448.0,160.0,20.0,46.0,3.0,584.0,,,,,,372.0,,186.0,180.0
Black,2.0,32.0,56.0,640.0,30.0,366.0,14.0,1.0,2.0,12.0,,,,,,58.0,,5.0,1.0
"South Asian Indian, Pakistani, etc.",35.0,26.0,9.0,17.0,8.0,2.0,73.0,0.0,549.0,0.0,,,,,,,,1.0,
"East Asian Chinese, Japanese, etc.",102.0,14.0,18.0,1.0,22.0,6.0,28.0,1.0,4.0,18.0,,,,,,15.0,,0.0,
"Arabic, Central Asian",7.0,2.0,6.0,3.0,22.0,4.0,499.0,445.0,1.0,0.0,,,,,,,,0.0,
Asian,,,,,,,,,,,,,,,,,,2.0,0.0
Han,,,,,,,,,,,4626.0,526.0,,,,,,,
Yamato Ethnic Group,,,,,,,,,,,,,469.0,,,,,,
Ryukyu Peoples,,,,,,,,,,,,,58.0,,,,,,
Ainu Ethnicity,,,,,,,,,,,,,28.0,,,,,,
Russian,,,,,,,,,,,,,,550.0,,,,,
Tatar,,,,,,,,,,,,,,28.0,,,,,
Ukrainian,,,,,,,,,,,,,,12.0,,,,,
Belorussian ,,,,,,,,,,,,,,1.0,,,,,
Jewish,,,,,,,,,,,,,,1.0,,,,,
German,,,,,,,,,,,,,,,468.0,,,,
Dane,,,,,,,,,,,,,,,92.0,,,,
Sorbian,,,,,,,,,,,,,,,1.0,,,,
Brown or mulatto,,,,,,,,,,,,,,,,139.0,,,
Indigenous,,,,,,,,,,,,,,,,1.0,,,9.0
Portuguese,,,,,,,,,,,,,,,,,542.0,,
Latino,,,,,,,,,,,,,,,,,,235.0,
Mestizo,,,,,,,,,,,,,,,,,,,318.0
Mulatto,,,,,,,,,,,,,,,,,,,7.0
American Indian or Alaska Native,,,,,,,,,,,,,,,,,,,
Native Hawaiian or Pacific Islander,,,,,,,,,,,,,,,,,,,
Other (write in),33.0,7.0,44.0,33.0,26.0,8.0,24.0,70.0,4.0,0.0,125.0,105.0,3.0,8.0,0.0,1.0,22.0,126.0,26.0
