,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
1,55.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
2,96.0,100.0,100.0,79.0,100.0,100.0,100.0,100.0,92.0,100.0,96.0,,,,,,,,,,,,,,,,,,,,,,
4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.0,83.0,,,,,,,,,,,,,,,,,,,,,,
5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
6,95.0,96.0,93.0,94.0,94.0,99.0,99.0,92.0,98.0,99.0,97.0,,,,,,,,,,,,,,,,,,,,,,
7,99.0,100.0,98.0,100.0,100.0,97.0,100.0,100.0,98.0,99.0,100.0,,,,,,,,,,,,,,,,,,,,,,
8,98.0,100.0,99.0,99.0,99.0,100.0,100.0,100.0,59.0,96.0,97.0,,,,,,,,,,,,,,,,,,,,,,
9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
10,91.0,100.0,96.0,77.0,98.0,99.0,100.0,99.0,100.0,61.0,77.0,,,,,,,,,,,,,,,,,,,,,,
11,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,,,,,,,,,,,,,,,,,,,,,,
12,83.0,100.0,94.0,89.0,100.0,100.0,100.0,100.0,75.0,85.0,84.0,,,,,,,,,,,,,,,,,,,,,,
13,90.0,100.0,100.0,92.0,95.0,100.0,60.0,97.0,87.0,75.0,92.0,,,,,,,,,,,,,,,,,,,,,,
14,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
15,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,100.0,60.0,,,,,,,,,,,,,,,,,,,,,,
16,60.0,70.0,80.0,50.0,80.0,70.0,100.0,100.0,100.0,100.0,60.0,,,,,,,,,,,,,,,,,,,,,,
17,98.0,100.0,100.0,73.0,100.0,90.0,98.0,86.0,91.0,88.0,78.0,,,,,,,,,,,,,,,,,,,,,,
18,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
19,28.0,16.0,12.0,28.0,21.0,31.0,33.0,28.0,24.0,49.0,21.0,,,,,,,,,,,,,,,,,,,,,,
20,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
21,80.0,75.0,87.0,48.0,67.0,93.0,80.0,71.0,77.0,84.0,69.0,,,,,,,,,,,,,,,,,,,,,,
22,39.0,31.0,5.0,13.0,43.0,0.0,78.0,74.0,34.0,52.0,54.0,,,,,,,,,,,,,,,,,,,,,,
23,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
24,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,67.0,,,,,,,,,,,,,,,,,,,,,,
25,84.0,79.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
26,100.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
27,100.0,100.0,100.0,55.0,100.0,100.0,100.0,75.0,56.0,49.0,53.0,,,,,,,,,,,,,,,,,,,,,,
28,96.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
29,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
30,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
31,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.0,,,,,,,,,,,,,,,,,,,,,,
32,82.0,81.0,83.0,83.0,83.0,81.0,90.0,86.0,82.0,88.0,88.0,,,,,,,,,,,,,,,,,,,,,,
33,90.0,93.0,90.0,88.0,88.0,90.0,88.0,92.0,86.0,86.0,89.0,,,,,,,,,,,,,,,,,,,,,,
34,91.0,89.0,100.0,93.0,92.0,95.0,96.0,81.0,90.0,77.0,90.0,,,,,,,,,,,,,,,,,,,,,,
35,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
36,90.0,100.0,91.0,98.0,88.0,99.0,98.0,98.0,98.0,100.0,99.0,,,,,,,,,,,,,,,,,,,,,,
38,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
39,100.0,100.0,86.0,66.0,100.0,85.0,63.0,100.0,100.0,33.0,87.0,,,,,,,,,,,,,,,,,,,,,,
40,100.0,72.0,88.0,84.0,89.0,68.0,80.0,71.0,69.0,51.0,57.0,,,,,,,,,,,,,,,,,,,,,,
42,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
43,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
44,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,75.0,90.0,,,,,,,,,,,,,,,,,,,,,,
45,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,51.0,,,,,,,,,,,,,,,,,,,,,,
46,100.0,100.0,97.0,100.0,97.0,100.0,100.0,96.0,100.0,100.0,99.0,,,,,,,,,,,,,,,,,,,,,,
