,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
0,51.0,73.0,64.0,67.0,68.0,67.0,71.0,78.0,45.0,68.0,71.0,,,,,,,,,,,,,,,,,,,,,,
2,100.0,17.0,10.0,18.0,16.0,17.0,13.0,10.0,16.0,22.0,16.0,,,,,,,,,,,,,,,,,,,,,,
3,79.0,87.0,60.0,99.0,95.0,95.0,100.0,100.0,93.0,88.0,96.0,,,,,,,,,,,,,,,,,,,,,,
4,50.0,65.0,69.0,79.0,90.0,66.0,88.0,51.0,66.0,42.0,35.0,,,,,,,,,,,,,,,,,,,,,,
5,63.0,66.0,67.0,52.0,34.0,49.0,63.0,25.0,62.0,24.0,76.0,,,,,,,,,,,,,,,,,,,,,,
6,96.0,94.0,91.0,91.0,91.0,95.0,97.0,99.0,100.0,100.0,99.0,,,,,,,,,,,,,,,,,,,,,,
7,62.0,71.0,75.0,74.0,74.0,88.0,72.0,85.0,78.0,76.0,77.0,,,,,,,,,,,,,,,,,,,,,,
8,61.0,63.0,74.0,74.0,83.0,83.0,78.0,87.0,80.0,91.0,84.0,,,,,,,,,,,,,,,,,,,,,,
9,76.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,,,,,,,,,,,,,,,,,,,,,,
10,73.0,91.0,87.0,88.0,88.0,77.0,91.0,75.0,83.0,83.0,80.0,,,,,,,,,,,,,,,,,,,,,,
11,94.0,93.0,96.0,95.0,96.0,95.0,94.0,95.0,93.0,93.0,96.0,,,,,,,,,,,,,,,,,,,,,,
13,49.0,23.0,46.0,58.0,85.0,40.0,48.0,55.0,56.0,63.0,76.0,,,,,,,,,,,,,,,,,,,,,,
14,99.0,99.0,100.0,100.0,100.0,100.0,98.0,100.0,100.0,100.0,98.0,,,,,,,,,,,,,,,,,,,,,,
15,69.0,79.0,64.0,97.0,88.0,92.0,95.0,95.0,99.0,86.0,87.0,,,,,,,,,,,,,,,,,,,,,,
16,67.0,81.0,100.0,78.0,82.0,100.0,100.0,100.0,84.0,91.0,94.0,,,,,,,,,,,,,,,,,,,,,,
17,88.0,83.0,87.0,83.0,84.0,84.0,84.0,81.0,77.0,75.0,89.0,,,,,,,,,,,,,,,,,,,,,,
18,81.0,90.0,79.0,83.0,87.0,87.0,92.0,88.0,90.0,87.0,80.0,,,,,,,,,,,,,,,,,,,,,,
19,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
20,100.0,95.0,97.0,95.0,97.0,97.0,94.0,95.0,95.0,95.0,96.0,,,,,,,,,,,,,,,,,,,,,,
21,72.0,63.0,53.0,74.0,81.0,80.0,51.0,63.0,76.0,74.0,73.0,,,,,,,,,,,,,,,,,,,,,,
22,82.0,88.0,94.0,80.0,98.0,89.0,91.0,88.0,96.0,92.0,96.0,,,,,,,,,,,,,,,,,,,,,,
23,60.0,100.0,100.0,100.0,99.0,97.0,99.0,98.0,96.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
24,84.0,90.0,88.0,85.0,91.0,95.0,80.0,87.0,91.0,90.0,92.0,,,,,,,,,,,,,,,,,,,,,,
26,72.0,63.0,79.0,59.0,40.0,91.0,73.0,83.0,77.0,74.0,71.0,,,,,,,,,,,,,,,,,,,,,,
27,75.0,100.0,90.0,90.0,95.0,100.0,96.0,93.0,91.0,91.0,94.0,,,,,,,,,,,,,,,,,,,,,,
