,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
1,55.0,93.0,53.0,88.0,66.0,73.0,59.0,56.0,61.0,65.0,51.0,,,,,,,,,,,,,,,,,,,,,,
4,49.0,55.0,54.0,47.0,58.0,64.0,53.0,52.0,53.0,53.0,55.0,,,,,,,,,,,,,,,,,,,,,,
5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
9,90.0,95.0,90.0,85.0,90.0,90.0,85.0,85.0,85.0,85.0,80.0,,,,,,,,,,,,,,,,,,,,,,
10,100.0,100.0,98.0,100.0,100.0,100.0,100.0,97.0,100.0,100.0,98.0,,,,,,,,,,,,,,,,,,,,,,
11,33.0,65.0,24.0,100.0,37.0,24.0,16.0,100.0,100.0,27.0,100.0,,,,,,,,,,,,,,,,,,,,,,
12,96.0,83.0,84.0,54.0,98.0,91.0,91.0,75.0,95.0,84.0,89.0,,,,,,,,,,,,,,,,,,,,,,
13,100.0,100.0,100.0,100.0,97.0,97.0,100.0,97.0,95.0,97.0,95.0,,,,,,,,,,,,,,,,,,,,,,
14,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
15,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
16,100.0,100.0,100.0,100.0,100.0,98.0,100.0,100.0,80.0,100.0,50.0,,,,,,,,,,,,,,,,,,,,,,
17,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
18,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
19,100.0,100.0,100.0,100.0,100.0,50.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
20,78.0,80.0,100.0,40.0,100.0,94.0,88.0,100.0,100.0,100.0,64.0,,,,,,,,,,,,,,,,,,,,,,
21,100.0,100.0,100.0,100.0,100.0,50.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
22,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
23,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
24,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,,,,,,,,,,,,,,,,,,,,,,
25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
26,76.0,90.0,85.0,81.0,84.0,100.0,86.0,85.0,78.0,100.0,86.0,,,,,,,,,,,,,,,,,,,,,,
27,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
28,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
29,99.0,76.0,97.0,99.0,94.0,100.0,99.0,100.0,100.0,100.0,99.0,,,,,,,,,,,,,,,,,,,,,,
31,100.0,99.0,100.0,93.0,86.0,96.0,95.0,100.0,100.0,100.0,99.0,,,,,,,,,,,,,,,,,,,,,,
32,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,67.0,,,,,,,,,,,,,,,,,,,,,,
33,53.0,60.0,70.0,75.0,75.0,82.0,85.0,73.0,88.0,84.0,79.0,,,,,,,,,,,,,,,,,,,,,,
34,88.0,86.0,90.0,90.0,90.0,94.0,73.0,95.0,92.0,94.0,97.0,,,,,,,,,,,,,,,,,,,,,,
35,90.0,100.0,100.0,70.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
36,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
37,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
38,99.0,99.0,98.0,98.0,98.0,100.0,99.0,98.0,86.0,98.0,82.0,,,,,,,,,,,,,,,,,,,,,,
39,94.0,100.0,97.0,98.0,98.0,99.0,99.0,98.0,95.0,100.0,98.0,,,,,,,,,,,,,,,,,,,,,,
40,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
41,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
42,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
43,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
44,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
45,99.0,100.0,98.0,99.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
46,100.0,100.0,99.0,95.0,99.0,100.0,99.0,98.0,94.0,99.0,93.0,,,,,,,,,,,,,,,,,,,,,,
47,81.0,100.0,88.0,65.0,96.0,95.0,100.0,100.0,36.0,80.0,83.0,,,,,,,,,,,,,,,,,,,,,,
48,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
50,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
51,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
52,99.0,100.0,100.0,100.0,100.0,99.0,100.0,99.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
54,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
55,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
56,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
57,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
58,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
59,99.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,98.0,98.0,100.0,,,,,,,,,,,,,,,,,,,,,,
60,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
61,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
62,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
63,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
64,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
65,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
66,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
67,90.0,90.0,90.0,90.0,90.0,90.0,89.0,90.0,90.0,93.0,89.0,,,,,,,,,,,,,,,,,,,,,,
68,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.0,79.0,100.0,77.0,,,,,,,,,,,,,,,,,,,,,,
69,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
70,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,,,,,,,,,,,,,,,,,,,,,,
71,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
72,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
73,65.0,65.0,62.0,60.0,55.0,54.0,61.0,63.0,62.0,76.0,64.0,,,,,,,,,,,,,,,,,,,,,,
74,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
76,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
77,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
78,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
79,76.0,88.0,76.0,84.0,76.0,86.0,82.0,79.0,82.0,76.0,77.0,,,,,,,,,,,,,,,,,,,,,,
80,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
81,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
82,70.0,80.0,81.0,75.0,90.0,90.0,85.0,71.0,70.0,80.0,69.0,,,,,,,,,,,,,,,,,,,,,,
84,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.0,100.0,98.0,,,,,,,,,,,,,,,,,,,,,,
85,95.0,98.0,100.0,90.0,100.0,100.0,100.0,100.0,92.0,100.0,76.0,,,,,,,,,,,,,,,,,,,,,,
86,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
87,85.0,83.0,85.0,75.0,85.0,88.0,84.0,75.0,48.0,76.0,71.0,,,,,,,,,,,,,,,,,,,,,,
88,99.0,96.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,98.0,,,,,,,,,,,,,,,,,,,,,,
89,100.0,100.0,100.0,90.0,100.0,100.0,95.0,100.0,95.0,100.0,85.0,,,,,,,,,,,,,,,,,,,,,,
90,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
91,100.0,100.0,100.0,70.0,100.0,100.0,100.0,100.0,87.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
92,100.0,100.0,100.0,100.0,50.0,100.0,70.0,100.0,100.0,100.0,10.0,,,,,,,,,,,,,,,,,,,,,,
93,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,70.0,100.0,,,,,,,,,,,,,,,,,,,,,,
94,100.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,,,,,,,,,,,,,,,,,,,,,,
95,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
96,100.0,100.0,83.0,100.0,100.0,100.0,100.0,100.0,92.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
97,100.0,100.0,100.0,86.0,100.0,96.0,100.0,82.0,100.0,98.0,70.0,,,,,,,,,,,,,,,,,,,,,,
99,100.0,100.0,100.0,95.0,98.0,100.0,100.0,100.0,81.0,99.0,98.0,,,,,,,,,,,,,,,,,,,,,,
100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
101,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
102,100.0,100.0,100.0,100.0,100.0,98.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
103,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
104,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
105,100.0,100.0,100.0,100.0,99.0,97.0,100.0,99.0,100.0,98.0,98.0,,,,,,,,,,,,,,,,,,,,,,
106,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
107,98.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
108,6.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
109,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
110,75.0,80.0,90.0,95.0,100.0,100.0,90.0,95.0,85.0,98.0,85.0,,,,,,,,,,,,,,,,,,,,,,
111,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
112,99.0,99.0,100.0,99.0,98.0,98.0,99.0,99.0,99.0,98.0,99.0,,,,,,,,,,,,,,,,,,,,,,
113,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.0,,,,,,,,,,,,,,,,,,,,,,
115,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
117,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
118,100.0,100.0,100.0,58.0,100.0,82.0,85.0,86.0,75.0,76.0,71.0,,,,,,,,,,,,,,,,,,,,,,
119,99.0,99.0,100.0,98.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
120,80.0,90.0,80.0,90.0,90.0,80.0,90.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
122,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
123,100.0,100.0,100.0,98.0,100.0,100.0,100.0,100.0,95.0,95.0,100.0,,,,,,,,,,,,,,,,,,,,,,
124,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
125,97.0,97.0,98.0,96.0,97.0,94.0,95.0,96.0,95.0,94.0,95.0,,,,,,,,,,,,,,,,,,,,,,
126,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
127,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,,,,,,,,,,,,,,,,,,,,,,
128,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
129,84.0,88.0,88.0,64.0,83.0,82.0,73.0,76.0,77.0,71.0,63.0,,,,,,,,,,,,,,,,,,,,,,
130,81.0,100.0,100.0,86.0,100.0,100.0,100.0,100.0,85.0,59.0,58.0,,,,,,,,,,,,,,,,,,,,,,
132,100.0,100.0,100.0,100.0,100.0,100.0,100.0,79.0,100.0,100.0,60.0,,,,,,,,,,,,,,,,,,,,,,
133,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
134,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
135,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,70.0,,,,,,,,,,,,,,,,,,,,,,
