,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
1,20.0,13.0,17.0,18.0,15.0,28.0,29.0,20.0,19.0,20.0,15.0,,,,,,,,,,,,,,,,,,,,,,
2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
4,8.0,21.0,17.0,20.0,21.0,22.0,29.0,30.0,23.0,50.0,16.0,,,,,,,,,,,,,,,,,,,,,,
5,15.0,11.0,11.0,12.0,21.0,17.0,16.0,23.0,22.0,12.0,26.0,,,,,,,,,,,,,,,,,,,,,,
6,21.0,23.0,12.0,20.0,18.0,24.0,29.0,21.0,43.0,38.0,41.0,,,,,,,,,,,,,,,,,,,,,,
7,18.0,38.0,27.0,35.0,28.0,38.0,33.0,26.0,19.0,14.0,26.0,,,,,,,,,,,,,,,,,,,,,,
8,100.0,100.0,97.0,98.0,98.0,98.0,98.0,99.0,98.0,98.0,99.0,,,,,,,,,,,,,,,,,,,,,,
9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
10,42.0,36.0,47.0,45.0,45.0,45.0,44.0,45.0,41.0,44.0,46.0,,,,,,,,,,,,,,,,,,,,,,
11,45.0,44.0,49.0,41.0,47.0,46.0,51.0,42.0,42.0,49.0,44.0,,,,,,,,,,,,,,,,,,,,,,
12,46.0,39.0,41.0,42.0,36.0,41.0,44.0,19.0,39.0,41.0,39.0,,,,,,,,,,,,,,,,,,,,,,
13,34.0,33.0,32.0,33.0,29.0,34.0,29.0,27.0,31.0,30.0,29.0,,,,,,,,,,,,,,,,,,,,,,
14,100.0,97.0,99.0,98.0,98.0,95.0,99.0,98.0,98.0,98.0,98.0,,,,,,,,,,,,,,,,,,,,,,
15,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
17,87.0,91.0,91.0,83.0,87.0,83.0,88.0,82.0,84.0,83.0,87.0,,,,,,,,,,,,,,,,,,,,,,
18,74.0,62.0,61.0,69.0,74.0,77.0,79.0,79.0,76.0,64.0,71.0,,,,,,,,,,,,,,,,,,,,,,
19,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
20,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
