,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
1,41.0,48.0,68.0,43.0,66.0,80.0,68.0,17.0,20.0,78.0,64.0,,,,,,,,,,,,,,,,,,,,,,
2,53.0,54.0,48.0,56.0,52.0,78.0,65.0,60.0,65.0,51.0,36.0,,,,,,,,,,,,,,,,,,,,,,
3,43.0,89.0,88.0,77.0,92.0,92.0,88.0,95.0,92.0,92.0,82.0,,,,,,,,,,,,,,,,,,,,,,
4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
5,94.0,96.0,100.0,100.0,100.0,97.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
7,75.0,85.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
8,100.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,98.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
9,70.0,80.0,75.0,100.0,100.0,100.0,100.0,60.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
10,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.0,,,,,,,,,,,,,,,,,,,,,,
11,80.0,75.0,74.0,87.0,93.0,95.0,70.0,98.0,97.0,51.0,34.0,,,,,,,,,,,,,,,,,,,,,,
12,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
13,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
14,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
15,68.0,80.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,90.0,,,,,,,,,,,,,,,,,,,,,,
16,83.0,93.0,87.0,80.0,92.0,100.0,37.0,12.0,58.0,86.0,33.0,,,,,,,,,,,,,,,,,,,,,,
17,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
18,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,12.0,100.0,,,,,,,,,,,,,,,,,,,,,,
19,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
20,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
21,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
22,72.0,67.0,98.0,73.0,95.0,100.0,88.0,75.0,73.0,65.0,77.0,,,,,,,,,,,,,,,,,,,,,,
23,66.0,80.0,76.0,81.0,79.0,82.0,79.0,84.0,87.0,81.0,84.0,,,,,,,,,,,,,,,,,,,,,,
24,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
25,70.0,100.0,31.0,90.0,54.0,40.0,40.0,69.0,10.0,20.0,8.0,,,,,,,,,,,,,,,,,,,,,,
26,100.0,100.0,100.0,100.0,100.0,100.0,67.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
27,90.0,95.0,75.0,97.0,71.0,98.0,91.0,69.0,93.0,88.0,89.0,,,,,,,,,,,,,,,,,,,,,,
28,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
29,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
30,92.0,87.0,85.0,63.0,88.0,88.0,75.0,78.0,66.0,69.0,68.0,,,,,,,,,,,,,,,,,,,,,,
31,90.0,88.0,90.0,87.0,85.0,86.0,90.0,89.0,89.0,88.0,82.0,,,,,,,,,,,,,,,,,,,,,,
32,64.0,92.0,96.0,97.0,94.0,100.0,99.0,99.0,99.0,99.0,99.0,,,,,,,,,,,,,,,,,,,,,,
33,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
34,83.0,92.0,99.0,92.0,97.0,96.0,98.0,96.0,96.0,98.0,91.0,,,,,,,,,,,,,,,,,,,,,,
35,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
36,90.0,90.0,90.0,84.0,85.0,93.0,84.0,81.0,80.0,95.0,76.0,,,,,,,,,,,,,,,,,,,,,,
37,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
38,80.0,87.0,87.0,68.0,73.0,99.0,88.0,63.0,63.0,82.0,75.0,,,,,,,,,,,,,,,,,,,,,,
39,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
40,75.0,75.0,92.0,80.0,94.0,84.0,100.0,80.0,100.0,100.0,84.0,,,,,,,,,,,,,,,,,,,,,,
41,73.0,100.0,100.0,100.0,100.0,98.0,98.0,99.0,100.0,99.0,100.0,,,,,,,,,,,,,,,,,,,,,,
42,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
43,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
44,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.0,100.0,65.0,,,,,,,,,,,,,,,,,,,,,,
45,86.0,87.0,91.0,96.0,91.0,72.0,74.0,73.0,63.0,61.0,82.0,,,,,,,,,,,,,,,,,,,,,,
46,52.0,50.0,100.0,72.0,88.0,100.0,100.0,82.0,99.0,100.0,89.0,,,,,,,,,,,,,,,,,,,,,,
47,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
48,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
50,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
51,76.0,86.0,86.0,87.0,96.0,97.0,98.0,98.0,96.0,99.0,97.0,,,,,,,,,,,,,,,,,,,,,,
52,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
53,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
54,90.0,100.0,100.0,90.0,90.0,100.0,80.0,100.0,95.0,80.0,85.0,,,,,,,,,,,,,,,,,,,,,,
55,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
56,100.0,100.0,98.0,99.0,98.0,98.0,97.0,98.0,99.0,99.0,96.0,,,,,,,,,,,,,,,,,,,,,,
57,78.0,71.0,58.0,79.0,77.0,69.0,73.0,70.0,60.0,78.0,72.0,,,,,,,,,,,,,,,,,,,,,,
58,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,30.0,,,,,,,,,,,,,,,,,,,,,,
59,94.0,97.0,100.0,99.0,100.0,100.0,95.0,100.0,100.0,100.0,90.0,,,,,,,,,,,,,,,,,,,,,,
60,86.0,100.0,88.0,77.0,91.0,100.0,81.0,100.0,63.0,58.0,73.0,,,,,,,,,,,,,,,,,,,,,,
61,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
62,69.0,86.0,72.0,73.0,80.0,77.0,85.0,78.0,94.0,90.0,86.0,,,,,,,,,,,,,,,,,,,,,,
