,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
0,60.0,30.0,50.0,60.0,72.0,59.0,68.0,50.0,61.0,4.0,30.0,,,,,,,,,,,,,,,,,,,,,,
1,63.0,53.0,70.0,45.0,37.0,23.0,31.0,23.0,19.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,
2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
3,80.0,50.0,50.0,30.0,50.0,50.0,50.0,60.0,50.0,50.0,30.0,,,,,,,,,,,,,,,,,,,,,,
4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
5,100.0,100.0,100.0,100.0,97.0,100.0,100.0,100.0,100.0,100.0,86.0,,,,,,,,,,,,,,,,,,,,,,
6,80.0,100.0,53.0,53.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
8,97.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
9,62.0,98.0,55.0,50.0,93.0,87.0,96.0,87.0,94.0,90.0,94.0,,,,,,,,,,,,,,,,,,,,,,
10,88.0,73.0,62.0,68.0,58.0,58.0,58.0,58.0,64.0,48.0,46.0,,,,,,,,,,,,,,,,,,,,,,
11,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
12,49.0,53.0,61.0,11.0,56.0,58.0,57.0,79.0,94.0,41.0,68.0,,,,,,,,,,,,,,,,,,,,,,
13,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
14,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,,,,,,,,,,,,,,,,,,,,,,
15,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
17,100.0,100.0,100.0,100.0,100.0,99.0,98.0,99.0,99.0,99.0,99.0,,,,,,,,,,,,,,,,,,,,,,
18,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
19,83.0,83.0,71.0,83.0,86.0,84.0,86.0,84.0,86.0,74.0,82.0,,,,,,,,,,,,,,,,,,,,,,
20,100.0,80.0,84.0,76.0,86.0,100.0,87.0,94.0,98.0,64.0,100.0,,,,,,,,,,,,,,,,,,,,,,
21,78.0,44.0,94.0,95.0,86.0,58.0,86.0,85.0,88.0,50.0,77.0,,,,,,,,,,,,,,,,,,,,,,
22,52.0,48.0,51.0,51.0,52.0,52.0,52.0,48.0,53.0,53.0,50.0,,,,,,,,,,,,,,,,,,,,,,
23,31.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
24,100.0,100.0,100.0,23.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
26,90.0,84.0,100.0,89.0,100.0,100.0,100.0,100.0,100.0,89.0,90.0,,,,,,,,,,,,,,,,,,,,,,
27,90.0,100.0,98.0,93.0,93.0,100.0,100.0,98.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
28,97.0,100.0,100.0,94.0,100.0,100.0,100.0,100.0,100.0,100.0,96.0,,,,,,,,,,,,,,,,,,,,,,
29,85.0,96.0,95.0,96.0,97.0,96.0,97.0,97.0,96.0,98.0,98.0,,,,,,,,,,,,,,,,,,,,,,
30,99.0,99.0,99.0,0.0,48.0,99.0,99.0,0.0,99.0,99.0,0.0,,,,,,,,,,,,,,,,,,,,,,
31,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
32,82.0,93.0,96.0,93.0,91.0,95.0,95.0,96.0,83.0,96.0,85.0,,,,,,,,,,,,,,,,,,,,,,
33,96.0,100.0,100.0,100.0,100.0,98.0,100.0,100.0,100.0,96.0,100.0,,,,,,,,,,,,,,,,,,,,,,
34,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
35,94.0,96.0,98.0,99.0,97.0,92.0,96.0,96.0,96.0,95.0,96.0,,,,,,,,,,,,,,,,,,,,,,
36,49.0,79.0,48.0,67.0,66.0,78.0,70.0,71.0,85.0,62.0,87.0,,,,,,,,,,,,,,,,,,,,,,
37,79.0,70.0,75.0,70.0,74.0,75.0,72.0,62.0,69.0,71.0,67.0,,,,,,,,,,,,,,,,,,,,,,
38,39.0,49.0,61.0,46.0,51.0,74.0,30.0,43.0,61.0,26.0,66.0,,,,,,,,,,,,,,,,,,,,,,
39,74.0,37.0,63.0,56.0,68.0,54.0,96.0,100.0,94.0,68.0,62.0,,,,,,,,,,,,,,,,,,,,,,
40,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
41,100.0,53.0,44.0,48.0,47.0,41.0,43.0,49.0,37.0,33.0,26.0,,,,,,,,,,,,,,,,,,,,,,
42,88.0,100.0,100.0,100.0,100.0,100.0,96.0,99.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
43,100.0,98.0,76.0,97.0,98.0,99.0,96.0,94.0,96.0,99.0,98.0,,,,,,,,,,,,,,,,,,,,,,
44,96.0,98.0,52.0,96.0,100.0,100.0,100.0,98.0,100.0,83.0,100.0,,,,,,,,,,,,,,,,,,,,,,
45,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
46,6.0,5.0,7.0,7.0,5.0,7.0,6.0,7.0,4.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,
47,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,100.0,,,,,,,,,,,,,,,,,,,,,,
48,75.0,100.0,50.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
50,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
51,90.0,90.0,90.0,87.0,90.0,92.0,89.0,91.0,91.0,91.0,91.0,,,,,,,,,,,,,,,,,,,,,,
52,76.0,59.0,95.0,36.0,88.0,100.0,100.0,78.0,100.0,100.0,91.0,,,,,,,,,,,,,,,,,,,,,,
53,72.0,68.0,75.0,76.0,81.0,84.0,84.0,84.0,90.0,89.0,79.0,,,,,,,,,,,,,,,,,,,,,,
54,100.0,100.0,100.0,100.0,100.0,100.0,97.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
55,58.0,58.0,83.0,57.0,55.0,63.0,100.0,100.0,99.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
