,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,100.0,99.0,99.0,97.0,,,,,,,,,,,,,,,,,,,,,,
1,100.0,100.0,94.0,100.0,100.0,39.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
2,95.0,95.0,95.0,95.0,95.0,95.0,95.0,90.0,95.0,90.0,95.0,,,,,,,,,,,,,,,,,,,,,,
3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,86.0,91.0,,,,,,,,,,,,,,,,,,,,,,
4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,79.0,91.0,85.0,75.0,,,,,,,,,,,,,,,,,,,,,,
5,91.0,99.0,100.0,99.0,99.0,98.0,99.0,99.0,62.0,77.0,57.0,,,,,,,,,,,,,,,,,,,,,,
6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.0,82.0,99.0,,,,,,,,,,,,,,,,,,,,,,
7,83.0,75.0,60.0,94.0,79.0,96.0,87.0,91.0,93.0,58.0,69.0,,,,,,,,,,,,,,,,,,,,,,
8,100.0,100.0,100.0,51.0,100.0,77.0,100.0,100.0,66.0,100.0,20.0,,,,,,,,,,,,,,,,,,,,,,
9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
10,100.0,100.0,78.0,87.0,100.0,100.0,97.0,100.0,91.0,70.0,90.0,,,,,,,,,,,,,,,,,,,,,,
11,64.0,91.0,91.0,53.0,58.0,100.0,98.0,92.0,52.0,42.0,4.0,,,,,,,,,,,,,,,,,,,,,,
13,97.0,94.0,100.0,100.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
14,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
15,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
16,65.0,69.0,71.0,94.0,87.0,100.0,100.0,100.0,50.0,90.0,89.0,,,,,,,,,,,,,,,,,,,,,,
17,90.0,89.0,83.0,68.0,73.0,74.0,76.0,78.0,30.0,55.0,44.0,,,,,,,,,,,,,,,,,,,,,,
18,98.0,96.0,98.0,100.0,100.0,99.0,99.0,98.0,97.0,99.0,99.0,,,,,,,,,,,,,,,,,,,,,,
19,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
21,94.0,79.0,99.0,82.0,100.0,100.0,99.0,76.0,46.0,33.0,23.0,,,,,,,,,,,,,,,,,,,,,,
22,54.0,29.0,61.0,66.0,54.0,52.0,62.0,70.0,80.0,65.0,45.0,,,,,,,,,,,,,,,,,,,,,,
23,10.0,27.0,3.0,10.0,18.0,22.0,17.0,27.0,23.0,6.0,10.0,,,,,,,,,,,,,,,,,,,,,,
25,54.0,100.0,67.0,64.0,41.0,47.0,56.0,23.0,52.0,63.0,65.0,,,,,,,,,,,,,,,,,,,,,,
26,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,86.0,83.0,,,,,,,,,,,,,,,,,,,,,,
27,91.0,100.0,91.0,100.0,100.0,100.0,80.0,75.0,83.0,80.0,73.0,,,,,,,,,,,,,,,,,,,,,,
28,98.0,100.0,100.0,87.0,100.0,95.0,100.0,100.0,88.0,94.0,99.0,,,,,,,,,,,,,,,,,,,,,,
29,97.0,99.0,98.0,96.0,97.0,99.0,95.0,97.0,96.0,97.0,97.0,,,,,,,,,,,,,,,,,,,,,,
30,76.0,87.0,100.0,94.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,,,,,,,,,,,,,,,,,,,,,,
31,95.0,100.0,83.0,100.0,100.0,100.0,100.0,100.0,77.0,100.0,87.0,,,,,,,,,,,,,,,,,,,,,,
32,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
33,77.0,95.0,90.0,96.0,100.0,93.0,99.0,96.0,23.0,57.0,69.0,,,,,,,,,,,,,,,,,,,,,,
34,90.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,70.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
35,87.0,53.0,74.0,65.0,88.0,94.0,82.0,82.0,60.0,60.0,66.0,,,,,,,,,,,,,,,,,,,,,,
36,88.0,90.0,87.0,75.0,79.0,100.0,100.0,62.0,96.0,73.0,100.0,,,,,,,,,,,,,,,,,,,,,,
37,97.0,91.0,100.0,91.0,97.0,94.0,97.0,100.0,89.0,96.0,100.0,,,,,,,,,,,,,,,,,,,,,,
38,68.0,55.0,68.0,82.0,66.0,100.0,100.0,85.0,91.0,91.0,99.0,,,,,,,,,,,,,,,,,,,,,,
39,100.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,94.0,,,,,,,,,,,,,,,,,,,,,,
40,84.0,60.0,85.0,50.0,100.0,58.0,62.0,77.0,49.0,52.0,55.0,,,,,,,,,,,,,,,,,,,,,,
41,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
42,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
43,61.0,64.0,65.0,70.0,63.0,66.0,78.0,59.0,59.0,40.0,40.0,,,,,,,,,,,,,,,,,,,,,,
44,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
45,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
46,68.0,69.0,32.0,56.0,59.0,73.0,40.0,56.0,81.0,56.0,68.0,,,,,,,,,,,,,,,,,,,,,,
47,59.0,96.0,95.0,92.0,100.0,100.0,95.0,100.0,100.0,100.0,94.0,,,,,,,,,,,,,,,,,,,,,,
49,55.0,87.0,11.0,91.0,100.0,100.0,100.0,100.0,100.0,98.0,100.0,,,,,,,,,,,,,,,,,,,,,,
50,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
51,94.0,77.0,91.0,91.0,89.0,88.0,85.0,95.0,94.0,86.0,89.0,,,,,,,,,,,,,,,,,,,,,,
52,100.0,100.0,100.0,100.0,100.0,75.0,80.0,100.0,100.0,80.0,50.0,,,,,,,,,,,,,,,,,,,,,,
53,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
54,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
55,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,30.0,100.0,17.0,,,,,,,,,,,,,,,,,,,,,,
56,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
57,85.0,85.0,88.0,88.0,93.0,91.0,87.0,85.0,83.0,85.0,81.0,,,,,,,,,,,,,,,,,,,,,,
58,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
59,87.0,87.0,83.0,91.0,87.0,90.0,95.0,94.0,95.0,67.0,75.0,,,,,,,,,,,,,,,,,,,,,,
60,92.0,95.0,91.0,95.0,94.0,94.0,89.0,93.0,91.0,91.0,92.0,,,,,,,,,,,,,,,,,,,,,,
61,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,100.0,98.0,92.0,,,,,,,,,,,,,,,,,,,,,,
62,98.0,99.0,98.0,98.0,98.0,99.0,98.0,98.0,98.0,98.0,96.0,,,,,,,,,,,,,,,,,,,,,,
63,100.0,100.0,95.0,100.0,98.0,100.0,100.0,100.0,90.0,98.0,100.0,,,,,,,,,,,,,,,,,,,,,,
64,91.0,90.0,90.0,91.0,94.0,92.0,93.0,86.0,23.0,91.0,92.0,,,,,,,,,,,,,,,,,,,,,,
65,100.0,100.0,100.0,100.0,100.0,98.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
66,100.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
67,100.0,100.0,100.0,98.0,100.0,98.0,99.0,99.0,100.0,98.0,99.0,,,,,,,,,,,,,,,,,,,,,,
68,71.0,36.0,45.0,5.0,49.0,49.0,46.0,100.0,42.0,78.0,60.0,,,,,,,,,,,,,,,,,,,,,,
69,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.0,,,,,,,,,,,,,,,,,,,,,,
70,64.0,91.0,72.0,80.0,66.0,80.0,76.0,57.0,70.0,42.0,49.0,,,,,,,,,,,,,,,,,,,,,,
71,100.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0,36.0,65.0,62.0,,,,,,,,,,,,,,,,,,,,,,
72,93.0,100.0,12.0,50.0,100.0,100.0,100.0,100.0,100.0,52.0,90.0,,,,,,,,,,,,,,,,,,,,,,
73,82.0,100.0,94.0,74.0,99.0,100.0,100.0,100.0,29.0,58.0,100.0,,,,,,,,,,,,,,,,,,,,,,
74,100.0,100.0,100.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
75,66.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
76,100.0,94.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,,,,,,,,,,,,,,,,,,,,,,
77,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
78,63.0,79.0,44.0,41.0,47.0,71.0,53.0,51.0,56.0,37.0,52.0,,,,,,,,,,,,,,,,,,,,,,
79,100.0,100.0,100.0,21.0,1.0,100.0,100.0,8.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
80,100.0,55.0,52.0,46.0,100.0,100.0,100.0,100.0,63.0,96.0,92.0,,,,,,,,,,,,,,,,,,,,,,
81,86.0,100.0,99.0,70.0,79.0,67.0,100.0,79.0,56.0,66.0,59.0,,,,,,,,,,,,,,,,,,,,,,
82,67.0,83.0,42.0,71.0,85.0,55.0,88.0,58.0,58.0,57.0,43.0,,,,,,,,,,,,,,,,,,,,,,
83,80.0,90.0,85.0,90.0,91.0,96.0,93.0,92.0,90.0,90.0,90.0,,,,,,,,,,,,,,,,,,,,,,
84,85.0,92.0,85.0,90.0,98.0,93.0,88.0,63.0,70.0,68.0,63.0,,,,,,,,,,,,,,,,,,,,,,
85,11.0,8.0,51.0,49.0,85.0,100.0,81.0,71.0,42.0,54.0,100.0,,,,,,,,,,,,,,,,,,,,,,
86,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,,,,,,,,,,,,,,,,,,,,,,
87,100.0,100.0,100.0,99.0,97.0,100.0,100.0,100.0,100.0,86.0,100.0,,,,,,,,,,,,,,,,,,,,,,
88,96.0,83.0,80.0,71.0,85.0,99.0,87.0,77.0,87.0,96.0,94.0,,,,,,,,,,,,,,,,,,,,,,
89,81.0,100.0,72.0,100.0,95.0,58.0,54.0,72.0,100.0,93.0,100.0,,,,,,,,,,,,,,,,,,,,,,
90,96.0,78.0,96.0,88.0,92.0,100.0,94.0,100.0,98.0,99.0,99.0,,,,,,,,,,,,,,,,,,,,,,
91,92.0,90.0,90.0,91.0,91.0,92.0,59.0,71.0,86.0,89.0,90.0,,,,,,,,,,,,,,,,,,,,,,
92,75.0,40.0,38.0,33.0,21.0,95.0,78.0,76.0,11.0,90.0,54.0,,,,,,,,,,,,,,,,,,,,,,
94,48.0,89.0,63.0,67.0,65.0,48.0,88.0,81.0,87.0,57.0,76.0,,,,,,,,,,,,,,,,,,,,,,
95,94.0,82.0,80.0,93.0,85.0,100.0,96.0,74.0,100.0,84.0,89.0,,,,,,,,,,,,,,,,,,,,,,
96,91.0,92.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,84.0,83.0,,,,,,,,,,,,,,,,,,,,,,
98,100.0,100.0,57.0,100.0,100.0,100.0,100.0,50.0,55.0,47.0,5.0,,,,,,,,,,,,,,,,,,,,,,
99,85.0,80.0,80.0,40.0,70.0,60.0,90.0,40.0,80.0,65.0,20.0,,,,,,,,,,,,,,,,,,,,,,
100,71.0,100.0,100.0,85.0,81.0,100.0,84.0,98.0,90.0,89.0,78.0,,,,,,,,,,,,,,,,,,,,,,
101,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
102,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
103,83.0,88.0,70.0,87.0,72.0,84.0,79.0,61.0,25.0,41.0,35.0,,,,,,,,,,,,,,,,,,,,,,
104,47.0,71.0,73.0,91.0,96.0,97.0,79.0,94.0,85.0,78.0,96.0,,,,,,,,,,,,,,,,,,,,,,
105,7.0,100.0,52.0,100.0,53.0,100.0,100.0,30.0,37.0,33.0,46.0,,,,,,,,,,,,,,,,,,,,,,
106,100.0,100.0,98.0,99.0,100.0,100.0,99.0,99.0,99.0,100.0,99.0,,,,,,,,,,,,,,,,,,,,,,
107,81.0,98.0,99.0,98.0,99.0,99.0,95.0,97.0,94.0,98.0,92.0,,,,,,,,,,,,,,,,,,,,,,
108,100.0,100.0,100.0,100.0,97.0,99.0,99.0,98.0,97.0,100.0,53.0,,,,,,,,,,,,,,,,,,,,,,
109,100.0,53.0,1.0,11.0,10.0,81.0,31.0,11.0,54.0,59.0,65.0,,,,,,,,,,,,,,,,,,,,,,
