,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
0,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,
1,66,63,55,50,53,55,61,60,56,69,61,,,,,,,,,,,,,,,,,,,,,,
2,90,95,97,98,97,96,98,96,100,94,98,,,,,,,,,,,,,,,,,,,,,,
3,65,30,100,80,76,84,94,88,78,82,36,,,,,,,,,,,,,,,,,,,,,,
4,84,91,91,91,89,90,86,85,47,94,93,,,,,,,,,,,,,,,,,,,,,,
5,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,
6,51,85,98,88,95,87,91,82,9,7,64,,,,,,,,,,,,,,,,,,,,,,
7,81,88,92,94,95,95,54,40,100,100,76,,,,,,,,,,,,,,,,,,,,,,
8,90,99,90,98,99,100,98,98,100,95,90,,,,,,,,,,,,,,,,,,,,,,
9,59,39,43,61,57,74,56,60,59,54,80,,,,,,,,,,,,,,,,,,,,,,
11,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,
12,69,89,80,69,83,84,58,80,81,69,80,,,,,,,,,,,,,,,,,,,,,,
13,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,
14,100,100,100,100,100,100,100,100,100,95,99,,,,,,,,,,,,,,,,,,,,,,
15,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,
16,50,38,57,47,57,81,65,63,62,55,53,,,,,,,,,,,,,,,,,,,,,,
17,17,83,99,36,81,99,99,70,85,100,84,,,,,,,,,,,,,,,,,,,,,,
19,46,61,54,50,65,55,56,52,44,53,55,,,,,,,,,,,,,,,,,,,,,,
20,100,100,99,100,100,99,99,99,99,100,100,,,,,,,,,,,,,,,,,,,,,,
21,70,72,72,78,76,65,71,69,78,85,73,,,,,,,,,,,,,,,,,,,,,,
22,92,98,91,89,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,
