,Q39_1_1,Q39_1_2,Q39_1_3,Q39_1_4,Q40_1_1,Q40_1_2,Q40_1_3,Q40_1_4,Q40_1_5
0,4,14,71,81,5,5,91,98,15
2,5,10,34,100,15,9,47,72,9
3,2,48,48,81,3,9,60,85,28
4,6,43,48,70,8,28,80,95,46
5,13,32,44,74,6,8,57,73,37
6,2,50,66,96,1,1,100,100,2
7,7,51,58,95,3,11,51,75,20
8,4,51,58,96,4,14,63,99,25
9,5,56,49,65,3,18,62,84,30
10,11,18,16,100,6,9,85,100,33
11,4,50,49,93,3,2,93,94,4
13,5,58,53,100,6,5,100,100,4
14,0,53,53,100,0,13,69,100,40
15,4,7,41,100,6,22,32,95,9
16,7,50,50,82,7,15,100,80,27
17,5,24,31,87,1,4,97,92,63
18,1,50,53,88,1,2,87,100,12
19,5,50,50,95,3,5,90,95,10
20,4,50,50,99,2,4,100,99,15
21,6,7,45,97,5,5,73,95,11
22,1,29,51,98,6,14,81,100,42
23,0,50,40,94,0,0,100,100,1
24,5,49,49,88,10,21,71,86,45
26,17,54,47,99,5,14,94,100,31
27,1,50,50,100,1,1,100,100,1
29,0,50,51,100,0,0,100,100,3
30,4,47,46,100,5,11,100,92,29
31,10,44,67,85,2,5,82,94,23
32,0,50,50,100,0,6,67,81,11
33,8,9,7,98,8,8,100,49,33
34,29,34,60,72,14,8,69,76,12
36,0,51,51,100,0,8,62,100,25
38,4,46,66,100,1,2,95,100,18
39,22,41,46,85,8,23,81,96,31
40,10,30,40,90,5,10,70,90,20
42,7,11,83,98,1,5,79,90,42
43,0,52,61,98,3,3,89,100,16
46,21,43,65,99,3,5,96,94,7
47,0,53,50,99,0,13,80,100,50
48,16,6,73,85,9,19,77,94,35
49,4,55,47,93,3,10,97,100,21
50,11,48,69,93,3,5,67,98,21
51,6,12,55,96,8,14,100,100,43
52,8,43,72,97,9,9,91,100,12
54,3,48,50,76,3,2,59,75,21
57,30,49,63,100,28,48,74,89,53
59,2,44,75,100,5,13,88,100,42
60,10,49,50,100,5,6,100,100,14
61,21,13,34,77,2,6,81,60,16
62,1,70,60,100,2,11,70,100,25
63,9,37,57,97,7,18,77,100,31
64,0,55,55,99,1,12,76,99,56
65,1,59,61,96,1,1,94,91,2
66,3,22,22,98,4,4,96,94,16
68,7,55,75,96,5,9,92,95,15
69,0,21,41,98,0,0,100,100,0
70,0,50,50,92,0,0,90,100,0
71,39,37,41,58,0,0,73,80,0
72,4,50,50,98,2,6,97,100,40
73,1,46,48,99,1,1,99,100,3
74,0,50,59,100,0,0,100,100,63
75,0,51,50,99,1,4,71,100,15
