,Q39_1_1,Q39_1_2,Q39_1_3,Q39_1_4,Q40_1_1,Q40_1_2,Q40_1_3,Q40_1_4,Q40_1_5
0,100,30,8,0,0,0,100,100,0
1,87,25,17,5,8,21,87,98,28
2,100,15,32,0,0,0,100,100,0
3,100,36,25,0,0,0,100,100,0
4,97,21,15,4,5,21,83,96,26
5,93,33,17,5,5,16,83,99,27
6,97,39,26,5,5,17,81,96,35
7,100,29,27,37,6,16,87,98,17
8,100,56,46,1,4,7,76,100,24
9,100,64,37,1,3,7,78,100,24
10,92,91,92,1,11,17,61,90,34
11,93,91,91,4,8,16,86,95,34
12,89,86,87,13,9,29,77,96,40
13,88,82,77,6,8,24,73,94,33
14,98,29,76,2,3,3,76,100,22
15,100,50,27,0,2,4,96,99,12
16,100,50,29,0,2,6,52,100,19
17,96,53,39,3,17,25,73,85,41
18,99,49,52,39,4,3,100,100,1
19,100,56,80,17,0,0,72,100,20
20,100,50,75,0,0,0,69,100,19
21,100,48,46,6,8,13,79,89,9
22,89,77,56,14,5,12,100,100,12
23,95,82,47,13,6,11,65,92,18
25,100,53,22,0,0,11,73,100,29
26,100,66,37,3,4,7,100,100,27
27,98,50,50,5,10,5,80,96,6
28,100,49,5,5,0,6,100,100,12
30,100,59,56,1,1,1,100,100,4
32,93,60,30,12,5,9,53,94,19
33,100,53,53,4,3,6,93,100,12
34,100,58,10,5,3,3,100,100,4
35,96,68,72,6,3,8,86,97,12
36,100,60,30,2,0,6,80,93,21
38,66,57,52,6,5,4,98,93,5
39,100,48,48,1,3,6,70,86,19
40,100,59,57,1,1,1,100,100,6
41,100,58,24,5,4,3,100,100,3
42,98,96,76,6,1,4,100,100,7
43,99,46,45,1,6,9,68,93,23
44,100,77,46,1,2,2,100,100,7
45,98,50,43,2,12,18,71,85,33
46,98,51,34,9,7,20,76,89,30
47,100,62,35,16,4,14,64,97,38
48,95,91,71,6,1,3,100,100,8
49,100,54,74,0,0,0,66,100,17
50,100,50,41,0,3,7,52,100,29
51,100,49,25,0,2,14,80,100,34
52,100,46,74,0,0,0,76,100,18
53,100,75,20,40,9,15,100,76,1
54,95,50,42,4,2,6,71,87,18
55,100,60,54,3,1,2,100,100,3
57,85,55,54,4,2,8,61,86,17
58,99,49,49,1,6,15,57,92,19
59,98,46,46,1,6,10,70,95,17
60,99,49,49,1,2,4,85,99,11
61,100,50,38,1,2,1,74,99,15
62,98,50,50,4,4,6,69,88,27
63,97,56,25,5,5,10,68,100,34
64,100,50,50,1,1,5,70,100,10
65,98,58,50,4,7,9,100,100,16
66,100,8,25,2,7,9,56,98,17
67,100,53,52,3,3,5,64,100,29
68,100,51,52,2,3,10,69,100,26
69,100,52,69,0,0,0,73,100,17
70,100,57,70,0,0,0,57,100,11
71,100,37,47,32,5,4,93,94,6
72,100,55,64,18,5,4,95,98,14
73,98,60,52,5,8,14,76,87,31
74,100,61,56,30,11,14,99,91,1
75,94,58,55,6,5,9,83,96,17
76,100,50,32,1,1,5,80,100,10
77,100,50,50,2,0,3,96,100,8
78,100,50,50,10,0,1,88,100,6
79,100,50,50,2,2,1,100,100,1
80,100,50,36,0,2,4,100,100,14
81,100,77,43,14,2,8,65,100,18
82,100,60,32,9,6,19,85,98,25
83,79,80,20,12,14,24,89,99,19
84,98,54,53,4,5,14,69,100,47
85,100,66,54,3,1,2,100,100,4
86,100,52,18,1,1,8,70,90,17
87,93,43,36,4,5,9,62,81,19
88,93,49,48,6,3,8,63,93,23
89,100,52,27,1,0,12,68,84,22
90,100,55,55,3,2,2,95,100,6
92,97,72,50,7,4,10,87,97,19
93,100,50,23,0,0,5,100,100,14
94,96,52,28,11,2,6,73,100,18
95,93,78,78,5,7,14,98,97,34
96,88,78,81,4,12,21,95,95,36
97,97,83,83,15,10,15,98,98,24
98,100,71,14,23,6,8,98,90,1
99,97,97,78,7,0,0,100,100,0
100,95,94,77,5,1,2,100,100,6
101,96,91,75,8,1,2,100,100,5
102,100,55,50,1,2,1,100,100,5
103,99,75,60,5,5,8,98,99,5
104,99,47,27,6,4,3,100,100,6
105,100,66,7,9,4,17,73,100,45
106,100,100,50,2,3,12,83,100,39
107,97,89,90,17,6,12,99,99,1
108,97,61,57,9,5,16,100,99,1
109,100,54,51,0,0,0,64,100,22
110,96,85,90,10,4,16,97,99,1
111,100,50,50,0,0,2,100,100,9
112,100,38,30,1,7,12,85,99,19
113,96,93,65,4,1,2,100,100,7
114,100,31,61,19,19,8,88,99,15
115,100,50,50,0,0,2,100,100,20
117,96,99,81,16,1,2,100,100,5
118,100,54,54,1,0,0,100,100,0
119,86,56,43,5,4,12,75,88,22
120,93,44,63,5,5,10,80,89,18
121,91,41,60,6,4,10,79,86,20
122,90,40,61,6,2,7,85,93,15
123,90,40,49,3,0,4,76,86,17
125,96,49,48,2,7,21,85,96,37
126,100,50,49,1,2,6,64,100,15
127,100,51,52,3,1,7,69,100,18
128,100,50,49,2,2,5,67,100,22
129,100,51,50,2,2,6,67,100,16
130,100,32,50,3,0,1,70,100,15
131,95,53,47,3,4,14,85,95,28
132,90,60,40,0,5,10,70,100,20
133,98,50,50,14,7,12,68,83,18
135,100,50,61,1,1,2,70,100,10
136,100,53,53,1,2,15,72,100,35
137,93,61,24,10,4,7,87,100,22
138,96,58,55,2,1,4,87,98,12
139,99,58,61,6,2,6,81,96,12
140,98,54,58,8,3,7,81,96,13
141,100,77,15,30,1,1,70,100,10
142,100,50,23,0,0,0,100,100,0
143,100,50,16,0,0,0,100,100,0
144,100,50,12,0,0,0,100,100,0
145,100,85,35,1,3,4,100,100,15
149,100,52,52,7,2,11,100,100,34
150,100,88,64,1,8,9,100,100,1
152,100,54,54,2,3,3,100,100,3
153,100,52,53,2,3,3,100,100,1
154,100,53,53,2,2,2,100,100,2
155,100,56,56,1,2,1,100,100,1
156,100,53,54,1,3,3,100,100,4
157,88,69,48,21,2,7,75,95,18
158,82,69,47,22,2,7,77,97,12
159,81,57,31,6,2,5,75,89,12
160,74,29,28,1,1,2,73,100,8
161,98,55,55,4,2,5,81,98,10
162,96,50,44,3,3,8,85,97,13
163,100,50,50,0,2,4,53,100,15
164,100,51,50,0,3,5,52,100,19
165,100,36,42,21,5,5,99,99,6
166,100,50,49,0,5,6,51,100,16
167,100,41,49,7,6,5,96,98,5
168,100,49,35,1,3,4,100,100,19
169,100,68,59,7,5,3,98,97,6
170,100,45,54,1,1,12,73,100,25
171,100,52,31,0,0,5,82,100,15
172,100,62,53,2,1,1,100,100,5
173,100,72,26,0,0,8,85,100,19
