,Q39_1_1,Q39_1_2,Q39_1_3,Q39_1_4,Q40_1_1,Q40_1_2,Q40_1_3,Q40_1_4,Q40_1_5
0,18,38,20,92,6,29,98,96,18
1,5,14,14,55,19,14,95,98,19
2,10,52,52,54,32,48,78,92,48
3,1,50,51,92,7,9,89,97,7
4,4,50,50,90,11,3,97,93,3
5,11,15,50,96,14,21,56,86,5
6,20,50,50,88,15,8,97,87,20
7,1,50,50,100,1,1,100,100,3
8,43,50,23,95,35,48,100,100,36
9,10,50,50,100,6,15,90,100,11
10,7,53,53,99,5,3,100,100,3
11,22,50,45,100,3,13,80,100,19
12,1,50,50,100,1,1,100,100,3
13,13,11,14,59,14,17,100,100,16
14,1,50,50,100,1,1,100,100,3
15,4,50,50,78,31,22,78,100,15
16,13,92,50,95,19,11,98,96,13
17,9,45,45,100,9,13,52,71,23
18,3,47,50,100,4,5,100,100,5
19,5,51,51,99,6,10,98,79,9
20,15,50,33,96,9,10,95,95,18
21,40,39,39,97,26,21,100,100,35
22,42,44,33,58,44,35,100,100,39
23,5,90,88,88,6,24,92,92,2
24,1,25,50,83,2,30,96,100,2
25,10,50,50,95,8,12,60,96,21
26,4,57,67,94,13,6,95,98,15
27,32,63,52,100,28,22,59,100,34
28,18,82,54,94,3,33,96,93,15
29,2,7,39,93,20,19,90,91,19
30,15,50,35,77,2,13,96,94,33
31,16,38,67,94,8,25,95,96,19
32,20,55,50,97,3,24,95,96,19
33,12,50,50,92,13,21,95,98,10
34,7,50,33,94,18,25,97,90,7
35,1,50,50,100,1,8,100,100,4
36,7,30,55,77,4,33,90,92,3
37,21,17,15,77,20,4,100,100,15
38,9,50,50,93,10,23,96,93,4
39,2,82,54,86,17,17,77,79,25
40,6,7,39,99,6,33,88,100,9
41,20,50,42,94,5,25,93,99,22
42,17,53,53,58,1,1,100,100,34
43,20,93,29,80,11,3,97,96,29
44,21,26,25,97,21,30,100,100,36
45,7,6,6,100,5,14,66,100,30
46,38,52,60,100,4,5,98,100,11
47,6,95,84,84,18,15,95,95,10
48,48,49,55,100,0,25,72,80,10
49,10,54,46,100,2,9,94,100,47
50,1,50,50,100,1,26,100,100,1
51,1,50,25,96,1,14,100,100,1
52,18,89,72,80,19,23,73,62,14
53,6,38,67,81,4,2,89,100,32
54,17,50,50,97,12,20,94,99,21
55,21,92,87,100,13,19,97,84,4
56,6,63,55,100,42,18,77,100,25
57,17,27,11,94,2,29,51,78,40
58,9,9,43,75,8,17,100,100,35
59,24,93,93,88,24,4,83,78,34
60,6,56,55,100,2,9,100,100,13
61,1,50,50,100,1,30,100,100,2
62,3,49,69,93,3,30,79,100,39
63,47,50,50,100,5,26,100,100,4
64,43,59,71,63,48,6,51,100,10
65,11,100,100,93,13,25,100,100,42
66,26,100,31,95,33,3,100,100,38
67,1,50,50,100,1,1,100,100,4
68,7,24,40,93,4,4,86,100,18
69,32,66,65,62,40,40,100,100,36
70,1,50,50,100,1,1,100,100,3
71,14,85,73,70,1,1,96,99,12
72,1,92,80,91,1,1,69,84,30
73,11,76,61,75,8,1,66,79,33
74,1,50,50,100,1,1,100,100,3
75,47,39,49,59,7,10,100,100,13
76,13,94,69,66,14,1,69,54,47
77,3,50,52,100,4,1,78,100,18
78,0,49,50,100,0,8,100,100,18
79,29,16,9,100,6,34,100,71,39
80,33,69,76,70,19,1,66,76,37
81,28,53,67,88,13,1,93,67,37
82,38,73,28,52,20,12,100,100,25
83,2,37,45,100,2,1,100,100,2
84,32,62,56,64,10,0,62,66,29
85,1,56,66,61,9,1,70,100,12
86,4,82,74,72,22,1,73,79,25
87,20,69,67,81,15,22,67,61,23
88,6,9,49,100,12,32,61,100,9
89,1,50,50,100,1,10,100,100,3
90,28,83,80,90,13,29,77,76,36
91,6,34,46,93,7,31,100,100,6
92,1,50,50,100,1,30,100,100,3
93,17,49,43,54,14,14,53,64,33
94,39,67,100,100,13,29,100,100,3
95,23,10,11,100,4,1,100,100,4
96,11,75,89,84,2,1,63,76,15
97,26,72,71,82,4,49,66,100,33
98,13,24,36,99,24,35,100,100,31
99,14,74,76,56,7,5,100,100,12
100,4,6,50,97,10,18,99,99,2
101,1,50,50,100,1,1,100,100,2
102,0,50,50,97,7,7,98,99,8
103,15,79,18,90,2,1,92,84,41
104,1,50,50,100,1,1,100,100,2
105,10,57,42,100,9,5,100,100,12
106,15,26,37,73,9,1,51,100,28
107,25,93,94,90,5,1,89,90,5
108,28,34,32,87,33,39,100,100,41
109,20,71,87,55,14,48,60,100,19
110,28,72,59,98,3,1,100,100,11
111,28,98,97,96,22,23,97,100,38
112,26,63,56,56,21,8,62,65,38
113,29,50,51,100,2,30,100,100,30
114,38,61,74,79,13,9,100,100,8
115,42,48,49,97,25,15,73,84,32
116,17,100,100,100,2,27,100,100,16
117,49,49,31,100,3,27,84,99,18
118,1,18,53,100,4,29,100,100,4
119,4,50,50,100,1,33,100,69,18
120,25,40,15,83,35,17,59,80,7
121,1,50,50,100,1,7,100,100,7
122,0,68,89,96,15,18,82,81,14
123,13,84,93,100,18,22,85,84,4
124,19,22,50,69,20,45,100,100,48
125,10,74,75,100,3,3,100,100,3
126,10,42,48,100,6,26,100,100,41
127,21,31,18,63,9,13,100,100,35
128,14,100,100,100,0,48,100,100,37
129,11,96,98,100,17,1,100,100,2
130,46,71,78,61,1,1,65,65,20
131,5,100,78,64,32,46,100,100,31
132,23,55,24,76,1,1,100,100,30
133,43,70,75,51,1,38,68,100,3
134,0,60,56,100,0,0,99,99,0
135,1,50,50,100,1,2,100,100,5
136,43,43,44,100,3,5,100,100,14
137,37,31,31,96,34,18,100,100,21
138,0,50,48,100,7,9,100,100,10
139,25,55,49,100,11,24,100,100,1
140,1,50,50,100,1,1,100,100,4
141,14,92,49,79,1,1,85,78,19
142,39,52,49,73,49,1,57,100,38
143,5,58,17,69,0,0,96,93,0
144,8,64,50,100,4,3,100,100,10
145,5,26,5,100,7,1,100,100,8
146,2,28,43,100,14,1,100,100,14
147,17,49,55,100,4,9,100,100,11
148,20,62,59,59,10,14,94,91,26
149,43,42,42,93,37,37,100,100,36
150,28,49,25,62,15,11,94,97,12
151,11,48,47,90,2,6,72,97,13
152,7,90,88,86,1,1,85,93,12
153,0,50,49,100,1,3,67,100,17
154,6,50,50,95,0,0,100,100,0
155,7,7,7,59,10,10,100,100,7
156,0,50,60,100,0,0,100,100,0
158,21,89,93,94,1,7,86,97,36
159,6,52,57,68,1,12,100,100,2
160,8,63,59,98,3,1,86,97,10
161,41,40,42,97,8,8,67,65,24
162,17,83,85,88,1,3,87,76,25
163,6,7,6,100,6,11,100,100,2
164,9,69,69,68,5,13,71,73,34
165,24,67,72,70,1,1,72,71,10
166,11,100,100,100,1,1,100,100,14
167,32,69,94,100,9,13,100,100,11
168,46,32,44,63,48,39,52,100,4
169,38,13,60,54,37,29,100,100,40
170,14,50,49,100,1,1,100,100,0
171,14,6,4,58,2,6,100,100,16
172,1,73,55,70,1,1,71,85,25
173,31,55,25,86,15,27,100,100,35
174,7,33,33,100,5,44,100,100,17
175,11,83,87,87,1,1,81,81,34
176,13,32,71,55,1,1,100,100,10
177,46,48,26,100,10,26,100,100,32
178,3,19,50,100,1,1,100,100,3
179,0,59,1,100,2,2,100,100,2
180,45,53,60,100,1,1,52,100,12
181,33,70,80,69,1,1,77,75,30
182,32,14,14,100,3,1,100,100,2
183,14,22,14,77,11,17,100,100,27
184,1,56,28,97,39,40,100,100,16
185,38,46,39,94,41,34,100,100,47
186,5,51,50,100,2,48,100,100,21
