,Q39_1_1,Q39_1_2,Q39_1_3,Q39_1_4,Q40_1_1,Q40_1_2,Q40_1_3,Q40_1_4,Q40_1_5
0,100,100,50,1,5,7,100,100,1
1,100,100,75,4,5,5,98,99,3
2,100,50,50,3,3,1,100,100,18
3,100,50,50,10,5,5,100,100,5
4,100,50,37,5,3,4,100,100,3
5,100,57,54,4,4,10,100,100,16
6,100,50,73,1,1,1,100,100,3
7,100,50,50,0,0,0,100,100,31
8,100,57,50,6,6,6,100,100,6
9,92,63,62,1,0,2,100,100,0
10,100,23,70,1,1,1,100,100,4
11,100,50,50,1,1,1,97,100,5
12,94,19,54,1,12,6,93,90,14
13,100,65,50,1,1,1,100,100,1
14,100,50,50,49,0,1,100,100,0
15,100,54,51,19,0,6,68,100,27
16,100,35,13,6,29,34,100,100,33
17,100,66,54,2,1,2,100,98,10
18,100,50,52,2,1,2,100,100,3
19,94,50,14,1,7,7,92,92,7
20,100,3,38,25,3,8,68,100,24
21,100,80,48,1,2,22,100,100,37
22,58,51,52,1,13,18,78,72,27
23,100,100,32,5,3,4,100,100,6
24,54,45,9,6,0,1,100,100,1
25,78,51,53,8,5,6,100,100,12
26,100,50,61,1,1,1,100,100,1
27,81,49,46,28,6,16,94,97,44
28,100,100,78,43,0,47,71,90,35
29,95,50,49,6,0,0,97,95,6
30,100,47,47,48,0,11,69,99,34
31,100,55,49,0,0,0,100,100,0
32,80,55,57,1,7,6,96,98,6
33,100,52,56,4,4,18,68,100,43
34,100,11,23,6,0,1,100,75,1
35,100,41,42,0,0,0,98,98,0
36,100,30,49,19,1,6,100,98,7
37,92,28,52,12,1,4,88,99,13
38,52,54,58,1,0,46,60,100,1
39,100,64,29,0,0,1,100,99,0
40,100,50,49,5,2,2,100,100,8
41,96,42,42,3,1,2,100,100,4
42,100,12,86,1,2,31,100,100,16
43,100,56,50,4,4,4,100,100,4
44,100,51,51,0,0,0,100,100,0
45,100,100,59,0,0,0,100,100,0
46,97,8,10,49,8,15,100,100,6
47,100,57,30,0,3,6,61,84,26
48,100,79,83,5,0,0,100,100,0
50,100,42,39,1,7,7,92,89,6
51,89,86,45,20,22,1,87,89,43
52,100,47,47,0,5,5,100,100,20
53,100,50,23,11,2,5,83,100,9
54,87,79,55,6,4,12,70,95,39
55,92,53,73,1,6,12,100,100,19
56,99,48,10,3,7,6,85,100,12
57,83,89,70,1,6,33,58,100,43
58,100,25,50,3,2,5,67,99,44
59,71,49,27,23,2,2,99,99,2
60,100,46,51,0,1,1,100,100,3
61,100,88,59,5,5,1,98,99,5
62,99,98,47,6,2,1,98,98,3
63,97,72,57,2,3,30,100,70,25
64,99,47,47,4,0,6,97,99,0
65,100,50,50,1,2,14,66,100,35
66,100,49,60,1,1,31,74,100,1
67,100,49,50,6,2,12,62,97,36
68,100,46,14,5,7,6,100,100,7
69,100,12,55,2,1,1,100,100,7
70,96,60,43,4,5,7,89,96,1
71,98,96,92,1,2,1,99,99,1
72,100,50,74,3,3,14,90,100,40
73,100,50,46,1,4,6,100,100,17
74,97,50,62,1,2,4,98,97,4
75,100,33,30,1,2,2,100,100,4
76,99,68,57,1,1,2,87,94,12
77,98,79,46,2,15,48,87,100,1
78,100,50,50,1,3,4,100,100,20
79,93,61,27,7,0,6,84,87,7
80,100,65,50,30,1,5,60,100,18
81,100,40,52,36,31,38,100,100,47
82,100,50,50,1,1,1,100,100,1
83,100,55,40,30,0,0,100,100,15
84,100,41,47,0,3,0,100,100,0
85,100,50,50,0,0,0,100,100,10
86,100,20,0,0,0,0,100,100,0
87,100,50,50,20,20,20,100,100,20
88,98,50,50,2,3,0,100,100,9
89,90,88,18,7,8,15,92,90,19
90,98,49,53,5,0,1,100,99,17
91,100,72,53,20,0,1,95,100,7
92,100,3,100,3,1,1,100,100,3
93,100,72,30,0,0,0,100,100,0
94,54,54,51,0,5,41,83,99,1
95,100,56,38,2,1,2,98,98,6
96,54,79,22,6,3,5,100,100,1
97,100,67,30,7,2,4,97,100,4
98,100,85,53,6,5,20,70,100,35
99,96,55,55,6,8,9,97,97,28
100,100,77,100,1,40,34,100,100,30
101,100,35,46,42,0,17,59,100,36
102,100,45,43,2,1,22,85,100,31
103,88,52,52,1,6,17,89,82,13
104,100,21,18,23,6,15,79,71,22
106,100,8,97,7,5,14,87,97,23
107,85,29,52,1,8,12,100,100,10
108,100,46,42,43,0,0,100,100,0
109,100,48,50,12,6,22,100,100,38
110,100,25,38,46,28,41,76,100,43
111,100,100,13,8,3,1,84,100,7
113,100,17,100,4,4,5,100,100,38
114,100,11,32,31,21,48,69,100,19
115,72,53,51,22,19,18,86,100,44
116,86,76,40,29,13,24,80,100,2
117,99,86,38,2,1,0,100,100,0
118,100,3,3,4,1,40,58,100,13
119,100,46,46,3,6,17,100,100,25
120,100,59,62,7,1,2,100,75,4
121,100,50,50,0,0,0,100,100,0
122,100,56,61,1,7,4,100,100,6
123,99,47,48,1,1,1,100,100,1
124,100,51,50,2,3,7,83,100,29
125,100,56,56,4,1,9,100,100,16
126,100,100,47,7,6,22,69,98,43
127,98,48,48,6,4,5,98,98,15
128,100,50,50,25,1,5,100,100,25
129,100,76,72,14,41,44,90,96,27
130,63,63,25,1,0,0,99,100,0
131,95,62,59,10,6,35,92,100,43
132,75,70,64,1,1,1,70,100,35
133,97,45,47,0,0,0,99,96,8
134,89,48,88,5,14,31,89,89,20
135,100,100,100,1,1,1,100,100,8
136,100,60,48,0,2,29,98,99,30
137,99,51,98,1,2,1,100,99,6
138,97,54,56,6,1,1,97,96,3
139,100,46,46,6,7,3,100,100,6
140,97,79,76,7,4,5,99,100,19
141,100,100,50,0,0,0,100,100,0
142,100,53,57,1,1,2,57,88,32
143,100,5,54,5,5,4,96,100,8
144,100,55,55,0,7,30,84,100,20
145,93,49,36,11,7,10,87,91,38
146,100,60,50,4,4,4,100,100,19
147,100,100,100,2,3,5,98,97,2
148,98,43,65,1,1,48,56,100,46
149,51,51,51,1,12,10,99,99,12
150,100,68,51,12,29,38,56,95,41
151,88,59,57,1,3,13,64,99,28
152,100,50,50,0,0,0,100,100,0
153,100,50,49,3,3,6,100,100,10
