"","Activeness","Formality","Equality","Valence","Exchange"
"Parent and Child",2.14848657427027,-1.16721577360418,-2.12174335469177,0.252364846811629,-0.645134750731886
"Parent and Teenager",2.21747610087859,-1.00160274758962,-1.44232498884279,-0.640537270749581,-0.663927000095498
"Wife and Husband",2.36349226368499,-0.980522603899863,1.69300802001729,-0.216394956973386,0.445967450931549
"Fiance and Fiancee",1.83564272922314,-1.14981197223016,1.42839901531229,0.287348850596531,0.437217668903952
"Between Siblings",1.97236064198544,-0.985027834305451,1.02791547404489,-0.340388927921773,-1.62537731053575
"Between divorced spouses",-0.955137984414675,0.078953587333615,1.38415487622332,-1.119873787893,-0.586384958691802
"Between a person and their in-laws",-0.928349786621787,-0.618801550823669,-1.24401450248325,0.399304410181092,-1.28495158372763
"Between cousins",-0.419344603995117,-1.18143728248306,0.492065308124578,0.392733511266301,-1.37005375519095
"Employer and Employee",0.948869876002981,1.685397881163,-0.684896203664795,0.313669400120248,-0.516234029848462
"Interviewer and Job applicant",-0.375811523221417,1.04586784820765,-0.300942199672446,0.079184035618161,-1.42112047973349
"Guard and Prisoner",-0.169338325417206,-0.0928143875480082,-1.35950002006611,-2.82721944160328,-1.84694314920262
"Nurse and Patient",0.622553202853446,0.862685703769495,-0.648714684789325,0.460693003588585,-1.41934600240314
"Therapist and Patient",1.38570431249727,0.815868690306326,-0.751072218957787,0.221200090123523,-0.356524116503278
"Salesperson and Customer",-0.50267842889087,1.79713095540076,0.743919500529494,0.899845197767018,1.25850069284821
"Between Business Partners",0.826474523376382,1.34933879040019,1.24027009921942,0.251288466731294,0.660971917530873
"Between opposing negotiators",-0.687474401018131,0.784858520584218,0.754289578364728,-1.74105771239011,-0.672612921628093
"Between political opponents",0.20382571416404,0.641002629174901,1.16356116515478,-2.29777211672877,-0.380419311452749
"Between business rivals",-0.137151098313461,0.870762584565191,0.8101453657017,-1.52214880207889,0.108714709211616
"Between enemies",-0.975050704937124,-0.871237032831174,1.10060296707536,-2.21933930557819,0.470619520293004
"Teacher and Student",0.907871266194945,0.52596985868159,-1.0740238747113,0.381361215624919,-0.239371549825687
"Professor and Graduate student",0.789044024993801,0.49286522893854,-1.0157686308694,0.600054693753495,-0.0511136516234353
"Master and Servant",-0.69502312373981,0.0577916489353272,-1.31798535252499,0.0114364715325184,1.27406211783919
"Between Close Friends",1.12359170916469,-1.14987185409169,1.04643416659383,0.790906332121616,-0.345415667161616
"Between casual acquaintances",-1.14192984552966,-0.608576585108438,0.441408624964121,0.732918264396308,-0.869935903065518
"Between teammates in sports",0.651273639104554,0.623273848510314,2.22523153895271,0.262307737132897,-1.44700213758843
"Between second cousins",-2.08319316217265,-0.941414788928447,0.773749355247515,0.963056050851445,-0.845554428086712
"Parent and Infant",1.69121325457891,-1.5973856025672,-2.42696859766961,0.231000952679014,0.354296216307417
"Grandparent and Grandchild",0.726216224909383,-1.68856929947819,-2.19455282870749,0.670063506942862,-0.0171029164364795
"Step-parent and Step-child",0.00594372152259115,-1.26948649136908,-1.58422744493755,0.240099231880456,-0.327909064888086
"Foster-parent and Foster-child",0.0032984673405852,-1.34841264485091,-1.6756677146664,0.295084613861773,-0.345282650952639
"Godparent and Godchild",-0.948034278157964,-1.23465197469755,-1.63715136555173,0.835269169330024,-0.085320585302733
