"","V1","V2","V3","V4","V5"
"Valence Evaluation",-0.584810906872601,-0.174095478945244,-0.0623081099187442,-0.677339087327321,0.00652151869936803
"Equality",-0.289419657824136,0.144394385865922,0.0131919119479843,-0.276014115808231,-0.770541119494233
"Activity Intensity",-0.823112407105306,0.130237643363765,-0.0336296097005256,-0.113678246390827,-0.269345678527828
"Socioemotional",-0.605821089988645,0.376888080035599,0.398358601098953,-0.180055993477909,-0.332936972186314
"Formality and Regulation",0.227959701659344,-0.34332275729232,-0.778529755308186,0.126240215973536,0.0591616865114022
"Intimacy",-0.78475748241499,0.146372062828003,0.315297190807596,-0.333936422026919,-0.166520278021367
"Visibility",-0.23241516127478,0.119455739798126,-0.711291236803494,-0.209149334028798,-0.234562649425501
"Communal Sharing",-0.707082315629013,0.367882730622212,0.0177561668765693,-0.356204920272233,-0.166904974580358
"Expected Reciprocity",-0.115568857369426,-0.546893736958696,-0.156794865599147,-0.559631821389172,-0.241331751686593
"Strategic",0.466759266200985,-0.445519029380139,-0.41465347531937,0.442086693463092,-0.0759570053182842
"Concreteness",-0.0940842506662442,-0.54115991232336,-0.0874833783307176,0.257945073103789,-0.452208660299235
"Uniqueness",-0.717339626170566,0.233414084139295,0.21277305730382,0.20661876299486,-0.107160700709657
"Love Expression",-0.799107027680834,0.177022503875031,0.281694828677649,-0.275128627065864,-0.0760439910148766
"Information Exchange",-0.801160890352844,-0.143501620131738,-0.113447829830084,-0.224509007297509,-0.0901202314060137
"Money Exchange",0.0810480932952133,-0.890166153890003,-0.00655672080395454,0.0762905954655406,0.0902169079633901
"Goods Exchange",0.262809611287773,-0.831324040459631,0.0156227993543865,0.0220608834876321,0.0391199732709657
"Service Exchange",-0.0110208256546433,-0.8067223115679,-0.148527694473528,-0.277039091843784,0.293442727045412
"Attachment",-0.822333469238247,-0.0256347317930699,0.207183317805442,-0.305462851175791,0.0481229922931136
"Mating",-0.514393397369388,-0.0131655339633682,0.531349998814249,0.0594145478722614,0.0144589209538431
"Conflict",0.288111928715406,0.0105049992067852,-0.0879837580481206,0.864626369119592,-0.060571319906695
"Negotiation",-0.346923235320428,-0.537294175510083,-0.119732604208164,-0.221388944291877,-0.268530390596508
"Coercion",0.165385452927144,-0.0443224117669927,0.130848179841387,0.812795482456806,0.226355039007786
"Importance for society",-0.597112668550521,0.0367402484693715,-0.609316575697429,-0.0693210204087977,0.0376371745917127
"Importance for individuals",-0.862303201823464,0.135159766332839,-0.247098625212014,-0.114281295413083,-0.0231939952085482
"Affiliation Coalition",-0.732735643365404,-0.0544167339711892,-0.0602601807566872,-0.53172813754743,0.0161309633935552
"Occupational",-0.0135755471967512,-0.514417653554408,-0.633238483879273,-0.0287605827410186,0.385199396258474
"Activeness",-0.765106125392974,-0.110315383296173,-0.0118353938299252,-0.379387992436732,-0.136651625443381
"Endurance",-0.707149238648548,0.332202006226753,0.098907475316833,-0.215879256462087,-0.0410333175115206
"Synchronicity",-0.754363437817583,-0.127842470928158,-0.195348918061902,-0.0490696864389849,-0.142186716100254
"Spatial Distance",-0.763788304036951,-0.171176502937919,-0.0336653319314158,-0.0862866778841988,-0.0299661631838035
