"","V1","V2","V3","V4","V5"
"Parent and Child",-2.89660253500755,0.854043318074582,0.343787275817579,0.91459339394181,0.688225655073403
"Parent and Teenager",-1.68799988255184,1.15235482743747,0.0509242143779558,0.564528112859617,0.374794968450103
"Wife and Husband",-2.60542631264615,0.34884575172128,0.343533029206396,0.717602099848102,-1.01413302686274
"Fiance and Fiancee",-1.02408801847881,0.281461947829484,0.897337852842904,-0.195067113841646,-1.10008488743702
"Between Siblings",-1.23675038051663,1.08008148108658,-0.0380386530396772,-0.326972063380012,-1.22749836423275
"Between divorced spouses",1.3892986434685,0.0823444043666043,1.2652273887047,0.235204320561816,-1.55780438391445
"Between a person and their in-laws",0.183410510066851,0.956903261214172,0.486395262168782,-0.185006793261197,-0.509979698149373
"Between cousins",0.349607637320528,1.3359667165805,0.370687603120977,-0.84646944063971,-1.13855081357112
"Employer and Employee",0.0394969784506854,-2.07318289746255,-1.10184400182953,-0.393822947155647,-0.625605722124236
"Interviewer and Job applicant",0.760602868743475,-0.422988453988749,-1.59327336477373,-0.130323698554648,-0.403058278350636
"Guard and Prisoner",0.793297307851075,1.29761751971136,-1.39279800876312,1.35706629881344,0.934131112502535
"Nurse and Patient",-0.279560208949156,-0.584728698815228,-1.00952225692675,-0.398325974756524,-0.316108746779615
"Therapist and Patient",-0.638206504161403,-0.625590314960163,-1.17479502610537,-0.310279051587196,0.129810873653749
"Salesperson and Customer",0.632831669319427,-2.35922468336125,-0.107079186627578,-0.664564304056412,-2.12081488995237
"Between Business Partners",-0.648399709537866,-2.42276306077422,-0.705825175062232,0.315312324011697,-2.20617408191849
"Between opposing negotiators",1.03117857316042,-0.208997120123961,-1.20086512585146,1.2560413326206,-1.4984006980217
"Between political opponents",0.663796944779754,1.05414962188384,-1.66895837018425,2.39954052383,-1.12087639724914
"Between business rivals",0.173437803916357,0.149484721345589,-1.61980668108467,2.51914073557049,-0.803911523600284
"Between enemies",0.661940110152239,0.910499697500277,-1.06701105742937,2.37445746503352,-0.715809543880582
"Teacher and Student",-0.677646043007528,0.0728368884145186,-0.995006430323515,-1.30250951326344,0.491873280654188
"Professor and Graduate student",-0.621344313488645,-0.113792969237875,-0.609809890945708,-1.13254891847694,0.82859866963843
"Master and Servant",0.135770516407232,-1.48932625745189,0.738233954905451,-0.191940740009654,0.458191245463288
"Between Close Friends",-1.16426972527626,-0.0668109589561754,0.698009586227736,-0.637864033992719,-1.52799984410684
"Between casual acquaintances",1.84318464161982,1.18971443810098,0.62502535322838,-1.12112040537992,-0.311412486050997
"Between teammates in sports",-0.63621427498269,-0.587428328915507,-1.10413501961425,-0.0541665292956365,-0.7988446105911
"Between second cousins",0.293110221553677,0.702611622960112,0.526292923745158,-0.535406641991923,-0.802250387639898
"Parent and Infant",-2.79130321022451,-0.322079139998056,0.767130034220253,1.18176140996601,1.55423334179926
"Grandparent and Grandchild",-2.08864847454239,0.175534030890817,0.725906544827937,0.794966953847912,1.63779334429449
"Step-parent and Step-child",-0.490116605250058,0.334124026288633,1.3023600240062,0.842580623062271,1.24716942064329
"Foster-parent and Foster-child",-0.273573560524121,-0.101007400788496,1.29399449288904,0.674700156418003,1.93267231710961
"Godparent and Godchild",0.191576493284475,0.373696470530344,0.782674241460415,0.021459277213323,1.68759298999275
"Step-grandparent and Step-grandchild",0.392627273234272,0.60854877700519,1.11386679510282,0.287534674241863,1.45302311864323
"Ancestor and Descendant",0.0436806698795209,1.56288613820977,0.40731967654122,-1.07745216222652,1.65071637735366
"Bride and Groom",-2.07447071959192,0.206500031214761,0.379271864312367,-0.00993918535583606,-0.495805406299739
"Man and His Mistress",0.0503292943765702,-1.216088115367,3.31931725316136,0.106950579755669,0.91429345431433
"Man Wife and Man Mistress",1.22302558455987,0.490493108017986,1.63754986266176,1.84878776607605,0.466492232664072
"Brother and Sister",-1.35411045125756,0.778152550602854,0.154167620740079,-0.338303822442602,-0.314871191751099
"Between step-siblings",0.0614236023173924,1.16204062507827,0.429573334332036,0.396639332654106,0.00483704486660971
"Between distant relatives",1.24595027626575,0.998168939886553,0.547569565127229,-0.575073748042746,-0.870268713704638
"Between close relatives",-0.364687911724534,0.471491136783106,0.0172099413401213,-0.718404754340373,-1.54817193423526
"Between twins",-1.6112377450424,0.693954125048441,0.734613489504847,-0.239195225063133,-0.587549740763605
"Between a person and their family friends",-1.10949683226175,0.766840371024858,0.754486129681174,-0.447512927156128,-0.344572194101169
"Between a person and their deceased spouse",-0.439992886960079,1.22475029859178,1.16995858074131,-0.774432730709899,-0.274895550231324
