"","V1","V2","V3","V4","V5"
"Valence Evaluation",-0.461538783474704,0.791858274833266,-0.0253556530287968,-0.0772352163736089,-0.156726530559114
"Equality",-0.0864310779582462,0.183877391729585,-0.837009754960149,0.199118211484063,-0.265579687117948
"Activity Intensity",-0.894666437202048,0.0744703446479184,-0.0783128460392416,0.0899782498449049,-0.0708044927044503
"Socioemotional",0.432513097702195,-0.238635995763271,0.0972125896879959,-0.468634003769617,0.609948992407149
"Formality and Regulation",0.340118555935311,-0.133641669013232,0.183892561655986,-0.373984299409723,0.759089936812598
"Intimacy",-0.657368515630174,0.191142442719317,-0.0422822269703742,0.278627452193871,-0.569613918969868
"Visibility",0.41073107161733,0.121660236737076,0.00874622414728347,0.100933473470475,0.673059246418496
"Communal Sharing",-0.629874736422983,0.330974829197069,-0.253537171429326,0.402129811692959,-0.371765351133851
"Expected Reciprocity",-0.365693549144001,0.330397767817541,-0.770604715928056,-0.0552641111720626,-0.128997499157899
"Strategic",0.33392405545711,-0.420146738812069,-0.0913730932540709,-0.518001424486081,0.514074945608943
"Concreteness",0.258727687453576,-0.0549538492514993,-0.00392726974830984,-0.78798150387856,0.182159304171947
"Uniqueness",-0.743867709138229,0.0579747114142729,-0.130557555977279,0.237949583621551,-0.40505679763743
"Love Expression",-0.639618765048217,0.284518434383047,-0.107782863660889,0.400112675774398,-0.47728632704069
"Information Exchange",-0.560513929948702,0.527821675134971,0.0135799669683532,-0.137467083033283,0.277245372583195
"Money Exchange",0.0904710970665323,0.0251674550207215,0.0855326736095222,-0.904903604457623,0.154528140042979
"Goods Exchange",0.199471829456918,0.0308490901600344,0.0345226355885956,-0.85260783025376,-0.125525795762541
"Service Exchange",0.0644409100588046,0.278916969318573,0.476303232980779,-0.703269534012168,0.210182503572448
"Attachment",-0.809664854259971,0.315455672615688,-0.0847328511452115,0.195022608249953,-0.327264449584895
"Mating",-0.466703739197581,-0.0868106960013675,-0.0855764095206664,0.0626589887577519,-0.502424959150503
"Conflict",0.167994911200334,-0.871324693793986,-0.211467338765967,0.0691252254976366,0.174603298510401
"Negotiation",-0.141773517799803,-0.153641636211074,-0.503171040651156,-0.625892263797459,0.171690338018372
"Coercion",-0.12623505847037,-0.752425490310654,0.286039817494617,-0.138836803621996,0.21280916301789
"Importance for society",-0.0962427820200522,-0.0955663014667429,0.208594878785811,0.00847369331962296,0.771821080742986
"Importance for individuals",-0.773702537786646,0.343301018288734,-0.0439993188435875,0.279083827030844,-0.108677399105664
"Affiliation Coalition",-0.662640439807485,0.574393347653334,-0.188345725133912,0.110564379216952,-0.00942086110877703
"Occupational",0.20063190804659,0.0725575648398896,0.194634217098654,-0.502471804701072,0.702509847134775
"Activeness",-0.11277081629758,0.320716511151027,-0.050849160059715,-0.186949278413783,0.179700095582428
"Endurance",-0.698553243164035,0.277997823010976,-0.111101038397259,0.267627784844194,-0.144686883107893
"Synchronicity",0.27371532093708,-0.275457047089451,0.14407428546336,-0.0148751148471907,0.116218075526646
"Spatial Distance",-0.787654772953371,0.182633693903124,0.0951177294728582,-0.0849701131263099,-0.0424947968000897
"Morality",-0.338069454569961,0.708146953228649,-0.0915973564733285,0.222526913951751,0.347096710431347
"Trust",-0.558452235645361,0.7806630406291,0.0604451389682546,0.0820595523760022,-0.0936175299724703
"Generation Gap",-0.0493000619244385,0.0943337989970964,0.803501303819829,-0.0257525248080198,0.0979781824013048
