"","V1","V2","V3","V4","V5"
"Valence Evaluation",-0.429542178163525,0.160835408411797,-0.0557152432855471,0.381222073046185,0.472311969006146
"Equality",-0.47674081495963,0.287436947908932,-0.262088068468798,-0.14617619391262,0.17808641742808
"Activity Intensity",-0.66531114958865,0.107273984506367,-0.200120334236764,0.0410218571674359,0.445338035996692
"Socioemotional",-0.774430274340073,-0.0334979448396613,-0.217445527300426,0.0277219046121421,0.327038511814872
"Formality and Regulation",0.583102238083742,0.540497333483948,0.153066205231175,-0.0748282911177754,-0.0315400040171142
"Intimacy",-0.78289867204008,0.117057123660565,-0.0814872541769805,-0.113281963104009,0.0179195899507901
"Visibility",0.0664565359364707,0.593896683841133,-0.237164384681459,0.284537221709223,0.37530468272196
"Communal Sharing",-0.687307934366692,0.347285601189966,-0.30757436837325,0.255468636935877,0.120884210357744
"Expected Reciprocity",-0.125667069662941,0.783952352682746,0.144665102909975,0.0429130514941034,0.141081969434008
"Strategic",0.176518974536765,0.801229891097102,0.110136826429096,-0.124998560578584,-0.0835531119713535
"Concreteness",0.160503103508916,0.70717955170192,0.272102985572639,-0.196428408177932,-0.10433463430092
"Uniqueness",-0.756817416455776,-0.278769473688759,0.114739540142358,0.229815890656311,0.269044004203503
"Love Expression",-0.85146056612157,-0.285769528459523,0.0132151928711723,0.221886794344876,0.170744605295126
"Information Exchange",-0.291888621523421,-0.00772021257652879,0.450847547268023,0.373181432517374,0.504353763860205
"Money Exchange",0.222648489524409,0.183198317702875,0.808572609027593,-0.256653978206544,-0.0450855979518243
"Goods Exchange",-0.0176686249235996,0.0875814851085844,0.82459229123468,-0.245983599800009,-0.0291522433033305
"Service Exchange",0.0565026688498289,0.0741147844512365,0.83812328448278,0.178235032243186,0.029410018028747
"Attachment",-0.784305293244898,-0.278787002922834,0.109575370046856,0.317780033459288,0.217685073038053
"Mating",-0.727057910000148,-0.273959476463731,0.207199540504073,-0.0957100427259423,0.0247058867956963
"Conflict",0.0508136473200552,0.139837955134467,0.0268655438708038,-0.867027599424448,-0.186010002984351
"Negotiation",0.0444517821144524,0.0573655274045626,0.5161349191082,0.0857847459137518,0.0303512437763375
"Coercion",0.0513802443432355,0.0324125368437541,0.0488616675601244,-0.843960850377703,-0.189120724956428
"Importance for society",0.14788331253201,0.0194969865603703,-0.0993617641313041,-0.0579674388178624,0.629238482659422
"Importance for individuals",-0.362133560105472,-0.205056880021296,-0.0135495860134699,0.237879546105601,0.665071213557935
"Affiliation Coalition",-0.199242647832299,0.223801165752597,0.162522434433007,0.43090051429051,0.625089904044173
"Occupational",0.515947782573228,0.441990602998914,0.192464525812995,0.0836152083712929,0.498834232331771
"Activeness",-0.216459171082365,0.118295930348229,0.0688890153001298,0.286021322913645,0.73159987944418
"Endurance",-0.551546990086645,-0.0774791377841527,-0.0873836118288966,0.181887161177593,0.598769219058124
"Synchronicity",-0.234436108572477,0.0665889724994459,-0.0244474511047017,0.0176288623297063,0.802389968611215
"Spatial Distance",-0.406121541694622,-0.0990065166553629,0.108948411729246,0.136462811470176,0.682098145785985
