"","V1","V2","V3","V4","V5"
"Parent and Child",-1.31331745310959,-0.72600242879706,-1.26604800449455,1.59932272828208,-0.562836121405021
"Parent and Teenager",-1.68262226457185,-2.58481080449323,-1.71786340303484,0.0364679841033717,-0.194943391526176
"Wife and Husband",-0.446220905049075,0.0901776699491282,-0.688839729364455,3.30452092257966,-0.339731902967321
"Fiance and Fiancee",-0.413846432112013,-0.991896060381843,-1.32825097629346,0.6382583977484,-0.816796149212654
"Between Siblings",-0.502475464072341,0.290967515453365,-1.7921364355216,1.30763574044886,-0.343193411706214
"Between divorced spouses",1.00280845154123,-0.368991414057951,-1.12603597367943,-1.47071902203378,0.161374348972092
"Between a person and their in-laws",0.494006690586306,0.882420192914915,-1.27358109138393,0.22563809110107,-0.36787257492288
"Between cousins",0.758735032776092,1.70005876723313,-1.12030219195953,1.23126667677768,-0.36343884794149
"Employer and Employee",-2.22252738363386,0.525301292054535,0.667083124607354,-1.98211368845305,0.579221452071672
"Interviewer and Job applicant",-0.856807533913109,-0.337149315051478,-0.939100537051448,-2.15690801367445,-0.453353527173391
"Guard and Prisoner",-0.483866557356163,-0.805189098946221,-2.33453808359002,-2.06470413428713,1.21339451898652
"Nurse and Patient",-0.325792603102001,0.142482933346079,-0.546561625762535,-1.23136446329067,-1.76476104826143
"Therapist and Patient",-0.0892992191081882,0.419733523731548,-0.0854087776047334,-1.12864277771799,-2.14838075835144
"Salesperson and Customer",-0.628805978226366,0.478319074335845,1.25984694099423,-1.28905641344443,-0.536279919029983
"Between Business Partners",-0.653326457816437,0.564298387637559,0.478637383179263,-0.624071148187895,-0.351109982778247
"Between opposing negotiators",1.36551972309099,1.24872034128575,-0.997867111009678,-0.980278630762464,-0.0746946533905727
"Between political opponents",1.09385995013903,0.779125527498735,-0.665778047563508,-0.312036163691857,1.25686061772299
"Between business rivals",0.892360706932654,1.10193215065272,0.678788625676853,-0.00114753696869076,1.89595575134363
"Between enemies",1.68001087959208,-0.416184173318782,-0.745569585121145,0.150081072141029,1.8791857282115
"Teacher and Student",0.309434925381247,0.765794808954569,0.146477769091184,0.437315370155342,-0.857829571960167
"Professor and Graduate student",0.339788980317979,0.88222701664686,-0.0125611954737467,0.54054333603587,-0.753704512348631
"Master and Servant",0.935302987373124,0.437409294536502,1.03021075764967,0.214375330931241,0.108531098359545
"Between Close Friends",-0.171775981901667,0.183362330631829,-0.117612961872183,1.62756149550282,-0.0887148219259365
"Between casual acquaintances",1.0065231520387,0.248080954610608,-0.112425268686226,0.641675920355972,-0.00345724623135113
"Between teammates in sports",-0.684356671866061,1.90027774970856,1.12103593079719,0.212380574528968,-0.117450321621684
"Between second cousins",0.0982045854393198,0.700593450552236,-0.954566953227917,0.80241395297351,-0.457823450386149
"Parent and Infant",-1.06374103890848,-0.353068793573735,0.0320855920546072,1.783533712969,-0.740886004134096
"Grandparent and Grandchild",-0.788837260561949,-0.471567614858912,-0.325516915812497,1.2916162979495,-1.06772465922418
"Step-parent and Step-child",0.188628640512713,-0.437905277402022,-0.555526829477581,0.869076263562046,-0.530288388704776
"Foster-parent and Foster-child",-1.09923867305656,-0.353458260498065,-0.754358518302788,1.08214667043511,-0.666243219304963
"Godparent and Godchild",-0.774730225081022,-0.029937205649624,-1.10535564197429,0.767822139567985,-0.672378848668633
"Step-grandparent and Step-grandchild",0.123732233557475,0.0214467616857897,-1.11020171985655,0.721643200504969,-0.873028218153669
"Ancestor and Descendant",0.518815615603837,-2.94704795135672,1.03356243378662,-0.241922892927024,0.130620398560003
"Bride and Groom",-0.782016837571583,-1.5625949541674,1.68112573953732,1.86105693065718,1.25198156340334
"Man and His Mistress",0.997292411033714,-1.48688617823868,1.493698190393,1.29802925789692,0.506410488919808
"Man Wife and Man Mistress",2.08505806863035,-0.919865797778533,1.50165075744312,1.10920919233305,0.561912869422543
"Brother and Sister",-0.707465704771293,-1.63913030502205,0.533507050949188,0.89809741264965,0.449641120335753
"Between step-siblings",0.558972346153765,-1.80564187432965,0.167662896627546,0.313163952154309,0.124505708697718
"Between distant relatives",0.87056799272296,-1.2359202676129,0.127113972923774,0.121043774764381,0.164037130300019
"Between close relatives",-0.880281616636298,-1.58076866874355,0.26761860225443,0.685309499889772,0.669472189149238
"Between twins",-0.159047808343999,-0.0788347688381761,-1.00299222262208,1.49153605262883,-0.834283883747094
"Between a person and their family friends",-0.309075894463904,-0.181168088030845,-0.712040795488087,0.195221276872549,-0.577874289512074
"Between a person and their deceased spouse",0.513766558237862,-1.39663839597093,-1.02677963628547,0.856555306433926,-1.18943840962697
"Manager and Staff",0.538884004969959,1.55148805017371,0.986518628791613,-0.686007174069168,-0.431922294705711
"Foreman and Laborer",1.05041398688268,1.42086911344263,1.05283054823622,-0.68581541283746,-0.537286202897646
"Owner and Manager",1.13015961939922,1.50121269694299,1.31308536671246,-0.549220322223402,-1.50079954038083
"Union leader and union member",0.972472150336911,1.63974358145003,0.913051065152271,-0.327605647090071,-0.810174435098073
"Manager and Assistant",0.923543671226028,1.36050804410318,1.27558717626615,-0.323029383331404,-1.37262109134457
"Chief and Deputy",-1.43443126448404,1.39177809116749,0.882734566951419,-0.160011174302109,-1.01370783874405
"Supervisor and Subordinate",-1.31862487137483,1.6544856156899,1.3708519297915,-0.427252095462556,-0.416718159363248
"Boss and Secretary",-1.22480338547689,1.12010113373727,1.04109503717225,-0.0732949342152095,-0.632099824353492
"Entrepreneur and Investor",-1.58035968473617,2.5596159398929,1.59347412108681,0.198629766561087,0.278382848563835
"Intern and Employee",-0.901457188600316,1.50718649096584,0.533900753643623,-0.0375795862728028,-0.584069616690001
"Lawyer and Client",-1.83091304620588,1.58158536740997,0.992234208751886,-0.964378448018092,-0.425565473459699
"Judge and Lawyer",-2.02622056556697,2.08218558081426,0.198298034529296,-1.03159838365609,0.320510404766695
