"","V1","V2","V3","V4","V5"
"Parent and Child",-2.58095345630954,1.00656651827539,-0.887605479593502,0.519723669885526,-0.275146838913258
"Parent and Teenager",-2.01562014538226,1.01319710939428,-0.805401736770058,0.771755169509304,0.168406966238357
"Wife and Husband",-2.49978819224569,0.444045975044156,1.23046481258501,0.614558695146796,-0.588421614769857
"Fiance and Fiancee",-1.75925900837402,0.719109400751162,1.53965661055358,0.149925031025737,0.037174620290984
"Between Siblings",-1.71221762658666,0.941723960618063,0.512835925755264,0.706505955644719,-0.769154809990724
"Between divorced spouses",1.31200835347957,-0.136258038388419,1.93110804899594,1.50212905112065,-0.0414534313902426
"Between a person and their in-laws",1.0160669423737,1.15063864061054,-0.0736327301484728,-0.380617198692556,0.0115722961271913
"Between cousins",0.125596316273923,1.19510618593169,0.919968656439095,-0.194232644638565,-0.214813749912531
"Employer and Employee",-0.020874215528578,-1.02347025626597,-0.117492277852466,-0.309523758815587,-1.30618585485844
"Interviewer and Job applicant",0.331391152063491,-1.26758479089852,0.14805859456863,-0.282583170764129,-0.646340404516291
"Guard and Prisoner",0.385563032786049,0.654929886880459,-1.44153406000197,1.69929576808981,-1.00228057724091
"Nurse and Patient",0.0384941310661715,0.275139641580987,-0.00378189989630048,-1.21451922408349,-1.42029121150602
"Therapist and Patient",-0.967567436929068,-0.494300660812483,-0.200203312149258,-0.715708792876768,-0.0178551127478249
"Salesperson and Customer",0.778420769678084,-1.75105967692117,0.804932061091033,-0.732953164149793,0.18528550004133
"Between Business Partners",0.210608521157697,-1.45868316666457,1.6977661695181,-0.589596079272533,-0.134936534611896
"Between opposing negotiators",0.652698042931317,-0.726778551062021,0.839112241488608,1.98506755769418,0.0704913460862384
"Between political opponents",0.301159113179062,-0.480625197446012,1.5023022753995,2.75175325230373,-2.28824820770983
"Between business rivals",0.709536436850538,-0.595738803873887,1.32236509504778,2.42483869618061,-1.37981615076907
"Between enemies",0.832122929033951,0.534279029681688,1.22324071270595,3.03733393213095,-0.704827546511845
"Teacher and Student",-0.510026323735018,-0.299859051999815,-1.32990344205092,-0.339515734027181,-0.636600025900654
"Professor and Graduate student",-0.399147557550215,-0.43320291965796,-1.0147126665123,-0.270689681105843,-0.730808785023086
"Master and Servant",0.303958234868001,-0.46907802577313,-0.654559514391048,-0.201107519824851,0.426584854582416
"Between Close Friends",-1.65927801070157,0.767881147910758,-0.0238301223214995,-0.365141495319493,0.118423117803887
"Between casual acquaintances",1.46633539306043,1.12041367770484,0.56332507967728,-0.747581306168278,-0.108092290737899
"Between teammates in sports",-0.551484784292214,-0.538784641675295,1.41014194522376,-0.312406231678798,-1.82807488108464
"Between second cousins",2.11733325537352,0.851231261928291,1.79132060132649,-0.600768493048888,-0.0158591420822132
"Parent and Infant",-1.74975655511626,0.923390626198508,0.17930589587302,-0.231963983269794,-1.07013594687141
"Grandparent and Grandchild",-1.45752551448529,1.02620309099748,0.0232931122990698,-0.433565727745626,-0.959197736785526
"Step-parent and Step-child",-1.00747778864541,0.860968402361286,-0.846094220967527,0.545088971350059,0.0193917631529686
"Foster-parent and Foster-child",-1.21459627989999,0.909386235597293,-0.766649262364461,0.635019906821138,-0.27751474373072
"Godparent and Godchild",-0.560215574857599,0.813162167777852,-0.258729775630375,-0.129348410800235,0.023238697448966
"Step-grandparent and Step-grandchild",-0.611014844048476,1.06250769842922,-0.889768189819392,0.0897359592443236,-0.145007337688349
"Ancestor and Descendant",-0.000667828199471688,1.36740318141371,-0.466615619541585,-0.403472659366405,-1.04658563363664
"Bride and Groom",-1.78434321215323,0.661104381913824,1.32017570058323,0.0227130951544177,-0.399356742403919
"Man and His Mistress",-0.293199297263425,0.743590043581033,1.1966258970127,-0.0980409059632066,0.979861537994869
"Man Wife and Man Mistress",0.813364138286092,1.00780417791725,0.614142518527475,1.01733072073627,0.256516002411848
"Brother and Sister",-1.25587185206151,0.939531941230596,0.687741280659484,0.727679059062153,-1.31293268014343
"Between step-siblings",0.700404298223007,1.34279596924461,0.733008407967629,0.0535101624734654,-1.14632231767947
"Between distant relatives",2.19212427444612,1.55813358001783,1.10459873234649,-0.858943450449018,-0.687923294595719
"Between close relatives",-0.394874975200221,1.16403580130785,0.543024574775652,-0.272362674256472,-0.933546275327741
"Between twins",-0.89068382480363,1.38622752821996,1.05166994205192,-0.275563386189479,0.695568540900925
"Between a person and their family friends",-0.178633092298448,1.33455183376948,1.10498553797349,-0.818776099833424,0.0105320174237168
"Between a person and their deceased spouse",-0.210682421062697,1.64560990566047,0.0230456711524293,-0.645700869172079,1.69798062449449
"Manager and Staff",-0.336883028705465,-2.00242469997512,-0.190171746138193,0.369878042085054,-0.472068456753259
"Foreman and Laborer",-0.00370016551742115,-1.7244550486868,-0.145361449657103,0.545966103767194,0.0774593437895898
"Owner and Manager",-0.217210320042999,-1.97921081161175,-0.0850215928420875,0.233755890828057,0.00303443341961
"Union leader and union member",0.290285294882224,-1.21600628210752,0.324401440441147,-0.261512708662493,-0.445886357688275
"Manager and Assistant",0.204666770348224,-1.59467463867951,0.107798756492521,-0.546163708323616,0.154400576397921
"Chief and Deputy",-0.866562601367166,-1.19344784083916,-1.0043304490805,-0.0402515747954952,-0.839382671741854
"Supervisor and Subordinate",-0.398699015500703,-1.17316729192189,-1.14832954791005,-0.122494633642313,-0.793280976561512
