"","V1","V2","V3","V4","V5"
"Valence Evaluation",0.380752650917624,0.105989619720823,-0.256633551610555,-0.180148708591271,0.659780623072861
"Equality",-0.0659781962596525,0.193747853092676,-0.0522341332518504,-0.79129371492577,-0.0339114493548335
"Activity Intensity",0.522552690518608,0.406696211769733,-0.149312963241035,-0.450615033654271,-0.000113581824022344
"Socioemotional",0.158520370454128,0.739951109582039,0.109702698545022,-0.416978302116809,0.0504189229568271
"Formality and Regulation",-0.00612754887697838,-0.865853776397285,-0.0687624854857463,0.16666226798853,0.053533712656498
"Intimacy",0.339047653020289,0.654303738121959,-0.24037092924507,-0.184954315426771,0.0151227493315508
"Visibility",0.115871913535671,-0.42873625783338,0.153293909665174,-0.459942799827112,0.345487476717807
"Communal Sharing",0.361134382819305,0.405571838002908,0.0948258673672316,-0.634785667006345,0.349803990101152
"Expected Reciprocity",0.227623103714695,0.17576843662489,0.0200402081238719,-0.736197095634909,0.0793598960729648
"Strategic",-0.18245008554106,-0.724235872873013,-0.264754589732656,-0.0426499366674492,-0.235120834238992
"Concreteness",0.0794260735766266,-0.173502891819486,-0.571961451522198,-0.109557626126618,0.180633389098338
"Uniqueness",0.625550546402878,0.377289815030275,0.030896978277549,0.0625891826259707,-0.119917821651591
"Love Expression",0.476637998153481,0.74149160509029,0.0936946792489037,-0.196356045103408,0.264290829417078
"Information Exchange",0.715792050046971,-0.109144707155173,-0.204253560898268,-0.204900280890899,0.38424112540364
"Money Exchange",-0.0161788911457268,-0.0955642273640916,-0.866595206895537,0.153558600347074,-0.0765917256046554
"Goods Exchange",-0.00723956277671161,0.268496539013992,-0.796948186030435,-0.0486120151690453,-0.05703844005753
"Service Exchange",0.191710416811436,-0.29337056869548,-0.729666596167598,0.213178557105877,0.175268943998945
"Attachment",0.610898967374966,0.649144845261655,0.0628380511909886,-0.192367092299259,0.234046541193919
"Mating",0.301731534523268,0.648817969386845,-0.286321579871891,-0.0547176858140727,-0.1456785021129
"Conflict",-0.148022391664248,-0.0635921669986179,0.118937007978091,-0.109224541370986,-0.900935937717999
"Negotiation",0.236914366380088,-0.0299464206574274,-0.568409570841038,-0.260037029453853,-0.417371039243513
"Coercion",-0.0170950113431204,-0.030089114170558,-0.153510098627616,0.177691556173896,-0.797797301344848
"Importance for society",0.547274649487984,-0.281467773990096,0.038629224254248,0.083494057214839,0.122090607675976
"Importance for individuals",0.816741770561982,0.269965377068032,0.0205432198793656,-0.0028903914819872,0.149424579085597
"Affiliation Coalition",0.676251959139821,0.0794946580079848,0.0370041996592683,-0.220595166603046,0.42098991108892
"Occupational",0.284046622079551,-0.802605132665521,-0.329971868387838,0.0648440865771037,0.00322237070121073
"Activeness",0.84154675336509,0.038466736820891,-0.258756149343542,-0.0690330210581891,0.0618892646784164
"Endurance",0.611462512265552,0.460841562273738,0.20599177717329,-0.145091299764612,0.182161444950643
"Synchronicity",0.72842418787234,0.139105565761728,-0.0782349306712007,-0.266921705815862,-0.0358116465669647
"Spatial Distance",0.736150760141394,0.155356783598957,-0.226836353013784,-0.043811266501736,-0.0332277204829171
