,Australia,Brazil,Chile,Egypt,France,Germany,India,Israel,Japan,Mexico,Portugal,Qatar,Russia,South Africa,United States,United Kingdom,CHN,Hong Kong,Spain
Australia,0.0,0.27461307461307516,0.8360393665384427,0.37472996975661277,0.47413960723313187,0.3591216216216197,0.13849551149728956,0.12813627960207913,0.2439697762278384,0.7585585585585574,0.7797033267725971,0.24016265505627124,0.6900450450450458,0.7015674210796156,0.6115939260815575,0.20161070161069802,0.8870394283991412,0.5724932539512572,0.518050193050192
Brazil,0.27461307461307516,0.0,0.5614262919253672,0.10011689514354306,0.1995265326200574,0.08450854700855227,0.1361175631157952,0.14647679501099153,0.5185828508409153,0.48394548394548226,0.5050902521595235,0.03445041955680944,0.96465811965812,0.42695434646654346,0.8862070006946323,0.476223776223778,0.612426353786068,0.2978801793381851,0.24343711843712162
Chile,0.8360393665384431,0.561426291925368,0.0,0.4613093967818328,0.3618997593053126,0.4769177449168228,0.6975438550411566,0.7079030869363652,1.0800091427662837,0.07748080797989028,0.056336039765829925,0.5958767114821726,1.5260844115834886,0.13447194545883484,1.4476332926200006,1.0376500681491438,0.05100006186070415,0.26354611258718513,0.3179891734882514
Egypt,0.37472996975661277,0.10011689514354306,0.46130939678183186,0.0,0.09940963747651661,0.015608348135040365,0.23623445825932876,0.2465936901545335,0.6186997459844535,0.3838285888019444,0.40497335701598364,0.13456731470034833,1.0647750148016575,0.32683745132300407,0.986323895838171,0.5763406713673135,0.5123094586425306,0.19776328419464756,0.14332022329358987
France,0.47413960723313187,0.1995265326200574,0.3618997593053113,0.09940963747651661,0.0,0.11501798561149944,0.3356440957358448,0.3460033276310534,0.7181093834609727,0.28441895132542466,0.30556371953946443,0.2339769521768606,1.1641846522781791,0.2274278138464849,1.0857335333146891,0.6757503088438328,0.41289982116600826,0.09835364671811522,0.04391058581707252
Germany,0.3591216216216197,0.08450854700855227,0.47691774491682193,0.015608348135040365,0.11501798561149944,0.0,0.22062611012433495,0.23098534201953894,0.6030913978494613,0.3994369369369352,0.420581705150974,0.11895896656534721,1.049166666666666,0.3424457994579947,0.9707155477031785,0.5607323232323238,0.5279178067775209,0.21337163232963466,0.15892857142857159
India,0.13849551149728956,0.1361175631157952,0.697543855041156,0.23623445825932876,0.3356440957358448,0.22062611012433495,0.0,0.010359231895170145,0.38246528772512733,0.6200630470612705,0.6412078152753103,0.10166714355897997,0.8285405565423346,0.5630719095823277,0.7500894375788434,0.34010621310798883,0.748543916901855,0.4339977424539692,0.37955468155290656
Israel,0.12813627960207913,0.14647679501099153,0.7079030869363645,0.2465936901545335,0.3460033276310534,0.23098534201953894,0.010359231895170145,0.0,0.37210605582991674,0.6304222789564802,0.6515670471705197,0.11202637545419941,0.8181813246471246,0.573431141477536,0.7397302056836331,0.32974698121277923,0.7589031487970654,0.4443569743491786,0.3899139134481136
Japan,0.2439697762278384,0.5185828508409153,1.0800091427662832,0.6186997459844535,0.7181093834609727,0.6030913978494613,0.38246528772512733,0.37210605582991674,0.0,1.0025283347864,1.0236731030004396,0.4841324312841143,0.446075268817205,0.9455371973074564,0.36762414985371356,0.042359074617143076,1.131009204626983,0.816463030179098,0.7620199692780352
Mexico,0.7585585585585574,0.48394548394548226,0.07748080797988455,0.3838285888019444,0.28441895132542466,0.3994369369369352,0.6200630470612705,0.6304222789564802,1.0025283347864,0.0,0.02114476821403103,0.518395903502285,1.4486036036036039,0.05699113747893847,1.3701524846401165,0.9601692601692591,0.12848086984058468,0.1860653046073002,0.24050836550836455
