,ant,coin,elephant,plane,rabbit
Australia,1.9675675675675677,4.163963963963964,91.76216216216216,98.54954954954955,10.315315315315315
Brazil,2.83617747440273,5.955631399317406,90.38054607508532,97.05290102389078,12.503412969283277
Chile,1.9500924214417745,7.097966728280961,86.35859519408503,98.8354898336414,14.829944547134936
CHN,1.424963165649337,4.375289412755209,93.51904862134288,98.35613555041044,11.309408545569354
Egypt,5.104795737122558,10.532859680284192,91.7708703374778,96.08170515097692,13.75133214920071
France,2.028776978417266,5.9586330935251794,87.60071942446044,98.0341726618705,14.29136690647482
Germany,1.572192513368984,4.447415329768271,90.74688057040999,98.70766488413547,11.66131907308378
HK,5.251980982567353,10.187004754358162,84.15847860538827,93.12202852614897,21.033280507131536
India,3.7904085257548847,7.531083481349911,89.98756660746004,95.69094138543517,14.294849023090586
Israel,2.260586319218241,5.643322475570033,89.33876221498372,98.13192182410424,13.478827361563518
Japan,3.8655913978494625,9.207885304659499,81.53225806451613,95.93906810035843,17.946236559139784
Mexico,2.127927927927928,6.414414414414415,87.58918918918918,98.32432432432432,14.598198198198197
Portugal,1.7695035460992907,4.180851063829787,92.06737588652483,98.13652482269504,10.797872340425531
Qatar,9.585106382978724,13.261398176291793,87.27051671732522,93.23100303951368,17.379939209726444
Russia,5.59,10.496666666666666,88.89833333333333,96.28,16.39666666666667
South_africa,2.8265582655826558,4.833333333333333,96.24119241192412,98.62466124661246,10.192411924119241
Spain,3.3607142857142858,10.117857142857142,84.34464285714286,97.64285714285714,17.798214285714284
UK,3.968013468013468,5.777777777777778,92.0976430976431,96.9949494949495,11.42087542087542
USA,1.2698412698412698,2.3403880070546736,96.48853615520282,98.83068783068784,6.514991181657848
