Country,Australia,Brazil,Chile,China,Egypt,Germany,Hong Kong,India,Japan,Mexico,Qatar,Russia,South Africa,Spain,United Kingdom,United States,Portugal
Australia,0.0,0.44152413678347985,0.14655649665096765,0.11492261752019987,0.3947544999981948,0.00571663915930639,0.13535538962836258,0.29502560134001987,0.2713534577596955,0.43268487256653937,0.2503966522035095,0.03024715375736517,0.017558686216953584,0.14767320306553042,0.13504062710668066,0.11276444289936718,0.021646090718528993
Brazil,0.44152413678347985,0.0,0.29496764013250804,0.5564467543036806,0.8362786367816747,0.44724077594286465,0.3061687471551193,0.7365497381234998,0.17017067902378588,0.008839264216936716,0.6919207889869896,0.41127698302612015,0.4239654505665506,0.5891973398490103,0.5765647638901596,0.3287596938841111,0.46317022750201114
Chile,0.14655649665096765,0.29496764013250804,0.0,0.2614791141711687,0.5413109966491649,0.15227313581035468,0.011201107022603426,0.44158209799098985,0.12479696110872224,0.28612837591557044,0.39695314885447985,0.11630934289361027,0.12899781043403857,0.2942296997164982,0.28159712375764956,0.033792053751582916,0.1682025873695005
China,0.11492261752019987,0.5564467543036806,0.2614791141711687,0.0,0.27983188247799623,0.10920597836081254,0.250278007148558,0.18010298381982084,0.386276075279896,0.5476074900867407,0.13547403468330904,0.145169771277557,0.13248130373712952,0.03275058554533338,0.020118009586498165,0.22768706041957051,0.09327652680167126
Egypt,0.3947544999981948,0.8362786367816747,0.5413109966491649,0.27983188247799623,0.0,0.3890378608388101,0.5301098896265553,0.09972889865817797,0.6661079577578909,0.8274393725647353,0.1443578477946836,0.4250016537555553,0.4123131862151254,0.24708129693266492,0.25971387289151565,0.5075189428975652,0.3731084092796658
Germany,0.00571663915930639,0.44724077594286465,0.15227313581035468,0.10920597836081254,0.3890378608388101,0.0,0.1410720287877456,0.2893089621806355,0.27707009691908063,0.43840151172592473,0.24468001304412368,0.035963792916733066,0.02327532537631334,0.14195656390614667,0.1293239879472924,0.1184810820587519,0.015929451559148523
Hong Kong,0.13535538962836258,0.3061687471551193,0.011201107022603426,0.250278007148558,0.5301098896265553,0.1410720287877456,0.0,0.43038099096837995,0.1359980681313377,0.2973294829381803,0.38575204183187,0.10510823587099777,0.11779670341142644,0.2830285926938905,0.2703960167350381,0.02259094672897379,0.1570014803468906
India,0.29502560134001987,0.7365497381234998,0.44158209799098985,0.18010298381982084,0.09972889865817797,0.2893089621806355,0.43038099096837995,0.0,0.5663790590997156,0.7277104739065595,0.044628949136507896,0.3252727550973797,0.31258428755695095,0.14735239827448984,0.1599849742333407,0.40779004423938964,0.27337951062148996
Japan,0.2713534577596955,0.17017067902378588,0.12479696110872224,0.386276075279896,0.6661079577578909,0.27707009691908063,0.1359980681313377,0.5663790590997156,0.0,0.1613314148068481,0.5217501099632053,0.24110630400233404,0.2537947715427667,0.41902666082522494,0.4063940848663757,0.15858901486032487,0.29299954847822673
Mexico,0.43268487256653937,0.008839264216936716,0.28612837591557044,0.5476074900867407,0.8274393725647353,0.43840151172592473,0.2973294829381803,0.7277104739065595,0.1613314148068481,0.0,0.6830815247700504,0.402437718809181,0.41512618634961,0.5803580756320693,0.5677254996732206,0.3199204296671704,0.4543309632850704
Qatar,0.2503966522035095,0.6919207889869896,0.39695314885447985,0.13547403468330904,0.1443578477946836,0.24468001304412368,0.38575204183187,0.044628949136507896,0.5217501099632053,0.6830815247700504,0.0,0.28064380596086924,0.26795533842044034,0.10272344913797792,0.1153560250968312,0.36316109510287975,0.2287505614849803
Russia,0.03024715375736517,0.41127698302612015,0.11630934289361027,0.145169771277557,0.4250016537555553,0.035963792916733066,0.10510823587099777,0.3252727550973797,0.24110630400233404,0.402437718809181,0.28064380596086924,0.0,0.012688467540405202,0.17792035682289065,0.1652877808640381,0.08251728914200578,0.051893244475894364
South Africa,0.017558686216953584,0.4239654505665506,0.12899781043403857,0.13248130373712952,0.4123131862151254,0.02327532537631334,0.11779670341142644,0.31258428755695095,0.2537947715427667,0.41512618634961,0.26795533842044034,0.012688467540405202,0.0,0.16523188928245872,0.15259931332361384,0.09520575668244347,0.03920477693547206
Spain,0.14767320306553042,0.5891973398490103,0.2942296997164982,0.03275058554533338,0.24708129693266492,0.14195656390614667,0.2830285926938905,0.14735239827448984,0.41902666082522494,0.5803580756320693,0.10272344913797792,0.17792035682289065,0.16523188928245872,0.0,0.012632575958860132,0.26043764596490127,0.1260271123470014
United Kingdom,0.13504062710667902,0.5765647638901593,0.2815971237576488,0.020118009586498165,0.25971387289151565,0.1293239879472907,0.27039601673503727,0.1599849742333407,0.4063940848663751,0.5677254996732202,0.1153560250968312,0.16528778086403673,0.1525993133236124,0.012632575958860132,0.0,0.24780507000604993,0.11339453638815043
United States,0.11276444289936718,0.3287596938841111,0.033792053751582916,0.22768706041957051,0.5075189428975652,0.1184810820587519,0.02259094672897379,0.40779004423938964,0.15858901486032487,0.3199204296671704,0.36316109510287975,0.08251728914200578,0.09520575668244347,0.26043764596490127,0.24780507000605081,0.0,0.13441053361790195
Portugal,0.021646090718528993,0.46317022750201114,0.1682025873695005,0.09327652680167126,0.3731084092796658,0.015929451559148523,0.1570014803468906,0.27337951062148996,0.29299954847822673,0.4543309632850704,0.2287505614849803,0.051893244475894364,0.03920477693547206,0.1260271123470014,0.11339453638815239,0.13441053361790195,0.0
