rel,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
Parent and Child,1.304842458230513,-1.391695440213979,1.9850697933843904,1.417935610902702,-1.117890963837023,1.527744918425463,-0.7944608787253776,1.6707147439705166,0.3639535506135138,-1.8052918372762792,-0.7753185466622563,0.6881878032785583,1.3706767285007329,0.33074968342067174,-0.5588917365802436,-0.15392303773858243,0.7215283017188369,1.5444692385769043,1.0631695697089885,0.0667351046801366,-0.5758084561477408,-0.1202897295738291,1.8703108030359572,1.8538173187755258,1.2431011697844019,-0.9299324243372983,0.8985636921927076,1.3022409451581467,1.0633909420887537,1.7961736408984645,1.4124206281115999,1.5818161879414514,2.154421399313869
Parent and Teenager,-0.027761521812452172,-1.0971629218331942,1.6560039007941485,1.405021431278656,-1.0408377619488416,1.2174505122382762,-0.8019834818655495,1.4506442999374207,0.8971910398482409,-0.9991106823569251,-0.6068934767152017,0.6690380838171104,1.1747429854490203,-0.0952908508064968,-0.35487738913454164,-0.24007841687223647,0.582970748609886,1.2502169175521418,0.9706456005206796,0.5634209905994592,0.11080270746169131,-0.2821179196975402,1.8588111072193922,1.7563038569985256,0.766190945831859,-0.8561144818745168,0.8505259843007364,0.3938747772457082,0.6018201812812211,1.6639564961147029,1.3794997301975558,1.1136671672832967,1.904817428531074
Wife and Husband,1.4839558964083317,1.821981593674136,2.044899955673527,1.7924468200000385,-1.2527340671413405,2.3003146644425403,-1.4564499550605399,1.824097174660249,1.898036788873422,-1.6780000759732234,-0.5311021952390271,0.9371341562773798,1.0914711446520426,0.053177820212061966,0.31781856730804353,-0.2954640177438711,0.32802485088941663,0.9717281137251343,1.8322750635868015,0.4615367063083163,0.4541082892664071,-0.5846662751462176,1.4793211452727457,1.8781956842197758,1.1477191249938934,-0.6920746097350025,0.9105731191657004,1.8699698001034208,0.5889987712587896,1.7300650685065837,1.401446995473585,1.3826038387252153,-1.2330610613097734
Fiance and Fiancee,1.4338041337185419,1.7827105912233647,1.8055793065169852,1.8763889875563367,-1.3554716696589155,2.236989275424746,-1.6971732555460537,1.8174283733259144,1.6355198710963248,-1.692143605006896,-0.6068934767152017,1.1158648712508927,1.2629131698222908,-0.1856630853395326,-0.24459936348821612,-0.43700499774915963,0.17838269353175032,1.0242731710509845,1.942147276997918,0.26413590549422644,0.3373843914528039,-0.6831703908736939,0.4328488259653269,1.0737096245595248,1.1795131399240628,-0.8069025202326625,0.9105731191657004,0.455808834148829,0.0504995503166681,1.4105403019458262,1.3904733628355705,1.2132733418914148,-1.2330610613097734
Between Siblings,-0.636747211617033,-0.20702019961571236,1.1324899807642166,1.4760494192109093,-0.8931524583298274,0.6791847055870338,-0.46346634055779584,1.1772234452296353,1.2417444944306801,-0.8364600984696872,-0.3374133647999151,0.5669062466893884,0.9886059295498937,-0.08238053158749173,-0.7022531699204666,-0.40008126383473647,-0.2982552891630401,1.202926365958876,-0.61961011990337,0.722615184804371,-0.3560928837927225,0.42851891519353913,0.8468378753616684,0.9152502491718997,0.6072208711810113,-0.9299324243372983,0.5142620290569386,1.9319038570065417,-0.1674644200646668,0.44094790686490754,0.8198444656588083,0.7750061736156956,-1.601524065798661
Between divorced spouses,-1.2099102137860502,0.7093031909022838,-0.6025847256206996,-0.5902193206364614,0.7057014808499371,-1.1572515759289697,-0.34310469031503943,-0.9501241804236233,-0.5630593152868587,1.1931363178623704,1.2794673066918085,0.9435173960978629,-0.7796961014918089,-1.999562935609751,0.10829031858002494,0.049157498790744686,-1.1573121184385342,-1.0670201105178636,-0.06446630477351985,1.626838207888267,1.3055061321421033,-0.38062203542501655,-0.4871268393598765,-1.290991823532728,-1.0990579300714203,-1.0447603348349583,-0.11022817353868596,-0.06030830671051112,-0.7444278710740827,-1.9169245084455084,-0.3653078592467746,-1.3266841106155942,-1.1855174478273365
Between a person and their in-laws,-0.027761521812452172,0.4213158395966278,-0.11646465702147703,0.5526855760916151,0.4103308736119082,-0.9356127143666934,-0.46346634055779584,0.02352081438946685,0.26550970644710264,0.5425339823134182,0.3699719289777137,0.5605230068689067,-0.005757816437545352,-1.6187085186491,-0.9393509250600661,-1.0339386960323331,-0.9910430547077933,-0.2946077678278623,-0.6253928679776393,-0.02241364407461375,-1.2624196197571729,-0.86610660579615,-0.004139615064144708,-0.7424786010371024,-0.9930778803041884,-1.2170022005814483,-0.49452983667445494,0.3422630631597742,-0.8854633813208288,-1.784707363661747,-0.738411368939273,-0.9979837344088048,2.2732804330199614
Between cousins,0.35195896712452157,0.22496082734277148,0.09294091099049519,1.3533647127824715,-0.6042029512491467,0.102923665525115,0.11577410123547159,0.6370505371483999,0.8725800788066381,-1.027397740424271,-0.32057085780520916,0.11369621943512427,0.36161795178441486,-1.476695007240044,-1.0661706545533403,-0.9170135386366599,-1.0520083780757317,-0.13697259585031046,-0.6253928679776393,-0.7865457762581884,-1.4203401873873422,-0.8590705975299017,-0.360630185377661,-0.6449651392601022,-0.5373636663050918,-1.3482340982930596,-0.6626618142963538,1.0648270603628502,-1.218820041904047,-2.2364492750062657,-0.5847805120070678,0.14748727358455216,-0.6268799894087007
Employer and Employee,0.6084494105951569,-0.9426969788601607,0.06302582984592808,-1.1390719546584194,1.3863380975288733,-1.4194186864626337,0.849980167716288,-1.450284280498841,0.137532709030768,1.4760068985358281,2.064328132645082,0.2158280565628456,-0.518859306054217,0.863300351204633,0.9464033134920978,-1.0016304288572129,0.024583809580814794,-0.1698132566789671,-0.8552571039298429,-0.5445706010667233,-0.3303449651573689,0.3282557973995007,1.5644188943153268,1.0663961149262495,0.9230414194873621,1.4388033293572882,1.2924728969068708,0.9987640663328551,0.8864554837791995,0.7141966727513485,0.9625016899529989,0.06581021040589552,1.0680498312401816
Interviewer and Job applicant,0.25595416426121115,-1.5945956195429636,-1.7947007092317147,-1.4335152500866697,1.8178360281026893,-1.4270177331447689,-0.06175933287259493,-0.7300537363905276,-0.275931436468159,1.8748544172854034,0.6697685534834712,-0.33153475804353777,-1.1274784954085981,-0.28894563909157345,0.06831453428323203,-1.2600965662581747,-1.4302704980631669,-1.3927994659381366,-0.8653769130598141,-0.834304034519662,0.27043980300088416,-0.7429764611368046,0.5616454191108553,0.47156399808654936,0.6347756841204918,0.6776583226299419,-0.1006206319602916,-1.7263344374044611,-0.6521137189125763,0.5731650516486692,0.7605868494135294,-0.42823641565036996,0.9349277134893572
