rel,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
Parent and Child,1.3512034544304505,-1.5153780426376626,2.0123701802819056,1.4380815257511612,-1.2089852798236094,1.576037265274951,-0.869781702373968,1.7088150618456601,0.3194226101908318,-1.9125885541942917,-0.8290549568120077,0.6806439022938715,1.3480606631261918,0.34708001626325047,-0.6438696645616959,-0.21252648549408298,0.6962556214813003,1.5580989136275702,1.0019349039114236,0.012381284170705676,-0.694046394651041,-0.21545141254305183,1.8443723275227628,1.8875787422614765,1.2700301029421583,-1.0464162998933464,0.9109570185017275,1.316085157064952,1.1226978241057444,1.8873452333362817,1.5127363388985209,1.648574267855589,2.1848234982245525
Parent and Teenager,-0.037604648505768175,-1.2082798743525949,1.671426902423573,1.4245149204554934,-1.1287012137813517,1.2528613343778314,-0.8775576085657942,1.4786508329785049,0.8632483897014036,-1.073623610013643,-0.6590373908384134,0.6609841473821029,1.1453574107919402,-0.09139104515231099,-0.43383306879940675,-0.3015476414693188,0.5511159064785008,1.2533863935708618,0.907477117871098,0.5194218469018077,0.0021312962363460248,-0.3762556795223441,1.8326095700136589,1.7870925867113698,0.7703984655516091,-0.9680426049355002,0.8614474073633247,0.3674999703819817,0.64939865873446,1.7485597486256994,1.4786911778137082,1.157924929039442,1.9249821025132838
Wife and Husband,1.5378712102014485,1.8354041935394083,2.0743598671652403,1.8315130793255356,-1.3494823953975603,2.3806793789371667,-1.5540614472547114,1.8692325546924646,1.8839675450904778,-1.7801204051131367,-0.582529486150296,0.9362207161468621,1.0592085285498833,0.061409476250081675,0.2587200307411148,-0.3587755274533988,0.28405883087335,0.9649977585171913,1.7871152503716266,0.41541352634158185,0.3502201416800393,-0.6768897438749343,1.44443857221323,1.912700281149003,1.1701037754640484,-0.7938788383625089,0.9233344212863281,1.9089508987418087,0.6362514596963688,1.8179524909809905,1.50138795187025,1.4397873151678668,-1.3415954435712387
Fiance and Fiancee,1.4856042385855683,1.7944577711013994,1.8264011196319054,1.9196960137473764,-1.456527816787237,2.314725107325509,-1.8028904453931636,1.862257881090431,1.6162379305621957,-1.7948390883443759,-0.6590373908384134,1.119711761990035,1.2365738743423533,-0.18440005817985436,-0.32029977379276375,-0.5050245694127145,0.12730793867032722,1.0194107085273174,1.899283871294513,0.21389740525614376,0.23186993422918376,-0.7747706020362427,0.37402763888477497,1.0836894978606237,1.203412551290085,-0.9157934749636029,0.9233344212863281,0.43217623311036607,0.08406910009653693,1.4825542362637496,1.490039564841979,1.262318405383303,-1.3415954435712387
Between Siblings,-0.6722750181271583,-0.280160965757724,1.129017142194406,1.4991312495816675,-0.9748234205336914,0.6922500256787466,-0.5276418299335957,1.1926892152950697,1.2146435087697731,-0.9043587528543894,-0.38700928528066336,0.5561321211860039,0.9527893210744014,-0.07810404329123341,-0.7914629480703316,-0.46687264542332774,-0.37197268093930236,1.2044147385617476,-0.7160160796969905,0.6819348477771617,-0.4712695335670771,0.32988479721280917,0.7974869092125154,0.9203994950917006,0.603854586421426,-1.0464162998933464,0.5148801293945054,1.973627161470193,-0.13943328355101403,0.46479401505281137,0.8999234393718921,0.8029871094703145,-1.7251708372402546
Between divorced spouses,-1.2696118365943492,0.6752555577958198,-0.6686837774222609,-0.6715255977252215,0.6910709498431553,-1.2204238510593077,-0.4032273308643699,-1.0322316637540987,-0.6259975911121632,1.2077722908284714,1.2451593480658414,0.9427739677841187,-0.8766075312422167,-2.051223819661261,0.04300677022849313,-0.0026909035524560897,-1.2718389139566577,-1.1462247018757175,-0.1492693634550396,1.6050086927491691,1.2134804783803994,-0.47413653768365255,-0.5669929618435372,-1.3530997742294608,-1.1837163829092057,-1.1683309364944403,-0.12874481540473032,-0.10679262295950354,-0.7310572402651195,-2.0102137956192427,-0.32570235968136535,-1.3997152413851537,-1.2921018443881398
Between a person and their in-laws,-0.037604648505768175,0.37498179325042025,-0.1650175714951771,0.529118970941401,0.383315363347834,-0.9895839004185081,-0.5276418299335957,-0.013929317856987165,0.21902400474272615,0.530712862191457,0.32706449180843217,0.5495788695487485,-0.07592968452192364,-1.6592572647594708,-1.0355595323346136,-1.121814007241133,-1.0976712559532986,-0.3463543367268582,-0.7219196913245111,-0.07862599631949227,-1.390224085538428,-0.9565493386215296,-0.07295714646117334,-0.7878651492601113,-1.0726871301557503,-1.3512028913960812,-0.5248217045119523,0.3136030847749947,-0.8756764296841231,-1.8714283109086605,-0.711547518642576,-1.0552167694504122,2.3085574961822997
Between cousins,0.3581309937287455,0.1702496810603752,0.05194633259648913,1.3702484992728208,-0.6737581728752249,0.092066154012667,0.07110294683705537,0.6277406535302332,0.8381487383393772,-1.103060976476122,-0.37000752868330344,0.0908512549408165,0.3041389136047974,-1.513100244287617,-1.1661228215922528,-1.0009995812747416,-1.1615327305545302,-0.18311548669647817,-0.7219196913245111,-0.8586884005211893,-1.5503449544425272,-0.9495578487528648,-0.43760262924339427,-0.6873789937100048,-0.5952613433158922,-1.490533904654474,-0.698105343496362,1.068159483272812,-1.2175036046744951,-2.345612050336484,-0.5526701002467834,0.14530820850398982,-0.7105520539867286
Employer and Employee,0.6254392199928135,-1.047223946096426,0.020951489154822898,-1.248106322791114,1.400246866549765,-1.493474535531568,0.8300313911593346,-1.5553321839067245,0.08850581766018879,1.5021459554532606,2.03744120550279,0.19570328113691488,-0.6067588265722447,0.8951688430327028,0.9058598122789786,-1.0884310737504195,-0.03379714498278025,-0.21712358045280736,-0.9565882535184438,-0.6116686391906521,-0.4451628701588002,0.23025606658433462,1.5314829777805987,1.0761530361943654,0.9347217596267231,1.4685084894206482,1.3169358298366303,0.9991714696958691,0.9412664773800852,0.7516173501213486,1.047452470739414,0.059705557902023865,1.0538947568907446
Interviewer and Job applicant,0.258077076635491,-1.7269345585673759,-1.9038282885726772,-1.5574249235323456,1.849837636386408,-1.5013890481249668,-0.1124084392900534,-0.8020674348869433,-0.3331683252218547,1.9172128225742133,0.6296957592414303,-0.36623804675780186,-1.2364058041355128,-0.29069607306847534,0.0018509507885851437,-1.3554945416761264,-1.5577641525121722,-1.4835849919385018,-0.9669195738666044,-0.9074423007837954,0.16399260936766338,-0.8341982659198941,0.5057705229867385,0.4631874873387159,0.6327221921373246,0.6603886125219683,-0.11884289317704963,-1.8465840903530426,-0.6363974071908628,0.6035794997633939,0.8386421494192295,-0.4580860847635272,0.9153126791780675
