,F1,F2,F3,F4,F5
Australia,Formality,Activeness,Valence,Exchange,Equality
Brazil,Activeness,Equality,Formality,Exchange,Valence
Chile,Formality,Valence,Exchange,Activeness,Equality
CHN,Activeness,Valence,Exchange,Formality,Equality
Egypt,Activeness,Formality,Exchange,Valence,Equality
France,Formality,Valence,Activeness,Exchange,Equality
Germany,Formality,Activeness,Exchange,Valence,Equality
HK,Activeness,Exchange,Valence,Formality,Equality
India,Activeness,Equality,Exchange,Formality,Valence
Israel,Activeness,Valence,Formality,Exchange,Equality
Japan,Activeness,Formality,Valence,Exchange,Equality
Mexico,Formality,Activeness,Valence,Exchange,Equality
Portugal,Formality,Activeness,Exchange,Valence,Equality
Qatar,Activeness,Formality,Valence,Exchange,Equality
Russia,Activeness,Equality,Formality,Valence,Exchange
South,Formality,Activeness,Exchange,Valence,Equality
Spain,Activeness,Exchange,Valence,Equality,Formality
Total,Activeness,Formality,Valence,Exchange,Equality
UK,Activeness,Formality,Equality,Valence,Exchange
USA,Formality,Activeness,Valence,Exchange,Equality
