"","F1","F2","F3","F4","F5"
"Valence.Evaluation",0.468443928115395,0.184210879341678,0.576370652371539,0.0370959492717677,0.0119227995342674
"Equality",0.12954461339909,-0.0233553177684142,0.0566532857719477,0.0762177371961146,0.911877805702919
"Activity.Intensity",0.810994340120283,-0.076350277218083,-0.0760945862498765,0.0334274689915575,0.157842999561915
"Socioemotional",0.57749359473997,-0.224595750428766,0.0120752907425267,-0.362672623977711,0.267561305071014
"Formality.and.Regulation",-0.200178182419864,0.181545397806248,-0.0829396744830959,0.746232183402258,-0.0716182512938616
"Intimacy",0.743938372025392,-0.0503771551205519,0.17362420577417,-0.309654466394752,0.0975618581669446
"Visibility",0.170086200909817,-0.188622426227867,0.143849336117077,0.651554379764873,0.124588623043414
"Communal.Sharing",0.612839832541986,-0.305459312013183,0.209143930461277,0.00692672752397855,0.142940081195
"Expected.Reciprocity",0.0324555661437691,0.478231506861214,0.4776224294314,0.13731362230645,0.197539125262384
"Strategic",-0.33163923176413,0.331596183043001,-0.389677138390894,0.405292990300245,0.000673724768742511
"Concreteness",0.164868759765431,0.44881104359282,-0.24868575627189,0.0592960801734157,0.141730576743309
"Uniqueness",0.76648359567192,-0.158363809671744,-0.313564484180812,-0.163378161587256,0.004680559740524
"Love.Expression",0.766226477475435,-0.103731929948901,0.135832968231396,-0.259577064659694,0.00885670640082926
"Information.Exchange",0.770260185518429,0.143448534672765,0.0847924407546756,0.101864818208871,0.0337317905004237
"Money.Exchange",0.0671096296835957,0.920295359894034,-0.118392692835913,-0.0440602855171462,-0.0375688225621444
"Goods.Exchange",-0.163648428554092,0.854347295873042,-0.0385269778331638,-0.0497818733824509,0.062695507030617
"Service.Exchange",0.0393260839154745,0.755459786658576,0.289791222727191,0.0792461624739192,-0.201358884475063
"Attachment",0.804471145241117,0.0889969693217599,0.160122658270778,-0.216620314643252,-0.0699358219795316
"Mating",0.551973443013175,0.105859733738632,-0.140273336556844,-0.447517723141476,-0.00460098129364451
"Conflict",-0.0552623957385452,0.0109116482263387,-0.886540096705791,0.13867087102163,0.0419762131900169
"Negotiation",0.337970278897389,0.492010770556979,0.0972740392830363,0.0743120709822303,0.167791346334865
"Coercion",0.0824501459529718,0.0762193385463982,-0.764999553396034,-0.1323270503043,-0.268264882201824
"Importance.for.society",0.598837954319994,-0.089039699556753,-0.046165397321176,0.589026162646742,-0.0428415443999255
"Importance.for.individuals",0.860896074796091,-0.0996936608176161,-0.0689799777382654,0.259695728516198,0.036494360766944
"Affiliation.Coalition",0.648116702791102,0.0598280705931169,0.417634358510111,0.0562988923666317,-0.0252887556704427
"Occupational",0.0584249727301054,0.366124318882794,0.0598879199640371,0.577386158243642,-0.29641859083029
"Activeness",0.699456092902356,0.170330176950972,0.198237000266419,0.0239840474670484,0.187452721594254
"Endurance",0.690401266290082,-0.264868343037658,0.0889934680857598,-0.107777952914442,-0.0633251337728612
"Synchronicity",0.735211991126218,0.125578794526211,-0.0859027086751445,0.214820260372697,0.133200994690348
"Spatial.Distance",0.758821924419938,0.191395936752951,-0.0354448681613711,0.0230582154188071,0.0131454612694998
"Morality",0.642238814709959,-0.09789350354038,0.29586964395166,0.290309105427204,0.0962359417287093
"Trust",0.697030186570586,-0.0170288472643662,0.397931975293384,0.178756823044977,-0.061982681758206
"Generation.Gap",0.233260976557111,-0.103140822342736,0.0540785037218676,0.189065984936443,-0.708675817297769
