"","F1","F2","F3","F4","F5"
"Valence.Evaluation",0.466559807716446,-0.0658679910675607,0.580332737798066,0.0665484318507794,0.0065210138011815
"Equality",0.0848501858713554,-0.00503246255657738,0.12255291821191,-0.10715045185238,0.877895257264374
"Activity.Intensity",0.769319125841481,-0.212425545972216,-0.0666445369325476,-0.0942106578895783,0.092208893327224
"Socioemotional",0.303911034071064,-0.565521176011833,0.198052099640893,-0.210410880573429,0.117121813910696
"Formality.and.Regulation",0.0130171125981953,0.824490061101128,0.0284893752161119,0.0929550610249565,-0.11722649990914
"Intimacy",0.486972027431561,-0.53620113407134,0.16057509641819,-0.0280763126547966,0.122192925058074
"Visibility",0.0160930930122143,0.902409774210528,0.166564475628271,-0.11416299355509,0.0160927540372545
"Communal.Sharing",0.500389738855525,-0.300035191528954,0.224915051074126,-0.283757849329704,0.134722012752007
"Expected.Reciprocity",0.386908378424008,0.305682329034126,0.0350665090582543,0.323162613392063,0.342090103511097
"Strategic",-0.0955652705833015,0.398688182544814,-0.493069911055818,0.340575785022111,0.0957815211826287
"Concreteness",-0.0104393423104352,0.305753205016198,-0.0305554492468472,0.5495342817639,-0.0864493884877197
"Uniqueness",0.310037199536624,-0.532229141737091,-0.2265913735687,-0.261077314123016,-0.0116736228018585
"Love.Expression",0.357569856386808,-0.597074100792164,0.202815300588468,-0.186976877209276,0.0196225206129723
"Information.Exchange",0.758165452335375,0.099838128475301,0.129527782265467,0.0948980497970319,0.0313652843112598
"Money.Exchange",0.0714645905115971,-0.0682459292043679,0.0299625982469596,0.924699097369582,-0.101245839694958
"Goods.Exchange",-0.0970131536167346,-0.118999428099728,0.107862941488178,0.848253111473238,0.0797816300679436
"Service.Exchange",0.135922043558512,0.239558467404798,0.177445083634456,0.705451115662308,-0.245770673213552
"Attachment",0.459592592296134,-0.562179478769021,0.223966451188287,-0.116276544259023,0.0205977006246695
"Mating",0.261956132416492,-0.604448304238621,-0.0399133705969554,0.198883773853114,0.0833152612926643
"Conflict",0.0895239906366889,-0.0130906455996881,-1.0039009931832,-0.123588931186778,0.0440975460081156
"Negotiation",0.595297974771649,0.180654101232164,-0.0587910954345,0.386130529235398,0.227802865528283
"Coercion",-0.0258970739841149,-0.0568067800977254,-0.925585684894302,-0.0441300714949631,-0.107801304915747
"Importance.for.society",0.406521849857756,0.496621241759397,-0.102704234635793,-0.050012868233471,-0.321095062809027
"Importance.for.individuals",0.764350726234512,-0.176308178813969,-0.0240466930542977,-0.0914879641992384,-0.0211814468740981
"Affiliation.Coalition",0.674962897238318,-0.039974782708724,0.338396324186447,0.0515599389295114,-0.0311212697129539
"Occupational",0.190937028932853,0.696730913656395,-0.08275409022814,0.326845177962218,-0.126289694340426
"Activeness",0.703763152869597,0.0314647856760336,0.0158782506017131,0.198696761588786,0.202291127712764
"Endurance",0.616677385078527,-0.272320004323145,0.0280312788121875,-0.288798769209813,-0.110669881280309
"Synchronicity",0.739352401083841,0.0282007555077663,0.00820959665199489,0.0796831558438185,0.202744486776681
"Spatial.Distance",0.708519623479652,-0.0628796136487075,-0.0347841173825664,0.0721201951672404,-0.106367309220764
"Morality",0.487778874846673,0.387931486907126,0.411145479790074,-0.315359490122703,0.046376885500584
"Trust",0.701584772723499,0.00722795316405808,0.364377900452098,-0.0736816047140326,-0.0512496297875173
"Generation.Gap",0.119594076550674,0.0634272111872269,0.228366519232995,0.0250524443927007,-0.703203959381528
