"","F1","F2","F3","F4","F5"
"Valence.Evaluation",0.508682463507591,-0.0443429669088363,0.469188132070314,-0.0193708977830133,-0.0169379808190948
"Equality",-0.0819996824775383,0.0113182388512141,0.537253305994629,-0.116978804138652,0.182341842380092
"Activity.Intensity",0.198271338583238,0.0936366339969405,0.69595371341363,-0.0900999046888669,0.0272619062879804
"Socioemotional",0.0835627456763364,0.155015119584232,0.776406351615402,-0.0824364494446856,-0.108814909982509
"Formality.and.Regulation",0.0449413016691883,-0.427850649182732,-0.202252177310089,0.085673697516603,0.410538764538166
"Intimacy",-0.196398145529074,0.322395680810049,0.593105187870234,0.00529724242136413,0.123988298226537
"Visibility",0.402396106254355,-0.204815472493421,0.0755798268901,-0.2833646317732,0.468150213180581
"Communal.Sharing",0.0530647057477496,0.390443569250524,0.361410645377064,-0.297284140772583,0.384597033377176
"Expected.Reciprocity",0.140812225768457,0.124094140699795,0.0156623494474052,0.0444754069964848,0.764757553230395
"Strategic",-0.11637401754422,-0.0682382206447629,-0.0495451309708839,0.0607995673036204,0.777767727613398
"Concreteness",-0.172231062700533,-0.125729585599061,0.067307433488788,0.278487061375866,0.608212416642073
"Uniqueness",0.217068256863305,0.73605605359757,0.105314642212678,0.0212175232149031,-0.0662446177114044
"Love.Expression",0.0784802910580987,0.832782410933729,0.169666938363726,-0.0442112590596441,-0.0458898982082982
"Information.Exchange",0.615931668405869,0.316709088010968,-0.0576474097649173,0.238464609619537,0.0466893666357662
"Money.Exchange",-0.0173562173543292,-0.133430480905731,0.00755906963796796,0.883710779728656,0.0579811923879613
"Goods.Exchange",-0.0148680775892149,0.100307510390185,0.0074538375937631,0.833070002272146,0.0430617083284426
"Service.Exchange",0.246455491861578,0.102067634464114,-0.129323876883726,0.727057972472547,0.00741022602199433
"Attachment",0.213001523655701,0.871637557186704,0.0071435914611864,-0.0243580548636,-0.00741545844170852
"Mating",-0.116587865997632,0.556945706950336,0.300464117521626,0.243617466498791,-0.141211198553559
"Conflict",-0.604718548354298,-0.130257630579642,0.260390403801579,0.223594692399656,0.145414122673616
"Negotiation",0.0977226386336736,0.0710261893799675,-0.0865533804091887,0.353656175611379,0.0470943559002578
"Coercion",-0.518094438023836,-0.131053917364832,0.204441596001889,0.232338339272647,0.0419459721552017
"Importance.for.society",0.383560309822213,-0.315758777496496,0.230065538072572,-0.00481609218893067,-0.0836983238096216
"Importance.for.individuals",0.610039985389749,0.115699549721116,0.213757725954078,-0.0459639955353555,-0.204213733808801
"Affiliation.Coalition",0.762600713508747,0.0361433165492093,0.0600327196492126,0.0165365439778334,0.158725399961885
"Occupational",0.569882463260175,-0.558807548122085,-0.0639348654292301,0.12097167194945,0.248258383733457
"Activeness",0.728346962927416,0.0390391942389501,0.119063017556862,-0.0151842761460456,0.0897802776544732
"Endurance",0.487174928748593,0.35547093647209,0.200143794373071,-0.146484061083438,0.0220600016521515
"Synchronicity",0.589189532374603,-0.152515226613871,0.390354639422753,0.0056237235515848,-0.0389114154015487
"Spatial.Distance",0.608435377854391,0.102882106101159,0.276237637767912,0.0811867741914575,-0.120415623724891
"Morality",0.860861202333665,0.0600846951910452,0.043904164638437,0.0413854412230984,0.0127810628408899
"Trust",0.842660938933339,0.174640639721564,-0.0721960563722426,0.067372735027949,-0.00832945841569782
"Generation.Gap",0.288943772000043,0.0955348248494919,0.206783599996133,-0.0641725954437688,-0.0142488615546616
