"","F1","F2","F3","F4","F5"
"Valence.Evaluation",0.214382120609873,0.117299694988395,0.31040501648365,0.656473741460904,0.0194708483575227
"Equality",0.184366698454468,0.0655850968887081,-0.0552370600210721,0.060875209724997,0.71265608991986
"Activity.Intensity",0.602123260914957,0.286098281440523,0.0855970173451904,0.226992236812119,0.0735415541624353
"Socioemotional",0.786680508726685,0.0148539474895708,-0.184228349254955,0.106626569546413,0.225271952425415
"Formality.and.Regulation",-0.783714001815965,0.265106626632236,0.274101278785369,0.0492292737963721,-0.16336941582066
"Intimacy",0.770377110620384,-0.109661955827676,0.263056745734873,-0.0623356229439019,0.231996692340492
"Visibility",-0.393755395413524,0.570710356501004,-0.259912317741165,0.0514344071215192,0.00830539289013466
"Communal.Sharing",0.640928357495603,0.260846607363369,-0.322471308079441,0.130451344068959,0.200074129813457
"Expected.Reciprocity",0.050761433546029,0.266028812747702,0.173304131524569,0.202046621901036,0.600914009615321
"Strategic",-0.732246421692777,0.127506347570493,0.426550087421249,-0.0440400970272145,0.130653531577231
"Concreteness",-0.189290394748959,0.0542640434538808,0.627025597732537,0.164474726758882,0.178653086539841
"Uniqueness",0.659426895236794,0.203226130219981,0.19620116175336,-0.118220048007638,-0.133019224858058
"Love.Expression",0.760366528662453,0.276549568058394,-0.0454421544443501,0.241704854407449,0.0153399726740706
"Information.Exchange",0.125782071848022,0.564832735049132,0.199544397794346,0.34411404484423,0.00862002728264445
"Money.Exchange",-0.0643050544156593,-0.0696113891772936,0.864676487920289,0.0256118871312344,0.0180033239552482
"Goods.Exchange",0.319045447546245,-0.062767425765337,0.672863651221542,0.0587738102157622,0.182647366970309
"Service.Exchange",-0.228083812593692,0.0828482602339099,0.762503072546443,0.193112673822879,-0.246663613496445
"Attachment",0.828068325937819,0.210461368488591,-0.00211295547136365,0.150835156622694,0.020851080344038
"Mating",0.656061250035911,-0.221433573361695,0.39100539090847,-0.104237787057503,0.196776794531997
"Conflict",0.0267661349166918,0.0860120395333717,-0.0774676311126324,-0.934177564876055,0.0844391850459134
"Negotiation",-0.157639426697698,0.254504129465807,0.591793291030764,-0.349622345431437,0.380028791733076
"Coercion",0.0670597972209301,-0.0375868959261792,0.143347467749502,-0.800316066867074,-0.25178351785996
"Importance.for.society",-0.146354797984702,0.848691484997367,-0.0911707152556812,-0.0406810971484914,0.0425406062735603
"Importance.for.individuals",0.113879758138096,0.846765923085493,-0.00477955464105588,0.0418015116744839,0.124129825434949
"Affiliation.Coalition",0.139385422624713,0.592058597821706,0.0877483849779667,0.276390465755877,0.233864792742526
"Occupational",-0.462630600422564,0.487964357516609,0.413502611944625,0.067049803305825,-0.174266976689247
"Activeness",0.242790357265895,0.59476654395051,0.301509044933447,0.155301042533439,-0.0861830548566808
"Endurance",0.634135932359203,0.502620761298688,-0.050048814416411,-0.0177723480843796,-0.144697109649165
"Synchronicity",0.247492060824208,0.598867468129282,0.281216960167318,-0.181322604043589,-0.0111154121186426
"Spatial.Distance",0.317040522316326,0.544207982556164,0.232294094338227,-0.14757629350224,-0.181327726179294
"Morality",-0.0387223881346251,0.727933328185811,-0.142290812163983,0.318596448049153,0.0413733152758524
"Trust",0.309888032838806,0.495046019541605,0.150770444860544,0.46403881408345,-0.0682946551051395
"Generation.Gap",0.123760063956573,0.190920590368348,-0.0608872351265595,0.10351320029362,-0.515085848070588
