"","Activeness","Formality","Valence","Exchange","Equality"
"Valence.Evaluation",0.262911362710794,0.13597970314517,0.607700559399966,0.193741724852516,0.108856833501192
"Equality",-0.0166026898990147,0.0276763716487406,0.0261991993721051,-0.0754603769180112,0.842112016652812
"Activity.Intensity",0.478253464343989,0.390895235556651,0.0332742556763708,0.0201411340037404,0.180073824808261
"Socioemotional",0.117552493050676,0.643767678240121,0.118466372151383,-0.166022440045373,0.210674173156966
"Formality.and.Regulation",0.155062711914259,-0.749285361048021,-0.00751978616495717,0.154458923873366,-0.124928001898575
"Intimacy",0.149307141855319,0.644098168661915,0.0942630916995058,0.098305602449918,0.145805556973609
"Visibility",0.235194653026694,-0.581500532731228,0.0927586415549022,-0.152065090889632,0.100545159372362
"Communal.Sharing",0.299975778116215,0.436473430695152,0.206157119191923,-0.200766270990979,0.213217111544319
"Expected.Reciprocity",0.159076739874699,-0.0269593747606149,0.196801429708889,0.26643596671951,0.49575123192911
"Strategic",-0.00747091737686233,-0.571538110227447,-0.229076878788194,0.300889963520569,0.0924176887316731
"Concreteness",0.0260771281963083,-0.243155626026269,0.0277646697218754,0.505108109630575,0.0530549854465754
"Uniqueness",0.351656841312318,0.586941058745407,-0.170735096757107,-0.0523712898634161,-0.0616527085853066
"Love.Expression",0.344444423739756,0.628845067045391,0.128711455956601,-0.111795784631188,0.0192043169601035
"Information.Exchange",0.566296605334813,-0.0128171310369582,0.187052790785809,0.192989409281476,0.0605430981028907
"Money.Exchange",-0.0697638952463136,0.00313289254126614,-0.0178874039087016,0.821332599471209,-0.0383808080828745
"Goods.Exchange",-0.119111085791205,0.0964396634732931,0.0374662251861638,0.495075547418596,0.042310298913017
"Service.Exchange",0.0748636191424923,-0.149384519051304,0.215765936447832,0.682033495283724,-0.213941155253265
"Attachment",0.400851257152186,0.583799812385591,0.14909768156857,-0.00621967221303799,0.0119999003796849
"Mating",0.0814971633220703,0.642218189459916,-0.0714291352487677,0.195961713880239,0.0394499036160212
"Conflict",0.0766784797525798,-0.0484833841392717,-0.926583476229086,-0.0617657042871174,0.0739042200956988
"Negotiation",0.193989146128861,-0.0504711656450173,-0.142982753087507,0.511531793251282,0.251817502393882
"Coercion",0.0572201615647049,0.0820379838147775,-0.74623062732417,0.104973884774655,-0.168820975165881
"Importance.for.society",0.641119623857076,-0.328886771875708,-0.13128944228173,-0.0179499551960593,-0.0894270538271491
"Importance.for.individuals",0.739599295119751,0.159512945837746,-0.0284250616458443,-0.0859687085378273,-0.0138092859382266
"Affiliation.Coalition",0.584160405938853,0.0533439359648682,0.287338867615249,0.0488150222674324,0.103527316491077
"Occupational",0.281558104210343,-0.676459142374342,0.0159441873657077,0.301181119780169,-0.120450775985809
"Activeness",0.629349215514572,0.0766655520952229,0.0182113345757692,0.131643114100576,0.123813795808218
"Endurance",0.56078431327708,0.351770402577778,0.0173200316389601,-0.197691077378138,-0.0423290108899829
"Synchronicity",0.595297445239142,-0.0561561018248832,-0.0611158489231776,0.1275921445172,0.163294627236484
"Spatial.Distance",0.620272908298771,0.162302164690781,-0.0651372225515676,0.184156879161653,-0.0276878439852771
"Morality",0.57159611839823,-0.212061907937651,0.378107335740252,-0.240395223606645,0.0352323330992694
"Trust",0.628139563240095,0.105751384711431,0.420187234934443,0.0210012489094337,-0.0310199544508316
"Generation.Gap",0.155120960678263,0.0172344785087377,0.16755161947395,-0.00829897160477333,-0.601507707668792
