,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
Blacks - Whites,-2.272010856448823,-0.03932526590865394,-1.2454452170091603,0.3058915800754819,0.10620417004416158,-1.1530249788905573,0.6962941775191359,-0.5879763359490104,-0.058236729637101206,-0.005212532096082095,-0.5450400436337015,-0.5907381674575258,-0.7858544569140965,-2.2406153039970333,0.26167542320223874,0.27452662133023703,-0.6619271971770441,-1.1091500188197085,0.059706947969764175,1.5723803816362367,-1.0709043725584362,1.9401790270553574,-0.465712633197342,-1.549910501561203,-2.5028336986026427,-1.0502704547520694,-2.153166195619849,-0.7025612224673496,-1.6240981185056411,-1.4893982452924213,-1.6515923819942213,-2.186259349878413,-1.0382280655076126
Males - Females,0.24702221016244305,1.3180539268183395,0.7908301672489491,0.9612022352509033,-0.5593018904757092,0.8358428361446028,-0.567611432967449,0.3523110931183841,0.8176711223788623,-0.1888623434676907,0.03795503621912767,-0.2507319832871774,1.3508256903516567,0.557335376953759,0.3312437462158964,0.10703902765684625,-0.6147463030612177,1.0133777991352848,2.264245583199618,0.8404358755626977,0.8365299314114522,0.14432066316485506,0.8020827330545259,0.6638652169010301,0.7181636277698704,-0.7404257207888807,1.128487759191511,1.452117417691595,0.6505150427688406,0.8673468316404411,0.3709948148598022,0.018616417381652983,-1.0427357836420221
Elderly - young,0.3084932763532617,-0.48020422195845996,-0.4012554970010362,1.0651576995260663,-1.1203463948477044,0.46260668399357485,0.38107057134260713,0.7058419614860856,-0.7774205000233836,-1.0084005884322391,-0.9853746733243207,-0.7598711486643699,0.7970357412616677,-1.624365793882192,-1.0676941704671858,-0.7151727958307093,-0.630411105850662,0.8032838219779487,0.10647153130868149,-0.3716971537081024,-1.7016957608459335,-0.5445871748800877,-0.3824310962273866,-0.27299598982573653,-0.6255899268189116,-1.2885608146032703,-0.14479135621031944,0.8188449171982586,-1.2901288096941865,-0.07442236309794319,0.4254592685351382,0.45403579143729145,2.211426916844004
Ethnic Minorities - Ethnic Majority,-0.29539009548722617,0.8970318092400918,-0.3842583885444966,0.24479361048071957,-0.29409135751304616,-0.059032238551974495,0.6612693323884108,0.31779752549409646,0.2890121846684034,-0.2642610930044216,-0.3481845621249541,-0.7297073048822578,-0.3011578865947512,-0.8222167878419714,-0.3798496246138424,0.22605154783663955,-1.8772015319492987,-0.5160351362727801,0.033441908012290224,-0.20225920337992612,0.8456675439035783,-0.27089543616613776,0.6215316521994089,-1.3664841475223035,0.6476332795066281,-1.2820023643321363,-0.5533654926237683,0.7300625960506635,-0.7443227261889604,-0.7759875047963124,0.12622896649742876,0.02200753400202383,-0.865090709890518
Parents - Children,1.2532907572340257,-1.0525668767796488,2.0693450384422025,2.136849112147704,-2.031730739059267,2.349752786059816,-2.0648311136197184,2.202103580128807,-2.2487026298296455,-2.0736002693873807,-1.1718693400168183,1.7713780753845563,2.0353281446882474,0.861613029581874,-1.5980524229938382,-1.773208601319435,-2.1057797767340487,2.207792722708318,2.1490588460502833,-1.4931088512748487,-1.7363425415452467,-1.2005181474460824,-1.0330203506302913,1.9281202586410595,1.1777808261677745,-1.8077714610680433,1.9764789682608215,1.9942017823908544,0.8497174173814732,1.6504496682890055,1.1029419594162901,1.454754306108779,1.950389057605923
Grandparents - Grandchildren,1.4956532421634507,-0.6279733853755811,1.8946616145130566,2.416578735103183,-2.1927445412065336,2.5033040073585804,-2.265603246228047,2.390788114242968,-2.44505081287297,-2.4840618293654004,-1.759247841522676,1.9767794878056073,2.2062147560187855,0.6522931247210135,-2.113935832383846,-1.7509908593015364,-2.2505459984310567,2.3704572921222717,2.1173486148821135,-1.8568802402469642,-1.9178256785416499,-1.4699862482169161,-0.8775360132597788,1.7639399246190883,1.0104801659509375,-2.0482479710096224,1.8138557100173098,2.1125782105876487,1.1971634196128096,1.4276759876734568,1.4892721615776514,1.7376299508580606,2.3569288868529843
Paternal relatives - Maternal relatives,0.4674099531533903,1.5878783621066788,0.87352763723942,1.2474608304250325,-1.3532000871874719,1.1125853414511244,-1.1517814743785526,0.8513586249830816,-0.35775948984374517,-1.4124763359494943,-0.436251488063078,1.230942540955044,0.9258362284793957,0.05019344500469153,-0.8488345422411221,-0.6182226488435145,-0.7883378931564892,0.618116248890127,0.2832800929736277,-0.6704430134972552,-0.4082159480715697,-0.9399196863557934,-1.5926875600843453,0.7262259473797466,0.23915894027590912,-1.2885608146032703,0.7422445978451941,1.0650140803802273,0.008687518646953905,0.10440796713889612,0.1135854326085111,0.37468366252061014,-1.012923375071268
Elders - Juniors,0.5415710689934502,-1.812498084932895,0.21913896166265245,1.2867616865427438,-1.5979468444585714,0.782421023411382,-0.9090112243057792,1.4610464975052175,-1.3978605033085747,-1.5528359809204229,-1.4425456270913461,0.2032172920930737,0.9540819493604767,-0.30306438977214484,-1.5821300955435293,-1.4399424710509532,-1.1000354996811486,1.0125617561449136,0.5388837745109962,-0.3854454084496431,-0.43571339307102547,-0.6708739493792715,-0.2934191782732605,0.3770481556440254,0.3532275722419343,-1.6815212933487143,0.28125470051028323,0.8289338173286674,-0.9986953144892354,0.5029550492692877,1.0256759189840177,0.731400871678471,2.4008791386634774
Interviewers - Job applicants,-0.8818683074877002,-0.3539204434774715,-0.8637184895893796,-0.8057612072540824,1.1114811321346623,-0.8190656686894385,0.7038485558806651,-0.28784821748645595,0.8559659807738369,0.8529483376311588,0.4284448484764419,-0.18388536977736775,-0.9225637459785272,-0.265494150438145,0.41134530123514235,0.34488280438691665,0.46572547709438944,-0.8262551154910922,-0.5286940081507194,0.06824699802119755,0.4475045403114698,0.47668847976548523,0.11840420178917672,-0.6685213399695743,-0.6187095966368343,1.1080062219736044,-0.8275402420591087,-1.1316757746807267,0.6088215225010803,-0.08550372971518354,-0.37283941284011324,-0.8163330131640318,0.15941629632832646
Teachers - Students,0.753005923745621,-0.9896478412658856,1.2755092522365767,-0.4519213984766326,0.6549752240072637,1.167233228574944,0.7144246855868058,0.9511992246601872,-0.918130368142439,-0.7291482401480367,-1.1433770992721313,-0.503047564462385,1.0820915563935343,1.0151142931465045,-1.3751398386895137,-1.2051749970618226,-0.2268666046034032,0.9255715733713642,-0.644964855767342,-0.6642005626956913,-1.6964162514060384,-0.7721567872552055,1.220241857425616,0.7200986430478266,0.5324782796171169,0.5392792759617693,0.18959431859121365,0.4960001130251855,1.4955037201954506,0.9577496198844289,1.1191678279070671,0.7564555716419787,1.5138165562883579
