"","V1","V2","V3","V4","V5"
"Valence.Evaluation",-0.933803729833034,0.121947825442591,0.068283274376784,0.024876279676091,0.251341035903098
"Equality",-0.159592777547911,-0.294480356403196,-0.86024496626114,0.18462266971914,-0.0104684698590772
"Activity.Intensity",-0.447491648337728,-0.378784227001877,0.00941685855643675,0.128708110588415,0.71959490876148
"Socioemotional",-0.379225003505286,-0.646541970751936,-0.087929847864081,0.585095231351749,0.206973207053439
"Formality.and.Regulation",0.188342122195143,0.54155593755757,0.126508282321853,-0.747508185498878,0.0313074044611835
"Intimacy",-0.654669955837437,-0.372980680933355,-0.0293302829796021,0.346921959350932,0.521574358327095
"Visibility",-0.352325991472918,-0.05144051940478,0.0554430260616902,-0.803687910124141,0.0624737347733197
"Communal.Sharing",-0.584311942303355,-0.668107203672444,-0.0265423690707183,0.142154991872928,0.36879877951858
"Expected.Reciprocity",-0.393720473015364,0.736077589894961,-0.209729066731527,-0.160746316420499,0.121575210623487
"Strategic",0.561651146052266,0.64429044293687,-0.0577260071467372,-0.330816423346992,-0.196193429270027
"Concreteness",0.0558692925377075,0.759965209165147,0.125061965823282,-0.0129816721968681,0.251365291017333
"Uniqueness",-0.159621311471587,-0.519243978523745,0.139254845850886,0.491945177200278,0.552502410186401
"Love.Expression",-0.642040301742447,-0.545819681724902,0.0349306346860997,0.307829226714768,0.344129853871876
"Information.Exchange",-0.650994642305071,0.0841083716416221,-0.0356402026575614,-0.232324333130692,0.601570044411314
"Money.Exchange",0.177001287914487,0.930815070854061,0.0387788557585772,-0.0360864719698097,-0.100183480083733
"Goods.Exchange",0.147505638630123,0.907655498579484,-0.00789397796235254,-0.044212455469578,-0.219742432610885
"Service.Exchange",-0.284844168903426,0.816025411087396,0.245123975921614,-0.204915745799759,-0.00940316743006511
"Attachment",-0.689872437068424,-0.307643476839581,0.0650867245652501,0.291312440708738,0.521792577291716
"Mating",-0.245912275180619,-0.292852515899697,0.0758516568890513,0.631579623950161,0.374272612340061
"Conflict",0.95285439621151,0.00871787787593392,-0.0321485423071301,-0.0310763114431352,-0.109475818177353
"Negotiation",-0.484787758953364,0.423881407941741,-0.43577069060589,-0.0379865792385358,0.37693132813181
"Coercion",0.904042606078576,0.163083438985776,0.215815288117691,-0.00224070916608901,0.00407479882146048
"Importance.for.society",-0.203413955380808,0.00571178253228993,0.259858395840237,-0.742654468919813,0.375262660182729
"Importance.for.individuals",-0.562414263305284,-0.212755025042448,0.0904573534623598,-0.133966778580188,0.701664411432934
"Affiliation.Coalition",-0.794223089639183,0.0958886738216501,0.0234966192388965,-0.0508262054876895,0.438387216441023
"Occupational",0.157693022202576,0.614676962151126,0.121835933652026,-0.691006958150659,-0.000337145544463431
"Activeness",-0.699874748002397,-0.115831458112174,-0.231330747721144,0.107217724479867,0.508416638496859
"Endurance",-0.441082184119622,-0.492468675489587,0.193409805114948,0.162322199919456,0.513181921768137
"Synchronicity",-0.192585962223287,0.26964355295473,-0.401350963054142,-0.220031419783668,0.632520823412151
"Spatial.Distance",-0.322545595819385,0.122304517626185,0.0647183180399099,-0.0572826066496171,0.755163447633342
"Morality",-0.754538530063366,-0.238458543980444,0.000580858156831545,-0.457204857747643,0.296125608366043
"Trust",-0.843139742810731,-0.108477076415131,0.0858739739881974,-0.138907540500446,0.446820276497973
"Generation.Gap",-0.13603545895094,-0.00688522056630344,0.915772752207467,-0.104025088107873,0.055413146191039
