"","V1","V2","V3","V4","V5"
"Parent and Child",-0.651811228995934,-1.20757488125178,1.89248485675028,0.534570008856088,1.36313391141966
"Parent and Teenager",-0.225538620962739,-0.846774897007427,2.10337749704029,0.789934262141726,1.51791243854646
"Wife and Husband",-0.392152099186159,-0.587444027611539,-1.03195067525574,0.620481710893521,2.23426548585112
"Fiance and Fiancee",-0.50972693106408,-0.594890472771437,-1.1493854259827,1.06608643361284,1.44341237597879
"Between Siblings",-0.735494321882906,-0.875901952076032,-0.523328879952175,0.650471472339181,1.16868987737255
"Between divorced spouses",1.51600813682314,-0.16057445551022,-1.09503193643072,1.39163666241448,-0.0836433588769208
"Between a person and their in-laws",0.0371089122804585,-0.739127382181692,1.27968056736705,0.346639134961359,1.02609755764509
"Between cousins",-0.85689570364789,-1.29098638512727,-0.465859096136292,0.0505549665281109,-0.00592600371958565
"Employer and Employee",0.182290467359406,1.79893044324059,0.738538851847659,-0.343083066995773,0.661683232933767
"Interviewer and Job applicant",0.209614118071209,0.701330689682988,0.110470300862121,-1.07630878657139,-0.606935663331564
"Guard and Prisoner",2.34665063896389,-0.928150177318814,1.1268148999927,-1.06701472081777,0.147630381576255
"Nurse and Patient",-0.542294807630916,0.586858914621722,0.53856365379057,-0.723566632374683,-0.22630062261656
"Therapist and Patient",-0.502353519319944,1.28113047332092,0.061001884967511,-0.749660322945963,0.316651159421879
"Salesperson and Customer",-0.240172692265961,1.91688146824762,-0.502150861058683,-0.181904083606156,-0.359913026929187
"Between Business Partners",-0.0616655779128708,1.71759127812626,-0.6084139495117,-0.167503276667668,0.580536826015669
"Between opposing negotiators",1.73958472750687,0.199836995660009,-1.45754360916513,-1.05324302039326,0.42311652315175
"Between political opponents",2.6114269283418,-0.580180296976145,-0.790668341395293,-0.757000488075972,0.75271502989502
"Between business rivals",2.24770015084243,0.234832669342272,-0.573338351217322,-0.133360222555552,0.373969792884381
"Between enemies",2.66314785556122,-0.925261841682954,-0.295441720100342,0.514902782389674,-0.540549588227972
"Teacher and Student",-0.361524154407837,-0.143660522933868,1.24277272508891,-1.1552533180705,0.898003516067084
"Professor and Graduate student",-0.551152073393735,0.0234602752102933,0.898063630414399,-0.937825902460487,0.450137890535099
"Master and Servant",0.163118858896686,1.6544546698388,1.64092203465346,1.17468545559181,0.139301377995572
"Between Close Friends",-0.868330483652951,-1.07916155636387,-1.39496157518727,0.0608621525621926,0.757630481989276
"Between casual acquaintances",-0.349691591689401,-0.544150927176784,-0.580742271974661,0.518357908306992,-2.78636648589137
"Between teammates in sports",-0.305616019873972,-0.45674620132213,-1.74820813969251,-1.01945652942426,1.48803279741275
"Between second cousins",-0.84143490465798,-0.99560864962322,-0.347656257578529,0.630674273733572,-1.11581632455291
"Parent and Infant",-0.822705204326664,-1.0550354016474,2.11695612546981,0.734449728164493,1.34812256091524
"Grandparent and Grandchild",-0.87980031667846,-0.96999416357967,1.90366065114276,0.804773817810461,1.09176687959383
"Step-parent and Step-child",-0.142980611699039,-0.52073046618226,1.63405264656863,0.771089070377558,0.693496596939312
"Foster-parent and Foster-child",-0.534791742760889,-0.658438775821601,1.71507067763874,0.581327904157749,0.457196120322343
