,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
Blacks - Whites,-0.7043331868915652,0.8580469646248586,-0.3171952600364256,0.7129207406446382,0.06610913339119928,0.3926139516940461,0.7793475145447587,0.25984511972953467,1.8476527775814506,0.4499264286307289,-0.8600261315238028,-0.2460907525706778,0.6649794891373334,0.5348925919227223,-0.6176590278879707,-0.5871389073149886,-1.2271667450383656,0.38931225279560655,1.225548431584276,0.746916108910126,0.1042748755514515,0.38370389378355035,0.6764892182921809,0.18609416376175236,-2.027768273463363,-1.0840398979802635,-0.9383798238091482,0.0940012076939882,-1.0983019933084552,-0.6847298920238022,-0.7469093608549412,-0.7231282494715563,-0.3460305766917125
Males - Females,0.6096280501158953,0.285992755158014,1.528220270904517,1.6781523052981973,-1.0014409242315507,1.6398014920317137,-0.07848043607395347,0.7997212301796337,1.2743325819124263,-1.2079063467398454,-0.40308606863677726,0.37595928028131037,1.681349065994688,-0.18623527275841512,-0.8352481756971076,0.3732322396460397,-0.9160218201709078,1.3761505441620203,2.7253211255016043,0.47241119684355826,0.9095331966887799,0.3106871503804383,0.5469648797803774,-0.5642391707722989,-1.7471854309168962,-0.7160600266533405,-0.5976030896484317,0.575413788446555,-0.46471890852707604,0.18396472114823625,-0.06561933590314042,-0.8076397487385496,-0.8365529026991063
Elderly - young,0.10425834357456429,1.132930156186849,1.3975426166085405,2.113109631296212,-1.9599833237754316,1.7573176432489404,-1.1524674139319049,2.006936022412925,-1.1899806961103108,-1.8366051483019004,-1.47807576065671,-1.4155929419945321,0.9276585373208381,0.18678450451755496,-0.8280551460174667,-0.3755036085312866,-1.5862538771273114,1.2227871530202616,-0.6350511179862576,-0.5763729266540153,-1.1315565654901956,-1.0870619376219912,0.5027413202075218,0.3428597690712075,0.13491275546955037,-0.5596016887106648,0.1814111803560469,0.8962344901999629,-0.4885602838512275,0.10746084020853487,0.32246593220665837,0.3492031438330843,1.925465117588681
Ethnic Minorities - Ethnic Majority,-0.8824158453870821,0.1567233623694024,-0.3773329865159172,0.10506846885839793,-0.4646882515534135,-0.4603258555277632,0.3410723215203172,-0.275909799037739,-0.7419237364698136,-0.7576115421514095,-0.6343338512224603,0.6141912077565399,0.5691959688052267,-0.30882700975420824,-0.4050150879835869,-0.8424274400514644,-1.1216938891510917,-0.7849701832996236,-0.20605277624590154,0.2053253364544655,-0.6663486790853462,-0.5029279903970952,0.6669453196649958,0.4534640736918727,0.9310230564863194,-0.43110446957853676,-1.4032342406642797,-0.554647181339617,-0.870151161336699,-1.4168636867388207,-1.510577591438169,-1.813735516625126,-0.5467674054885843
Parents - Children,1.4668848115823014,-0.46287820996221923,2.5916286450842123,2.2140241459377665,-2.728129132882269,2.934163974793501,-0.7761275502345423,2.049129175356135,-0.9009116898906352,-2.57670906587805,-1.1354864531223643,2.868791699167949,2.5455292716576947,1.6641788280133836,-0.25715337163146884,0.2787146995495585,0.11787584966409408,2.3114416957280097,3.426729971242739,0.6968375100871711,0.9246859070327617,0.6825509935691448,0.6650011921668655,0.6931067337033141,-1.0813668710838473,-1.4578171304640783,1.4164747878911885,2.078123755926381,1.4675064285545976,1.1599502315896493,1.4990718070961837,1.453951582452091,2.004703339482183
Grandparents - Grandchildren,0.6635341521469703,0.4170451740540549,1.323426932082464,1.8221920070561044,-1.4690604740900728,2.372192473166174,-1.603507903840553,1.288082444594418,0.6369354231980411,-1.8950344049526493,-0.5124600198597355,0.9195440354331237,2.537319255629229,0.46999108410142,-1.3202317794989662,-0.15775054187897747,-1.1985383984403912,2.467737034053361,1.3640555779200754,-1.628240292407163,-1.0040376524655164,-0.3896775312412481,0.991764160121857,1.5997268670333107,2.681393516297601,-0.8334037801103471,2.2610230452342663,2.717990217791406,2.1140157954527563,1.354168084001904,1.742305400161764,2.0002705423538165,2.413084944625617
Paternal relatives - Maternal relatives,0.532619332928645,1.3067752016611893,0.7148981538683647,2.2053518048357574,-1.2065099627077132,2.2652906839943743,-1.6673343882615883,1.6271976459240334,-1.240567772198754,-1.6963749323401038,-1.9311964157232513,1.8318210592966018,2.149624054284987,0.29692039657794717,-0.22698760341247487,-0.3318503745785129,-1.2060721738609108,1.5029509950079842,1.6951742246290957,0.29435395658416325,-0.51049222983296,-1.7337816649066975,-1.514365733237295,-0.2131782350672271,-1.3165812782024384,-1.9324074222235277,-1.354302196784792,-0.312367647235384,-1.2219725377417436,-1.0715557697293858,0.9466678035677264,0.9991343202678957,-1.7194930895124154
Elders - Juniors,0.8061607137708576,-0.4992816596555641,0.2971847564297327,1.4372583213237673,-1.610433826372882,1.0692795320900148,-0.4369016052560774,1.5065056037841524,0.15298572861859977,-1.826866938860109,-1.6560254432019994,-0.7550407794495774,0.9015357590484454,-0.04332084139433482,-1.1517414816013067,-1.1712081261514713,-0.7966457241894025,0.726611475796925,0.5300615533214191,-0.35177799859955095,-0.9969532684085894,-1.3174914005694744,0.0932509688530658,0.5009965021238945,-0.7447805982710485,-1.494126918762506,-0.33785019437907393,0.25919179912869245,-1.0503263510714036,-0.45182425885028327,0.6349664849623274,0.27397113300917897,2.367278233600935
Interviewers - Job applicants,0.0307500226230978,0.2632996956089158,0.3044249249739469,-0.1690778511017921,0.9204457669417407,-0.43241146183686757,0.5193996507209067,-0.6046684991903845,0.33157343662780114,1.007660242115148,0.3154676472764755,-0.10864925595035313,-0.4930187118008287,0.08557446085216779,-0.34377059008625993,-0.4015170254534852,0.16588628233432023,-0.6009186927740441,-0.9372939304285927,-1.3127267760134547,0.24281394155357253,-0.22048959833231033,0.9999213384356903,1.5229437134123531,-0.2616803008220911,1.453373543109862,1.474859612974668,-0.1592910325058916,0.2823303777355834,-0.14803430253699765,0.5986013311250307,0.08790952575200822,0.19663118536681706
Teachers - Students,1.1823803841960703,-0.7593063003223116,1.557232660570974,0.15828510743890528,0.9791453668843405,0.014477303825710696,0.5112762799764111,1.7640800839607267,2.071079030305408,0.9407321844970173,-1.2944837711038872,1.2905051796445526,1.0991981146428838,1.690139431141904,-0.9959674326015837,0.10092447139379856,0.8416833231905108,1.137986219094819,-1.1271252993789678,-0.3414587721754268,-0.6066037068719315,-0.9556317994963897,1.4766744226363002,1.4392668341934822,2.330693972920405,0.32777010585860256,1.768173853275005,1.366427624495197,1.7802365409146368,1.958242727901783,1.1895350809810998,1.4102191533959179,1.744978056609037
Doctors - Patients,0.6058845708081816,-1.6555245618203684,-0.9505376226898111,-0.8378515273236302,0.9934941579814204,0.31005780245183634,-1.7557458889040591,-0.890654225059162,-0.3500746391498084,0.22876087197493217,1.2707404737827173,-0.4545436891115036,-0.0813337734503315,1.256921866434711,0.19459137046772784,0.1392177513042701,0.9152506401718841,0.8613682790428087,-0.1795416427675649,-1.1894563789107966,0.5934909523714412,-0.14827523672483683,0.5844587672443211,0.9623156959239589,0.026256527516925126,0.6986486577639718,0.4159892478552382,0.4196626593795482,0.7959743569243333,1.1069075408047893,1.1344307407276457,1.4152171452880522,0.3369274310570438
Customers - Servers,0.6208584880390362,0.27559176953134423,-1.5914649238180871,-1.145522537783527,0.623446387583042,-1.1906950534154754,1.9310609667643257,-0.48712087278252947,0.4733705438454078,0.8680202206649749,1.9229332940381347,-0.7093195004391792,-0.2715704874432656,-0.7559262858565131,1.4049310051560517,2.719455421462223,1.8526406468700303,-0.7849701832996236,-1.2892219440750832,-0.2843320742588709,-1.0386724189660463,-0.28387776018775895,0.5916545638283097,-0.39023653097650635,-0.07160805264545145,0.7869821343387179,0.08474473003468172,-1.1008774036837061,1.5563502104750633,1.4873682956161904,0.42197058391530445,0.9084889218605557,-0.15393791755595
Representatives - Citizens,0.8342368085787086,-1.055734390682404,-0.8860656456532385,-0.9427080151933708,0.057046739014095876,0.18032671078550694,0.7297046933283983,-1.234086865294594,0.279453418839708,0.8316642387489532,0.6469038631036219,-0.23417915619691615,-0.6344836033682478,-0.35425806522912007,-0.9514605614588058,-1.2995154796177262,0.7230263603173277,-0.6532079756814264,-0.24089598024600098,0.5532788601280338,0.9207894958014523,0.36805744876859803,1.29684262905924,0.7505417513920063,0.6886809400611051,0.3576722844573081,-0.5991917923717914,-0.29694985870147855,-0.4426348827354173,-0.9429513548900952,-0.08714156980684704,-1.2574590190306105,1.2147222787863592
Celebrities - Fans,0.15938958428816416,-1.1209769368860607,-0.2478965039703774,0.3637335848678944,-0.5377758737375828,-0.5337303722704884,1.0880356028355835,-0.5259912034273582,-1.4803636523582582,-1.2034444762319703,-0.6390686543057053,0.8921284564776413,-0.07468214009393519,-0.9217856947331747,-0.21215197969821542,-0.544590818525576,0.40766252121437885,1.243837030235797,-0.539335597116419,-0.38819879774351823,-1.7053916741012536,-0.9618903775023707,-1.225662799764933,-1.5807753243597915,0.35605450575198644,-0.0055590903957135306,0.08613484491762174,-0.3926227429074114,-0.9097310661822664,-0.742956300317182,-0.9248388635588567,-1.001624309052001,0.3076847539296798
Natives - Tourists,-0.5021853042750328,-0.24445751180215122,-0.2944404446117529,-0.2701088331341796,-0.7472407619538077,-0.5295087510024209,1.2261329054920047,-0.6622715193026,0.06024275578978733,0.4294761888029669,1.0843996679954548,0.09293160575945661,0.030106668474523573,-1.3472511348950458,0.40599900839592334,1.079717538116397,0.771949538855809,-0.8070224356206608,-0.6698519465482299,-0.5731043933975055,-0.6263854869693499,-1.14483342690797,-0.1779169445225225,-0.4521984466111056,0.4680613662846487,-0.1370867216426966,-0.4403215200357929,-2.2194536942558467,-0.38095191414492247,0.3271799862673561,-0.20440063728221144,-0.4028024054756946,0.32560768507225774
Locals - Non-locals,-0.2850635044276463,1.284487375318325,0.270637471767615,-0.059706012079765766,-0.323573824824236,0.30416093464882155,0.3689668591561774,0.242673487717763,2.2467286000569477,0.059099623033499346,-0.04174694089278184,0.6174999845270293,-0.28487375415605826,-0.24392550193290588,-0.20226156388870925,0.06171944672355434,-0.18034865035717293,-0.5051822319764644,0.43400173201679676,-0.04321289474094022,-0.47802213623871315,-0.5863756971435089,-0.5271024419139928,-0.7764375119866802,0.4273315988182263,-0.7700670226938591,-1.1663586646113058,-0.7925216330055913,-1.023673216495264,-0.8619406998732186,0.21936472682179506,-0.5800039361968097,-0.5765417676546278
Homosexual - Heterosexual,-0.5089235670289174,0.8289242048701833,-0.48558089417900197,0.4364307384196909,-0.3815731488376959,0.4138426757848999,0.2491621839540269,-0.13991047350450778,-0.10163588769323134,-0.8261685366216209,-1.3582852426506127,-0.2361644222592096,0.22198070760133987,-1.2444904141779836,-1.3779847432437615,-1.1144312933837812,-1.2719927087904568,-0.8814487872041613,0.5873875757128871,1.3367307172693728,-1.7183797115389525,0.07077499348449938,-0.15542061204415702,-0.14782114597319773,-1.0465202922514636,-1.597609815413025,-1.4277002626040234,-0.833268645559485,-1.503429638865779,-1.0325693920025145,-0.14480631374884578,0.017778612247382357,-1.3866925575597067
East Asians - Americans,-0.5540180946895281,0.9436550770905265,-0.4388460040375592,0.007368178541363592,-0.39328455080195224,0.1476671352611164,0.6418750865609908,0.40646443921466163,-0.5117803353641482,-0.013612340798543518,-0.9292028186220841,-0.8813758925046234,0.44148460836241754,-1.7150263458824258,-0.6918371464592673,0.3580364936498208,-0.2831846848472648,0.276294459650291,0.8998402202789973,0.8025589964911872,-0.8871453155262267,0.5088754539031711,0.08662326147307609,-0.3417138436188179,-0.6966025631429424,-0.8616424446523936,-1.4684769658369294,-0.6374260221585633,-1.3177461346520056,-2.246716584067946,-0.24385806610567262,-0.9207193152980817,-0.9667299815241456
Police officers - Civilians,-0.6975949241376808,-1.280395680218474,-0.04868843802528949,-0.7754895108537319,1.3094696419297502,-0.7325084251212115,1.1248615502106287,-0.37481839942554346,-1.4270172812104456,0.38993905846929394,0.5885710891180443,1.862261805585104,0.1653087914048432,0.3466782192409451,-1.414332021343697,-1.3378087595281976,0.8749072727950021,0.33914337876524686,-0.6703763425950542,0.7736246949490352,0.203849829240476,1.682358830024614,1.0168882693284649,1.394606156645896,-0.07081608494471556,0.3618372307621275,0.18094067993412863,0.25698925790956334,0.48436113782272305,0.7106786406418897,0.3923589586477917,-0.32858222587750435,-0.8214599080527251
Rural residents - Urban residents,0.3333592772066342,2.158170167958597,-0.628936231354439,0.2973579229292979,-0.6534449801507901,-0.13810415057730183,0.33851926214347566,0.6389947545494515,0.6065831775449747,-0.798901550184605,-0.6728751483200744,-0.35437799233214545,0.5880624197797324,-0.5389323556660984,-0.2818344547197366,-0.3357183826502774,-0.8225345160890061,-0.47774221346335555,0.6168252628868844,0.39484838385177645,-0.791506130757717,-0.3957735487795412,-0.4793829487780651,-1.049748975470803,0.7124399710831851,-1.4845155042129223,-1.5389094532392225,-1.5083475292226434,-1.39681710056122,-1.0290251758455258,-0.25857729503981647,-0.4177963811520966,-0.600553350046598
Rich - Poor,-1.494547637119828,-0.746541454325944,-0.9243351079583697,0.8784836162284392,-0.39442527177249664,0.07418309033123734,-0.552885287552484,0.5642513235745769,-0.15590202386083368,-0.0978921170584113,0.3618687174922763,-0.19645910101333858,-0.1332165136302226,-1.850237820510139,-0.40996029588834015,-0.44885761874939756,-1.339231654418594,-1.307332910154192,0.1726777020160502,0.8860233278627787,-1.7183797115389525,0.5479915664405524,0.3490804737206779,-0.649436804769873,-0.17753373261889122,-1.1156774708726436,-1.6417779545767812,-1.384454585646615,-1.6060442069839171,-1.766348715647563,-1.8105901105958655,-1.0869025457115373,-0.7356185010014311
Employees-Managers,0.680754156962453,0.27905876474023383,1.370453550626787,-0.087299824677066,0.5524576316290674,0.6049011926025852,-0.2201279526113027,0.689135920023825,1.6621668319238243,1.004355152850055,1.1006032163247825,-1.3082080958977425,-0.8476019361071853,1.075738490433575,1.0142595806805563,-0.23915632400157794,0.46830941334956133,-0.09997209557740609,-0.9862375614655218,-0.13780580362874376,0.6844072144353329,-0.9618903775023707,0.027177824511012177,0.006019386817364327,0.14831528578969794,1.2214673612852889,0.15318115504095803,0.6120219598084584,0.8194935515008611,0.5101772694751214,0.4499437791747636,0.3532399834382696,-0.025014190559062784
