"","V1","V2","V3","V4"
"Valence.Evaluation",0.0349198964892974,-0.0448975359815187,-0.393690904047474,0.843080846449172
"Equality",-0.546206905267638,-0.311744928131713,0.421648478747436,0.353159623687261
"Activity.Intensity",0.553423099563081,-0.0996293580318339,-0.721640909128519,0.207784760722827
"Socioemotional",0.521339386313154,-0.760098080517519,0.0601945916255748,0.212758868490096
"Formality.and.Regulation",-0.246335366058081,0.903457695700736,-0.201284107524436,-0.0162173170202746
"Intimacy",0.529854618455902,-0.376210916800386,-0.487187434158337,0.528783957845683
"Visibility",-0.100943901028593,0.847613500519983,0.460014701616609,0.104811999123488
"Communal.Sharing",0.780293334968816,-0.274761440033458,-0.164578700984935,0.423997759424241
"Expected.Reciprocity",-0.774108445714947,0.323139212815608,-0.0653954294703184,-0.138957774127126
"Strategic",-0.530798675621067,0.673368350593731,-0.0849780332266775,-0.389782300178883
"Concreteness",-0.813758946095206,0.169364672209207,0.00345751985809537,-0.124597268013749
"Uniqueness",0.300305963118637,-0.624321404993779,-0.528457299586296,-0.098295567367003
"Love.Expression",0.578731483679547,-0.484000499554604,-0.0948884688693057,0.51634442273433
"Information.Exchange",0.111329119056109,0.412952026263814,-0.705535818414235,0.417752921398723
"Money.Exchange",-0.861214133070247,0.175430986683892,-0.048286928057373,-0.312938395629284
"Goods.Exchange",-0.808498266754486,0.203713945150976,0.323541896044576,-0.16545623451117
"Service.Exchange",-0.586251561967023,0.541102350409914,-0.0332297774351967,0.137974834019066
"Attachment",0.549712410128324,-0.445163658994346,-0.297062848562539,0.533393203026614
"Mating",0.198359845202367,-0.820140059679372,-0.113192981745837,0.123776392074567
"Conflict",-0.0945005955358697,0.0177783190293048,0.31506126853156,-0.790412623930258
"Negotiation",-0.734781461573419,0.2713596268322,0.114057798456194,0.318322652238264
"Coercion",-0.0246474928266501,0.0256502027003496,0.209073986446704,-0.906211231866211
"Importance.for.society",0.0428154894998835,0.735573019662183,-0.0337344995804469,0.396378450971599
"Importance.for.individuals",0.237380174105188,-0.0614601970753151,-0.597839244169343,0.648989542788498
"Affiliation.Coalition",0.188158957503473,0.190365639150486,-0.786365483734826,0.418391552470696
"Occupational",-0.366061878874468,0.772480415413654,-0.458810772025129,-0.0841821184428446
"Activeness",0.0862391967594642,-0.258354653748497,-0.818050146107637,0.392020443237765
"Endurance",0.638276963543549,-0.202373806561321,-0.410572386075814,0.275662859788242
"Synchronicity",-0.103655871298383,0.0135715633926404,-0.864324187424171,0.263536884161872
"Spatial.Distance",0.155265425493039,-0.0191177007755623,-0.847921348282435,0.242347098248388
"Morality",0.429084956347209,0.279561126613806,-0.159434022873923,0.784527127447893
"Trust",0.284941274997677,0.0985322747724639,-0.540507118833775,0.762916344722196
"Generation.Gap",0.7603149134284,0.0068747151178302,-0.31344151227892,0.112721183244364
