"","V1","V2"
"Blacks - Whites",0.394545791211932,-2.18439446238941
"Males - Females",0.506722774480489,0.461905951073009
"Elderly - young",1.24853908238217,-0.179687784533014
"Ethnic Minorities - Ethnic Majority",0.241522084356323,-0.385211189391518
"Parents - Children",2.61015611697987,1.40933806404903
"Grandparents - Grandchildren",2.89285213260896,1.47815207218718
"Paternal relatives - Maternal relatives",1.29058131736321,0.222255159113418
"Elders - Juniors",1.6749921114332,0.382801338938532
"Interviewers - Job applicants",-0.865560576572467,-0.325146257201402
"Teachers - Students",0.302453631003613,1.32241210080144
"Doctors - Patients",-0.867906259056207,0.648293161620464
"Customers - Servers",-1.06593789573046,-0.0548239073835357
"Representatives - Citizens",-0.0417705953989557,0.177403294656256
"Celebrities - Fans",0.332669577381449,0.405288665029694
"Natives - Tourists",-0.616922656690817,-1.138907482099
"Natives - Immigrants (Locals - Non-locals / Residents - Non-residents)",0.265917934426861,-1.16160056302202
"Homosexual - Heterosexual",1.38907761131497,-0.362289903055245
"East Asians - Americans",-0.15201091993904,-1.9529428156073
"Police officers - Civilians",-0.0522673651418969,1.11087815598725
"Rural residents - Urban residents",-0.190885646082079,-1.04930400667238
"Rich - Poor",-0.0941225739917257,-1.91303422210819
"Employees-Managers",-0.612794905058694,0.165669144393529
"Volunteers-Community Residents",-0.267487097938378,0.331418175926912
"Disableds-Non-disableds",0.972065866377666,-0.653874122712194
"Interns and Employees",-0.924790109242426,-0.0195182202193207
"Employers and Employees",-0.425072631102833,0.2295027782988
"Salespersons and Customers",-0.996563853952773,-0.296513254693886
"Owners and Managers",-0.67634353987299,0.847335655618784
"Chiefs and Deputies",-0.639202872334977,0.849821735397168
"Supervisors and Subordinates",-0.868787142983999,0.765678599886781
"Bosses and Secretaries",-0.701183655036593,1.04281122298966
"Managers and Assistants",-0.323676875433603,1.00998481839179
"Lawyers and Clients",-0.845414999214107,1.05823074885713
"Prostitutes and Customers",0.305520930821792,-1.25530310313287
"Dealers and Buyers",-1.11879545139178,-0.337749965910316
"Party A-Party B (in Contract)",-1.17977006388941,0.799419832604929
"Managers - Investors",-1.22848568666992,0.814627700163531
"Investor-Entrepreneur",-0.702997494238084,0.748085458435071
"Gang Member-Rival Gang Member",0.96178162336333,-1.93118959648557
"Republic, democratic",0.0693522814583907,-1.07982297780318
