"","V1","V2","V3","V4"
"Blacks - Whites",0.423677068046529,-0.179578198242942,1.58677549968149,-1.78135624458105
"Males - Females",-0.520470612881629,-1.13553974455155,-0.565320881848639,0.687304043417809
"Elderly - young",1.52853817790793,-0.222452096336835,1.0558598780656,0.364596624071247
"Ethnic Minorities - Ethnic Majority",0.158204669499961,-0.0904973856662457,1.02134522177471,0.473503321769006
"Parents - Children",1.7589922349173,-1.95846945874699,-1.2994829134705,0.798803295414546
"Grandparents - Grandchildren",2.01645948380395,-2.06639853296055,-1.01008015893797,1.15820253935433
"Paternal relatives - Maternal relatives",-0.0393527093834811,-1.73177639941818,-0.177472965607056,0.755751322337847
"Elders - Juniors",1.89730592750218,-0.506000005271248,0.324038310159588,0.40900961811268
"Interviewers - Job applicants",-0.39019110975391,0.761657713308267,-0.0857108800372798,-0.710399037151624
"Teachers - Students",1.71605448497316,1.14144922101994,-0.462420085986721,0.530743536141516
"Doctors - Patients",-0.841878733046645,0.430824699095845,-0.474334560746233,0.663641824702273
"Customers - Servers",-1.00139086673089,0.595564043502686,0.397319574787092,0.513741864186852
"Representatives - Citizens",0.762835067276581,0.830340556039984,0.824267982811444,0.598128398636981
"Celebrities - Fans",0.0751015709642296,-0.33157098150714,0.000274460644776764,0.71440171786399
"Natives - Tourists",-0.814537644566757,0.232838602655692,1.7972320695794,0.390839059160098
"Natives - Immigrants (Locals - Non-locals / Residents - Non-residents)",-0.325425310522003,-0.544134025014396,1.57013238456521,0.192215261540194
"Homosexual - Heterosexual",0.0114811972519147,-1.87521642192327,-0.148788748840251,-0.0918395203656791
"East Asians - Americans",-0.147111195452348,0.0999008648036256,1.7590862979137,-1.11838636790235
"Police officers - Civilians",1.00374988715788,1.10445256215127,0.500086932823181,1.51662564090864
"Rural residents - Urban residents",-0.395862761203396,-0.0186104865818658,1.36001088657778,-0.0115608107586922
"Rich - Poor",0.223172993580195,0.298891137190607,1.41710437906898,-1.63006002126827
"Employees-Managers",0.199233097589336,0.907133154513523,-0.663941705690726,-0.8394478276725
"Volunteers-Community Residents",-0.144983520504971,0.332039921920577,0.531561120455884,1.02894809562282
"Disableds-Non-disableds",0.811179483286489,-0.458713927519058,1.52067656861969,0.475706156575003
"Interns and Employees",0.0920269690111096,1.26849379906709,-0.191276234406998,-0.700573466176295
"Employers and Employees",-0.198134042365009,0.342663781694882,-0.552896971236759,-0.281405827363841
"Salespersons and Customers",-1.51137409618162,0.106918513840832,0.876548861830394,1.00994299379234
"Owners and Managers",0.0437372435215191,0.860556387818854,-1.1928824896154,-0.276482167078589
"Chiefs and Deputies",0.467364538538455,1.17747696595542,-1.15700037761869,-0.49908501470331
"Supervisors and Subordinates",0.524066871847141,1.53599699763678,-1.02723506163644,-0.632654641211814
"Bosses and Secretaries",-0.173736871256979,0.68440053317813,-1.53111540656429,-0.196466033998243
"Managers and Assistants",0.454495058881081,0.781450094673173,-1.05323436776181,0.000553004966374226
"Lawyers and Clients",-0.861332391077974,0.37701243191011,-0.861725676639576,0.908721896180902
"Prostitutes and Customers",-2.21229821507756,-2.49159725487126,-0.571781323357325,-0.898185137493282
"Dealers and Buyers",-1.93694578904804,-0.145208157049224,0.521242808587696,0.807014020127223
"Party A-Party B (in Contract)",-1.46786940483963,0.264157745321794,-0.932657159925197,0.694251673704961
"Managers - Investors",-1.29012223411413,0.452364310324067,-1.15516133567536,0.348234500833463
"Investor-Entrepreneur",-0.673596005049918,0.289631112437653,-1.07426270585675,0.157642822263828
"Gang Member-Rival Gang Member",0.0161162441712833,-1.571870409528,-0.91536095615095,-3.45968248292333
"Republic, democratic",0.76282124332865,0.451418335127966,0.0405797296643085,-2.07093863103606
