"","V1","V2","V3","V4","V5"
"Valence.Evaluation",0.216844355050817,-0.599467565219562,-0.464763759721518,-0.0119011767741226,0.282825618169872
"Equality",0.456606817118198,0.311017933284442,0.126223586044045,-0.512020290915596,0.0140760012946389
"Activity.Intensity",0.510407738321466,-0.492115242079,0.191077891988743,0.157946786978997,-0.3721215005904
"Socioemotional",0.92660455324726,-0.0133257647020208,-0.104857347151756,0.055038143510336,-0.223928477909055
"Formality.and.Regulation",-0.850208331331465,-0.235509713954522,0.0612835902386107,-0.0683888979521609,0.119835373968723
"Intimacy",0.896824822195496,-0.175864408836102,-0.0304985672976885,0.202377672444521,0.0137614492459032
"Visibility",-0.299233254272478,0.0333362403440898,0.0633419386414666,-0.643428543582343,-0.0240024871401652
"Communal.Sharing",0.828739956538545,-0.17677390997349,-0.178010091693284,-0.156286151081249,-0.0858339587993266
"Expected.Reciprocity",0.0174563729106765,-0.135978144771577,0.405049328580861,-0.22209887398268,0.288886527631183
"Strategic",-0.827041134279413,0.00582931450397681,0.220873992860459,-0.095197093665148,0.319184777586844
"Concreteness",-0.634361790847262,-0.00898161504904847,0.064897379453856,0.0482055212404779,0.594682783078819
"Uniqueness",0.224678057045367,-0.315067640009968,0.184566181857856,0.467099209781965,-0.381502674315857
"Love.Expression",0.851376726746397,-0.307183977142609,-0.146210024786312,0.000755390403987758,-0.205069085367573
"Information.Exchange",-0.00988004572773479,-0.82721639252051,-0.0281126810641922,0.152837878710739,0.0655606050016412
"Money.Exchange",-0.469416372076013,-0.048708631653776,0.0325582377607187,0.2478172637006,0.733891618390765
"Goods.Exchange",-0.116781612651359,-0.0949288998047923,-0.0424695161761598,-0.136158896149935,0.891224848833681
"Service.Exchange",-0.510920752687299,-0.329539798912087,-0.26265003080872,0.011210911426408,0.595128467499481
"Attachment",0.57682846284212,-0.647019456934803,-0.182066998340579,0.212812383895732,-0.119350721226525
"Mating",0.779371332374413,0.00517883323306936,0.229577213396324,0.289511769390409,0.0540757202921212
"Conflict",0.0605814641080537,0.412069428078889,0.760984090470506,-0.0303364891649753,-0.324209132887069
"Negotiation",-0.294607692313575,-0.287792859978547,0.476114418436441,0.159041332292393,0.557879299817024
"Coercion",-0.259840235016435,0.171236370232681,0.843137014451105,0.0680485796062485,0.0475190602899958
"Importance.for.society",-0.0337698364469383,-0.659793269658165,0.00418430111649632,-0.553749000589803,-0.141473033634115
"Importance.for.individuals",-0.0788082279673832,-0.780386425161195,-0.0405000498238995,-0.295272678926597,-0.110121524653651
"Affiliation.Coalition",-0.218555869430046,-0.430385661238606,-0.225531031822233,-0.332718604458518,-0.0827095958096316
"Occupational",-0.765252928816361,-0.41020238708357,-0.0279113185025989,0.0126451631186293,0.361020259020834
"Activeness",-0.219317922087056,-0.804583180569079,0.120472829974545,0.167950966891523,0.231445275666361
"Endurance",0.209454540640684,-0.818941296862239,0.296330886087553,0.205749301930355,-0.179870612114622
"Synchronicity",-0.236538544444257,-0.798189961947238,0.10345641482512,0.129134723329397,0.375295676041792
"Spatial.Distance",-0.155231293071911,-0.678394481521712,-0.0518902746056155,0.249973043770115,0.322256085611891
"Morality",0.185198350264389,-0.812610242966014,-0.286256414147405,-0.181534107637915,0.168522394569237
"Trust",0.121947720345594,-0.790592419713857,-0.30316023720213,0.0580388421732853,0.214559487509286
"Generation.Gap",0.200760127454262,-0.661207135617707,-0.182455898376255,-0.0832290493291157,-0.0700738277871248
