"","V1","V2"
"Blacks - Whites",0.594752965291707,0.652243079480674
"Males - Females",1.32990813944286,0.0509546579448716
"Elderly - young",1.69661638042637,-0.417813041239574
"Ethnic Minorities - Ethnic Majority",0.356430774658855,0.968545694224406
"Parents - Children",2.30863109252952,-1.7772736682649
"Grandparents - Grandchildren",1.84702585664337,-2.14536907411271
"Paternal relatives - Maternal relatives",2.12754009543197,0.261486595927358
"Elders - Juniors",1.5674571956825,-0.187448943780375
"Interviewers - Job applicants",-0.594258496795428,-0.513963015686363
"Teachers - Students",0.284933118965384,-2.01577142123488
"Doctors - Patients",-0.577732452164491,-1.12921630974687
"Customers - Servers",-1.40494748795097,-0.345955960967206
"Representatives - Citizens",-0.50900661522661,0.160218001485811
"Celebrities - Fans",0.317660788303957,0.539040520017696
"Natives - Tourists",-0.486539692765414,0.445526702704817
"Locals - Non-locals",0.252633400767407,0.637108789961923
"Homosexual - Heterosexual",0.833133941448486,1.29592308582807
"East Asians - Americans",0.491872821944785,1.19345695655047
"Police officers - Civilians",-0.409343061226717,-0.227178049770086
"Rural residents - Urban residents",0.656068069454472,1.02866856270249
"Rich - Poor",0.335837465468501,1.66596439759402
"Employees-Managers",-0.47755962779528,-0.662902795678898
"Volunteers-Community Residents",0.557957496868978,-0.675888111391507
"Disableds-Non-disableds",0.66306247281077,0.981566124976868
"Interns - Employees",-0.240703408144326,0.133779468980514
"Employers - Employees",-1.3172287771331,-1.08502678094584
"Salespersons - Customers",-1.3788462225185,-0.0446382608947552
"Owners - Managers",-0.654382434263956,-0.507773752251384
"Chiefs - Deputies",-0.469216373135774,-0.581569561169941
"Supervisors - Subordinates",-0.546874326701223,-0.465818678802807
"Bosses - Secretaries",-0.510070816587725,-0.981560636953211
"Managers - Assistants",-0.415217124887509,-0.25603309870302
"Lawyers - Clients",-0.868963517571342,-0.755113867309513
"Prostitutes - Customers",-1.17605300425205,1.04957631620809
"Dealers - Buyers",-1.62348513479929,-0.551301175375388
"Party A-Party B (in Contract)",-0.808436755706613,-0.199920115416175
"Managers - Investors",-0.777908638343226,0.0107890062391034
"Investors-Entrepreneurs",-0.977917667343419,0.361745641986036
"Gang Member-Rival Gang Member",0.168669638019869,2.56942105563387
"Republicans - democrats",-0.165500078846803,1.5215216612483
