"","V1","V2","V3","V4","V5"
"Blacks - Whites",0.840316649047447,0.37832271087359,1.39243517253136,-0.91525435545297,-0.083752998375811
"Males - Females",1.99254205253104,0.0539893625911922,1.38274104264771,0.197402787654302,0.807540503298878
"Elderly - young",1.53349464654723,-0.352005532471824,-0.941088017964075,-0.477958191724891,-0.5710666931455
"Ethnic Minorities - Ethnic Majority",-0.224531010936775,0.713972850937662,-0.266181563089042,-0.535339107819335,-1.40047595931714
"Parents - Children",2.7431399879871,-1.7925182039498,1.23925392269524,1.65316547322288,0.476407527415816
"Grandparents - Grandchildren",1.78025695460166,-2.22695529072244,-0.115202006095994,0.0268740865970691,-0.350249745237641
"Paternal relatives - Maternal relatives",2.20679957244289,0.595544815606875,-0.896059183384962,1.33459106814996,-0.0182103090600023
"Elders - Juniors",1.29673493891939,-0.117065894812329,-1.07154965424891,-0.22900834585842,-0.729948405942851
"Interviewers - Job applicants",-0.819995067497604,-0.667232508105259,-0.114302323404582,-0.785617272424712,-0.355405872257763
"Teachers - Students",-0.0932230672818531,-2.33199902542677,-0.014863288012288,-0.971852547427643,-0.784991358727114
"Doctors - Patients",-0.669286339016993,-0.89829686195049,-0.853987630811746,1.13687206309683,0.363694550140453
"Customers - Servers",-0.64903557786889,0.107233038516561,-0.723774859150288,-1.32563582946383,1.93091115276112
"Representatives - Citizens",-0.828976036014815,-0.109626537132229,0.231024558385012,-0.815545981199498,-0.709517807918141
"Celebrities - Fans",-0.396603875543654,0.666175554534971,-1.65078473996452,1.07235486254819,-1.15188332940565
"Natives - Tourists",-0.301628315166282,0.765240970407097,-1.0925258354344,-0.584056789071682,0.611200733980469
"Locals - Non-locals",0.551022927131429,0.67659960602095,0.213957458922752,-0.859402617874838,0.355772248932838
"Homosexual - Heterosexual",0.538532789831667,1.10923088118158,0.0150592451558588,-0.651722779618116,-1.01705446783145
"East Asians - Americans",0.667254086644883,1.16293954026061,0.183951572274256,-1.16320428994443,-0.0410362709804853
"Police officers - Civilians",-1.23199812758348,-0.778366668599684,0.687811280284083,0.261912234356723,-1.70902423369099
"Rural residents - Urban residents",0.909083504755902,1.14621559043875,-0.343196190983312,-1.26904088111645,0.192023057234121
"Rich - Poor",0.094789088221549,1.57631151078243,-0.0668447733710316,-0.225286287652805,-0.753103495685779
"Employees-Managers",-0.125583864822903,-0.566739998382353,0.188254486562581,-0.333982909050561,0.831825932836589
"Volunteers-Community Residents",0.676206214470209,-0.374392399640467,-1.67075190878163,-1.55400014749568,0.328326469687993
"Disableds-Non-disableds",-0.206205388313765,1.00056297133044,-1.75712255652916,0.330228588812974,-1.66804529175221
"Interns - Employees",-0.460685641891525,0.356595009797434,-1.16304439477791,0.636977835354616,-0.100861505729632
"Employers - Employees",-1.433800228065,-1.32479463519979,0.79043235856583,0.123736227675259,0.0244860420044907
"Salespersons - Customers",-0.524202591380712,0.47408734366347,-0.744882405059653,-1.26963893882824,2.11402413481839
"Owners - Managers",-0.531984784887655,-0.515693755870061,0.496454015057872,0.608025243908484,0.431662618315751
"Chiefs - Deputies",-0.898071881597253,-0.60493878460116,-0.591016456132766,0.712845972757601,-0.523450002597047
"Supervisors - Subordinates",-0.547374300948788,-0.552533029393352,0.383449508604771,0.0789087711524003,0.10381898201482
"Bosses - Secretaries",-0.803878276873114,-0.932729521447327,-0.277427847680668,1.7782488931209,-0.127916563759083
"Managers - Assistants",-0.514859096426363,-0.298352954098153,0.142849239757115,0.499390612283026,-0.0539768819222
"Lawyers - Clients",-1.19423482050633,-0.714240619874469,-0.666775980233599,0.62247444416968,-0.191543158494127
"Prostitutes - Customers",-0.375333399255639,1.71932037795766,-0.0508310907650988,2.63004362611087,2.18550898651542
"Dealers - Buyers",-0.651397628567023,-0.408309522670296,1.11432989966484,-1.12791889258009,2.10391955740039
"Party A-Party B (in Contract)",-0.774110009151458,-0.266025786802723,0.496729239046931,0.320550480808894,0.220210167665503
"Managers - Investors",-0.537071107177726,0.114401479151928,0.31392983262368,0.551890439565805,0.690294893511259
"Investors-Entrepreneurs",-0.421692861840101,0.478982149466502,0.802627217702678,0.0613891940121172,1.20480799633653
"Gang Member-Rival Gang Member",0.00398740293721811,2.18508322263227,2.09289402054445,1.63735043008284,-0.850460751658853
"Republicans - democrats",-0.61839751745392,0.552008544998989,2.90402863484861,-1.18076717083723,-1.78446045138136
