"","V1","V2","V3","V4","V5","V6"
"Blacks - Whites",0.646777858703886,1.31239698004715,1.42664113396926,-1.24185159763435,0.175129843831633,-0.63738731912092
"Males - Females",1.81523150179284,0.156541695409394,1.21472551753783,-0.286218701349511,0.968033007348683,-1.05370670143173
"Elderly - young",1.64401299237494,-0.000260733293759391,-0.849597360387433,-0.264140270858182,-0.455439621402237,0.603585965476772
"Ethnic Minorities - Ethnic Majority",-0.145465328303255,0.912554940707294,0.0234549721683182,0.0125512084397059,-1.34208563673034,0.498072951785917
"Parents - Children",2.70840306323408,-2.27045531377272,0.769898118896867,-0.224177733289984,0.511441305050516,-1.41776457232145
"Grandparents - Grandchildren",2.07067365195996,-2.31305260762582,-0.292610309028882,-0.521309439604084,-0.14595589376777,0.977273390624725
"Paternal relatives - Maternal relatives",1.89169081896828,0.880841868838806,-1.03526187500024,0.0256545217572162,-0.269879747381264,-2.25683181037674
"Elders - Juniors",1.3092622682925,0.407252155189029,-0.991893978202222,-0.418931411483582,-0.707963157276274,0.0108596517910417
"Interviewers - Job applicants",-0.832752908092111,0.197520880356953,-0.118452927502636,-1.28422791097425,-0.283365677830605,0.245345683163763
"Teachers - Students",0.25666439072857,-1.92116784535941,-0.0657425684898866,-1.24008358634857,-0.507927050501846,1.79671214890671
"Doctors - Patients",-0.852383378435662,-0.582480532999046,-1.16221234506542,-0.629973784376869,0.0370280325005159,-1.4107782891273
"Customers - Servers",-0.518946569580101,-0.032693946023056,-0.679027948818869,0.531485128239042,2.06135907920272,1.83921738598399
"Representatives - Citizens",-0.800692996805884,0.466124797862995,0.346207908897091,-0.821263559036943,-0.599815571609428,0.432226348327889
"Celebrities - Fans",-0.154764118566597,-0.532506664144066,-1.43219510424282,1.93250984389483,-1.43392480520416,0.658796689748984
"Natives - Tourists",-0.181650169929175,0.397358135635069,-0.913857434384748,1.01351541723676,0.603467548098341,1.22298354466141
"Locals - Non-locals",0.527376687166688,0.91074432930648,0.341232047100973,-0.00309976932575161,0.522111592172777,0.421886013288446
"Homosexual - Heterosexual",0.49359656880798,1.54259601690761,0.286009518396798,-0.149546120989661,-0.911027215692221,-0.00616891121442553
"East Asians - Americans",0.584286752132921,1.72937247171539,0.412773151055276,-0.244180359259954,0.15366685096249,0.252303396488118
"Police officers - Civilians",-1.09717381136102,-0.788853401762568,0.728894991980362,-0.550894571199375,-1.70709037914869,0.115519845296026
"Rural residents - Urban residents",0.920275964499669,1.46598177114422,-0.079247833371228,0.208518604007861,0.394532843653372,0.847404451216898
"Rich - Poor",0.0751891867041553,1.42078190714778,0.227060865068807,0.721105524339619,-0.748146792718645,0.0513936562101323
"Employees-Managers",-0.177504815963602,-0.230594473559993,0.0483485904890618,-0.595313099553501,0.886801362672807,0.00889917444534258
"Volunteers-Community Residents",0.894953981553598,0.0936737074597198,-1.50369165670653,-0.176576420119949,0.521842280985633,1.99086212848633
"Disableds-Non-disableds",-0.232931556497571,1.24881670371161,-1.49527852692532,0.278169130116725,-1.90896081109701,-0.372069607600589
"Interns - Employees",-0.402613035787511,-0.172349068534475,-1.11388613461191,0.955109169850764,-0.321405759872938,0.111592530897234
"Employers - Employees",-1.32303138770042,-1.4612394230436,0.62222084750196,-0.515800295206975,0.0437676824939284,0.365754416422298
"Salespersons - Customers",-0.608023464327159,0.885441882789492,-0.751811751962267,-0.0341705918536636,2.17799544524298,0.82155408550997
"Owners - Managers",-0.557826545905759,-0.804172545044041,0.321124079004049,0.0294566375087844,0.351615769439344,-0.414920660384535
"Chiefs - Deputies",-0.73956651193376,-1.16300994006179,-0.622122271963523,0.506020539642604,-0.686333697807535,0.351687298283452
"Supervisors - Subordinates",-0.617727930073774,-0.241970698986131,0.25629723768441,-0.68909585413264,0.0843168679770108,-0.430014283193839
"Bosses - Secretaries",-0.891526760380271,-1.28685034157482,-0.578448091910533,0.00285244266150403,-0.482959518603302,-1.40539570400788
"Managers - Assistants",-0.634104044707444,-0.0798751076561463,0.0132911710745307,-0.478292044495422,-0.175170622235298,-0.8722964812985
"Lawyers - Clients",-1.33359111949726,-0.197859219842525,-0.848444840289949,-0.871969498969806,-0.442476922779404,-1.00389328169215
"Prostitutes - Customers",-0.586747849036899,-0.346209107354226,-0.275438397017964,3.04908685375254,1.66160930178879,-1.69718202415808
"Dealers - Buyers",-0.69141752044008,-0.194342129564191,0.956157959632616,-0.490818044192127,2.33194488666852,0.717813328827173
"Party A-Party B (in Contract)",-0.962111932730651,0.16042229600903,0.332664510390152,-0.79407080443285,0.123981337515956,-1.07347518591285
"Managers - Investors",-0.729167153214536,0.178479559946823,0.150091014019691,-0.156640938264734,0.547120046986528,-1.06870002057042
"Investors-Entrepreneurs",-0.626319883889677,0.536249664007035,0.678994231224571,-0.0625564006992575,1.17775730163231,-0.776761181979731
"Gang Member-Rival Gang Member",0.252540007711569,-0.578636900706012,2.39499219869692,3.60287726062731,-0.884045902270234,0.326376061322908
"Republicans - democrats",-0.392894901471464,0.29542823671651,3.25814129109284,-0.123709474423267,-1.32154760229566,1.2292258872256
