,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
"Father, mother, child",0.42975175299094215,-0.5156644543723891,1.5937834960953465,1.4897534707170224,-1.9627114892189252,1.6717459777030672,-1.2688552635146444,1.5799609029576926,-1.9701398994159902,-1.6976448599660878,-1.6797666489819134,1.9677759130787855,1.5427566527524472,-0.3715789628683112,-1.4124160750521113,-1.2081852366415355,-1.4800808683336244,1.6829511773963777,2.158246045247526,-0.6358282857980722,-0.2416932858655636,-0.5862040572295278,0.414867045467981,1.5135933496401854,0.8308965672800263,-1.7216410459185503,-0.029276227819833196,1.6901310942350813,0.5229702227883022,1.4688331828700107,0.8293945872375592,1.3701873553510253,1.694530353336708
"Husband, wife, in-law",0.9901282887265592,0.9253617730055593,1.5478590994373826,1.335940082021254,-0.7179665177742056,1.5899396943165398,-0.5042903123317417,1.5061012562543008,-1.3503657748908164,-1.3607518977296558,-1.1957724524745923,1.2808520086655009,1.3973254270166449,1.343339679846188,-1.4609203333538383,-1.2651093789997867,-1.5298434677536346,1.5082919461923276,1.9531754408690494,-0.2842251328525861,-2.338293539810221,-0.6714693331846933,-0.29487981569219035,1.5584258823958625,1.0957762904179302,-1.682913692442527,1.4210683489200981,1.5473689293756767,-0.21834023088787743,1.3413775695983168,0.3137938030013136,1.2008118777971037,1.5251409485016763
"Parents, firstborn, secondborn",1.0669833859602782,0.9037895240927158,1.4859609995940397,1.288803720969325,-1.539149863032169,1.6517571120792096,-0.7388990844958102,1.5274003171641164,-1.4530582758157906,-1.4957194216225032,-0.8108940887626537,1.4969588462408985,1.4156247203211498,1.5013051587945168,-1.1534033357208902,-0.748503292529357,-1.3838731761216054,1.6030765289798912,1.7539639966156721,-0.7562592870038096,-1.0124449573862508,-0.6908478049926854,-0.16963036960510094,1.4663761076953774,1.166134966876436,-1.4177087758387201,1.1799184192958814,1.6710016726410173,-0.9349847791809466,1.4731294394971468,1.1005053256878674,1.3324818603478554,1.4488755766565198
Trio of friends,1.3169742573559406,1.7606392509108608,1.4643965002937782,1.494219020711416,-1.5474876903193098,1.54514982875197,-1.2943098516407459,1.5790333632083942,-0.8716468124291091,-1.513072388980155,-1.483208367581201,1.1371896668916721,1.3454132212738652,0.610833890040282,-1.5686967953002753,-1.3727583906786436,-2.0370902311749353,1.5129779255660947,-0.48306333914725136,-1.5648081123402604,1.5702738255457969,-1.5070690375453142,-1.3568907439723,1.3637859183789305,1.5055121121468757,-1.681209688889582,1.991008982591961,1.4452744978310603,0.7371636119665008,1.456374038651317,0.756888226954337,1.3324818603478554,-1.65612854917616
The three individuals in a love triangle,-2.289647856766232,1.2148613534159194,1.0888148041475587,1.4170287993797608,-1.9620444630359537,0.7206091217678509,-2.7080827134642185,0.9600551705099236,-1.4180432997294776,-0.7564830121865366,-1.7125907234790856,1.1871936864041095,1.12928893614066,-2.2546788161038456,-1.2261597231734804,-0.8593884027121421,-1.2379028844895763,0.7046464835912529,1.25066214186964,2.569297463532552,-1.805618495714813,2.222434132733621,-3.572762194329718,0.7074662553460971,-2.0682947773778158,-1.5615886394728415,-0.5259761828658274,0.2213103395041891,0.11018296297149453,0.2087411141310901,-3.1269307238686874,-1.8196975219171327,-1.5170445947322295
"Doctor, nurse, patient",0.3589482382165712,0.5974635895303377,-0.5482901010639535,-0.2932768484728663,0.7487499445592861,-0.09060567480036334,0.39195228963099377,-0.29676118978941823,0.05339999766510663,-0.10432694803624058,0.9693292457310301,-0.10706619526197116,0.12696922340390865,-0.3460396339365447,0.39194233377212606,-0.19056871914129309,0.4573430024187611,-0.2084804971060187,-0.050657321914921,0.3733004484431065,0.33286705108622133,0.5020909195073107,0.8062715644901349,0.5864184169057707,0.25974966426392027,0.734912439772552,-0.3331251391463466,-0.40135233338259874,0.7149642971217012,0.3475102031875755,0.6024181550466027,0.5568259631397926,0.018297759518949776
"Writer, editor, reader",0.5321445282031086,0.4887394550096061,0.46020964954493826,0.14339014740744818,0.07772160449018867,-0.09293770912314693,0.23421730091515172,-0.5601824785901659,0.3241553360069436,0.059106453623097986,-0.02195780408356579,-0.6879570453123021,0.09952028344715116,0.3299012717908578,0.512135885843805,0.7733597545046264,0.6232183338187941,-0.22669191694497776,-0.6184099380370458,-0.536991808946467,-0.5184632042752652,-0.47109593469005456,-0.02507163391291909,-0.5249037594133966,-0.10611545332030997,0.23272710177826458,0.7154636548396398,0.42822691641331645,-2.734329244574271,-0.608836522012847,-0.13777720993168155,-0.10140424962982723,-0.4997448136566245
"Tourist, tour guide, native",0.40183882889719974,0.08296545295901926,-0.9867682535026023,-0.8969235173578152,-0.006657207655676844,-0.4337478680099161,0.8447101276116512,-0.5576317442795954,0.5144983746156786,0.9206812829305099,0.6502599333394017,-1.0710235519343692,-0.9175351760032276,0.5850817333674176,0.9907274025069435,0.9924104824527389,0.9425283467638578,-0.6326148801975612,-0.6570803948627014,-1.0246335440010779,1.196459264858264,-0.4327265605102301,-0.2661768176305658,-1.137547473647283,0.21939689394213002,0.7073772914510997,0.3505349113383077,-1.082439448054591,0.21247980570225852,-0.799053284179283,-0.014674019972558487,-0.13399257031113804,0.09235544954753622
"Landlord, tenant, real estate agent",-0.16881026806316102,-0.09025970581111427,-1.057931101193465,-0.9758680619015535,1.0535809101771565,-1.1300266872409501,0.4545455391214071,-1.0907352151888552,1.6453599569381627,1.0239314387085379,1.1164583325948243,-1.009411456463687,-1.0414888101237425,0.2830791687492871,1.248430526864018,1.5993836449168919,1.1742561847297037,-1.252921399799994,-0.7795368414772774,0.3263738859043193,1.7706692601411762,-0.8701374261602286,-0.2661768176305658,-0.9451372127221894,-0.5522722369807175,0.5885230436331846,0.8859911050739073,-1.1324150619690838,-0.5035980934130909,-1.2421047488526593,-0.13777720993168155,-0.6050419328864513,-0.7103576589574334
"Lawyer, litigant, judge",-0.7872214795839244,-1.0731872429421008,-0.7495587611997268,-0.4924545545719951,0.8391690493620582,-0.8694311057743643,0.8982621299534497,-0.38333156639060295,0.15247337961475116,1.1496440466773048,0.791264004994737,-0.5327858419046584,-0.8769235864765632,0.9583579437266065,0.6981658845170281,-0.6603878392898724,0.3434419415240716,-0.819077809445381,-0.4422445236090594,1.065894060741236,0.273698235898774,0.5222445301876223,0.942538322964514,-0.4929009620952489,-0.9781951529014238,0.8151555161748721,-2.398746536327494,-0.9582310508986883,0.8449602849516067,-0.9585518114616984,0.5989154323276072,-0.4253124067046753,0.17403967676063825
"Middleman, seller, buyer",0.07233016398570553,-1.4891121865644534,-0.1071163862127722,-0.6820189238776385,0.30059172787546423,-0.41084395948257946,0.32257810477911864,-0.31956320862633747,1.0351425684572184,0.6647250144051459,0.9688465387531303,0.15228906828062333,-0.6871085484715012,0.5733762076070249,0.734624918673826,0.6015931043955336,0.18986903053620788,0.47884085251784614,-0.23815044591809945,0.04886348398799505,-0.1330873685149215,1.4090034001213425,-0.129837576837849,-0.6181578122543929,0.851072952440921,0.7035432834569735,-1.388845081051221,-0.49500679327020447,0.6249670747779206,0.5301011098408455,-0.24874346566948186,-0.11177326075569874,0.45496718791921187
"Plaintiff, defendant, mediator",-1.1442648446854515,-0.02381717915955624,-1.0514617514033866,-0.9886267761712486,0.2784964855645407,-0.9801101950620195,-0.46348878673799077,-0.9151210226550232,1.1486358775741912,1.063054492387608,0.6024719425273424,-1.0097361578890922,-0.858303252938646,-0.695077129337345,1.2068138732411364,1.546397405557397,0.5933607741667883,-0.6749484438582989,-0.7596156970519397,0.601704071419505,-0.12257711844873057,0.648592166375731,-0.054818377358602614,-0.5253330070674403,-1.6399346001157364,0.28319658882821785,-0.42614011200140134,-0.6595995249024647,-0.7249912603787915,-0.6492213343079231,-0.9864168702900885,-1.2691972948708545,-0.7186665705216163
"Therapist, patient's family, mental patient",-2.494978049611907,-0.5027211050246829,-0.6129835989647379,-0.9152641691205019,1.045576595981501,-1.2466284033801185,0.8760067523568582,-0.9429472151339753,-0.4433240816988646,1.0756748322840817,0.5908869750577526,-0.2629228794565821,-1.011439444276345,0.17326005434269412,0.5374551086773065,-0.9064093038656015,0.8255862381268345,-1.0647367281307523,-0.46372811073442355,2.0385704995983027,0.6621882198268781,1.0392621580248524,-0.28966108877189484,-0.7571267402510443,-2.115890352629158,0.49511266704901663,-1.3314858477906035,-1.0134938243926515,1.7289330021949656,-0.19381813183153168,-0.9359776631365428,-1.484657266317539,-0.8848448018052734
"employee, employer, client",1.0114298589834638,0.7402718773333615,-0.12095360659710666,0.01357022971330078,0.22813600875021028,-0.09660233448752059,-1.266768821864964,-0.4717570224903845,0.2928047178831518,0.01745933196473382,0.18618544478673715,-0.7629630745809586,-0.19923975776639757,1.1071481822809313,0.33286414716062285,0.09787292823291371,0.5246883869671745,0.0122930311171495,-0.22526029364288097,-1.0029351998183198,0.5760041692841109,-1.3612654156619812,0.49732293080864803,0.4808234940110179,0.012252672956941024,0.702009680259323,-0.062141518228619456,-0.8202866662926035,1.1793499644156107,0.39777640572506395,0.6528573622001489,0.8406944755207992,-0.1421003593722321
"supplier, retailer, consumer",-0.021696298476412662,-2.038185844309968,-0.4947781953929346,-1.194183839405225,1.0389063341517883,-0.7676359567639792,0.8982621299534497,-1.146662426739144,1.6453599569381627,0.991539232974255,1.4378768189455644,-1.0844174857323434,-1.1559075493119102,0.42770744258880483,1.199699915356883,0.6777193975150441,0.7124224009272563,-1.1627162968549756,-0.6463386013000193,0.4111370082088938,0.13667571651731902,0.07033856762524589,0.7192927824852119,-1.0752469460812166,0.5241695267713764,0.9787398572575944,-0.2538901622698184,0.19130548748535148,-0.0790111977778763,-0.4439557399003254,-0.4490992051960662,-0.06980345381764701,0.3594849493525453
