,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
"Father, mother, child",0.6840081552416996,-0.2791267838366207,1.8904540004937735,1.7607730832468218,-2.0653424748129705,1.9955840215572223,-0.9945932635111479,1.8481408207143648,-2.2315433774438054,-2.0319038417071718,-1.9447705150132173,2.238100413669933,1.7832050213824484,0.08170361155298676,-1.6460465319537718,-1.4510016795704217,-1.7024107571380085,1.978133005679075,2.5409951568426634,-0.8553150270219186,0.08690172952092078,-0.8808130197924902,0.6412986956438999,1.7963955991240705,1.0635542544360614,-1.999015918240511,0.30698672747214467,1.8897177218983476,0.8971457698979991,1.6945233780595719,0.890132470853412,1.4645872533823028,1.9231108130307897
"Husband, wife, in-law",1.1785314798073705,1.220747910898487,1.8393363481922063,1.5865183540112937,-0.705649745430764,1.9046609026213948,-0.26432570136084516,1.7626517840802511,-1.5052616853136287,-1.6417827716319313,-1.3987164066505677,1.4480629907527596,1.6264780516206125,1.4420926574545878,-1.699454879141522,-1.5122295259047063,-1.7611392143546714,1.7828360777411492,2.301698882312026,-0.49505271839025955,-1.878264811467445,-0.9398727858608011,0.08383277969701548,1.8452966222709852,1.3387460717031827,-1.9542385853938304,1.6154326108037522,1.7296041492072969,0.2066030696179767,1.5583308678669872,0.5926735054239223,1.325203903089029,1.7312233281841884
"Parents, firstborn, secondborn",1.2463548731333316,1.1982946969054467,1.7704386429161818,1.5331177111810514,-1.6026664433500761,1.9733675128579704,-0.4884102292250378,1.787304436504973,-1.625601790506001,-1.7980747716100454,-0.9644872087770778,1.696609427899496,1.6461986637098507,1.5674015215834163,-1.3608459579711862,-0.9565658519805468,-1.5888690731857928,1.8888203861952668,2.0692396441965495,-0.9787119595059912,-0.6355323126545273,-0.9532954599672354,0.18220911780528945,1.744893457724661,1.411843898164762,-1.6476034100597623,1.397876288159542,1.8682632977660476,-0.46096294009517425,1.699114136830108,1.0465409214257109,1.433558451020196,1.6448284890352447
Trio of friends,1.4669678163062034,2.0901363567090163,1.7464355714006627,1.7658320915149506,-1.611774239245015,1.854879466461958,-1.0189059919296146,1.8470672374636112,-0.9442753447208162,-1.818169457321517,-1.723008647069131,1.282835626359052,1.5705337889043025,0.8610196970871309,-1.8181282265927028,-1.6280172544861857,-2.359777954916524,1.7880757514175316,-0.5411408591119476,-1.807173433804229,1.7852784868533826,-1.5186584933302487,-0.7503165871793889,1.632993350502307,1.7644334140382616,-1.9522683827485763,2.1296114396360117,1.6151010930049132,1.0966703828476136,1.6812101776250157,0.8483023038398899,1.433558451020196,-1.8725782385260983
The three individuals in a love triangle,-1.7158184793163527,1.5220700426850906,1.328382075838717,1.6783835200230195,-2.064613851141375,0.9384484826177977,-2.369258842450355,1.1306293481271152,-1.5845695255637557,-0.9420411603013473,-1.9818034399154718,1.3403457034684636,1.3376229808608862,-1.412098105259427,-1.4409584787528114,-1.0758343416892495,-1.4165989320169146,0.8842320422413967,1.4819382161342136,2.4287454037093585,-1.3789826178750797,1.0646156744976734,-2.490757968878265,0.9171135850505155,-1.9485061829954815,-1.8139601570517498,-0.1411171382256022,0.24237552227328227,0.5126277483032242,0.34805383066118784,-1.3923396857539843,-1.1604494264519178,-1.7150213344992087
"Doctor, nurse, patient",0.6215251865870735,0.8794590582042711,-0.4938511033810549,-0.25921664667009636,0.8965127502211473,0.03682850457313918,0.5917126234642207,-0.3240759566445412,0.1397398407301222,-0.1868463354720348,1.0440043653334135,-0.14819434431151116,0.2574524018466996,0.10196312850794774,0.3407439834305319,-0.356449084142455,0.5840838438307421,-0.1367898236974939,-0.03656757167306062,0.1786661658618599,0.6254434700517093,-0.12699564197513916,0.9487247522322556,0.7850808225538477,0.47017189845383023,0.8412998588901254,0.03286576094043923,-0.4559659832330668,1.0759913613374292,0.49633533894952003,0.7591858610719514,0.7952516595711454,0.02424319047295026
"Writer, editor, reader",0.7743681406806966,0.7662948596793465,0.6286925411613554,0.2354820904061579,0.16351733659646756,0.034236578558226156,0.44105342113339424,-0.6289735998586744,0.45702421499283086,0.0024090681378265153,-0.07438996671466284,-0.8162821881344855,0.22787148371284313,0.6381650105825665,0.47308986776177653,0.6803564260784499,0.7798453678862858,-0.15715310093980228,-0.6990764003021684,-0.7540444410522319,-0.17251776744208122,-0.8010823356002703,0.29575180803858864,-0.4270923054740722,0.09006320085361832,0.26066322840065065,0.9788628107467925,0.4744408766376556,-2.1370814673665848,-0.525567563371927,0.33215441695130077,0.2535774240497984,-0.5626051221882439
"Tourist, tour guide, native",0.6593754464451642,0.34394990447025425,-0.9819135575299293,-0.943086157201003,0.0713464421396864,-0.3445548947640266,1.0241603338582594,-0.6260212459191009,0.680077515696314,1.0001102137124007,0.6840225512100309,-1.256850457419088,-0.8681793776679398,0.840591350824212,1.000070029463307,0.915968308042556,1.1566863016932074,-0.6110398331565134,-0.7442008406422315,-1.2536956409467903,1.4348979763982908,-0.7745054408695304,0.10637735718016154,-1.0953325901314104,0.428248145042042,0.8094631752361358,0.6496379356367756,-1.2198328757768142,0.6079189149920455,-0.7288234079374348,0.40317476572860683,0.22675967343683492,0.1081371263833722
"Landlord, tenant, real estate agent",0.15578675099990072,0.16365059610613883,-1.06112369353114,-1.0325221962268416,1.2294937681401121,-1.1184299477879842,0.6514980212145485,-1.2430632192899567,2.0052765375228905,1.1196735936956577,1.2099990051893994,-1.185989826694991,-1.0017605763987227,0.6010225628318057,1.283828578071823,1.568831188022392,1.4301651507988018,-1.3046416360677648,-0.8870949017190979,0.13058391285944565,1.9731113378189997,-1.0774820407999657,0.10637735718016154,-0.8854613639288166,-0.3734630163556899,0.6720415407296734,1.1327062103309127,-1.275882558822447,-0.059119251829704636,-1.2022454061490215,0.33215441695130077,-0.16087872178691154,-0.8011912911432484
"Lawyer, litigant, judge",-0.3899512461638779,-0.8594176254789794,-0.7178797708592268,-0.4848644757723241,0.9952817368151509,-0.8287925010421755,1.0753100630446513,-0.42427706004824695,0.2558388849465515,1.2652484279609877,0.8431067988702043,-0.6378183774219452,-0.82441345785586,1.1366991981705548,0.6779286820091943,-0.861788500805558,0.4496609306459352,-0.8195351815292693,-0.4935095054196589,0.8883167239407587,0.5699838870160178,-0.11303606090444764,1.0557545645259792,-0.3921852985255836,-0.8159676364126484,0.9340784925484474,-1.8306595398805399,-1.0805281079733415,1.19708473054121,-0.8992553272936061,0.7571650800568059,-0.01297476386086971,0.20067054620868843
"Middleman, seller, buyer",0.368589323090944,-1.2923280652725746,-0.002788265292741017,-0.6996213842973315,0.4069687208681834,-0.31909847854613327,0.5254504742909404,-0.35046821155891017,1.290193897032312,0.7037135994681919,1.0434597634966154,0.15009250043616937,-0.6198553543863562,0.8313057388865218,0.7180739563119863,0.49560349660879827,0.26841838629117787,0.6317452669606721,-0.25535273695821487,-0.15376091518359364,0.18869925364564283,0.5011855062059866,0.21346410022510534,-0.528809034737906,1.084516131141955,0.8050302192843144,-0.9195647401212502,-0.5610032680474499,0.9921574903501965,0.6914425866973253,0.268136074391476,0.2450445034002192,0.5189104833106204
"Plaintiff, defendant, mediator",-0.7050363017726747,0.23280649520470362,-1.0539227720764845,-1.0469765055643507,0.38283306174659515,-0.9518061325435915,-0.2253544791235948,-1.0397981238138678,1.423190918574763,1.1649779760269763,0.6301069693670431,-1.186363268754143,-0.8043468701159341,-0.17491693654317825,1.2380042161847336,1.5118389666742467,0.7446082935562881,-0.6583755214829315,-0.8638489779075502,0.4126948309178592,0.19855062694803507,-0.02552022573049589,0.2723874277378737,-0.4275605067595213,-1.503469416008808,0.31901704856644447,-0.05104882065089882,-0.7456007090191102,-0.2653505744582975,-0.568720695814971,-0.15744040739826942,-0.7074289119651608,-0.810603781513686
"Therapist, patient's family, mental patient",-1.8970190884147677,-0.2656548554407963,-0.5658603179276103,-0.9638642268736726,1.2207502840809714,-1.2480262485336229,1.0540530327334237,-1.0720056213364875,-0.4423457782180047,1.1795922929080465,0.617036525283895,-0.3274465327044837,-0.9693772554942907,0.513906639925476,0.5009690249937823,-1.1264102202366106,1.018674427234049,-1.0942211045639136,-0.5185786389419161,1.8849478874519643,0.9341198335266729,0.2450808842552198,0.08793179378486034,-0.6803892009020772,-1.9979547126606674,0.56403861390348,-0.8678174148065915,-1.1425075554666515,2.02051964112692,-0.08210026613809165,-0.1283411607801672,-0.8847363540343417,-0.9988535889224373
