,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
"Father, mother, child",1.1747617494451,-0.9333702784116256,2.0284755927784492,1.787243520565067,-1.6820709743843008,2.233069589080233,-1.3736230092377215,2.031747983738597,-2.710353859744163,-2.29916808236365,-1.0196472553112659,1.9870857335729888,2.1582790478130662,1.185469353316231,-1.0649625598040289,0.4009776452216742,-0.24031599242617674,1.792485909566864,2.705691909303021,-0.9104981281068996,-0.6411064227109388,-1.030783282531425,0.9823986816426895,1.6432091316592483,0.10051625205185612,-1.561354864809441,1.2333517644157652,1.841253732556403,0.8833916803913701,1.6989222989638328,0.7043710674268514,1.2574652334367546,1.212539783283338
"Mother-in-law, Daughter-in-law, Husband",0.4779074376610495,1.7836014755099527,1.3555244330112115,1.9896432525061074,-1.2389341410480494,1.4696698750080033,-0.8478630979639221,1.77909134777087,-1.7372200295953468,-2.0376421911189015,-2.0187968699585688,0.6240445059010836,1.3403430475342577,0.1420376811482248,-0.7254008790830788,-0.024419673788274844,-1.0590666640553925,1.4476621929170719,1.9140171932235346,0.15885731539686943,-0.9251486537665295,0.2765086770749108,-0.22999809667679408,1.0936720620789127,-3.1935263753926684,-2.1039301516107334,1.5878147173377428,1.6846945989829507,1.4471745868139438,1.198644555784283,0.8316357640799539,1.0578988555860442,1.8239012281103368
"Parent, Firstborn, Secondborn",1.0489408320396465,-0.024198641185506912,1.8107717859810277,1.8913700188848108,-1.6779337576167213,1.5339795095994182,-0.0011738634721411686,1.940755468729666,-0.8326847230737412,-1.3332797109068313,-2.031247332446385,1.307028238272536,1.5393089751271363,0.2816049748777031,-1.4080491022625667,-0.057812637396564205,-1.2938133601169157,1.6649210664131837,2.1716006001816677,-0.9987813521826296,-1.2878511981037308,-0.8422612741721188,0.8675883806654656,1.2703089773011638,-1.1927823634213293,-1.2425393086889918,0.85491547168264,1.8788279246140314,1.1298133480992496,1.5140651483832759,0.8602242104295637,1.2784242594210757,1.3382807896661955
Trio of friends,1.1230420934923773,2.8454028931950215,1.3826440767536143,1.5033986910107653,-1.309721465302132,1.0675440860798413,-0.5238813148006075,1.8556334385600204,-0.6937640948236622,-2.162088842761113,-1.839962954224472,0.32381258241646066,1.805753046150881,-0.43616967858818667,-1.1082008637851049,-1.2448599002721086,-2.8145139082618087,1.7956750306457059,-0.5821237243274834,-0.5221846989016203,-0.6728268749100402,-1.6983366236070006,-0.08227550941943294,0.9207150825904592,-0.19793727459580165,-1.1500070892345078,1.3258203608301942,1.2017096719088503,1.008469345061279,0.6527988786329535,1.0239161209797498,1.1405958820241813,-0.7158503059848037
The three individuals in a love triangle,-1.8615320376139768,0.9521981781183507,0.5861631111660505,1.19252102054653,-1.8758446984984907,1.8624180005484314,-1.998174358151128,0.7775608298597348,-1.3563578747261125,-1.3016112397115258,-1.6418874146455673,0.7883819798084563,1.2892614623202379,-1.4350727379948833,-1.209716881827631,-0.5392520605491212,-1.675706155904809,1.422547864421191,1.2535523105659867,2.1900352527783298,0.16776510836615,0.8884325730608551,-2.3141181784160723,-0.7904550336250945,0.39620632011944373,-1.789741206463008,1.4105832408767536,-0.19871177790568148,0.5230933329093939,0.6460121650626879,-1.2018327585294033,-1.2015752717237158,-2.1759635438960943
"Doctor, nurse, patient",0.8738473875383509,-0.40630823746144523,-0.33928966667492044,-0.40815083212044123,1.0708975388686681,-0.161002716845631,-0.5082075549559176,-0.4586717892184544,0.026097342472201305,0.6342782916690348,0.7029153884318746,0.675501259318826,-0.3425113986831675,1.0407897045050865,0.1685582862112828,-0.019393976924150975,1.4156832143117741,0.04705541141602742,-0.3316895711134945,-1.0797629562220212,-1.1116264636642779,-0.9936969858050042,1.2854978762225608,1.3659873063798826,-0.21728148465629812,0.8789721228038125,0.709363051400669,0.9426043058447866,1.3015617831683786,1.3789772306513304,0.7112876270275631,1.2137246574694758,0.002824583944806974
"Writer, editor, reader",0.45301978366876205,0.7454317928540046,0.2117680294125225,-0.07673522408177604,0.537588037919811,-0.4309887034920911,-0.3936931462947142,-0.2665468308418256,0.2453905671250283,0.12346996407722342,-0.03432250485498066,0.250071408227255,-0.1495365212079822,-0.04507451484074665,0.6436011911538733,-0.20836017901520731,-0.38389464705292486,-0.5932219744130214,-0.4522725726125766,-0.7014062816117491,-0.2690011180676326,-0.4423949210064784,0.5377001158575763,-0.5021934011443379,-0.004495173990838378,0.7206158472373894,-0.5813444402173994,0.03143014844729345,-2.0760442985962406,-1.5819689470043745,0.45361434299376163,-0.19616333947583228,-0.5340382708936022
"Tourist, tour guide, native",0.608567621120559,0.45407915907242563,-1.1859736091339803,-0.5556026916291693,-0.38036748651133157,-0.33832580635914067,0.7392957796214374,-0.8250815312653109,-0.661114546248759,-0.17317959262982227,-0.2487291705542682,-0.2579233472983839,-0.4692694064364756,0.7135989792784704,0.6034719959874904,-0.8766661797911424,1.8609532137830687,-1.1733966937562017,-0.8647295193901208,-1.497946649212322,-1.6684966244929489,-1.59016825815494,-0.12590342379077782,-0.6285378613380311,-0.07634509707268207,-0.17084796700705954,-0.7752716354754374,-0.9830730371086781,0.1515940005316048,0.10501414046154747,0.08820441499769921,0.06026223676091525,0.16449159215133882
"Landlord, tenant, real estate agent",-0.001179901690485165,-0.02054367982982392,-1.4284389954124552,-0.5495953936491841,-0.4036709932021885,-0.7236490202703262,-0.5156712501200559,-0.2548058611632539,0.7357739829755371,0.36776959901243755,0.7350190603012869,0.26060586168285604,-0.8346784181261823,0.05516416158191606,1.0073204407796825,0.6046539822610552,0.0365542396881984,-0.73574677427583,-0.5042629440551242,0.3022345815649725,0.43860896945078587,0.12245790605747038,0.17413416276303378,-0.5990983754676567,0.2055276780945512,0.023469693847356712,-0.8317802221731441,-0.7482343367484995,-2.8764055829697686,-1.861193733895286,-0.2639472766728429,-0.7874066930335423,-0.7906445252987451
"Lawyer, litigant, judge",-1.2478958188666378,-0.5550817780984465,-0.4050924386194799,-1.001644566643072,1.1105503437319642,-0.7141896828546709,1.1263416859903095,-0.9930193297034534,-0.6668762312913888,0.8818167475219506,1.3088721949670274,-0.3152775938899884,-0.7890022916649688,1.1788232917100652,0.5893725490371391,-0.39900161339430507,1.1438306849609765,-0.7199435403583541,-0.6089620993456072,0.38044036311121043,1.8316470100826574,0.9390047958696107,0.9433631793104337,-0.3120633882314989,-1.261868827923102,0.6404913572097564,0.20078577112131116,-0.6261182125612066,0.4826453318967365,0.5186804914110458,0.1916234490273939,0.41272536006867777,0.29043906980904555
"Middleman, seller, buyer",-0.09139764741252732,-0.22731006509417043,-0.7295681761392038,-0.8182074318970948,0.39776699777466984,-0.7738414228840077,-0.020721636521074192,-0.9458457908163347,0.8561291816438084,1.0693480378007447,1.3394324210734871,-0.8244428442440276,-0.6080545599147775,1.0762840555006528,1.4333251593509984,2.437741015615483,0.9898548468648726,-1.097085582226768,-0.8178688645965712,0.008652560363618406,2.175216583252146,-0.07316212063134311,0.2812904436751092,-0.24850086192046195,0.8144934597392679,0.8390532644936967,0.5552487240432877,-0.6560067744252291,-0.1515114392247817,-0.804581756228542,-0.0937999104953249,0.13114540227931837,-0.07522155794800117
"Plaintiff, defendant, mediator",-1.6930617644354151,-0.6759063659911173,-0.2418945824705065,-0.9964459433911618,0.7414742369274411,-0.8953723764314542,1.1073953828813436,-1.0224846478390999,0.40139926981777896,0.8751611484932672,0.49053725144961075,0.8031302146462976,-0.2878824811626188,0.3339427100262575,0.7021681246399462,-0.37069018772640755,0.6714745282518133,-0.2924019957260976,-0.7543366306937781,1.4791229746948187,2.0154814489638135,1.1179040340555844,0.3840729988356716,-0.5486306854041556,-0.012390769933898092,0.7967746707169726,-0.4905270687389424,-1.3910214080200738,-0.01695415313871944,-0.0861218743744929,0.29570120301906216,-0.3937415093280305,0.1830740068877217
"Therapist, Patient's family, Patient",1.1747617494451,-0.06074825474233591,0.3298312403781853,0.6378471737278948,0.6058098980872465,0.6186760034750527,-1.353097847536342,-0.1491371340561079,0.4459825649054801,0.0013201466096163473,-0.471543940790783,-0.17598870931037786,0.5698624705561278,0.7601214105216295,0.406079738682578,0.115581881712318,0.7322060341144201,0.2047592010290936,-0.1906570235136771,-0.4692716601967252,-1.3321591313342218,-0.216209265147538,0.6486834068022255,1.0679125119423347,0.2718506840162528,0.4745642636879661,0.9212702515170683,0.47121898730362805,0.9889524774397865,0.4328917311289056,0.6780881409441452,1.0578988555860442,0.6011783384563384
"employee, employer, customer",0.3690239514447916,-0.5550817780984465,-0.6671689958469492,-0.8124146802735376,1.5041769676188281,-0.8358097353416682,1.5204247906567971,-0.5835530121632632,2.109295678415834,1.0650414737233613,1.1157485438775956,-1.5800504602866676,-0.5419359712611331,1.0320057489556789,1.413549311680376,1.4663847687240972,1.2066813801925262,-0.4456972475840713,-0.5986396474155596,0.05892770564334289,1.6182548771068828,0.9491192404313622,0.48412197540153823,-0.5830404740838157,-0.10498457690250773,0.94229169115779,0.3100668396110898,-0.6073311165323924,0.2766716652015136,0.10501414046154747,0.184245785453301,0.06963521732533216,-0.36139074488829864
